,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
195407,1016,Intrepid Potash,IPI,3.54,3.66,3.51,3.64,0.14,4,"846,066",5.12,1.58,...,...,...,-23.53,Thursday,Thursday,3/29/2018
195408,1010,Intrepid Potash,IPI,3.84,3.89,3.78,3.83,-0.02,-0.52,"364,907",5.12,1.58,...,...,...,-19.54,Wednesday,Wednesday,4/11/2018
195409,1012,Intrepid Potash,IPI,3.84,4.07,3.82,4.01,0.18,4.7,"625,012",5.12,1.58,...,...,...,-15.76,Thursday,Thursday,4/12/2018
195410,1005,Intrepid Potash,IPI,4.01,4.12,3.98,4.11,0.13,3.27,"403,933",5.12,1.58,...,...,...,-13.66,Tuesday,Tuesday,4/17/2018
195411,1008,Intrepid Potash,IPI,4.14,4.37,4.1,4.3,0.19,4.62,"802,626",5.12,1.58,...,...,...,-9.66,Wednesday,Wednesday,4/18/2018
195412,1014,Intrepid Potash,IPI,4.3,4.33,4.19,4.24,-0.06,-1.4,"382,280",5.12,1.58,...,...,...,-10.92,Thursday,Thursday,4/19/2018
195413,1006,Intrepid Potash,IPI,4.22,4.23,4.11,4.15,-0.09,-2.12,"405,049",5.12,1.58,...,...,...,-12.82,Friday,Friday,4/20/2018
195414,1010,Intrepid Potash,IPI,4.25,4.31,3.77,3.95,-0.2,-4.82,"1,953,000",5.12,1.58,...,...,...,-17.02,Tuesday,Tuesday,4/24/2018
195415,1013,Intrepid Potash,IPI,4.04,4.88,3.95,4.71,0.76,19.24,"5,602,976",5.12,1.58,...,...,...,-1.05,Wednesday,Wednesday,4/25/2018
195416,1013,Intrepid Potash,IPI,4.85,4.88,4.48,4.61,-0.24,-4.95,"1,365,378",5.12,1.58,...,...,...,-3.15,Friday,Friday,4/27/2018
195417,1009,Intrepid Potash,IPI,4.61,4.75,4.47,4.53,-0.08,-1.74,"1,149,146",5.12,1.58,...,...,...,-4.83,Monday,Monday,4/30/2018
195418,1017,Intrepid Potash,IPI,4.51,4.57,4.43,4.45,-0.08,-1.77,"2,393,940",5.12,1.58,...,...,...,-6.51,Tuesday,Tuesday,5/1/2018
195419,1015,Intrepid Potash,IPI,4.38,4.45,4.3,4.35,-0.05,-1.14,"1,188,781",5.12,1.82,...,...,...,-8.61,Thursday,Thursday,5/3/2018
195420,1013,Intrepid Potash,IPI,4.3,4.42,4.26,4.29,-0.06,-1.38,"1,293,913",5.12,1.89,...,...,...,-9.87,Friday,Friday,5/4/2018
195421,1017,Intrepid Potash,IPI,4.29,4.37,4.26,4.3,0.01,0.23,"784,406",5.12,2.03,...,...,...,-9.66,Monday,Monday,5/7/2018
195422,1011,Intrepid Potash,IPI,4.26,4.29,4,4.05,-0.25,-5.81,"1,636,368",5.12,2.03,...,...,...,-14.92,Tuesday,Tuesday,5/8/2018
195423,1020,Intrepid Potash,IPI,4.12,4.21,3.94,3.96,-0.09,-2.22,"2,129,445",5.12,2.03,...,...,...,-16.81,Wednesday,Wednesday,5/9/2018
195424,1017,Intrepid Potash,IPI,4.01,4.18,4,4.09,0.13,3.28,"2,807,141",5.12,2.03,...,...,...,-14.08,Thursday,Thursday,5/10/2018
195425,1016,Intrepid Potash,IPI,4.13,4.17,4.07,4.12,0.03,0.73,"1,800,516",5.12,2.03,...,...,...,-13.45,Friday,Friday,5/11/2018
195426,1015,Intrepid Potash,IPI,4.15,4.33,4.12,4.33,0.21,5.1,"3,055,845",5.12,2.03,...,...,...,-9.03,Monday,Monday,5/14/2018
195427,1016,Intrepid Potash,IPI,4.32,4.66,4.26,4.65,0.32,7.39,"2,177,281",5.12,2.03,...,...,...,-2.31,Tuesday,Tuesday,5/15/2018
195428,1018,Intrepid Potash,IPI,4.67,5.07,4.67,5.05,0.4,8.6,"3,388,204",5.12,2.03,...,...,...,6.09,Wednesday,Wednesday,5/16/2018
195429,1016,Intrepid Potash,IPI,5,5.31,4.94,4.99,-0.06,-1.19,"2,745,535",5.31,2.03,...,...,...,4.83,Thursday,Thursday,5/17/2018
195430,1016,Intrepid Potash,IPI,5.01,5.13,4.86,4.88,-0.11,-2.2,"1,527,718",5.31,2.03,...,...,...,2.52,Friday,Friday,5/18/2018
195431,1017,Intrepid Potash,IPI,5,5.14,4.86,4.97,0.09,1.84,"1,089,842",5.31,2.03,...,...,...,4.41,Monday,Monday,5/21/2018
195432,1013,Intrepid Potash,IPI,4.94,5.04,4.83,4.84,-0.13,-2.62,"640,605",5.31,2.03,...,...,...,1.68,Tuesday,Tuesday,5/22/2018
195433,1020,Intrepid Potash,IPI,4.8,4.89,4.71,4.81,-0.03,-0.62,"790,754",5.31,2.03,...,...,...,1.05,Wednesday,Wednesday,5/23/2018
195434,1019,Intrepid Potash,IPI,4.78,4.86,4.75,4.76,-0.05,-1.04,"1,533,270",5.31,2.03,...,...,...,...,Thursday,Thursday,5/24/2018
195435,1023,Intrepid Potash,IPI,4.74,4.79,4.63,4.69,-0.07,-1.47,"928,471",5.31,2.03,...,...,...,-1.47,Friday,Friday,5/25/2018
195436,1021,Intrepid Potash,IPI,4.63,4.75,4.56,4.57,-0.12,-2.56,"959,935",5.31,2.03,...,...,...,-3.99,Tuesday,Tuesday,5/29/2018
195437,1024,Intrepid Potash,IPI,4.63,4.7,4.56,4.59,0.02,0.44,"1,079,183",5.31,2.03,...,...,...,-3.57,Wednesday,Wednesday,5/30/2018
195438,1024,Intrepid Potash,IPI,4.61,4.64,4.46,4.48,-0.11,-2.4,"1,608,017",5.31,2.03,...,...,...,-5.88,Thursday,Thursday,5/31/2018
195439,1023,Intrepid Potash,IPI,4.54,4.58,4.47,4.56,0.08,1.79,"894,235",5.31,2.03,...,...,...,-4.2,Friday,Friday,6/1/2018
195440,1017,Intrepid Potash,IPI,4.6,4.65,4.38,4.41,-0.15,-3.29,"837,795",5.31,2.03,...,...,...,-7.35,Monday,Monday,6/4/2018
195441,1018,Intrepid Potash,IPI,4.43,4.7,4.35,4.69,0.28,6.35,"927,125",5.31,2.03,...,...,...,-1.47,Tuesday,Tuesday,6/5/2018
195442,1022,Intrepid Potash,IPI,4.7,4.8,4.55,4.63,-0.06,-1.28,"1,286,667",5.31,2.03,...,...,...,-2.73,Wednesday,Wednesday,6/6/2018
195443,1021,Intrepid Potash,IPI,4.64,4.7,4.55,4.65,0.02,0.43,"945,838",5.31,2.03,...,...,...,-2.31,Thursday,Thursday,6/7/2018
195444,1016,Intrepid Potash,IPI,4.63,4.71,4.59,4.69,0.04,0.86,"802,947",5.31,2.03,...,...,...,-1.47,Friday,Friday,6/8/2018
195445,1022,Intrepid Potash,IPI,4.75,4.86,4.72,4.76,0.07,1.49,"710,941",5.31,2.03,...,...,...,...,Monday,Monday,6/11/2018
195446,1016,Intrepid Potash,IPI,4.79,4.79,4.63,4.71,-0.05,-1.05,"611,837",5.31,2.03,...,...,...,-1.05,Tuesday,Tuesday,6/12/2018
195447,1014,Intrepid Potash,IPI,4.7,4.75,4.64,4.71,...,...,"482,018",5.31,2.03,...,...,...,-1.05,Wednesday,Wednesday,6/13/2018
195448,1017,Intrepid Potash,IPI,4.73,4.73,4.54,4.62,-0.09,-1.91,"1,108,256",5.31,2.03,...,...,...,-2.94,Thursday,Thursday,6/14/2018
195449,1016,Intrepid Potash,IPI,4.59,4.6,4.46,4.55,-0.07,-1.52,"818,416",5.31,2.03,...,...,...,-4.41,Friday,Friday,6/15/2018
195450,1016,Intrepid Potash,IPI,4.5,4.63,4.5,4.58,0.03,0.66,"476,425",5.31,2.03,...,...,...,-3.78,Monday,Monday,6/18/2018
195451,1016,Intrepid Potash,IPI,4.53,4.54,4.33,4.52,-0.06,-1.31,"1,040,926",5.31,2.03,...,...,...,-5.04,Tuesday,Tuesday,6/19/2018
195452,1022,Intrepid Potash,IPI,4.58,4.58,4.46,4.51,-0.01,-0.22,"425,984",5.31,2.03,...,...,...,-5.25,Wednesday,Wednesday,6/20/2018
195453,1018,Intrepid Potash,IPI,4.5,4.55,4.4,4.43,-0.08,-1.77,"565,434",5.31,2.04,...,...,...,-6.93,Thursday,Thursday,6/21/2018
195454,1020,Intrepid Potash,IPI,4.49,4.56,4.44,4.55,0.12,2.71,"1,155,816",5.31,2.06,...,...,...,-4.41,Friday,Friday,6/22/2018
