,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
199303,1412,Orix ADR,IX,89.17,90.07,89.03,89.86,1.42,1.61,"20,285",100.03,73.7,...,...,8.29,5.99,Thursday,Thursday,3/29/2018
199304,1402,Orix ADR,IX,87.21,87.58,87.1,87.35,0.05,0.06,"18,273",100.03,74.9,...,...,8.06,3.03,Wednesday,Wednesday,4/11/2018
199305,1407,Orix ADR,IX,86.76,86.94,86.54,86.86,-0.49,-0.56,"15,910",100.03,74.9,...,...,8.01,2.45,Thursday,Thursday,4/12/2018
199306,1395,Orix ADR,IX,86.69,87.54,86.69,87.54,0.25,0.29,"47,208",100.03,75.78,...,...,8.08,3.26,Tuesday,Tuesday,4/17/2018
199307,1400,Orix ADR,IX,87.35,87.73,87.27,87.4,-0.14,-0.16,"15,336",100.03,75.78,...,...,8.06,3.09,Wednesday,Wednesday,4/18/2018
199308,1406,Orix ADR,IX,87.99,88.19,87.65,87.91,0.51,0.58,"18,874",100.03,75.78,...,...,8.11,3.69,Thursday,Thursday,4/19/2018
199309,1396,Orix ADR,IX,88.05,88.07,87.6,87.61,-0.3,-0.34,"14,741",100.03,75.78,...,...,8.08,3.34,Friday,Friday,4/20/2018
199310,1403,Orix ADR,IX,88.36,88.39,87.2,87.46,-0.31,-0.35,"17,969",100.03,75.78,...,...,8.07,3.16,Tuesday,Tuesday,4/24/2018
199311,1405,Orix ADR,IX,88.2,88.27,87.76,88.12,0.66,0.75,"42,790",100.03,75.78,...,...,8.13,3.94,Wednesday,Wednesday,4/25/2018
199312,1402,Orix ADR,IX,88.53,88.53,87.83,88.4,0.14,0.16,"20,517",100.03,75.78,...,...,8.16,4.27,Friday,Friday,4/27/2018
199313,1402,Orix ADR,IX,88.37,88.52,87.88,88.01,-0.39,-0.44,"19,611",100.03,75.78,...,...,8.12,3.81,Monday,Monday,4/30/2018
199314,1412,Orix ADR,IX,88.01,88.01,87.27,87.79,-0.22,-0.25,"27,372",100.03,75.78,...,...,8.1,3.55,Tuesday,Tuesday,5/1/2018
199315,1402,Orix ADR,IX,89.67,89.82,88.8,89.74,-0.17,-0.19,"32,962",100.03,75.78,...,...,8.28,5.85,Thursday,Thursday,5/3/2018
199316,1403,Orix ADR,IX,89.43,91.01,89.43,91.01,1.27,1.42,"27,364",100.03,75.78,...,...,8.4,7.35,Friday,Friday,5/4/2018
199317,1409,Orix ADR,IX,91.14,91.51,91.14,91.51,0.5,0.55,"14,781",100.03,75.78,...,...,8.44,7.94,Monday,Monday,5/7/2018
199318,1401,Orix ADR,IX,91.75,92.52,91.61,92.52,1.01,1.1,"30,690",100.03,75.78,...,...,8.54,9.13,Tuesday,Tuesday,5/8/2018
199319,1414,Orix ADR,IX,92.07,92.07,90.07,90.15,-2.37,-2.56,"48,207",100.03,75.78,...,...,8.32,6.33,Wednesday,Wednesday,5/9/2018
199320,1409,Orix ADR,IX,89.46,89.68,88.92,89.51,-0.64,-0.71,"26,908",100.03,75.78,...,...,8.26,5.58,Thursday,Thursday,5/10/2018
199321,1407,Orix ADR,IX,90.1,90.18,89.83,90.18,0.67,0.75,"21,827",100.03,75.78,...,...,8.32,6.37,Friday,Friday,5/11/2018
199322,1410,Orix ADR,IX,90.12,90.22,89.94,90.11,-0.07,-0.08,"13,209",100.03,75.78,...,...,8.31,6.29,Monday,Monday,5/14/2018
199323,1409,Orix ADR,IX,89.4,89.4,89.01,89.32,-0.79,-0.88,"57,041",100.03,75.78,...,...,8.12,5.36,Tuesday,Tuesday,5/15/2018
199324,1411,Orix ADR,IX,88.99,89.32,88.79,89.1,-0.22,-0.25,"23,401",100.03,76.71,...,...,8.1,5.1,Wednesday,Wednesday,5/16/2018
199325,1409,Orix ADR,IX,89.47,89.77,89.16,89.67,0.57,0.64,"19,639",100.03,77.03,...,...,8.16,5.77,Thursday,Thursday,5/17/2018
199326,1410,Orix ADR,IX,89.47,89.58,89.15,89.47,-0.2,-0.22,"28,456",100.03,77.52,...,...,8.14,5.53,Friday,Friday,5/18/2018
199327,1411,Orix ADR,IX,88.71,88.73,88.19,88.73,-0.74,-0.83,"32,235",100.03,77.52,...,...,8.07,4.66,Monday,Monday,5/21/2018
199328,1408,Orix ADR,IX,87.85,87.95,87.23,87.25,-1.48,-1.67,"42,193",100.03,77.52,...,...,7.94,2.91,Tuesday,Tuesday,5/22/2018
199329,1410,Orix ADR,IX,87.38,87.93,87.06,87.9,0.65,0.74,"32,045",100.03,77.52,...,...,8,3.68,Wednesday,Wednesday,5/23/2018
199330,1413,Orix ADR,IX,86.83,86.83,86.16,86.74,-1.16,-1.32,"39,243",100.03,77.52,...,...,7.89,2.31,Thursday,Thursday,5/24/2018
199331,1416,Orix ADR,IX,85.61,85.91,85.39,85.86,-0.88,-1.01,"37,530",100.03,77.52,...,...,7.81,1.27,Friday,Friday,5/25/2018
199332,1414,Orix ADR,IX,84.4,84.82,84.14,84.64,-1.22,-1.42,"68,860",100.03,77.52,...,...,7.7,-0.17,Tuesday,Tuesday,5/29/2018
199333,1416,Orix ADR,IX,84.68,84.68,84.2,84.4,-0.24,-0.28,"102,197",100.03,77.52,...,...,7.68,-0.45,Wednesday,Wednesday,5/30/2018
