,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
203000,1047,JMP Group,JMP,5.11,5.11,5.05,5.05,-0.05,-0.98,"1,679",7.7,5.04,0.36,7.13,...,-9.82,Thursday,Thursday,3/29/2018
203001,1041,JMP Group,JMP,5.07,5.13,5.03,5.1,-0.06,-1.16,"16,723",7.7,4.92,0.36,7.06,...,-8.93,Wednesday,Wednesday,4/11/2018
203002,1043,JMP Group,JMP,5.12,5.13,5.07,5.07,-0.03,-0.59,"16,943",7.7,4.92,0.36,7.1,...,-9.46,Thursday,Thursday,4/12/2018
203003,1036,JMP Group,JMP,5.04,5.1,5.04,5.08,0.07,1.29,"11,821",7.7,4.92,0.36,7.08,...,-9.2,Tuesday,Tuesday,4/17/2018
203004,1039,JMP Group,JMP,5.07,5.1,5.05,5.07,-0.01,-0.29,"8,261",7.7,4.92,0.36,7.1,...,-9.46,Wednesday,Wednesday,4/18/2018
203005,1045,JMP Group,JMP,5.08,5.11,5.05,5.08,0.01,0.2,"4,167",7.7,4.92,0.36,7.09,...,-9.29,Thursday,Thursday,4/19/2018
203006,1037,JMP Group,JMP,5.15,5.15,5.1,5.1,0.02,0.39,"7,083",7.7,4.92,0.36,7.06,...,-8.93,Friday,Friday,4/20/2018
203007,1041,JMP Group,JMP,5.16,5.16,5.08,5.08,-0.03,-0.58,"2,679",7.7,4.92,0.36,7.09,...,-9.29,Tuesday,Tuesday,4/24/2018
203008,1044,JMP Group,JMP,5.09,5.09,5.05,5.06,-0.02,-0.39,"3,983",7.7,4.92,0.36,7.11,...,-9.64,Wednesday,Wednesday,4/25/2018
203009,1044,JMP Group,JMP,5.12,5.16,5.06,5.06,-0.07,-1.36,"9,609",7.7,4.92,0.36,7.11,...,-9.64,Friday,Friday,4/27/2018
203010,1040,JMP Group,JMP,5.05,5.12,5.05,5.12,0.06,1.19,"13,871",7.7,4.92,0.36,7.03,...,-8.57,Monday,Monday,4/30/2018
203011,1048,JMP Group,JMP,5.1,5.13,5.02,5.08,-0.04,-0.78,"9,862",7.7,4.92,0.36,7.09,...,-9.29,Tuesday,Tuesday,5/1/2018
203012,1046,JMP Group,JMP,5,5.03,4.92,5.02,-0.1,-1.95,"61,307",7.7,4.92,0.36,7.17,...,-10.36,Thursday,Thursday,5/3/2018
