,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
203587,1737,St. Joe,JOE,19.35,19.4,18.85,18.85,-0.45,-2.33,"191,689",20,16.45,...,...,21.67,4.43,Thursday,Thursday,3/29/2018
203588,1725,St. Joe,JOE,18.15,18.4,18.05,18.1,-0.15,-0.82,"298,261",20,16.45,...,...,20.8,0.28,Wednesday,Wednesday,4/11/2018
203589,1729,St. Joe,JOE,18.2,18.2,17.95,18.05,-0.05,-0.28,"230,648",20,16.45,...,...,20.75,...,Thursday,Thursday,4/12/2018
203590,1716,St. Joe,JOE,18.15,18.25,18.02,18.15,0.1,0.55,"255,914",20,16.45,...,...,20.86,0.55,Tuesday,Tuesday,4/17/2018
203591,1725,St. Joe,JOE,18.2,18.23,17.82,18,-0.15,-0.83,"259,636",20,16.45,...,...,20.69,-0.28,Wednesday,Wednesday,4/18/2018
203592,1728,St. Joe,JOE,18,18.05,17.85,18,...,...,"190,024",20,16.45,...,...,20.69,-0.28,Thursday,Thursday,4/19/2018
203593,1721,St. Joe,JOE,17.9,18.05,17.85,17.95,-0.05,-0.28,"189,819",20,16.45,...,...,20.63,-0.55,Friday,Friday,4/20/2018
203594,1729,St. Joe,JOE,17.55,17.6,16.95,17.35,-0.65,-3.61,"2,081,241",20,16.45,...,...,19.94,-3.88,Tuesday,Tuesday,4/24/2018
203595,1729,St. Joe,JOE,17.3,17.55,16.95,16.95,-0.4,-2.31,"695,040",20,16.45,...,...,19.48,-6.09,Wednesday,Wednesday,4/25/2018
203596,1728,St. Joe,JOE,16.85,17,16.75,17,0.2,1.19,"265,332",20,16.45,...,...,78.48,-5.82,Friday,Friday,4/27/2018
203597,1728,St. Joe,JOE,17,17.4,17,17.25,0.25,1.47,"528,010",20,16.45,...,...,79.64,-4.43,Monday,Monday,4/30/2018
203598,1738,St. Joe,JOE,17.45,17.6,17.3,17.45,0.2,1.16,"508,718",20,16.45,...,...,80.56,-3.32,Tuesday,Tuesday,5/1/2018
203599,1729,St. Joe,JOE,17.5,17.6,17.38,17.45,-0.15,-0.85,"348,995",20,16.45,...,...,80.56,-3.32,Thursday,Thursday,5/3/2018
203600,1730,St. Joe,JOE,17.45,17.95,17.35,17.55,0.1,0.57,"393,281",20,16.45,...,...,21.4,-2.77,Friday,Friday,5/4/2018
203601,1736,St. Joe,JOE,17.7,18.2,17.7,18.1,0.55,3.13,"338,143",20,16.75,...,...,22.07,0.28,Monday,Monday,5/7/2018
203602,1726,St. Joe,JOE,18.05,18.2,17.9,18.05,-0.05,-0.28,"467,476",20,16.75,...,...,22.01,...,Tuesday,Tuesday,5/8/2018
203603,1740,St. Joe,JOE,18,18.1,17.9,17.95,-0.1,-0.55,"247,501",20,16.75,...,...,21.89,-0.55,Wednesday,Wednesday,5/9/2018
203604,1736,St. Joe,JOE,17.95,18.05,17.75,17.85,-0.1,-0.56,"326,148",20,16.75,...,...,21.77,-1.11,Thursday,Thursday,5/10/2018
203605,1732,St. Joe,JOE,17.8,18.14,17.75,17.95,0.1,0.56,"252,718",20,16.75,...,...,21.89,-0.55,Friday,Friday,5/11/2018
203606,1735,St. Joe,JOE,18,18.05,17.85,17.95,...,...,"238,749",20,16.75,...,...,21.89,-0.55,Monday,Monday,5/14/2018
203607,1733,St. Joe,JOE,17.9,18.1,17.85,18.05,0.1,0.56,"389,814",20,16.75,...,...,22.01,...,Tuesday,Tuesday,5/15/2018
203608,1736,St. Joe,JOE,18.1,18.13,17.9,18.05,...,...,"241,222",20,16.75,...,...,22.01,...,Wednesday,Wednesday,5/16/2018
203609,1733,St. Joe,JOE,18.1,18.1,17.88,17.9,-0.15,-0.83,"292,563",20,16.75,...,...,21.83,-0.83,Thursday,Thursday,5/17/2018
203610,1731,St. Joe,JOE,17.85,18.05,17.85,17.95,0.05,0.28,"366,584",20,16.75,...,...,21.89,-0.55,Friday,Friday,5/18/2018
203611,1735,St. Joe,JOE,17.95,18.05,17.9,18,0.05,0.28,"254,405",20,16.75,...,...,21.95,-0.28,Monday,Monday,5/21/2018
203612,1733,St. Joe,JOE,18,18.1,17.9,18.05,0.05,0.28,"440,639",20,16.75,...,...,22.01,...,Tuesday,Tuesday,5/22/2018
203613,1736,St. Joe,JOE,18.1,18.1,17.95,18.05,...,...,"225,865",20,16.75,...,...,22.01,...,Wednesday,Wednesday,5/23/2018
203614,1740,St. Joe,JOE,18.05,18.05,17.8,17.9,-0.15,-0.83,"211,790",20,16.75,...,...,21.83,-0.83,Thursday,Thursday,5/24/2018
203615,1743,St. Joe,JOE,18,18.07,17.95,18.05,0.15,0.84,"175,517",20,16.75,...,...,22.01,...,Friday,Friday,5/25/2018
203616,1739,St. Joe,JOE,17.9,18.1,17.9,18,-0.05,-0.28,"312,984",20,16.75,...,...,21.95,-0.28,Tuesday,Tuesday,5/29/2018
203617,1739,St. Joe,JOE,18.1,18.3,17.7,17.8,-0.2,-1.11,"920,805",20,16.75,...,...,21.71,-1.39,Wednesday,Wednesday,5/30/2018
203618,1739,St. Joe,JOE,17.8,17.95,17.7,17.8,...,...,"640,010",20,16.75,...,...,21.71,-1.39,Thursday,Thursday,5/31/2018
203619,1740,St. Joe,JOE,17.85,17.95,17.7,17.75,-0.05,-0.28,"318,754",20,16.75,...,...,21.65,-1.66,Friday,Friday,6/1/2018
203620,1732,St. Joe,JOE,17.8,17.93,17.68,17.8,0.05,0.28,"322,727",20,16.75,...,...,21.71,-1.39,Monday,Monday,6/4/2018
203621,1733,St. Joe,JOE,17.8,17.98,17.75,17.9,0.1,0.56,"492,257",20,16.75,...,...,21.83,-0.83,Tuesday,Tuesday,6/5/2018
203622,1740,St. Joe,JOE,17.85,17.95,17.75,17.9,...,...,"544,869",20,16.75,...,...,21.83,-0.83,Wednesday,Wednesday,6/6/2018
203623,1735,St. Joe,JOE,17.9,17.95,17.68,17.85,-0.05,-0.28,"392,269",20,16.75,...,...,21.77,-1.11,Thursday,Thursday,6/7/2018
203624,1729,St. Joe,JOE,17.9,17.95,17.75,17.9,0.05,0.28,"346,990",20,16.75,...,...,21.83,-0.83,Friday,Friday,6/8/2018
203625,1735,St. Joe,JOE,17.9,17.94,17.8,17.8,-0.1,-0.56,"350,306",20,16.75,...,...,21.71,-1.39,Monday,Monday,6/11/2018
203626,1731,St. Joe,JOE,17.8,17.95,17.7,17.9,0.1,0.56,"449,289",20,16.75,...,...,21.83,-0.83,Tuesday,Tuesday,6/12/2018
203627,1732,St. Joe,JOE,17.9,18.1,17.9,17.95,0.05,0.28,"394,852",20,16.75,...,...,21.89,-0.55,Wednesday,Wednesday,6/13/2018
203628,1733,St. Joe,JOE,18.1,18.1,17.95,18,0.05,0.28,"229,831",20,16.75,...,...,21.95,-0.28,Thursday,Thursday,6/14/2018
203629,1733,St. Joe,JOE,17.95,18.05,17.88,17.95,-0.05,-0.28,"341,725",20,16.75,...,...,21.89,-0.55,Friday,Friday,6/15/2018
203630,1732,St. Joe,JOE,17.95,18.05,17.9,17.95,...,...,"261,668",20,16.75,...,...,21.89,-0.55,Monday,Monday,6/18/2018
203631,1734,St. Joe,JOE,17.95,18.1,17.9,18,0.05,0.28,"329,694",20,16.75,...,...,21.95,-0.28,Tuesday,Tuesday,6/19/2018
203632,1737,St. Joe,JOE,18,18.3,17.97,18.1,0.1,0.56,"322,511",20,16.75,...,...,22.07,0.28,Wednesday,Wednesday,6/20/2018
203633,1732,St. Joe,JOE,18.1,18.1,17.93,18.05,-0.05,-0.28,"181,739",20,16.75,...,...,22.01,...,Thursday,Thursday,6/21/2018
203634,1732,St. Joe,JOE,18.05,18.1,17.95,18,-0.05,-0.28,"807,742",20,16.75,...,...,21.95,-0.28,Friday,Friday,6/22/2018
203635,1736,St. Joe,JOE,18.05,18.05,17.9,17.9,-0.1,-0.56,"284,841",20,16.75,...,...,21.83,-0.83,Monday,Monday,6/25/2018
203636,1742,St. Joe,JOE,17.95,18.15,17.85,18.1,0.2,1.12,"293,271",20,16.75,...,...,22.07,0.28,Tuesday,Tuesday,6/26/2018
