,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
205028,1353,Nordstrom,JWN,48.11,48.98,47.94,48.41,0.51,1.06,"1,139,518",54,37.79,1.48,3.06,18.72,2.17,Thursday,Thursday,3/29/2018
205029,1345,Nordstrom,JWN,49.04,49.82,48.88,49.01,-0.46,-0.93,"932,292",54,37.79,1.48,3.02,18.96,3.44,Wednesday,Wednesday,4/11/2018
205030,1349,Nordstrom,JWN,49.02,49.42,48.1,48.37,-0.64,-1.31,"1,088,523",54,37.79,1.48,3.06,18.71,2.09,Thursday,Thursday,4/12/2018
205031,1340,Nordstrom,JWN,48.25,48.34,47.07,47.15,-0.7,-1.46,"1,352,555",54,37.79,1.48,3.14,18.24,-0.49,Tuesday,Tuesday,4/17/2018
205032,1344,Nordstrom,JWN,47.39,48.12,47.23,47.28,0.13,0.28,"933,609",54,37.79,1.48,3.13,18.29,-0.21,Wednesday,Wednesday,4/18/2018
205033,1349,Nordstrom,JWN,47.06,47.11,45.81,46.72,-0.56,-1.18,"1,650,316",54,37.79,1.48,3.17,18.07,-1.39,Thursday,Thursday,4/19/2018
205034,1340,Nordstrom,JWN,46.76,47.87,46.53,46.78,0.06,0.13,"1,304,724",54,37.79,1.48,3.16,18.09,-1.27,Friday,Friday,4/20/2018
205035,1346,Nordstrom,JWN,48.17,48.8,47.62,47.89,-0.26,-0.54,"1,464,324",54,37.79,1.48,3.09,18.52,1.08,Tuesday,Tuesday,4/24/2018
205036,1350,Nordstrom,JWN,47.8,48.81,47.28,48.73,0.84,1.75,"1,218,463",54,37.79,1.48,3.04,18.85,2.85,Wednesday,Wednesday,4/25/2018
205037,1346,Nordstrom,JWN,49.52,51.62,49.51,51.6,1.92,3.86,"2,372,476",54,37.79,1.48,2.87,19.96,8.91,Friday,Friday,4/27/2018
205038,1345,Nordstrom,JWN,51.71,52.14,50.53,50.56,-1.04,-2.02,"2,357,080",54,37.79,1.48,2.93,19.56,6.71,Monday,Monday,4/30/2018
205039,1357,Nordstrom,JWN,49.9,51.1,49.46,50.17,-0.39,-0.77,"1,335,834",54,37.79,1.48,2.95,19.41,5.89,Tuesday,Tuesday,5/1/2018
205040,1346,Nordstrom,JWN,50.04,50.09,49.23,49.28,-0.92,-1.83,"1,791,707",54,37.79,1.48,3,19.06,4.01,Thursday,Thursday,5/3/2018
205041,1348,Nordstrom,JWN,49.11,49.69,48.57,49.49,0.21,0.43,"905,539",54,37.79,1.48,2.99,19.14,4.45,Friday,Friday,5/4/2018
