,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
216720,1134,LendingClub,LC,3.51,3.55,3.43,3.5,-0.01,-0.28,"2,574,804",6.56,3.09,...,...,...,-15.25,Thursday,Thursday,3/29/2018
216721,1127,LendingClub,LC,3.27,3.36,3.22,3.24,-0.06,-1.82,"5,863,958",6.56,3.09,...,...,...,-21.55,Wednesday,Wednesday,4/11/2018
216722,1130,LendingClub,LC,3.24,3.34,3.24,3.31,0.07,2.16,"2,830,657",6.56,3.09,...,...,...,-19.85,Thursday,Thursday,4/12/2018
216723,1122,LendingClub,LC,3.36,3.48,3.36,3.39,0.04,1.19,"3,309,056",6.56,3.09,...,...,...,-17.92,Tuesday,Tuesday,4/17/2018
216724,1126,LendingClub,LC,3.4,3.49,3.38,3.43,0.04,1.18,"2,302,044",6.56,3.09,...,...,...,-16.95,Wednesday,Wednesday,4/18/2018
216725,1130,LendingClub,LC,3.42,3.5,3.36,3.4,-0.03,-0.87,"2,662,868",6.56,3.09,...,...,...,-17.68,Thursday,Thursday,4/19/2018
216726,1123,LendingClub,LC,3.38,3.41,3.29,3.31,-0.09,-2.65,"2,203,341",6.56,3.09,...,...,...,-19.85,Friday,Friday,4/20/2018
216727,1126,LendingClub,LC,3.27,3.37,3.22,3.26,-0.01,-0.31,"3,963,461",6.56,3.09,...,...,...,-21.07,Tuesday,Tuesday,4/24/2018
216728,1130,LendingClub,LC,3.27,3.29,2.69,2.77,-0.49,-15.03,"18,850,716",6.56,2.69,...,...,...,-32.93,Wednesday,Wednesday,4/25/2018
216729,1130,LendingClub,LC,2.86,2.93,2.68,2.7,-0.16,-5.59,"8,147,503",6.56,2.68,...,...,...,-34.62,Friday,Friday,4/27/2018
216730,1125,LendingClub,LC,2.76,2.76,2.63,2.69,-0.01,-0.37,"4,756,073",6.56,2.63,...,...,...,-34.87,Monday,Monday,4/30/2018
216731,1136,LendingClub,LC,2.67,2.71,2.57,2.67,-0.02,-0.74,"4,485,932",6.56,2.57,...,...,...,-35.35,Tuesday,Tuesday,5/1/2018
216732,1131,LendingClub,LC,2.66,2.74,2.62,2.71,0.06,2.26,"3,091,000",6.56,2.57,...,...,...,-34.38,Thursday,Thursday,5/3/2018
216733,1132,LendingClub,LC,2.7,2.71,2.63,2.65,-0.06,-2.21,"2,612,881",6.56,2.57,...,...,...,-35.84,Friday,Friday,5/4/2018
216734,1136,LendingClub,LC,2.66,2.75,2.63,2.73,0.08,3.02,"3,196,826",6.56,2.57,...,...,...,-33.9,Monday,Monday,5/7/2018
216735,1127,LendingClub,LC,2.75,2.85,2.72,2.82,0.09,3.3,"4,494,785",6.56,2.57,...,...,...,-31.72,Tuesday,Tuesday,5/8/2018
216736,1137,LendingClub,LC,3,3.64,2.99,3.4,0.58,20.57,"27,981,936",6.56,2.57,...,...,...,-17.68,Wednesday,Wednesday,5/9/2018
216737,1135,LendingClub,LC,3.44,3.54,3.37,3.48,0.08,2.35,"7,067,377",6.56,2.57,...,...,...,-15.74,Thursday,Thursday,5/10/2018
216738,1133,LendingClub,LC,3.48,3.54,3.27,3.32,-0.16,-4.6,"6,607,401",6.56,2.57,...,...,...,-19.61,Friday,Friday,5/11/2018
216739,1134,LendingClub,LC,3.3,3.34,3.23,3.32,...,...,"3,575,863",6.56,2.57,...,...,...,-19.61,Monday,Monday,5/14/2018
216740,1134,LendingClub,LC,3.29,3.34,3.24,3.32,...,...,"3,007,366",6.56,2.57,...,...,...,-19.61,Tuesday,Tuesday,5/15/2018
216741,1137,LendingClub,LC,3.33,3.42,3.31,3.42,0.1,3.01,"3,959,779",6.56,2.57,...,...,...,-17.19,Wednesday,Wednesday,5/16/2018
216742,1135,LendingClub,LC,3.42,3.45,3.38,3.41,-0.01,-0.29,"2,348,263",6.56,2.57,...,...,...,-17.43,Thursday,Thursday,5/17/2018
216743,1134,LendingClub,LC,3.43,3.44,3.36,3.41,...,...,"2,636,989",6.56,2.57,...,...,...,-17.43,Friday,Friday,5/18/2018
216744,1136,LendingClub,LC,3.4,3.48,3.38,3.45,0.04,1.17,"2,774,461",6.56,2.57,...,...,...,-16.46,Monday,Monday,5/21/2018
216745,1132,LendingClub,LC,3.44,3.45,3.38,3.39,-0.06,-1.74,"2,063,920",6.56,2.57,...,...,...,-17.92,Tuesday,Tuesday,5/22/2018
216746,1139,LendingClub,LC,3.38,3.38,3.27,3.28,-0.11,-3.24,"2,957,266",6.56,2.57,...,...,...,-20.58,Wednesday,Wednesday,5/23/2018
216747,1139,LendingClub,LC,3.27,3.33,3.25,3.26,-0.02,-0.61,"2,315,935",6.56,2.57,...,...,...,-21.07,Thursday,Thursday,5/24/2018
216748,1142,LendingClub,LC,3.26,3.38,3.23,3.37,0.11,3.37,"1,972,475",6.56,2.57,...,...,...,-18.4,Friday,Friday,5/25/2018
216749,1139,LendingClub,LC,3.32,3.42,3.29,3.32,-0.05,-1.48,"3,794,436",6.56,2.57,...,...,...,-19.61,Tuesday,Tuesday,5/29/2018
216750,1143,LendingClub,LC,3.31,3.38,3.28,3.33,0.01,0.3,"2,885,633",6.56,2.57,...,...,...,-19.37,Wednesday,Wednesday,5/30/2018
216751,1140,LendingClub,LC,3.32,3.37,3.27,3.29,-0.04,-1.2,"2,447,978",6.56,2.57,...,...,...,-20.34,Thursday,Thursday,5/31/2018
216752,1141,LendingClub,LC,3.33,3.35,3.27,3.3,0.01,0.3,"2,598,642",6.56,2.57,...,...,...,-20.1,Friday,Friday,6/1/2018
216753,1134,LendingClub,LC,3.31,3.44,3.29,3.42,0.12,3.64,"2,330,274",6.56,2.57,...,...,...,-17.19,Monday,Monday,6/4/2018
216754,1134,LendingClub,LC,3.43,3.53,3.41,3.52,0.1,2.92,"2,789,474",6.56,2.57,...,...,...,-14.77,Tuesday,Tuesday,6/5/2018
216755,1139,LendingClub,LC,3.53,3.57,3.47,3.53,0.01,0.28,"2,241,107",6.56,2.57,...,...,...,-14.53,Wednesday,Wednesday,6/6/2018
216756,1136,LendingClub,LC,3.54,3.56,3.47,3.51,-0.02,-0.57,"1,785,788",6.56,2.57,...,...,...,-15.01,Thursday,Thursday,6/7/2018
216757,1132,LendingClub,LC,3.5,3.71,3.48,3.67,0.16,4.56,"2,664,948",6.56,2.57,...,...,...,-11.14,Friday,Friday,6/8/2018
216758,1139,LendingClub,LC,3.68,3.84,3.64,3.72,0.05,1.36,"3,343,316",6.56,2.57,...,...,...,-9.93,Monday,Monday,6/11/2018
216759,1135,LendingClub,LC,3.72,3.81,3.67,3.74,0.02,0.54,"1,767,722",6.56,2.57,...,...,...,-9.44,Tuesday,Tuesday,6/12/2018
216760,1132,LendingClub,LC,3.73,3.81,3.68,3.79,0.05,1.34,"2,900,058",6.56,2.57,...,...,...,-8.23,Wednesday,Wednesday,6/13/2018
216761,1135,LendingClub,LC,3.76,3.82,3.73,3.82,0.03,0.79,"3,132,021",6.56,2.57,...,...,...,-7.51,Thursday,Thursday,6/14/2018
216762,1133,LendingClub,LC,3.83,3.91,3.78,3.91,0.09,2.36,"3,806,133",6.56,2.57,...,...,...,-5.33,Friday,Friday,6/15/2018
216763,1133,LendingClub,LC,3.9,3.98,3.82,3.98,0.07,1.79,"3,533,888",6.56,2.57,...,...,...,-3.63,Monday,Monday,6/18/2018
216764,1134,LendingClub,LC,3.93,4,3.73,4,0.02,0.5,"4,902,899",6.56,2.57,...,...,...,-3.15,Tuesday,Tuesday,6/19/2018
216765,1141,LendingClub,LC,4,4.03,3.94,3.99,-0.01,-0.25,"3,276,017",6.56,2.57,...,...,...,-3.39,Wednesday,Wednesday,6/20/2018
216766,1135,LendingClub,LC,3.99,4.12,3.93,3.97,-0.02,-0.5,"4,516,245",6.56,2.57,...,...,...,-3.87,Thursday,Thursday,6/21/2018
216767,1136,LendingClub,LC,3.97,4.04,3.91,3.92,-0.05,-1.26,"3,629,716",6.56,2.57,...,...,...,-5.08,Friday,Friday,6/22/2018
216768,1142,LendingClub,LC,3.88,3.9,3.75,3.85,-0.07,-1.79,"2,137,640",6.56,2.57,...,...,...,-6.78,Monday,Monday,6/25/2018
216769,1138,LendingClub,LC,3.86,3.91,3.74,3.91,0.06,1.56,"1,942,752",6.56,2.57,...,...,...,-5.33,Tuesday,Tuesday,6/26/2018
216770,1146,LendingClub,LC,3.93,3.93,3.76,3.78,-0.13,-3.32,"2,213,573",6.56,2.57,...,...,...,-8.47,Wednesday,Wednesday,6/27/2018
216771,1145,LendingClub,LC,3.78,3.79,3.7,3.76,-0.02,-0.53,"2,585,135",6.56,2.57,...,...,...,-8.96,Thursday,Thursday,6/28/2018
