,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
219410,1117,Legacy Acquisition WT,LGC%,0.35,0.35,0.35,0.35,0,-0.49,"10,000",0.75,0.33,...,...,...,-17.07,Tuesday,Tuesday,4/17/2018
219411,1125,Legacy Acquisition WT,LGC%,0.34,0.34,0.34,0.34,-0.01,-2.38,"15,100",0.75,0.33,...,...,...,-19.05,Thursday,Thursday,4/19/2018
219412,1125,Legacy Acquisition WT,LGC%,0.34,0.35,0.34,0.35,-0.01,-2.78,400,0.75,0.33,...,...,...,-16.67,Friday,Friday,4/27/2018
219413,1131,Legacy Acquisition WT,LGC%,0.34,0.34,0.34,0.34,-0.01,-2.86,"1,100",0.75,0.33,...,...,...,-19.05,Tuesday,Tuesday,5/1/2018
219414,1126,Legacy Acquisition WT,LGC%,0.35,0.35,0.35,0.35,0.01,2.94,100,0.75,0.33,...,...,...,-16.67,Thursday,Thursday,5/3/2018
219415,1127,Legacy Acquisition WT,LGC%,0.39,0.39,0.35,0.35,...,...,"1,139,149",0.75,0.33,...,...,...,-16.67,Friday,Friday,5/4/2018
219416,1131,Legacy Acquisition WT,LGC%,0.39,0.39,0.39,0.39,0.04,10.03,100,0.75,0.33,...,...,...,-8.31,Monday,Monday,5/7/2018
219417,1129,Legacy Acquisition WT,LGC%,0.4,0.4,0.38,0.38,-0.01,-1.32,700,0.75,0.33,...,...,...,-9.52,Monday,Monday,5/14/2018
219418,1132,Legacy Acquisition WT,LGC%,0.4,0.4,0.38,0.4,0.02,5.26,"273,000",0.75,0.33,...,...,...,-4.76,Wednesday,Wednesday,5/16/2018
219419,1130,Legacy Acquisition WT,LGC%,0.43,0.43,0.39,0.4,...,...,"2,800",0.75,0.33,...,...,...,-4.76,Thursday,Thursday,5/17/2018
219420,1129,Legacy Acquisition WT,LGC%,0.41,0.41,0.4,0.4,...,...,"1,200",0.75,0.33,...,...,...,-4.76,Friday,Friday,5/18/2018
219421,1131,Legacy Acquisition WT,LGC%,0.41,0.41,0.41,0.41,0.01,2,"24,100",0.75,0.33,...,...,...,-2.86,Monday,Monday,5/21/2018
219422,1127,Legacy Acquisition WT,LGC%,0.4,0.4,0.4,0.4,-0.01,-1.96,"106,300",0.75,0.33,...,...,...,-4.76,Tuesday,Tuesday,5/22/2018
219423,1134,Legacy Acquisition WT,LGC%,0.41,0.43,0.41,0.43,0.03,7,400,0.75,0.33,...,...,...,1.9,Wednesday,Wednesday,5/23/2018
219424,1134,Legacy Acquisition WT,LGC%,0.39,0.39,0.39,0.39,-0.04,-8.88,"31,932",0.75,0.33,...,...,...,-7.14,Thursday,Thursday,5/24/2018
219425,1137,Legacy Acquisition WT,LGC%,0.42,0.42,0.42,0.42,0.03,7.69,100,0.75,0.33,...,...,...,...,Friday,Friday,5/25/2018
219426,1138,Legacy Acquisition WT,LGC%,0.39,0.43,0.37,0.43,0.01,2.38,"392,768",0.75,0.33,...,...,...,2.38,Wednesday,Wednesday,5/30/2018
219427,1136,Legacy Acquisition WT,LGC%,0.42,0.44,0.42,0.44,0.01,1.86,400,0.75,0.33,...,...,...,4.29,Friday,Friday,6/1/2018
219428,1129,Legacy Acquisition WT,LGC%,0.4,0.4,0.37,0.4,-0.04,-8.68,"11,393",0.75,0.33,...,...,...,-4.76,Monday,Monday,6/4/2018
219429,1134,Legacy Acquisition WT,LGC%,0.4,0.4,0.4,0.4,...,...,600,0.75,0.33,...,...,...,-4.76,Monday,Monday,6/11/2018
219430,1130,Legacy Acquisition WT,LGC%,0.39,0.39,0.39,0.39,-0.01,-2,100,0.75,0.33,...,...,...,-6.67,Tuesday,Tuesday,6/12/2018
219431,1127,Legacy Acquisition WT,LGC%,0.38,0.38,0.36,0.38,-0.01,-2.58,600,0.75,0.33,...,...,...,-9.07,Wednesday,Wednesday,6/13/2018
219432,1136,Legacy Acquisition WT,LGC%,0.37,0.37,0.37,0.37,-0.01,-2.09,"9,196",0.75,0.33,...,...,...,-10.98,Wednesday,Wednesday,6/20/2018
219433,1133,Legacy Acquisition WT,LGC%,0.38,0.4,0.38,0.4,0.03,6.98,"528,139",0.75,0.33,...,...,...,-4.76,Tuesday,Tuesday,6/26/2018
219434,1141,Legacy Acquisition WT,LGC%,0.42,0.45,0.42,0.42,0.02,5,"17,900",0.75,0.33,...,...,...,...,Wednesday,Wednesday,6/27/2018
219435,1142,Legacy Acquisition WT,LGC%,0.43,0.43,0.43,0.43,0.01,2.38,"10,000",0.75,0.33,...,...,...,2.38,Friday,Friday,6/29/2018
219436,1138,Legacy Acquisition WT,LGC%,0.44,0.44,0.44,0.44,0.01,2.33,"20,000",0.75,0.33,...,...,...,4.76,Monday,Monday,7/2/2018
219437,1131,Legacy Acquisition WT,LGC%,0.44,0.44,0.44,0.44,...,...,"10,586",0.75,0.33,...,...,...,4.76,Tuesday,Tuesday,7/3/2018
219438,1140,Legacy Acquisition WT,LGC%,0.43,0.43,0.41,0.41,-0.03,-6.34,400,0.75,0.33,...,...,...,-1.88,Thursday,Thursday,7/5/2018
219439,1145,Legacy Acquisition WT,LGC%,0.43,0.43,0.43,0.43,0.02,4.59,550,0.75,0.33,...,...,...,2.62,Monday,Monday,7/9/2018
219440,1139,Legacy Acquisition WT,LGC%,0.43,0.43,0.43,0.43,0,-0.23,"18,100",0.75,0.33,...,...,...,2.38,Tuesday,Tuesday,7/10/2018
219441,1138,Legacy Acquisition WT,LGC%,0.43,0.43,0.43,0.43,...,...,"1,600",0.75,0.33,...,...,...,2.38,Thursday,Thursday,7/12/2018
219442,1133,Legacy Acquisition WT,LGC%,0.45,0.45,0.43,0.43,...,...,"32,514",0.75,0.33,...,...,...,2.38,Tuesday,Tuesday,7/17/2018
219443,1137,Legacy Acquisition WT,LGC%,0.45,0.45,0.45,0.45,0.02,4.65,"10,700",0.75,0.33,...,...,...,7.14,Wednesday,Wednesday,7/18/2018
219444,1134,Legacy Acquisition WT,LGC%,0.45,0.45,0.43,0.45,...,...,"72,030",0.75,0.33,...,...,...,7.14,Thursday,Thursday,7/19/2018
219445,1131,Legacy Acquisition WT,LGC%,0.46,0.47,0.46,0.47,0.02,4.44,"19,440",0.75,0.33,...,...,...,11.9,Friday,Friday,7/20/2018
219446,1138,Legacy Acquisition WT,LGC%,0.47,0.5,0.47,0.5,0.03,6.38,"10,500",0.75,0.33,...,...,...,19.05,Monday,Monday,7/23/2018
219447,1138,Legacy Acquisition WT,LGC%,0.54,0.56,0.5,0.52,0.02,4,"2,300",0.75,0.33,...,...,...,23.81,Tuesday,Tuesday,7/24/2018
219448,1141,Legacy Acquisition WT,LGC%,0.49,0.5,0.43,0.5,-0.02,-3.85,"4,603",0.75,0.33,...,...,...,19.05,Thursday,Thursday,7/26/2018
219449,1141,Legacy Acquisition WT,LGC%,0.53,0.53,0.53,0.53,0.03,5.07,"2,000",0.75,0.33,...,...,...,25.08,Tuesday,Tuesday,7/31/2018
