,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
231996,1219,Mednax,MD,55.65,55.75,55.02,55.63,0.19,0.34,"405,653",69.84,40.56,...,...,16.12,4.1,Thursday,Thursday,3/29/2018
231997,1214,Mednax,MD,52.89,53.84,52.88,53.24,-0.35,-0.65,"532,053",68.52,40.56,...,...,15.43,-0.37,Wednesday,Wednesday,4/11/2018
231998,1216,Mednax,MD,53.42,53.92,52.82,53.55,0.31,0.58,"1,096,791",68.29,40.56,...,...,15.52,0.21,Thursday,Thursday,4/12/2018
231999,1209,Mednax,MD,52.78,53.06,52.28,52.51,-0.09,-0.17,"555,301",67.97,40.56,...,...,15.22,-1.74,Tuesday,Tuesday,4/17/2018
232000,1212,Mednax,MD,52.58,53.15,52.32,52.78,0.27,0.51,"546,431",67.41,40.56,...,...,15.3,-1.24,Wednesday,Wednesday,4/18/2018
232001,1218,Mednax,MD,52.78,52.78,51.69,52,-0.78,-1.48,"502,709",63.04,40.56,...,...,15.07,-2.69,Thursday,Thursday,4/19/2018
232002,1211,Mednax,MD,51.89,52.04,50.95,51.03,-0.97,-1.87,"533,536",63.04,40.56,...,...,14.79,-4.51,Friday,Friday,4/20/2018
232003,1213,Mednax,MD,51.19,51.96,50.75,51.16,0.29,0.57,"469,570",63.04,40.56,...,...,14.83,-4.27,Tuesday,Tuesday,4/24/2018
232004,1216,Mednax,MD,50.99,53.17,50.64,52.69,1.53,2.99,"837,871",63.04,40.56,...,...,15.27,-1.4,Wednesday,Wednesday,4/25/2018
232005,1216,Mednax,MD,46.8,47.39,44.5,46.92,0.4,0.86,"1,326,324",63.04,40.56,...,...,13.6,-12.2,Friday,Friday,4/27/2018
232006,1211,Mednax,MD,47.01,47.39,45.77,45.91,-1.01,-2.15,"1,062,989",63.04,40.56,...,...,13.31,-14.09,Monday,Monday,4/30/2018
232007,1222,Mednax,MD,44.99,45.89,42.3,44.85,-1.06,-2.31,"1,989,908",63.04,40.56,...,...,13,-16.07,Tuesday,Tuesday,5/1/2018
232008,1216,Mednax,MD,46.01,46.6,45.72,46.18,-0.1,-0.22,"714,571",63.04,40.56,...,...,13.05,-13.59,Thursday,Thursday,5/3/2018
232009,1217,Mednax,MD,45.87,46.18,44.61,45.22,-0.96,-2.08,"895,646",63.04,40.56,...,...,12.77,-15.38,Friday,Friday,5/4/2018
232010,1222,Mednax,MD,45.33,46,45.11,45.63,0.41,0.91,"932,550",63.04,40.56,...,...,12.89,-14.61,Monday,Monday,5/7/2018
232011,1213,Mednax,MD,45.76,45.99,44.83,45.2,-0.43,-0.94,"758,751",63.04,40.56,...,...,12.77,-15.42,Tuesday,Tuesday,5/8/2018
232012,1224,Mednax,MD,45.26,45.96,44.89,45.91,0.71,1.57,"968,966",63.04,40.56,...,...,12.97,-14.09,Wednesday,Wednesday,5/9/2018
232013,1222,Mednax,MD,45.95,46.54,45.88,46.19,0.28,0.61,"355,718",63.04,40.56,...,...,13.05,-13.57,Thursday,Thursday,5/10/2018
232014,1219,Mednax,MD,45.59,46.23,45.29,46.09,-0.1,-0.22,"459,790",63.04,40.56,...,...,13.02,-13.75,Friday,Friday,5/11/2018
232015,1221,Mednax,MD,46.27,46.61,45.95,46.53,0.44,0.95,"677,789",63.04,40.56,...,...,13.14,-12.93,Monday,Monday,5/14/2018
232016,1220,Mednax,MD,46.53,46.9,46.38,46.85,0.32,0.69,"782,898",63.04,40.56,...,...,13.23,-12.33,Tuesday,Tuesday,5/15/2018
232017,1223,Mednax,MD,46.86,47.54,46.72,47.42,0.57,1.22,"1,287,685",63.04,40.56,...,...,13.4,-11.26,Wednesday,Wednesday,5/16/2018
232018,1221,Mednax,MD,47.54,47.69,47.22,47.55,0.13,0.27,"730,100",63.04,40.56,...,...,13.43,-11.02,Thursday,Thursday,5/17/2018
232019,1221,Mednax,MD,47.46,47.63,46.92,47.02,-0.53,-1.11,"495,841",63.04,40.56,...,...,13.28,-12.01,Friday,Friday,5/18/2018
232020,1222,Mednax,MD,46.88,47.13,46.51,46.64,-0.38,-0.81,"511,192",63.04,40.56,...,...,13.18,-12.72,Monday,Monday,5/21/2018
232021,1218,Mednax,MD,46.43,47.06,45.97,46.78,0.14,0.3,"283,495",63.04,40.56,...,...,13.21,-12.46,Tuesday,Tuesday,5/22/2018
232022,1225,Mednax,MD,46.78,46.91,46.44,46.87,0.09,0.19,"227,066",63.04,40.56,...,...,13.24,-12.29,Wednesday,Wednesday,5/23/2018
232023,1226,Mednax,MD,46.91,46.94,46.25,46.79,-0.08,-0.17,"842,147",63.04,40.56,...,...,13.22,-12.44,Thursday,Thursday,5/24/2018
232024,1228,Mednax,MD,46.97,47.33,46.66,46.77,-0.02,-0.04,"367,557",63.04,40.56,...,...,13.21,-12.48,Friday,Friday,5/25/2018
232025,1226,Mednax,MD,46.41,46.8,45.96,46.29,-0.48,-1.03,"549,265",63.04,40.56,...,...,13.08,-13.38,Tuesday,Tuesday,5/29/2018
232026,1228,Mednax,MD,46.47,46.55,45.81,46.24,-0.05,-0.11,"748,475",63.04,40.56,...,...,13.06,-13.47,Wednesday,Wednesday,5/30/2018
232027,1225,Mednax,MD,46,46.06,45.54,45.85,-0.39,-0.84,"438,920",63.04,40.56,...,...,12.95,-14.2,Thursday,Thursday,5/31/2018
232028,1227,Mednax,MD,46.09,46.09,44.48,45.25,-0.6,-1.31,"928,044",63.04,40.56,...,...,12.78,-15.33,Friday,Friday,6/1/2018
232029,1220,Mednax,MD,45.33,45.81,45.03,45.8,0.55,1.22,"729,671",63.04,40.56,...,...,12.94,-14.3,Monday,Monday,6/4/2018
232030,1219,Mednax,MD,45.97,46.54,45.92,46.34,0.54,1.18,"449,010",63.04,40.56,...,...,13.09,-13.29,Tuesday,Tuesday,6/5/2018
232031,1224,Mednax,MD,46.36,46.45,46.16,46.4,0.06,0.13,"301,446",63.04,40.56,...,...,13.11,-13.17,Wednesday,Wednesday,6/6/2018
232032,1223,Mednax,MD,46.57,46.79,46.08,46.24,-0.16,-0.34,"212,986",63.04,40.56,...,...,13.06,-13.47,Thursday,Thursday,6/7/2018
232033,1218,Mednax,MD,46.1,46.62,45.85,46.45,0.21,0.45,"379,328",63.04,40.56,...,...,13.12,-13.08,Friday,Friday,6/8/2018
232034,1226,Mednax,MD,46.51,47.11,46.45,46.92,0.47,1.01,"525,053",63.04,40.56,...,...,13.25,-12.2,Monday,Monday,6/11/2018
232035,1221,Mednax,MD,47.01,47.16,46.28,46.5,-0.42,-0.9,"368,365",63.04,40.56,...,...,13.14,-12.99,Tuesday,Tuesday,6/12/2018
232036,1219,Mednax,MD,46.87,47.25,46.37,46.58,0.08,0.17,"538,832",63.04,40.56,...,...,13.16,-12.84,Wednesday,Wednesday,6/13/2018
232037,1221,Mednax,MD,46.73,46.73,43.16,44.86,-1.72,-3.69,"1,660,953",63.04,40.56,...,...,12.67,-16.06,Thursday,Thursday,6/14/2018
232038,1219,Mednax,MD,44.81,45.59,44.15,44.35,-0.51,-1.14,"1,762,171",63.04,40.56,...,...,12.53,-17.01,Friday,Friday,6/15/2018
232039,1219,Mednax,MD,44.18,45.32,44.18,45.01,0.66,1.49,"863,359",63.04,40.56,...,...,12.71,-15.77,Monday,Monday,6/18/2018
232040,1221,Mednax,MD,44.87,45.62,44.87,45.32,0.31,0.69,"1,297,335",63.04,40.56,...,...,12.8,-15.19,Tuesday,Tuesday,6/19/2018
232041,1225,Mednax,MD,45.49,46.17,45.14,45.81,0.49,1.08,"1,321,815",63.04,40.56,...,...,12.94,-14.28,Wednesday,Wednesday,6/20/2018
232042,1219,Mednax,MD,45.93,46.94,45,45.11,-0.7,-1.53,"850,784",63.04,40.56,...,...,12.74,-15.59,Thursday,Thursday,6/21/2018
232043,1221,Mednax,MD,45.32,45.63,44.66,44.97,-0.14,-0.31,"1,462,211",63.04,40.56,...,...,12.7,-15.85,Friday,Friday,6/22/2018
232044,1228,Mednax,MD,44.97,45.13,43.62,44.23,-0.74,-1.65,"1,359,388",63.04,40.56,...,...,12.49,-17.23,Monday,Monday,6/25/2018
232045,1223,Mednax,MD,44.05,44.44,43.52,44.24,0.01,0.02,"824,494",63.04,40.56,...,...,12.5,-17.22,Tuesday,Tuesday,6/26/2018
232046,1231,Mednax,MD,43.9,43.9,42.91,42.99,-1.25,-2.83,"811,363",63.04,40.56,...,...,12.14,-19.55,Wednesday,Wednesday,6/27/2018
232047,1229,Mednax,MD,42.78,43.6,42.12,43.37,0.38,0.88,"674,863",63.04,40.56,...,...,12.25,-18.84,Thursday,Thursday,6/28/2018
232048,1232,Mednax,MD,43.38,43.98,43.22,43.28,-0.09,-0.21,"536,435",63.04,40.56,...,...,12.23,-19.01,Friday,Friday,6/29/2018
232049,1228,Mednax,MD,43.22,43.63,42.78,43.12,-0.16,-0.37,"526,978",63.04,40.56,...,...,12.18,-19.31,Monday,Monday,7/2/2018
232050,1220,Mednax,MD,43.2,43.64,43.06,43.08,-0.04,-0.09,"364,180",63.04,40.56,...,...,12.17,-19.39,Tuesday,Tuesday,7/3/2018
232051,1230,Mednax,MD,43.33,43.65,43.03,43.35,0.27,0.63,"532,771",63.04,40.56,...,...,12.25,-18.88,Thursday,Thursday,7/5/2018
232052,1228,Mednax,MD,43.5,43.71,43.1,43.44,0.09,0.21,"563,703",63.04,40.56,...,...,12.27,-18.71,Friday,Friday,7/6/2018
232053,1235,Mednax,MD,43.66,44.17,43.44,44.01,0.57,1.31,"535,579",63.04,40.56,...,...,12.43,-17.65,Monday,Monday,7/9/2018
232054,1228,Mednax,MD,44.12,44.46,43.96,44.11,0.1,0.23,"479,731",63.04,40.56,...,...,12.46,-17.46,Tuesday,Tuesday,7/10/2018
