,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
233956,1232,MFA Financial,MFA,7.46,7.55,7.46,7.53,0.1,1.35,"2,315,084",8.9,6.72,0.8,10.62,9.53,-4.92,Thursday,Thursday,3/29/2018
233957,1227,MFA Financial,MFA,7.5,7.53,7.45,7.47,-0.02,-0.27,"1,296,049",8.9,6.72,0.8,10.71,9.46,-5.68,Wednesday,Wednesday,4/11/2018
233958,1229,MFA Financial,MFA,7.48,7.5,7.43,7.44,-0.03,-0.4,"1,177,760",8.9,6.72,0.8,10.75,9.42,-6.06,Thursday,Thursday,4/12/2018
233959,1222,MFA Financial,MFA,7.47,7.52,7.45,7.52,0.07,0.94,"1,038,518",8.9,6.72,0.8,10.64,9.52,-5.05,Tuesday,Tuesday,4/17/2018
233960,1225,MFA Financial,MFA,7.51,7.56,7.46,7.47,-0.05,-0.66,"1,150,974",8.9,6.72,0.8,10.71,9.46,-5.68,Wednesday,Wednesday,4/18/2018
233961,1231,MFA Financial,MFA,7.47,7.54,7.44,7.47,...,...,"1,664,982",8.9,6.72,0.8,10.71,9.46,-5.68,Thursday,Thursday,4/19/2018
233962,1224,MFA Financial,MFA,7.5,7.52,7.46,7.47,...,...,"1,202,770",8.9,6.72,0.8,10.71,9.46,-5.68,Friday,Friday,4/20/2018
233963,1226,MFA Financial,MFA,7.5,7.56,7.48,7.51,0.02,0.27,"900,347",8.9,6.72,0.8,10.65,9.51,-5.18,Tuesday,Tuesday,4/24/2018
233964,1229,MFA Financial,MFA,7.48,7.53,7.46,7.49,-0.02,-0.27,"1,110,065",8.9,6.72,0.8,10.68,9.48,-5.43,Wednesday,Wednesday,4/25/2018
233965,1229,MFA Financial,MFA,7.58,7.59,7.55,7.57,0.01,0.13,"1,294,779",8.9,6.72,0.8,10.57,9.58,-4.42,Friday,Friday,4/27/2018
233966,1224,MFA Financial,MFA,7.59,7.61,7.52,7.52,-0.05,-0.66,"1,595,740",8.9,6.72,0.8,10.64,9.52,-5.05,Monday,Monday,4/30/2018
233967,1235,MFA Financial,MFA,7.52,7.52,7.46,7.51,-0.01,-0.13,"1,277,142",8.9,6.72,0.8,10.65,9.51,-5.18,Tuesday,Tuesday,5/1/2018
233968,1229,MFA Financial,MFA,7.46,7.54,7.4,7.51,0.06,0.81,"2,055,482",8.9,6.72,0.8,10.65,9.51,-5.18,Thursday,Thursday,5/3/2018
233969,1230,MFA Financial,MFA,7.51,7.67,7.5,7.64,0.13,1.73,"1,797,222",8.9,6.72,0.8,10.47,9.67,-3.54,Friday,Friday,5/4/2018
233970,1235,MFA Financial,MFA,7.64,7.72,7.6,7.66,0.02,0.26,"2,540,471",8.9,6.72,0.8,10.44,9.7,-3.28,Monday,Monday,5/7/2018
233971,1226,MFA Financial,MFA,7.61,7.74,7.5,7.55,-0.11,-1.44,"2,321,354",8.9,6.72,0.8,10.6,9.56,-4.67,Tuesday,Tuesday,5/8/2018
233972,1237,MFA Financial,MFA,7.53,7.63,7.46,7.59,0.04,0.53,"3,496,602",8.9,6.72,0.8,10.54,9.61,-4.17,Wednesday,Wednesday,5/9/2018
233973,1235,MFA Financial,MFA,7.64,7.7,7.6,7.69,0.1,1.32,"2,050,594",8.9,6.72,0.8,10.4,9.73,-2.9,Thursday,Thursday,5/10/2018
233974,1232,MFA Financial,MFA,7.7,7.7,7.63,7.65,-0.04,-0.52,"1,423,024",8.9,6.72,0.8,10.46,9.68,-3.41,Friday,Friday,5/11/2018
233975,1234,MFA Financial,MFA,7.67,7.68,7.64,7.66,0.01,0.13,"1,122,210",8.9,6.72,0.8,10.44,9.7,-3.28,Monday,Monday,5/14/2018
233976,1233,MFA Financial,MFA,7.63,7.71,7.63,7.68,0.02,0.26,"1,234,201",8.9,6.72,0.8,10.42,9.72,-3.03,Tuesday,Tuesday,5/15/2018
233977,1236,MFA Financial,MFA,7.68,7.69,7.64,7.65,-0.03,-0.39,"1,199,514",8.9,6.72,0.8,10.46,9.68,-3.41,Wednesday,Wednesday,5/16/2018
233978,1234,MFA Financial,MFA,7.65,7.68,7.63,7.64,-0.01,-0.13,"990,952",8.9,6.72,0.8,10.47,9.67,-3.54,Thursday,Thursday,5/17/2018
233979,1234,MFA Financial,MFA,7.66,7.71,7.63,7.7,0.06,0.79,"980,224",8.9,6.72,0.8,10.39,9.75,-2.78,Friday,Friday,5/18/2018
233980,1235,MFA Financial,MFA,7.71,7.78,7.68,7.76,0.06,0.78,"1,225,505",8.9,6.72,0.8,10.31,9.82,-2.02,Monday,Monday,5/21/2018
233981,1231,MFA Financial,MFA,7.76,7.8,7.75,7.77,0.01,0.13,"930,920",8.9,6.72,0.8,10.3,9.84,-1.89,Tuesday,Tuesday,5/22/2018
233982,1238,MFA Financial,MFA,7.77,7.8,7.74,7.79,0.02,0.26,"895,481",8.9,6.72,0.8,10.27,9.86,-1.64,Wednesday,Wednesday,5/23/2018
233983,1239,MFA Financial,MFA,7.75,7.76,7.67,7.7,-0.09,-1.16,"1,233,735",8.9,6.72,0.8,10.39,9.75,-2.78,Thursday,Thursday,5/24/2018
233984,1241,MFA Financial,MFA,7.7,7.76,7.67,7.73,0.03,0.39,"1,305,434",8.9,6.72,0.8,10.35,9.78,-2.4,Friday,Friday,5/25/2018
233985,1239,MFA Financial,MFA,7.72,7.8,7.7,7.77,0.04,0.52,"1,663,563",8.9,6.72,0.8,10.3,9.84,-1.89,Tuesday,Tuesday,5/29/2018
233986,1241,MFA Financial,MFA,7.79,7.84,7.77,7.82,0.05,0.64,"2,767,321",8.9,6.72,0.8,10.23,9.9,-1.26,Wednesday,Wednesday,5/30/2018
233987,1238,MFA Financial,MFA,7.84,7.85,7.72,7.78,-0.04,-0.51,"2,309,825",8.9,6.72,0.8,10.28,9.85,-1.77,Thursday,Thursday,5/31/2018
233988,1240,MFA Financial,MFA,7.78,7.79,7.72,7.78,...,...,"1,165,080",8.9,6.72,0.8,10.28,9.85,-1.77,Friday,Friday,6/1/2018
233989,1233,MFA Financial,MFA,7.81,7.84,7.76,7.82,0.04,0.51,"1,751,140",8.9,6.72,0.8,10.23,9.9,-1.26,Monday,Monday,6/4/2018
