,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
238476,1193,Marsh&McLennan,MMC,82.44,83.27,82.18,82.59,0.7,0.85,"1,293,068",86.54,71.79,1.5,1.82,28.78,1.47,Thursday,Thursday,3/29/2018
238477,1187,Marsh&McLennan,MMC,80.89,81.49,80.76,81.19,-0.52,-0.64,"1,069,373",86.54,71.79,1.5,1.85,28.29,-0.25,Wednesday,Wednesday,4/11/2018
238478,1189,Marsh&McLennan,MMC,81.62,82.52,81.43,81.99,0.8,0.99,"999,586",86.54,71.79,1.5,1.83,28.57,0.74,Thursday,Thursday,4/12/2018
238479,1182,Marsh&McLennan,MMC,83.85,84.52,83.75,84.03,0.42,0.5,"1,607,111",86.54,71.79,1.5,1.79,29.28,3.24,Tuesday,Tuesday,4/17/2018
238480,1185,Marsh&McLennan,MMC,84.31,84.41,83.75,83.91,-0.12,-0.14,"1,307,118",86.54,71.79,1.5,1.79,29.24,3.1,Wednesday,Wednesday,4/18/2018
238481,1191,Marsh&McLennan,MMC,83.93,84.25,83.17,83.35,-0.56,-0.67,"1,638,483",86.54,71.79,1.5,1.8,29.04,2.41,Thursday,Thursday,4/19/2018
238482,1184,Marsh&McLennan,MMC,83.58,83.75,82.5,82.9,-0.45,-0.54,"2,560,515",86.54,71.79,1.5,1.81,28.89,1.86,Friday,Friday,4/20/2018
238483,1186,Marsh&McLennan,MMC,83.53,83.82,82.09,82.57,-0.91,-1.09,"1,322,025",86.54,72.86,1.5,1.82,28.77,1.45,Tuesday,Tuesday,4/24/2018
238484,1189,Marsh&McLennan,MMC,82.5,82.88,81.77,82.61,0.04,0.05,"1,141,172",86.54,72.86,1.5,1.82,28.78,1.5,Wednesday,Wednesday,4/25/2018
238485,1189,Marsh&McLennan,MMC,82.31,82.75,81.74,82.43,-0.23,-0.28,"1,478,820",86.54,72.96,1.5,1.82,26.42,1.28,Friday,Friday,4/27/2018
238486,1184,Marsh&McLennan,MMC,82.75,82.91,81.5,81.5,-0.93,-1.13,"1,760,512",86.54,72.96,1.5,1.84,26.12,0.14,Monday,Monday,4/30/2018
238487,1195,Marsh&McLennan,MMC,81.48,81.87,80.71,81.49,-0.01,-0.01,"1,218,489",86.54,72.96,1.5,1.84,26.12,0.12,Tuesday,Tuesday,5/1/2018
238488,1190,Marsh&McLennan,MMC,79.64,80.69,79.11,80.63,0.81,1.01,"2,470,094",86.54,72.96,1.5,1.86,25.84,-0.93,Thursday,Thursday,5/3/2018
238489,1191,Marsh&McLennan,MMC,80.23,81.62,79.92,81.15,0.52,0.64,"1,246,813",86.54,72.96,1.5,1.85,26.01,-0.29,Friday,Friday,5/4/2018
238490,1195,Marsh&McLennan,MMC,81.16,81.59,80.97,81.26,0.11,0.14,"903,242",86.54,72.96,1.5,1.85,26.04,-0.16,Monday,Monday,5/7/2018
238491,1186,Marsh&McLennan,MMC,80.95,81.44,80.59,81.16,-0.1,-0.12,"1,287,847",86.54,73.04,1.5,1.85,26.01,-0.28,Tuesday,Tuesday,5/8/2018
238492,1197,Marsh&McLennan,MMC,81.75,81.75,80.74,81.25,0.09,0.11,"1,188,640",86.54,73.04,1.5,1.85,26.04,-0.17,Wednesday,Wednesday,5/9/2018
238493,1195,Marsh&McLennan,MMC,81.76,81.89,81.2,81.77,0.52,0.64,"1,815,044",86.54,73.04,1.5,1.83,26.21,0.47,Thursday,Thursday,5/10/2018
238494,1192,Marsh&McLennan,MMC,81.66,82.19,81.47,81.57,-0.2,-0.24,"1,373,761",86.54,73.04,1.5,1.84,26.14,0.22,Friday,Friday,5/11/2018
238495,1194,Marsh&McLennan,MMC,81.72,82.01,80.98,81.12,-0.45,-0.55,"935,839",86.54,73.04,1.5,1.85,26,-0.33,Monday,Monday,5/14/2018
238496,1193,Marsh&McLennan,MMC,80.96,81.36,80.58,80.73,-0.39,-0.48,"1,295,718",86.54,73.24,1.5,1.86,25.88,-0.81,Tuesday,Tuesday,5/15/2018
238497,1196,Marsh&McLennan,MMC,80.76,81.02,80.47,80.62,-0.11,-0.14,"1,067,857",86.54,73.24,1.5,1.86,25.84,-0.95,Wednesday,Wednesday,5/16/2018
238498,1194,Marsh&McLennan,MMC,80.5,81.15,80.08,81,0.38,0.47,"1,291,485",86.54,73.65,1.5,1.85,25.96,-0.48,Thursday,Thursday,5/17/2018
238499,1194,Marsh&McLennan,MMC,81.05,81.51,80.87,81.17,0.17,0.21,"1,163,375",86.54,74.29,1.66,2.05,26.02,-0.27,Friday,Friday,5/18/2018
238500,1195,Marsh&McLennan,MMC,81.27,81.87,81.27,81.42,0.25,0.31,"1,028,241",86.54,74.52,1.66,2.04,26.1,0.04,Monday,Monday,5/21/2018
238501,1191,Marsh&McLennan,MMC,81.42,82.16,81.36,81.66,0.24,0.29,"1,404,081",86.54,74.52,1.66,2.03,26.17,0.33,Tuesday,Tuesday,5/22/2018
238502,1198,Marsh&McLennan,MMC,81.48,81.8,81.18,81.64,-0.02,-0.02,"1,177,346",86.54,74.72,1.66,2.03,26.17,0.31,Wednesday,Wednesday,5/23/2018
238503,1199,Marsh&McLennan,MMC,81.49,81.66,81.06,81.44,-0.2,-0.24,"1,100,748",86.54,75.1,1.66,2.04,26.1,0.06,Thursday,Thursday,5/24/2018
238504,1201,Marsh&McLennan,MMC,81.3,81.79,81,81.3,-0.14,-0.17,"960,992",86.54,76.02,1.66,2.04,26.06,-0.11,Friday,Friday,5/25/2018
238505,1199,Marsh&McLennan,MMC,80.56,80.63,78.6,79.09,-2.21,-2.72,"1,658,202",86.54,76.19,1.66,2.1,25.35,-2.83,Tuesday,Tuesday,5/29/2018
238506,1201,Marsh&McLennan,MMC,79.59,80.89,79.31,80.77,1.68,2.12,"1,708,493",86.54,76.58,1.66,2.06,25.89,-0.76,Wednesday,Wednesday,5/30/2018
238507,1198,Marsh&McLennan,MMC,80.61,80.81,80.09,80.37,-0.4,-0.5,"2,952,879",86.54,76.58,1.66,2.07,25.76,-1.25,Thursday,Thursday,5/31/2018
238508,1200,Marsh&McLennan,MMC,81.09,81.3,80.29,80.43,0.06,0.07,"1,255,409",86.54,76.58,1.66,2.06,25.78,-1.18,Friday,Friday,6/1/2018
238509,1193,Marsh&McLennan,MMC,80.66,81.16,80.66,80.97,0.54,0.67,"897,002",86.54,76.58,1.66,2.05,25.95,-0.52,Monday,Monday,6/4/2018
238510,1192,Marsh&McLennan,MMC,80.94,81.16,80.34,81.11,0.14,0.17,"1,341,884",86.54,76.58,1.66,2.05,26,-0.34,Tuesday,Tuesday,6/5/2018
238511,1197,Marsh&McLennan,MMC,81.3,81.73,81,81.57,0.46,0.57,"1,472,078",86.54,76.67,1.66,2.04,26.14,0.22,Wednesday,Wednesday,6/6/2018
238512,1196,Marsh&McLennan,MMC,81.85,82.25,81.61,82.19,0.62,0.76,"1,263,038",86.54,76.68,1.66,2.02,26.34,0.98,Thursday,Thursday,6/7/2018
238513,1191,Marsh&McLennan,MMC,82.12,82.91,81.88,82.9,0.71,0.86,"937,274",86.54,76.68,1.66,2,26.57,1.86,Friday,Friday,6/8/2018
238514,1199,Marsh&McLennan,MMC,82.96,82.97,82.32,82.41,-0.49,-0.59,"911,232",86.54,76.68,1.66,2.01,26.41,1.25,Monday,Monday,6/11/2018
238515,1195,Marsh&McLennan,MMC,82.29,82.6,81.67,81.7,-0.71,-0.86,"1,282,436",86.54,76.68,1.66,2.03,26.19,0.38,Tuesday,Tuesday,6/12/2018
238516,1192,Marsh&McLennan,MMC,82.08,82.55,82.01,82.18,0.48,0.59,"1,563,212",86.54,76.68,1.66,2.02,26.34,0.97,Wednesday,Wednesday,6/13/2018
238517,1194,Marsh&McLennan,MMC,82.37,82.75,81.74,81.94,-0.24,-0.29,"1,662,537",86.54,76.68,1.66,2.03,26.26,0.68,Thursday,Thursday,6/14/2018
238518,1192,Marsh&McLennan,MMC,82.04,82.48,81.3,82.34,0.4,0.49,"3,725,830",86.54,76.68,1.66,2.02,26.39,1.17,Friday,Friday,6/15/2018
238519,1192,Marsh&McLennan,MMC,81.88,82.73,81.36,82.62,0.28,0.34,"1,531,204",86.54,76.68,1.66,2.01,26.48,1.51,Monday,Monday,6/18/2018
238520,1194,Marsh&McLennan,MMC,82.11,82.64,81.97,82.3,-0.32,-0.39,"1,478,959",86.54,76.68,1.66,2.02,26.38,1.12,Tuesday,Tuesday,6/19/2018
238521,1198,Marsh&McLennan,MMC,82.26,82.55,80.98,81.04,-1.26,-1.53,"1,307,825",86.54,76.68,1.66,2.05,25.97,-0.43,Wednesday,Wednesday,6/20/2018
238522,1192,Marsh&McLennan,MMC,80.68,80.97,80.22,80.76,-0.28,-0.35,"1,673,477",86.54,76.68,1.66,2.06,25.88,-0.77,Thursday,Thursday,6/21/2018
238523,1194,Marsh&McLennan,MMC,80.99,81.88,80.99,81.6,0.84,1.04,"2,341,521",86.54,76.68,1.66,2.03,26.15,0.26,Friday,Friday,6/22/2018
238524,1201,Marsh&McLennan,MMC,81.49,82.13,81.1,81.9,0.3,0.37,"1,899,309",86.54,76.68,1.66,2.03,26.25,0.63,Monday,Monday,6/25/2018
238525,1196,Marsh&McLennan,MMC,81.76,82.04,81.19,81.3,-0.6,-0.73,"1,451,477",86.54,76.68,1.66,2.04,26.06,-0.11,Tuesday,Tuesday,6/26/2018
238526,1204,Marsh&McLennan,MMC,81.1,81.56,80.22,80.25,-1.05,-1.29,"1,690,538",86.54,76.68,1.66,2.07,25.72,-1.4,Wednesday,Wednesday,6/27/2018
238527,1202,Marsh&McLennan,MMC,80.37,81.31,80.33,81.03,0.78,0.97,"1,365,162",86.54,76.68,1.66,2.05,25.97,-0.44,Thursday,Thursday,6/28/2018
238528,1205,Marsh&McLennan,MMC,81.28,82.41,81.2,81.97,0.94,1.16,"2,257,813",86.54,76.68,1.66,2.03,26.27,0.71,Friday,Friday,6/29/2018
238529,1201,Marsh&McLennan,MMC,81.61,82.3,81.38,82.24,0.27,0.33,"2,006,865",86.54,76.68,1.66,2.02,26.36,1.04,Monday,Monday,7/2/2018
238530,1193,Marsh&McLennan,MMC,82.46,83.14,82.27,82.55,0.31,0.38,"1,149,006",86.54,76.68,1.66,2.01,26.46,1.43,Tuesday,Tuesday,7/3/2018
238531,1203,Marsh&McLennan,MMC,82.84,83.38,82.44,83.38,0.83,1.01,"1,671,860",86.54,76.68,1.66,1.99,26.72,2.45,Thursday,Thursday,7/5/2018
238532,1201,Marsh&McLennan,MMC,83.44,84.81,83.14,84.23,0.85,1.02,"1,844,653",86.54,76.68,1.66,1.97,27,3.49,Friday,Friday,7/6/2018
238533,1208,Marsh&McLennan,MMC,84.46,85.97,84.42,85.89,1.66,1.97,"2,042,121",86.54,76.68,1.66,1.93,27.53,5.53,Monday,Monday,7/9/2018
238534,1201,Marsh&McLennan,MMC,85.71,85.83,85.09,85.18,-0.29,-0.35,"2,306,185",86.54,76.68,1.66,1.95,27.3,4.66,Tuesday,Tuesday,7/10/2018
238535,1198,Marsh&McLennan,MMC,84.9,85.33,84.52,84.87,-0.31,-0.36,"1,906,323",86.54,76.68,1.66,1.96,27.2,4.28,Wednesday,Wednesday,7/11/2018
238536,1203,Marsh&McLennan,MMC,85.21,85.94,85.03,85.89,1.02,1.2,"1,327,078",86.54,76.68,1.66,1.93,27.53,5.53,Thursday,Thursday,7/12/2018
238537,1202,Marsh&McLennan,MMC,85.74,86.62,85.55,86.56,0.67,0.78,"1,565,113",86.62,76.68,1.66,1.92,27.74,6.35,Friday,Friday,7/13/2018
238538,1195,Marsh&McLennan,MMC,86.68,86.98,86.29,86.76,0.2,0.23,"1,905,878",86.98,76.68,1.66,1.91,27.81,6.6,Monday,Monday,7/16/2018
238539,1197,Marsh&McLennan,MMC,86.6,87.18,86.43,86.93,0.17,0.2,"1,281,876",87.18,76.68,1.66,1.91,27.86,6.81,Tuesday,Tuesday,7/17/2018
238540,1200,Marsh&McLennan,MMC,86.93,87.75,86.65,87.73,0.8,0.92,"1,528,521",87.75,76.68,1.66,1.89,28.12,7.79,Wednesday,Wednesday,7/18/2018
238541,1196,Marsh&McLennan,MMC,87.38,87.89,87.06,87.13,-0.6,-0.68,"1,998,980",87.89,76.68,1.66,1.91,27.93,7.05,Thursday,Thursday,7/19/2018
