,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
262035,1358,NorthStar Realty Europe,NRE,13.15,13.21,13.02,13.02,-0.07,-0.53,"366,643",14.7,10.08,0.6,4.61,...,-3.05,Thursday,Thursday,3/29/2018
262036,1350,NorthStar Realty Europe,NRE,13.25,13.5,13.25,13.42,0.08,0.6,"444,427",14.7,10.08,0.6,4.47,...,-0.07,Wednesday,Wednesday,4/11/2018
262037,1354,NorthStar Realty Europe,NRE,13.42,13.5,13.35,13.36,-0.06,-0.45,"315,247",14.7,10.08,0.6,4.49,...,-0.52,Thursday,Thursday,4/12/2018
262038,1345,NorthStar Realty Europe,NRE,13.61,13.79,13.58,13.69,0.1,0.74,"426,978",14.7,10.08,0.6,4.38,...,1.94,Tuesday,Tuesday,4/17/2018
262039,1349,NorthStar Realty Europe,NRE,13.75,13.8,13.71,13.75,0.06,0.44,"522,575",14.7,10.08,0.6,4.36,...,2.38,Wednesday,Wednesday,4/18/2018
262040,1354,NorthStar Realty Europe,NRE,13.73,13.87,13.64,13.87,0.12,0.87,"968,404",14.7,10.08,0.6,4.33,...,3.28,Thursday,Thursday,4/19/2018
262041,1345,NorthStar Realty Europe,NRE,13.87,14.22,13.87,14.07,0.2,1.44,"540,364",14.7,10.08,0.6,4.26,...,4.77,Friday,Friday,4/20/2018
262042,1351,NorthStar Realty Europe,NRE,14.22,14.27,14.15,14.19,...,...,"362,977",14.7,10.08,0.6,4.23,...,5.66,Tuesday,Tuesday,4/24/2018
262043,1355,NorthStar Realty Europe,NRE,14.19,14.39,14.19,14.29,0.1,0.7,"500,684",14.7,10.08,0.6,4.2,...,6.4,Wednesday,Wednesday,4/25/2018
262044,1351,NorthStar Realty Europe,NRE,14.42,14.58,14.4,14.43,0.01,0.07,"485,846",14.7,10.08,0.6,4.16,...,7.45,Friday,Friday,4/27/2018
262045,1350,NorthStar Realty Europe,NRE,14.49,14.7,14.49,14.5,0.07,0.49,"358,102",14.7,10.08,0.6,4.14,...,7.97,Monday,Monday,4/30/2018
262046,1362,NorthStar Realty Europe,NRE,14.49,14.56,14.38,14.42,-0.08,-0.55,"284,536",14.7,10.08,0.6,4.16,...,7.37,Tuesday,Tuesday,5/1/2018
262047,1351,NorthStar Realty Europe,NRE,14.48,14.57,14.47,14.51,-0.05,-0.34,"221,381",14.7,10.08,0.6,4.14,...,8.04,Thursday,Thursday,5/3/2018
262048,1353,NorthStar Realty Europe,NRE,14.51,14.63,14.51,14.54,0.03,0.21,"235,413",14.7,10.08,0.6,4.13,...,8.27,Friday,Friday,5/4/2018
262049,1358,NorthStar Realty Europe,NRE,14.57,14.66,14.57,14.65,0.11,0.76,"346,399",14.7,10.08,0.6,4.1,...,9.08,Monday,Monday,5/7/2018
262050,1349,NorthStar Realty Europe,NRE,14.68,14.68,14.48,14.52,-0.13,-0.89,"485,938",14.7,10.08,0.6,4.13,...,8.12,Tuesday,Tuesday,5/8/2018
262051,1361,NorthStar Realty Europe,NRE,14.48,14.81,14.47,14.54,0.02,0.14,"1,165,427",14.81,10.08,0.6,4.13,...,8.27,Wednesday,Wednesday,5/9/2018
262052,1357,NorthStar Realty Europe,NRE,14.47,14.55,14.24,14.31,-0.23,-1.58,"458,293",14.81,10.08,0.6,4.19,...,6.55,Thursday,Thursday,5/10/2018
262053,1355,NorthStar Realty Europe,NRE,14.32,14.76,14.32,14.7,0.39,2.73,"505,107",14.81,10.08,0.6,4.08,...,9.46,Friday,Friday,5/11/2018
262054,1358,NorthStar Realty Europe,NRE,14.65,14.69,14.13,14.16,-0.54,-3.67,"563,127",14.81,10.08,0.6,4.24,...,5.44,Monday,Monday,5/14/2018
262055,1358,NorthStar Realty Europe,NRE,14.11,14.2,14,14.06,-0.1,-0.71,"701,272",14.81,10.08,0.6,4.27,...,4.69,Tuesday,Tuesday,5/15/2018
262056,1360,NorthStar Realty Europe,NRE,14.06,14.06,13.97,13.99,-0.07,-0.5,"409,452",14.81,10.08,0.6,4.29,...,4.17,Wednesday,Wednesday,5/16/2018
262057,1358,NorthStar Realty Europe,NRE,14.04,14.04,13.82,13.87,-0.12,-0.86,"361,852",14.81,10.08,0.6,4.33,...,3.28,Thursday,Thursday,5/17/2018
262058,1359,NorthStar Realty Europe,NRE,13.77,13.84,13.61,13.8,0.08,0.58,"335,338",14.81,10.08,0.6,4.35,...,2.76,Friday,Friday,5/18/2018
262059,1360,NorthStar Realty Europe,NRE,13.84,13.84,13.63,13.77,-0.03,-0.22,"550,085",14.81,10.08,0.6,4.36,...,2.53,Monday,Monday,5/21/2018
262060,1355,NorthStar Realty Europe,NRE,13.74,13.9,13.65,13.84,0.07,0.51,"383,880",14.81,10.08,0.6,4.34,...,3.05,Tuesday,Tuesday,5/22/2018
262061,1358,NorthStar Realty Europe,NRE,13.87,14.02,13.84,13.98,0.14,1.01,"251,216",14.81,10.08,0.6,4.29,...,4.1,Wednesday,Wednesday,5/23/2018
262062,1361,NorthStar Realty Europe,NRE,14.04,14.04,13.94,13.94,-0.04,-0.29,"224,861",14.81,10.08,0.6,4.3,...,3.8,Thursday,Thursday,5/24/2018
262063,1363,NorthStar Realty Europe,NRE,13.94,14.02,13.93,13.98,0.04,0.29,"444,642",14.81,10.08,0.6,4.29,...,4.1,Friday,Friday,5/25/2018
262064,1362,NorthStar Realty Europe,NRE,14,14.06,13.97,14.01,0.03,0.21,"327,457",14.81,10.08,0.6,4.28,...,4.32,Tuesday,Tuesday,5/29/2018
262065,1364,NorthStar Realty Europe,NRE,14,14.08,13.97,14.06,0.05,0.36,"283,219",14.81,10.08,0.6,4.27,...,4.69,Wednesday,Wednesday,5/30/2018
262066,1361,NorthStar Realty Europe,NRE,14.08,14.1,13.99,14.01,-0.05,-0.36,"571,210",14.81,10.08,0.6,4.28,...,4.32,Thursday,Thursday,5/31/2018
262067,1364,NorthStar Realty Europe,NRE,14.02,14.07,13.96,13.98,-0.03,-0.21,"465,907",14.81,10.08,0.6,4.29,...,4.1,Friday,Friday,6/1/2018
262068,1357,NorthStar Realty Europe,NRE,14.03,14.07,13.91,13.94,-0.04,-0.29,"423,257",14.81,10.08,0.6,4.3,...,3.8,Monday,Monday,6/4/2018
