,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
276031,1411,Orion Group Holdings,ORN,6.37,6.67,6.37,6.59,0.29,4.6,"113,527",8.61,5.17,...,...,659,-15.84,Thursday,Thursday,3/29/2018
276032,1401,Orion Group Holdings,ORN,6.79,6.83,6.65,6.78,-0.07,-1.02,"52,419",8.61,5.17,...,...,678,-13.41,Wednesday,Wednesday,4/11/2018
276033,1406,Orion Group Holdings,ORN,6.82,6.82,6.65,6.74,-0.04,-0.59,"32,424",8.61,5.17,...,...,674,-13.92,Thursday,Thursday,4/12/2018
276034,1394,Orion Group Holdings,ORN,6.8,6.95,6.63,6.9,0.17,2.53,"115,679",8.61,5.17,...,...,690,-11.88,Tuesday,Tuesday,4/17/2018
276035,1399,Orion Group Holdings,ORN,6.95,7.3,6.95,7.2,0.3,4.35,"76,753",8.61,5.17,...,...,720,-8.05,Wednesday,Wednesday,4/18/2018
276036,1405,Orion Group Holdings,ORN,7.15,7.23,6.93,6.98,-0.22,-3.06,"34,206",8.61,5.17,...,...,698,-10.86,Thursday,Thursday,4/19/2018
276037,1395,Orion Group Holdings,ORN,6.95,6.95,6.75,6.79,-0.19,-2.72,"43,997",8.61,5.17,...,...,679,-13.28,Friday,Friday,4/20/2018
276038,1402,Orion Group Holdings,ORN,6.8,6.89,6.69,6.85,0.09,1.33,"43,238",8.61,5.17,...,...,685,-12.52,Tuesday,Tuesday,4/24/2018
276039,1404,Orion Group Holdings,ORN,6.81,6.98,6.72,6.87,0.02,0.29,"27,074",8.61,5.17,...,...,687,-12.26,Wednesday,Wednesday,4/25/2018
276040,1401,Orion Group Holdings,ORN,6.81,6.84,6.2,6.22,-0.6,-8.8,"48,013",8.61,5.17,...,...,622,-20.56,Friday,Friday,4/27/2018
276041,1401,Orion Group Holdings,ORN,6.24,6.39,6.02,6.06,-0.16,-2.57,"54,629",8.61,5.17,...,...,606,-22.61,Monday,Monday,4/30/2018
276042,1411,Orion Group Holdings,ORN,6,6.12,5.88,6.07,0.01,0.17,"70,027",8.61,5.17,...,...,607,-22.48,Tuesday,Tuesday,5/1/2018
276043,1401,Orion Group Holdings,ORN,6.2,6.52,6.1,6.47,0.27,4.35,"88,055",8.61,5.17,...,...,647,-17.37,Thursday,Thursday,5/3/2018
276044,1402,Orion Group Holdings,ORN,6.42,6.9,6.34,6.81,0.34,5.26,"51,045",8.61,5.17,...,...,30.95,-13.03,Friday,Friday,5/4/2018
276045,1408,Orion Group Holdings,ORN,6.84,7.2,6.8,7.08,0.27,3.96,"46,493",8.61,5.17,...,...,32.18,-9.58,Monday,Monday,5/7/2018
276046,1400,Orion Group Holdings,ORN,6.97,7.52,6.97,7.37,0.29,4.1,"102,103",8.61,5.17,...,...,33.5,-5.87,Tuesday,Tuesday,5/8/2018
276047,1413,Orion Group Holdings,ORN,7.39,7.52,7.15,7.38,0.01,0.14,"149,058",8.61,5.17,...,...,33.55,-5.75,Wednesday,Wednesday,5/9/2018
276048,1408,Orion Group Holdings,ORN,7.41,7.55,7.29,7.34,-0.04,-0.54,"102,816",8.61,5.17,...,...,33.36,-6.26,Thursday,Thursday,5/10/2018
276049,1406,Orion Group Holdings,ORN,7.25,7.46,7.23,7.32,-0.02,-0.27,"65,955",8.5,5.17,...,...,33.27,-6.51,Friday,Friday,5/11/2018
276050,1409,Orion Group Holdings,ORN,7.41,7.41,7.25,7.26,-0.06,-0.82,"68,315",8.38,5.17,...,...,33,-7.28,Monday,Monday,5/14/2018
276051,1408,Orion Group Holdings,ORN,7.23,7.42,7.16,7.2,-0.06,-0.83,"72,482",8.38,5.17,...,...,32.73,-8.05,Tuesday,Tuesday,5/15/2018
276052,1410,Orion Group Holdings,ORN,7.23,7.45,7.2,7.3,0.1,1.39,"79,064",8.38,5.17,...,...,33.18,-6.77,Wednesday,Wednesday,5/16/2018
276053,1408,Orion Group Holdings,ORN,7.3,7.42,7.24,7.3,...,...,"56,345",8.38,5.17,...,...,33.18,-6.77,Thursday,Thursday,5/17/2018
276054,1409,Orion Group Holdings,ORN,7.37,7.46,7.35,7.43,0.13,1.78,"62,590",8.38,5.17,...,...,33.77,-5.11,Friday,Friday,5/18/2018
276055,1410,Orion Group Holdings,ORN,7.49,7.5,7.4,7.45,0.02,0.27,"78,992",8.38,5.17,...,...,33.86,-4.85,Monday,Monday,5/21/2018
276056,1407,Orion Group Holdings,ORN,7.46,7.52,7.3,7.38,-0.07,-0.94,"108,572",8.38,5.17,...,...,33.55,-5.75,Tuesday,Tuesday,5/22/2018
276057,1409,Orion Group Holdings,ORN,7.35,7.47,7.25,7.46,0.08,1.08,"55,957",8.38,5.17,...,...,33.91,-4.73,Wednesday,Wednesday,5/23/2018
276058,1412,Orion Group Holdings,ORN,7.45,7.49,7.35,7.46,...,...,"38,445",8.38,5.17,...,...,33.91,-4.73,Thursday,Thursday,5/24/2018
