,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
278801,1483,Platform Specialty Products,PAH,9.6,9.77,9.5,9.63,0.04,0.42,"2,908,948",14.82,9.11,...,...,...,-2.92,Thursday,Thursday,3/29/2018
278802,1473,Platform Specialty Products,PAH,9.44,9.54,9.37,9.43,-0.12,-1.26,"1,267,371",14.82,9.09,...,...,...,-4.94,Wednesday,Wednesday,4/11/2018
278803,1478,Platform Specialty Products,PAH,9.5,9.57,9.41,9.46,0.03,0.32,"1,347,508",14.82,9.09,...,...,...,-4.64,Thursday,Thursday,4/12/2018
278804,1466,Platform Specialty Products,PAH,10.04,10.14,9.94,10.05,0.05,0.5,"1,504,343",14.82,9.09,...,...,...,1.31,Tuesday,Tuesday,4/17/2018
278805,1471,Platform Specialty Products,PAH,10.09,10.32,10.08,10.3,0.25,2.49,"1,983,061",14.82,9.09,...,...,...,3.83,Wednesday,Wednesday,4/18/2018
278806,1477,Platform Specialty Products,PAH,10.25,10.37,10.14,10.24,-0.06,-0.58,"2,754,097",14.82,9.09,...,...,...,3.23,Thursday,Thursday,4/19/2018
278807,1468,Platform Specialty Products,PAH,10.24,10.27,10.09,10.2,-0.04,-0.39,"2,609,471",14.82,9.09,...,...,...,2.82,Friday,Friday,4/20/2018
278808,1475,Platform Specialty Products,PAH,10.25,10.41,10,10.17,-0.06,-0.59,"3,249,076",14.82,9.09,...,...,...,2.52,Tuesday,Tuesday,4/24/2018
278809,1477,Platform Specialty Products,PAH,10.18,10.35,10.09,10.34,0.17,1.67,"2,829,175",14.82,9.09,...,...,...,4.23,Wednesday,Wednesday,4/25/2018
278810,1474,Platform Specialty Products,PAH,10.25,10.38,10.21,10.27,-0.01,-0.1,"2,640,647",14.82,9.09,...,...,...,3.53,Friday,Friday,4/27/2018
278811,1474,Platform Specialty Products,PAH,10.27,10.44,10.04,10.07,-0.2,-1.95,"2,391,334",14.82,9.09,...,...,...,1.51,Monday,Monday,4/30/2018
278812,1484,Platform Specialty Products,PAH,10.05,10.13,9.9,10.13,0.06,0.6,"4,054,958",14.82,9.09,...,...,...,2.12,Tuesday,Tuesday,5/1/2018
278813,1475,Platform Specialty Products,PAH,10.05,10.77,10.05,10.39,0.09,0.87,"4,716,701",14.82,9.09,...,...,...,4.74,Thursday,Thursday,5/3/2018
278814,1476,Platform Specialty Products,PAH,10.39,10.54,10.29,10.4,0.01,0.1,"3,931,111",14.82,9.09,...,...,...,4.84,Friday,Friday,5/4/2018
278815,1481,Platform Specialty Products,PAH,10.38,10.72,10.38,10.54,0.14,1.35,"2,674,911",14.82,9.09,...,...,...,6.25,Monday,Monday,5/7/2018
278816,1473,Platform Specialty Products,PAH,10.61,10.73,10.43,10.5,-0.04,-0.38,"2,092,181",14.82,9.09,...,...,...,5.85,Tuesday,Tuesday,5/8/2018
278817,1486,Platform Specialty Products,PAH,10.55,10.63,10.49,10.57,0.07,0.67,"1,723,546",14.82,9.09,...,...,...,6.55,Wednesday,Wednesday,5/9/2018
278818,1481,Platform Specialty Products,PAH,10.62,10.93,10.55,10.89,0.32,3.03,"1,661,036",14.82,9.09,...,...,...,9.78,Thursday,Thursday,5/10/2018
278819,1479,Platform Specialty Products,PAH,10.87,11.02,10.83,10.9,0.01,0.09,"1,814,617",14.82,9.09,...,...,...,9.88,Friday,Friday,5/11/2018
278820,1482,Platform Specialty Products,PAH,10.93,11.12,10.89,10.95,0.05,0.46,"1,667,780",14.82,9.09,...,...,...,10.38,Monday,Monday,5/14/2018
278821,1481,Platform Specialty Products,PAH,10.93,11.07,10.89,11.02,0.07,0.64,"1,906,519",14.82,9.09,...,...,...,11.09,Tuesday,Tuesday,5/15/2018
278822,1483,Platform Specialty Products,PAH,11.04,11.21,11.04,11.15,0.13,1.18,"5,069,529",14.82,9.09,...,...,...,12.4,Wednesday,Wednesday,5/16/2018
278823,1481,Platform Specialty Products,PAH,11.12,11.28,11.12,11.25,0.1,0.9,"6,536,402",14.82,9.09,...,...,...,13.41,Thursday,Thursday,5/17/2018
278824,1482,Platform Specialty Products,PAH,11.25,11.37,11.14,11.26,0.01,0.09,"1,744,231",14.82,9.09,...,...,...,13.51,Friday,Friday,5/18/2018
278825,1482,Platform Specialty Products,PAH,11.34,11.42,11.28,11.38,0.12,1.07,"2,652,239",14.82,9.09,...,...,...,14.72,Monday,Monday,5/21/2018
278826,1479,Platform Specialty Products,PAH,11.4,11.6,11.39,11.4,0.02,0.18,"2,177,954",14.82,9.09,...,...,...,14.92,Tuesday,Tuesday,5/22/2018
278827,1481,Platform Specialty Products,PAH,11.34,11.44,11.25,11.34,-0.06,-0.53,"1,709,371",14.82,9.09,...,...,...,14.31,Wednesday,Wednesday,5/23/2018
278828,1485,Platform Specialty Products,PAH,11.3,11.38,11.15,11.36,0.02,0.18,"2,638,664",14.82,9.09,...,...,...,14.52,Thursday,Thursday,5/24/2018
278829,1488,Platform Specialty Products,PAH,11.3,11.39,11.25,11.36,...,...,"2,179,741",14.82,9.09,...,...,...,14.52,Friday,Friday,5/25/2018
278830,1486,Platform Specialty Products,PAH,11.28,11.44,11.22,11.4,0.04,0.35,"3,064,478",14.82,9.09,...,...,...,14.92,Tuesday,Tuesday,5/29/2018
278831,1488,Platform Specialty Products,PAH,11.47,11.83,11.45,11.8,0.4,3.51,"2,843,367",14.82,9.09,...,...,...,18.95,Wednesday,Wednesday,5/30/2018
