,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
282808,1517,Public Service Enterprise Group,PEG,49.61,50.41,49.47,50.24,0.88,1.78,"3,370,622",53.28,41.67,1.8,3.58,16.23,-2.45,Thursday,Thursday,3/29/2018
282809,1507,Public Service Enterprise Group,PEG,49.76,49.92,49.44,49.86,0.01,0.02,"2,169,078",53.28,41.67,1.8,3.61,16.11,-3.18,Wednesday,Wednesday,4/11/2018
282810,1511,Public Service Enterprise Group,PEG,50.02,50.1,49.3,49.44,-0.42,-0.84,"3,987,969",53.28,41.67,1.8,3.64,15.97,-4,Thursday,Thursday,4/12/2018
282811,1499,Public Service Enterprise Group,PEG,50.5,51.03,50.35,50.87,0.46,0.91,"2,026,172",53.28,41.67,1.8,3.54,16.44,-1.22,Tuesday,Tuesday,4/17/2018
282812,1504,Public Service Enterprise Group,PEG,50.96,51.38,50.43,50.45,-0.42,-0.83,"1,602,984",53.28,41.67,1.8,3.57,16.3,-2.04,Wednesday,Wednesday,4/18/2018
282813,1510,Public Service Enterprise Group,PEG,50.18,50.48,49.81,50.03,-0.42,-0.83,"2,132,025",53.28,41.67,1.8,3.6,16.16,-2.85,Thursday,Thursday,4/19/2018
282814,1501,Public Service Enterprise Group,PEG,50.13,50.21,49.32,49.51,-0.52,-1.04,"2,078,365",53.28,41.67,1.8,3.64,16,-3.86,Friday,Friday,4/20/2018
282815,1508,Public Service Enterprise Group,PEG,49.57,50.09,49.28,49.93,0.55,1.11,"2,954,042",53.28,41.67,1.8,3.61,16.13,-3.05,Tuesday,Tuesday,4/24/2018
282816,1510,Public Service Enterprise Group,PEG,49.73,50.36,49.46,50.34,0.41,0.82,"3,235,720",53.28,41.67,1.8,3.58,16.26,-2.25,Wednesday,Wednesday,4/25/2018
282817,1507,Public Service Enterprise Group,PEG,50.95,51.77,50.84,51.53,0.36,0.7,"2,836,960",53.28,41.67,1.8,3.49,16.65,0.06,Friday,Friday,4/27/2018
282818,1507,Public Service Enterprise Group,PEG,51.62,52.31,51.31,52.15,0.62,1.2,"3,229,121",53.28,41.67,1.8,3.45,16.85,1.26,Monday,Monday,4/30/2018
282819,1517,Public Service Enterprise Group,PEG,51.95,52.35,51.6,51.86,-0.29,-0.56,"3,006,994",53.28,41.67,1.8,3.47,13.05,0.7,Tuesday,Tuesday,5/1/2018
282820,1508,Public Service Enterprise Group,PEG,51.37,52.11,50.99,51.87,0.41,0.8,"2,187,135",53.28,41.67,1.8,3.47,13.05,0.72,Thursday,Thursday,5/3/2018
282821,1509,Public Service Enterprise Group,PEG,51.87,52.24,51.83,52.1,0.23,0.44,"1,456,932",53.28,41.67,1.8,3.45,13.11,1.17,Friday,Friday,5/4/2018
282822,1514,Public Service Enterprise Group,PEG,52.1,52.24,51.83,51.88,-0.22,-0.42,"1,603,707",53.28,41.67,1.8,3.47,13.05,0.74,Monday,Monday,5/7/2018
282823,1506,Public Service Enterprise Group,PEG,51.68,51.68,50.98,51.08,-0.8,-1.54,"3,339,437",53.28,41.67,1.8,3.52,12.85,-0.82,Tuesday,Tuesday,5/8/2018
282824,1519,Public Service Enterprise Group,PEG,51.18,51.29,50.34,50.57,-0.51,-1,"2,153,609",53.28,41.67,1.8,3.56,12.72,-1.81,Wednesday,Wednesday,5/9/2018
282825,1514,Public Service Enterprise Group,PEG,50.86,51.18,50.59,51.13,0.56,1.11,"1,547,298",53.28,41.67,1.8,3.52,12.86,-0.72,Thursday,Thursday,5/10/2018
282826,1512,Public Service Enterprise Group,PEG,51.26,51.37,50.98,51.15,0.02,0.04,"1,726,256",53.28,41.67,1.8,3.52,12.87,-0.68,Friday,Friday,5/11/2018
282827,1515,Public Service Enterprise Group,PEG,51.24,51.29,50.66,50.89,-0.26,-0.51,"1,502,130",53.28,41.67,1.8,3.54,12.8,-1.18,Monday,Monday,5/14/2018
282828,1514,Public Service Enterprise Group,PEG,50.67,50.78,49.98,50.24,-0.65,-1.28,"2,446,386",53.28,41.67,1.8,3.58,12.64,-2.45,Tuesday,Tuesday,5/15/2018
282829,1516,Public Service Enterprise Group,PEG,50.24,50.28,49.75,49.87,-0.37,-0.74,"1,779,698",53.28,41.67,1.8,3.61,12.55,-3.17,Wednesday,Wednesday,5/16/2018
282830,1514,Public Service Enterprise Group,PEG,49.99,50.05,49.34,49.56,-0.31,-0.62,"2,520,259",53.28,41.67,1.8,3.63,12.47,-3.77,Thursday,Thursday,5/17/2018
282831,1514,Public Service Enterprise Group,PEG,49.75,49.99,49.43,49.73,0.17,0.34,"2,368,536",53.28,41.67,1.8,3.62,12.51,-3.44,Friday,Friday,5/18/2018
282832,1515,Public Service Enterprise Group,PEG,49.73,50.16,49.38,50.06,0.33,0.66,"1,774,929",53.28,41.67,1.8,3.6,12.59,-2.8,Monday,Monday,5/21/2018
282833,1512,Public Service Enterprise Group,PEG,50,50.72,49.99,50.54,0.48,0.96,"2,460,657",53.28,41.67,1.8,3.56,12.71,-1.86,Tuesday,Tuesday,5/22/2018
282834,1514,Public Service Enterprise Group,PEG,50.55,51.56,50.55,51.35,0.81,1.6,"3,264,194",53.28,41.67,1.8,3.51,12.92,-0.29,Wednesday,Wednesday,5/23/2018
282835,1518,Public Service Enterprise Group,PEG,51.44,52.03,51.35,51.93,0.58,1.13,"2,311,828",53.28,41.67,1.8,3.47,13.06,0.83,Thursday,Thursday,5/24/2018
282836,1521,Public Service Enterprise Group,PEG,52.03,52.73,51.98,52.4,0.47,0.91,"1,883,690",53.28,41.67,1.8,3.44,13.18,1.75,Friday,Friday,5/25/2018
282837,1519,Public Service Enterprise Group,PEG,52.43,52.96,52.2,52.63,0.23,0.44,"2,491,681",53.28,41.67,1.8,3.42,13.24,2.19,Tuesday,Tuesday,5/29/2018
