,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
286037,1485,PLDT ADR,PHI,28.48,28.58,27.83,28.37,0.32,1.14,"34,827",38.54,26.97,1.07,3.77,23.05,-5.68,Thursday,Thursday,3/29/2018
286038,1475,PLDT ADR,PHI,28.23,28.57,27.89,28.24,-0.26,-0.9,"62,175",38.54,26.97,1.07,3.78,22.95,-6.12,Wednesday,Wednesday,4/11/2018
286039,1480,PLDT ADR,PHI,28.49,28.71,28.34,28.5,0.26,0.92,"54,308",38.54,26.97,1.07,3.75,23.16,-5.25,Thursday,Thursday,4/12/2018
286040,1468,PLDT ADR,PHI,27.35,27.56,26.74,27.29,-0.75,-2.67,"209,810",38.54,26.74,1.07,3.91,22.17,-9.28,Tuesday,Tuesday,4/17/2018
286041,1473,PLDT ADR,PHI,27.48,27.48,26.87,26.92,-0.37,-1.36,"77,006",38.54,26.74,1.07,3.97,21.87,-10.51,Wednesday,Wednesday,4/18/2018
286042,1479,PLDT ADR,PHI,26.76,26.82,25.89,26.28,-0.64,-2.38,"81,601",38.54,25.89,1.07,4.07,21.35,-12.63,Thursday,Thursday,4/19/2018
286043,1470,PLDT ADR,PHI,26.37,26.6,26.16,26.28,...,...,"28,043",38.54,25.89,1.07,4.07,21.35,-12.63,Friday,Friday,4/20/2018
286044,1477,PLDT ADR,PHI,26.65,27.09,26.65,26.96,0.38,1.43,"51,804",38.54,25.89,1.07,3.96,21.91,-10.37,Tuesday,Tuesday,4/24/2018
286045,1479,PLDT ADR,PHI,27.08,27.12,26.76,27.07,0.11,0.41,"50,870",38.54,25.89,1.07,3.95,22,-10.01,Wednesday,Wednesday,4/25/2018
286046,1476,PLDT ADR,PHI,27.05,27.63,27.05,27.59,0.66,2.45,"64,150",38.54,25.89,1.07,3.87,22.42,-8.28,Friday,Friday,4/27/2018
286047,1476,PLDT ADR,PHI,27.75,27.86,27.38,27.49,-0.1,-0.36,"77,971",38.54,25.89,1.07,3.89,22.34,-8.61,Monday,Monday,4/30/2018
286048,1486,PLDT ADR,PHI,27.63,27.63,27.07,27.4,-0.09,-0.33,"62,170",38.54,25.89,1.07,3.9,22.26,-8.91,Tuesday,Tuesday,5/1/2018
286049,1477,PLDT ADR,PHI,26.48,26.48,26.02,26.35,-0.49,-1.83,"68,135",38.54,25.89,1.07,4.05,21.41,-12.4,Thursday,Thursday,5/3/2018
286050,1478,PLDT ADR,PHI,26.32,26.54,26.12,26.32,-0.03,-0.11,"79,382",38.54,25.89,1.07,4.06,21.39,-12.5,Friday,Friday,5/4/2018
