,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
288556,112,Anaplan,PLAN,24.25,24.7,21.46,24.3,7.3,42.94,"15,041,132",24.7,17,...,...,...,...,Friday,Friday,10/12/2018
288557,112,Anaplan,PLAN,23.12,24.5,22.18,24.3,...,...,"1,569,873",24.7,21.46,...,...,...,...,Monday,Monday,10/15/2018
288558,112,Anaplan,PLAN,24.5,24.66,22.57,23.02,-1.28,-5.27,"1,296,736",24.7,21.46,...,...,...,...,Tuesday,Tuesday,10/16/2018
288559,112,Anaplan,PLAN,22.76,26.97,22.75,25.43,2.41,10.47,"1,148,638",26.97,21.46,...,...,...,...,Wednesday,Wednesday,10/17/2018
288560,112,Anaplan,PLAN,26.07,26.2,24.01,24.5,-0.93,-3.66,"1,639,614",26.97,21.46,...,...,...,...,Thursday,Thursday,10/18/2018
288561,112,Anaplan,PLAN,24.75,25.96,24.06,24.48,-0.02,-0.08,"280,051",26.97,21.46,...,...,...,...,Friday,Friday,10/19/2018
288562,112,Anaplan,PLAN,24.42,25.25,24.13,24.51,0.03,0.12,"194,864",26.97,21.46,...,...,...,...,Monday,Monday,10/22/2018
288563,112,Anaplan,PLAN,24.01,24.5,23.55,23.9,-0.61,-2.49,"439,419",26.97,21.46,...,...,...,...,Tuesday,Tuesday,10/23/2018
288564,112,Anaplan,PLAN,23.64,24.33,22.5,22.55,-1.35,-5.65,"660,903",26.97,21.46,...,...,...,...,Wednesday,Wednesday,10/24/2018
288565,112,Anaplan,PLAN,22.75,24.1,22.63,23.87,1.32,5.85,"482,440",26.97,21.46,...,...,...,...,Thursday,Thursday,10/25/2018
288566,112,Anaplan,PLAN,23.59,26.39,22.8,24.61,0.74,3.1,"458,693",26.97,21.46,...,...,...,...,Friday,Friday,10/26/2018
288567,112,Anaplan,PLAN,24.95,25.58,22.15,22.64,-1.97,-8,"421,455",26.97,21.46,...,...,...,...,Monday,Monday,10/29/2018
288568,112,Anaplan,PLAN,22.75,23.13,20.37,22.61,-0.03,-0.13,"936,719",26.97,20.37,...,...,...,...,Tuesday,Tuesday,10/30/2018
288569,112,Anaplan,PLAN,23,23.6,22.32,23,0.39,1.72,"383,687",26.97,20.37,...,...,...,...,Wednesday,Wednesday,10/31/2018
288570,112,Anaplan,PLAN,23.06,24.48,21.72,24.05,1.05,4.57,"396,425",26.97,20.37,...,...,...,...,Thursday,Thursday,11/1/2018
288571,112,Anaplan,PLAN,23.93,24.96,23.25,24.74,0.69,2.87,"402,208",26.97,20.37,...,...,...,...,Friday,Friday,11/2/2018
288572,112,Anaplan,PLAN,24.74,24.97,22.9,23.92,-0.82,-3.31,"227,261",26.97,20.37,...,...,...,...,Monday,Monday,11/5/2018
288573,111,Anaplan,PLAN,23.68,24.39,23.02,23.7,-0.22,-0.92,"222,438",26.97,20.37,...,...,...,...,Tuesday,Tuesday,11/6/2018
288574,111,Anaplan,PLAN,23.8,27.3,23.8,26.61,2.91,12.28,"552,714",27.3,20.37,...,...,...,...,Wednesday,Wednesday,11/7/2018
288575,111,Anaplan,PLAN,26.63,27.07,25.75,25.75,-0.86,-3.23,"259,788",27.3,20.37,...,...,...,...,Thursday,Thursday,11/8/2018
288576,110,Anaplan,PLAN,25.65,25.65,23.6,24.22,-1.53,-5.94,"354,048",27.3,20.37,...,...,...,...,Friday,Friday,11/9/2018
288577,110,Anaplan,PLAN,24.03,24.21,22.4,22.72,-1.5,-6.19,"451,310",27.3,20.37,...,...,...,...,Monday,Monday,11/12/2018
288578,111,Anaplan,PLAN,22.75,23.05,22.13,22.69,-0.03,-0.13,"228,176",27.3,20.37,...,...,...,...,Tuesday,Tuesday,11/13/2018
