,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
299169,1537,Quotient Technology,QUOT,13.2,13.3,13.05,13.1,-0.05,-0.38,"583,874",17.85,9.1,...,...,...,11.49,Thursday,Thursday,3/29/2018
299170,1527,Quotient Technology,QUOT,13.35,13.5,13.25,13.3,-0.1,-0.75,"193,861",17.85,10.1,...,...,...,13.19,Wednesday,Wednesday,4/11/2018
299171,1531,Quotient Technology,QUOT,13.45,13.45,13.18,13.35,0.05,0.38,"422,456",17.85,10.1,...,...,...,13.62,Thursday,Thursday,4/12/2018
299172,1519,Quotient Technology,QUOT,13.5,13.9,13.45,13.9,0.5,3.73,"241,040",17.85,10.3,...,...,...,18.3,Tuesday,Tuesday,4/17/2018
299173,1524,Quotient Technology,QUOT,13.9,14.05,13.6,14,0.1,0.72,"380,965",17.85,10.35,...,...,...,19.15,Wednesday,Wednesday,4/18/2018
299174,1530,Quotient Technology,QUOT,13.95,13.97,13.65,13.7,-0.3,-2.14,"187,599",17.85,10.35,...,...,...,16.6,Thursday,Thursday,4/19/2018
299175,1521,Quotient Technology,QUOT,13.6,13.65,13.45,13.55,-0.15,-1.09,"199,894",17.85,10.35,...,...,...,15.32,Friday,Friday,4/20/2018
299176,1528,Quotient Technology,QUOT,13.45,13.47,13.15,13.15,-0.2,-1.5,"419,862",17.85,10.35,...,...,...,11.91,Tuesday,Tuesday,4/24/2018
299177,1530,Quotient Technology,QUOT,13.15,13.25,13,13.15,...,...,"252,085",17.85,10.35,...,...,...,11.91,Wednesday,Wednesday,4/25/2018
299178,1527,Quotient Technology,QUOT,13.55,13.55,13.2,13.3,-0.1,-0.75,"324,916",17.85,10.35,...,...,...,13.19,Friday,Friday,4/27/2018
299179,1527,Quotient Technology,QUOT,13.4,13.55,13.3,13.4,0.1,0.75,"253,610",17.85,10.35,...,...,...,14.04,Monday,Monday,4/30/2018
299180,1537,Quotient Technology,QUOT,13.35,13.4,12.95,13.13,-0.28,-2.05,"359,687",17.85,10.35,...,...,...,11.7,Tuesday,Tuesday,5/1/2018
299181,1528,Quotient Technology,QUOT,12.65,12.68,12.3,12.55,-0.1,-0.79,"427,129",17.85,10.35,...,...,...,6.81,Thursday,Thursday,5/3/2018
299182,1529,Quotient Technology,QUOT,12.55,12.97,12.45,12.8,0.25,1.99,"328,143",17.85,10.35,...,...,...,8.94,Friday,Friday,5/4/2018
299183,1534,Quotient Technology,QUOT,12.9,13.05,12.75,12.9,0.1,0.78,"270,178",17.85,10.35,...,...,...,9.79,Monday,Monday,5/7/2018
299184,1526,Quotient Technology,QUOT,12.9,13,12.8,13,0.1,0.78,"222,395",17.85,10.35,...,...,...,10.64,Tuesday,Tuesday,5/8/2018
299185,1539,Quotient Technology,QUOT,13.3,13.6,13.1,13.5,0.5,3.85,"501,898",17.85,10.35,...,...,...,14.89,Wednesday,Wednesday,5/9/2018
299186,1534,Quotient Technology,QUOT,13.45,13.53,13.1,13.25,-0.25,-1.85,"263,369",17.85,10.35,...,...,...,12.77,Thursday,Thursday,5/10/2018
299187,1532,Quotient Technology,QUOT,13.2,13.53,13.15,13.5,0.25,1.89,"272,630",17.85,10.35,...,...,...,14.89,Friday,Friday,5/11/2018
299188,1535,Quotient Technology,QUOT,13.45,13.75,13.25,13.25,-0.25,-1.85,"264,242",17.85,10.35,...,...,...,12.77,Monday,Monday,5/14/2018
299189,1534,Quotient Technology,QUOT,13.15,13.5,13.1,13.45,0.2,1.51,"230,895",17.85,10.35,...,...,...,14.47,Tuesday,Tuesday,5/15/2018
299190,1536,Quotient Technology,QUOT,13.45,13.51,13.2,13.3,-0.15,-1.12,"349,563",17.85,10.35,...,...,...,13.19,Wednesday,Wednesday,5/16/2018
299191,1534,Quotient Technology,QUOT,13.25,13.6,13.25,13.6,0.3,2.26,"296,613",17.85,10.35,...,...,...,15.74,Thursday,Thursday,5/17/2018
299192,1534,Quotient Technology,QUOT,13.6,14.05,13.6,14,0.4,2.94,"492,760",17.85,10.35,...,...,...,19.15,Friday,Friday,5/18/2018
299193,1535,Quotient Technology,QUOT,14,14.2,13.9,14,...,...,"285,833",17.85,10.35,...,...,...,19.15,Monday,Monday,5/21/2018
299194,1532,Quotient Technology,QUOT,14,14.1,13.45,13.45,-0.55,-3.93,"250,269",17.85,10.35,...,...,...,14.47,Tuesday,Tuesday,5/22/2018
299195,1534,Quotient Technology,QUOT,13.4,13.65,13.3,13.55,0.1,0.74,"223,317",17.85,10.35,...,...,...,15.32,Wednesday,Wednesday,5/23/2018
299196,1538,Quotient Technology,QUOT,13.55,13.6,13.2,13.25,-0.3,-2.21,"517,950",17.85,10.35,...,...,...,12.77,Thursday,Thursday,5/24/2018
299197,1541,Quotient Technology,QUOT,13.25,13.47,13.2,13.3,0.05,0.38,"302,927",17.85,10.35,...,...,...,13.19,Friday,Friday,5/25/2018
299198,1539,Quotient Technology,QUOT,13.25,13.4,13.15,13.35,0.05,0.38,"245,981",17.85,10.35,...,...,...,13.62,Tuesday,Tuesday,5/29/2018
299199,1541,Quotient Technology,QUOT,13.4,13.65,13.4,13.5,0.15,1.12,"220,611",17.85,10.35,...,...,...,14.89,Wednesday,Wednesday,5/30/2018
299200,1538,Quotient Technology,QUOT,13.45,13.5,13.3,13.4,-0.1,-0.74,"507,093",17.85,10.35,...,...,...,14.04,Thursday,Thursday,5/31/2018
299201,1541,Quotient Technology,QUOT,13.5,13.63,13.05,13.15,-0.25,-1.87,"392,681",17.85,10.35,...,...,...,11.91,Friday,Friday,6/1/2018
299202,1532,Quotient Technology,QUOT,13.2,13.25,13,13.05,-0.1,-0.76,"478,251",17.85,10.35,...,...,...,11.06,Monday,Monday,6/4/2018
299203,1533,Quotient Technology,QUOT,13.15,13.4,12.95,13.35,0.3,2.3,"415,223",17.85,10.35,...,...,...,13.62,Tuesday,Tuesday,6/5/2018
299204,1539,Quotient Technology,QUOT,13.35,13.5,13.25,13.4,0.05,0.37,"231,805",17.85,10.35,...,...,...,14.04,Wednesday,Wednesday,6/6/2018
299205,1535,Quotient Technology,QUOT,13.4,13.45,13.15,13.35,-0.05,-0.37,"172,332",17.85,10.35,...,...,...,13.62,Thursday,Thursday,6/7/2018
299206,1528,Quotient Technology,QUOT,13.35,13.55,13.32,13.5,0.15,1.12,"262,224",17.85,10.35,...,...,...,14.89,Friday,Friday,6/8/2018
299207,1534,Quotient Technology,QUOT,13.5,13.6,13.35,13.4,-0.1,-0.74,"178,341",17.85,10.35,...,...,...,14.04,Monday,Monday,6/11/2018
299208,1530,Quotient Technology,QUOT,13.5,13.55,13.35,13.5,0.1,0.75,"118,776",17.85,10.35,...,...,...,14.89,Tuesday,Tuesday,6/12/2018
