,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
312130,1609,Rudolph Technologies,RTEC,27.4,28.3,27.23,27.7,0.35,1.28,"375,345",30.85,21,...,...,27.16,15.9,Thursday,Thursday,3/29/2018
312131,1597,Rudolph Technologies,RTEC,28.1,28.75,28.1,28.6,0.25,0.88,"93,307",30.85,21,...,...,28.04,19.67,Wednesday,Wednesday,4/11/2018
312132,1601,Rudolph Technologies,RTEC,28.6,28.85,28.3,28.5,-0.1,-0.35,"117,704",30.85,21,...,...,27.94,19.25,Thursday,Thursday,4/12/2018
312133,1588,Rudolph Technologies,RTEC,29.2,29.6,29.05,29.45,0.45,1.55,"110,000",30.85,21,...,...,28.87,23.22,Tuesday,Tuesday,4/17/2018
312134,1596,Rudolph Technologies,RTEC,29.2,29.2,28.41,29,-0.45,-1.53,"165,376",30.85,21.1,...,...,28.43,21.34,Wednesday,Wednesday,4/18/2018
312135,1599,Rudolph Technologies,RTEC,28.7,28.75,27.05,27.05,-1.95,-6.72,"171,976",30.85,21.1,...,...,26.52,13.18,Thursday,Thursday,4/19/2018
312136,1592,Rudolph Technologies,RTEC,27,27.3,26.5,26.75,-0.3,-1.11,"186,913",30.85,21.1,...,...,26.23,11.92,Friday,Friday,4/20/2018
312137,1600,Rudolph Technologies,RTEC,27.05,27.1,26.1,26.35,-0.45,-1.68,"173,945",30.85,21.1,...,...,25.83,10.25,Tuesday,Tuesday,4/24/2018
312138,1600,Rudolph Technologies,RTEC,26.3,26.4,25.3,25.8,-0.55,-2.09,"280,262",30.85,21.1,...,...,25.29,7.95,Wednesday,Wednesday,4/25/2018
312139,1598,Rudolph Technologies,RTEC,26.45,26.75,25.55,25.75,-0.6,-2.28,"183,568",30.85,21.1,...,...,25.25,7.74,Friday,Friday,4/27/2018
312140,1598,Rudolph Technologies,RTEC,25.8,25.95,25.27,25.35,-0.4,-1.55,"149,439",30.85,21.1,...,...,24.85,6.07,Monday,Monday,4/30/2018
312141,1608,Rudolph Technologies,RTEC,25.25,25.95,25.2,25.9,0.55,2.17,"252,997",30.85,21.1,...,...,25.39,8.37,Tuesday,Tuesday,5/1/2018
312142,1600,Rudolph Technologies,RTEC,29,31.78,28.7,31.05,4.55,17.17,"584,953",31.78,21.1,...,...,30.44,29.92,Thursday,Thursday,5/3/2018
312143,1600,Rudolph Technologies,RTEC,31.1,31.85,30.75,31.35,0.3,0.97,"274,849",31.85,21.1,...,...,24.69,31.17,Friday,Friday,5/4/2018
312144,1606,Rudolph Technologies,RTEC,31,31.55,30.7,31.1,-0.25,-0.8,"356,800",31.85,21.1,...,...,24.49,30.13,Monday,Monday,5/7/2018
312145,1597,Rudolph Technologies,RTEC,31,31.82,31,31.5,0.4,1.29,"200,344",31.85,21.1,...,...,24.8,31.8,Tuesday,Tuesday,5/8/2018
312146,1610,Rudolph Technologies,RTEC,31.6,31.7,31.15,31.55,0.05,0.16,"171,596",31.85,21.1,...,...,24.84,32.01,Wednesday,Wednesday,5/9/2018
312147,1606,Rudolph Technologies,RTEC,31.6,32.15,31.05,32.1,0.55,1.74,"190,526",32.15,21.1,...,...,25.28,34.31,Thursday,Thursday,5/10/2018
312148,1603,Rudolph Technologies,RTEC,32.1,32.2,31.7,31.8,-0.3,-0.93,"130,006",32.2,21.1,...,...,25.04,33.05,Friday,Friday,5/11/2018
312149,1605,Rudolph Technologies,RTEC,32.05,32.6,32,32.05,0.25,0.79,"94,754",32.6,21.1,...,...,25.24,34.1,Monday,Monday,5/14/2018
312150,1603,Rudolph Technologies,RTEC,31.75,32.05,31.3,31.95,-0.1,-0.31,"143,461",32.6,21.1,...,...,25.16,33.68,Tuesday,Tuesday,5/15/2018
312151,1606,Rudolph Technologies,RTEC,32.15,32.7,32,32.45,0.5,1.56,"131,424",32.7,21.1,...,...,25.55,35.77,Wednesday,Wednesday,5/16/2018
312152,1603,Rudolph Technologies,RTEC,32.55,32.8,32.25,32.55,0.1,0.31,"113,915",32.8,21.1,...,...,25.63,36.19,Thursday,Thursday,5/17/2018
312153,1602,Rudolph Technologies,RTEC,32.4,32.4,31.5,31.8,-0.75,-2.3,"191,247",32.8,21.1,...,...,25.04,33.05,Friday,Friday,5/18/2018
312154,1604,Rudolph Technologies,RTEC,32,32.45,31.7,32.45,0.65,2.04,"208,321",32.8,21.1,...,...,25.55,35.77,Monday,Monday,5/21/2018
312155,1602,Rudolph Technologies,RTEC,32.7,33.15,32.45,32.45,...,...,"132,670",33.15,21.1,...,...,25.55,35.77,Tuesday,Tuesday,5/22/2018
312156,1604,Rudolph Technologies,RTEC,32.1,32.6,31.95,32.5,0.05,0.15,"127,855",33.15,21.1,...,...,25.59,35.98,Wednesday,Wednesday,5/23/2018
312157,1608,Rudolph Technologies,RTEC,32.6,32.7,32.05,32.25,-0.25,-0.77,"108,053",33.15,21.1,...,...,25.39,34.94,Thursday,Thursday,5/24/2018
312158,1611,Rudolph Technologies,RTEC,32.1,32.7,32.1,32.5,0.25,0.78,"143,078",33.15,21.1,...,...,25.59,35.98,Friday,Friday,5/25/2018
312159,1608,Rudolph Technologies,RTEC,32.15,33.4,32.15,33.05,0.55,1.69,"286,049",33.4,21.1,...,...,26.02,38.28,Tuesday,Tuesday,5/29/2018
312160,1609,Rudolph Technologies,RTEC,33.3,34.55,33.28,33.7,0.65,1.97,"569,154",34.55,21.1,...,...,26.54,41,Wednesday,Wednesday,5/30/2018
312161,1607,Rudolph Technologies,RTEC,33.8,34.3,33.45,33.5,-0.2,-0.59,"191,765",34.55,21.1,...,...,26.38,40.17,Thursday,Thursday,5/31/2018
312162,1609,Rudolph Technologies,RTEC,33.8,33.8,33.35,33.45,-0.05,-0.15,"224,367",34.55,21.1,...,...,26.34,39.96,Friday,Friday,6/1/2018
312163,1600,Rudolph Technologies,RTEC,31.95,33.9,31.85,33.65,0.2,0.6,"339,721",34.55,21.1,...,...,26.5,40.79,Monday,Monday,6/4/2018
312164,1601,Rudolph Technologies,RTEC,33.6,34.35,33.5,34.35,0.7,2.08,"128,867",34.55,21.1,...,...,27.05,43.72,Tuesday,Tuesday,6/5/2018
312165,1608,Rudolph Technologies,RTEC,34.2,34.45,33.9,34.4,0.05,0.15,"124,240",34.55,21.1,...,...,27.09,43.93,Wednesday,Wednesday,6/6/2018
312166,1603,Rudolph Technologies,RTEC,34.25,34.25,33,33.05,-1.35,-3.92,"258,739",34.55,21.1,...,...,26.02,38.28,Thursday,Thursday,6/7/2018
