,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
327744,1755,Sun Life Financial,SLF,40.76,41.16,40.6,41.12,0.53,1.31,"489,463",44.5,32.22,1.45,3.52,15.32,-0.34,Thursday,Thursday,3/29/2018
327745,1743,Sun Life Financial,SLF,40.89,41.15,40.73,40.84,-0.2,-0.49,"490,143",44.5,32.22,1.45,3.54,15.21,-1.02,Wednesday,Wednesday,4/11/2018
327746,1747,Sun Life Financial,SLF,41.03,41.13,40.83,40.92,0.08,0.2,"452,241",44.5,32.22,1.45,3.54,15.24,-0.82,Thursday,Thursday,4/12/2018
327747,1734,Sun Life Financial,SLF,40.89,40.89,40.48,40.6,-0.15,-0.37,"466,044",44.5,32.22,1.45,3.56,15.12,-1.6,Tuesday,Tuesday,4/17/2018
327748,1743,Sun Life Financial,SLF,40.72,40.95,40.56,40.67,0.07,0.17,"535,809",44.5,32.22,1.45,3.56,15.15,-1.43,Wednesday,Wednesday,4/18/2018
327749,1746,Sun Life Financial,SLF,40.65,41.04,40.62,40.72,0.05,0.12,"443,102",44.5,32.22,1.45,3.55,15.17,-1.31,Thursday,Thursday,4/19/2018
327750,1739,Sun Life Financial,SLF,40.67,40.86,40.56,40.65,-0.07,-0.17,"405,543",44.5,32.22,1.45,3.56,15.14,-1.48,Friday,Friday,4/20/2018
327751,1747,Sun Life Financial,SLF,40.69,41.24,40.59,40.89,0.3,0.74,"572,027",44.5,32.22,1.45,3.54,15.23,-0.9,Tuesday,Tuesday,4/24/2018
327752,1747,Sun Life Financial,SLF,40.85,40.98,40.54,40.84,-0.05,-0.12,"376,926",44.5,32.22,1.45,3.54,15.21,-1.02,Wednesday,Wednesday,4/25/2018
327753,1746,Sun Life Financial,SLF,41.34,41.66,41.23,41.51,0.2,0.48,"439,797",44.5,32.22,1.45,3.49,15.46,0.61,Friday,Friday,4/27/2018
327754,1746,Sun Life Financial,SLF,41.51,41.75,41.28,41.28,-0.23,-0.55,"385,321",44.5,32.22,1.45,3.5,15.38,0.05,Monday,Monday,4/30/2018
327755,1756,Sun Life Financial,SLF,41.25,41.39,40.82,41.39,0.11,0.27,"306,547",44.5,32.22,1.45,3.5,15.42,0.32,Tuesday,Tuesday,5/1/2018
327756,1747,Sun Life Financial,SLF,41.05,41.21,40.2,40.61,-0.52,-1.26,"600,633",44.5,32.22,1.45,3.56,15.13,-1.58,Thursday,Thursday,5/3/2018
327757,1748,Sun Life Financial,SLF,40.38,41.21,40.35,41.04,0.43,1.06,"463,751",44.5,32.22,1.45,3.53,15.29,-0.53,Friday,Friday,5/4/2018
327758,1754,Sun Life Financial,SLF,41.17,41.29,40.92,40.99,-0.05,-0.12,"405,203",44.5,32.22,1.45,3.53,15.27,-0.65,Monday,Monday,5/7/2018
327759,1744,Sun Life Financial,SLF,40.94,40.99,40.58,40.82,-0.17,-0.41,"556,632",44.5,32.22,1.45,3.54,15.2,-1.07,Tuesday,Tuesday,5/8/2018
327760,1758,Sun Life Financial,SLF,41.19,41.23,40.34,40.66,-0.16,-0.39,"679,830",44.5,32.22,1.45,3.56,15.15,-1.45,Wednesday,Wednesday,5/9/2018
327761,1753,Sun Life Financial,SLF,41.02,41.94,40.75,41.79,1.13,2.78,"742,334",44.5,32.22,1.45,3.46,14.54,1.28,Thursday,Thursday,5/10/2018
327762,1749,Sun Life Financial,SLF,41.91,42.72,41.8,42.6,0.81,1.94,"488,866",44.5,32.22,1.45,3.4,14.82,3.25,Friday,Friday,5/11/2018
327763,1752,Sun Life Financial,SLF,42.78,43.2,42.74,43.05,0.45,1.06,"579,447",44.5,32.22,1.48,3.44,14.98,4.34,Monday,Monday,5/14/2018
327764,1750,Sun Life Financial,SLF,42.98,43.09,42.6,42.95,-0.1,-0.23,"443,174",44.5,32.22,1.48,3.44,14.94,4.1,Tuesday,Tuesday,5/15/2018
327765,1753,Sun Life Financial,SLF,43,43.55,42.97,43.42,0.47,1.09,"371,319",44.5,32.22,1.48,3.41,15.11,5.24,Wednesday,Wednesday,5/16/2018
327766,1750,Sun Life Financial,SLF,43.47,43.79,43.39,43.58,0.16,0.37,"395,354",44.5,32.22,1.48,3.39,15.16,5.62,Thursday,Thursday,5/17/2018
327767,1748,Sun Life Financial,SLF,43.41,43.41,42.92,43.37,-0.21,-0.48,"378,574",44.5,32.22,1.48,3.41,15.09,5.11,Friday,Friday,5/18/2018
327768,1752,Sun Life Financial,SLF,43.57,43.75,43.35,43.57,0.2,0.46,"226,942",44.5,32.22,1.48,3.39,15.16,5.6,Monday,Monday,5/21/2018
327769,1750,Sun Life Financial,SLF,43.76,43.99,43.37,43.44,-0.13,-0.3,"497,419",44.5,32.22,1.48,3.4,15.11,5.28,Tuesday,Tuesday,5/22/2018
327770,1753,Sun Life Financial,SLF,43.1,43.2,42.82,43.09,-0.35,-0.81,"449,700",44.5,32.22,1.48,3.43,14.99,4.44,Wednesday,Wednesday,5/23/2018
327771,1757,Sun Life Financial,SLF,43.01,43.03,42.64,42.87,-0.22,-0.51,"387,749",44.5,32.22,1.48,3.45,14.92,3.9,Thursday,Thursday,5/24/2018
327772,1760,Sun Life Financial,SLF,42.55,42.75,42.33,42.43,-0.44,-1.03,"420,305",44.5,32.22,1.48,3.49,14.76,2.84,Friday,Friday,5/25/2018
327773,1756,Sun Life Financial,SLF,41.07,41.23,40.63,40.88,-1.18,-2.81,"783,191",44.5,32.22,1.48,3.62,14.22,-0.92,Tuesday,Tuesday,5/29/2018
327774,1756,Sun Life Financial,SLF,41.28,41.65,41.01,41.6,0.72,1.76,"403,193",44.5,32.22,1.48,3.56,14.47,0.82,Wednesday,Wednesday,5/30/2018
327775,1756,Sun Life Financial,SLF,41.51,41.51,40.91,41.33,-0.27,-0.65,"520,140",44.5,32.37,1.48,3.58,14.38,0.17,Thursday,Thursday,5/31/2018
327776,1757,Sun Life Financial,SLF,41.64,41.77,41.37,41.45,0.12,0.29,"255,176",44.5,32.37,1.48,3.57,14.42,0.46,Friday,Friday,6/1/2018
327777,1749,Sun Life Financial,SLF,41.58,41.81,41.57,41.66,0.21,0.51,"353,861",44.5,32.37,1.48,3.55,14.5,0.97,Monday,Monday,6/4/2018
327778,1750,Sun Life Financial,SLF,41.59,41.78,41.5,41.78,0.12,0.29,"298,858",44.5,32.37,1.48,3.54,14.54,1.26,Tuesday,Tuesday,6/5/2018
327779,1757,Sun Life Financial,SLF,42.06,42.36,41.94,42.07,0.29,0.69,"342,935",44.5,32.95,1.48,3.52,14.64,1.96,Wednesday,Wednesday,6/6/2018
327780,1752,Sun Life Financial,SLF,42.2,42.41,41.99,42.27,0.2,0.48,"361,606",44.5,33.49,1.48,3.5,14.71,2.45,Thursday,Thursday,6/7/2018
327781,1746,Sun Life Financial,SLF,42.21,42.56,42.1,42.56,0.29,0.69,"235,887",44.5,33.53,1.48,3.47,14.81,3.15,Friday,Friday,6/8/2018
327782,1752,Sun Life Financial,SLF,42.48,42.75,42.37,42.39,-0.17,-0.4,"334,330",44.5,33.53,1.48,3.49,14.75,2.74,Monday,Monday,6/11/2018
327783,1748,Sun Life Financial,SLF,42.45,42.5,41.78,41.86,-0.53,-1.25,"307,195",44.5,33.53,1.48,3.53,14.57,1.45,Tuesday,Tuesday,6/12/2018
327784,1749,Sun Life Financial,SLF,41.88,42.33,41.87,42.17,0.31,0.74,"265,419",44.5,33.53,1.48,3.51,14.67,2.21,Wednesday,Wednesday,6/13/2018
