,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
330455,1634,Schneider National,SNDR,25.99,26.5,25.46,26.06,0.25,0.97,"912,637",30,17.69,0.24,0.92,11.74,-8.75,Thursday,Thursday,3/29/2018
330456,1622,Schneider National,SNDR,25.45,25.9,25.42,25.58,-0.12,-0.47,"335,962",30,17.69,0.24,0.94,11.52,-10.43,Wednesday,Wednesday,4/11/2018
330457,1626,Schneider National,SNDR,25.75,26,25.53,25.74,0.16,0.63,"264,154",30,17.69,0.24,0.93,11.59,-9.87,Thursday,Thursday,4/12/2018
330458,1613,Schneider National,SNDR,27.25,27.47,26.79,27.24,0.18,0.67,"518,053",30,17.69,0.24,0.88,12.27,-4.62,Tuesday,Tuesday,4/17/2018
330459,1621,Schneider National,SNDR,27.37,27.88,27.15,27.8,0.56,2.06,"620,314",30,17.69,0.24,0.86,12.52,-2.66,Wednesday,Wednesday,4/18/2018
330460,1624,Schneider National,SNDR,27.61,27.91,27.38,27.57,-0.23,-0.83,"447,859",30,17.69,0.24,0.87,12.42,-3.47,Thursday,Thursday,4/19/2018
330461,1617,Schneider National,SNDR,27.47,27.84,27,27.11,-0.46,-1.67,"818,155",30,17.69,0.24,0.89,12.21,-5.08,Friday,Friday,4/20/2018
330462,1625,Schneider National,SNDR,26.91,27.43,26.01,26.18,-0.71,-2.64,"540,921",30,17.69,0.24,0.92,11.79,-8.33,Tuesday,Tuesday,4/24/2018
330463,1625,Schneider National,SNDR,26.14,26.65,25.8,26.6,0.42,1.6,"1,187,596",30,17.69,0.24,0.9,11.98,-6.86,Wednesday,Wednesday,4/25/2018
330464,1623,Schneider National,SNDR,26.4,26.75,25.94,26.37,0.26,1,"1,024,717",30,17.69,0.24,0.91,11.22,-7.67,Friday,Friday,4/27/2018
330465,1623,Schneider National,SNDR,26.76,27.79,26.51,26.68,0.31,1.18,"968,607",30,17.69,0.24,0.9,11.35,-6.58,Monday,Monday,4/30/2018
330466,1633,Schneider National,SNDR,26.73,26.84,26.02,26.53,-0.15,-0.56,"721,370",30,17.69,0.24,0.9,11.29,-7.11,Tuesday,Tuesday,5/1/2018
330467,1625,Schneider National,SNDR,26.82,26.86,26.2,26.66,-0.16,-0.6,"600,704",30,17.69,0.24,0.9,11.34,-6.65,Thursday,Thursday,5/3/2018
330468,1625,Schneider National,SNDR,26.63,27.17,26.35,26.94,0.28,1.05,"403,742",30,17.69,0.24,0.89,11.46,-5.67,Friday,Friday,5/4/2018
330469,1631,Schneider National,SNDR,27,27.5,26.93,27.26,0.32,1.19,"494,873",30,17.69,0.24,0.88,11.6,-4.55,Monday,Monday,5/7/2018
330470,1622,Schneider National,SNDR,27.17,27.93,27.08,27.87,0.61,2.24,"560,093",30,17.69,0.24,0.86,11.86,-2.42,Tuesday,Tuesday,5/8/2018
330471,1635,Schneider National,SNDR,27.99,28.73,27.87,28.21,0.34,1.22,"944,044",30,17.69,0.24,0.85,12,-1.23,Wednesday,Wednesday,5/9/2018
330472,1631,Schneider National,SNDR,28.33,28.46,28.07,28.3,0.09,0.32,"679,338",30,17.69,0.24,0.85,12.04,-0.91,Thursday,Thursday,5/10/2018
330473,1628,Schneider National,SNDR,28.42,28.93,28.33,28.65,0.35,1.24,"425,288",30,17.69,0.24,0.84,12.19,0.32,Friday,Friday,5/11/2018
330474,1630,Schneider National,SNDR,28.71,28.84,27.85,28.23,-0.42,-1.47,"602,330",30,17.69,0.24,0.85,12.01,-1.16,Monday,Monday,5/14/2018
330475,1628,Schneider National,SNDR,27.96,28.2,27.47,27.54,-0.69,-2.44,"622,231",30,17.69,0.24,0.87,11.72,-3.57,Tuesday,Tuesday,5/15/2018
330476,1631,Schneider National,SNDR,27.55,28.3,27.55,28.05,0.51,1.85,"704,071",30,17.69,0.24,0.86,11.94,-1.79,Wednesday,Wednesday,5/16/2018
330477,1628,Schneider National,SNDR,28.13,29.54,28.05,28.52,0.47,1.68,"1,216,528",30,18.2,0.24,0.84,12.14,-0.14,Thursday,Thursday,5/17/2018
330478,1627,Schneider National,SNDR,28.6,29.58,28.42,29.4,0.88,3.09,"1,220,821",30,18.35,0.24,0.82,12.51,2.94,Friday,Friday,5/18/2018
330479,1629,Schneider National,SNDR,29.73,30.32,29.5,29.65,0.25,0.85,"1,232,299",30.32,18.35,0.24,0.81,12.62,3.82,Monday,Monday,5/21/2018
330480,1627,Schneider National,SNDR,29.67,30.11,28.99,29.01,-0.64,-2.16,"830,379",30.32,18.6,0.24,0.83,12.34,1.58,Tuesday,Tuesday,5/22/2018
330481,1629,Schneider National,SNDR,28.8,29.04,28.2,28.55,-0.46,-1.59,"955,282",30.32,18.71,0.24,0.84,12.15,-0.04,Wednesday,Wednesday,5/23/2018
330482,1633,Schneider National,SNDR,28.6,29.32,28.42,29.21,0.66,2.31,"706,786",30.32,19.32,0.24,0.82,12.43,2.28,Thursday,Thursday,5/24/2018
330483,1636,Schneider National,SNDR,29.18,29.61,29.02,29.33,0.12,0.41,"343,944",30.32,19.32,0.24,0.82,12.48,2.7,Friday,Friday,5/25/2018
