,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
332985,1704,Sparton,SPA,17.3,17.5,17.19,17.41,0.18,1.04,"97,645",23.59,16.35,...,...,...,-24.5,Thursday,Thursday,3/29/2018
332986,1691,Sparton,SPA,18.69,19.07,18.69,18.86,0.07,0.37,"29,821",23.59,16.35,...,...,...,-18.21,Wednesday,Wednesday,4/11/2018
332987,1696,Sparton,SPA,18.85,19,18.85,19,0.14,0.74,"33,181",23.59,16.35,...,...,...,-17.61,Thursday,Thursday,4/12/2018
332988,1682,Sparton,SPA,19.04,19.07,18.9,18.95,-0.05,-0.26,"94,190",23.59,16.35,...,...,...,-17.82,Tuesday,Tuesday,4/17/2018
332989,1691,Sparton,SPA,19,19.07,18.83,18.9,-0.05,-0.26,"42,498",23.59,16.35,...,...,...,-18.04,Wednesday,Wednesday,4/18/2018
332990,1694,Sparton,SPA,18.92,19.14,18.88,18.96,0.06,0.32,"36,753",23.59,16.35,...,...,...,-17.78,Thursday,Thursday,4/19/2018
332991,1687,Sparton,SPA,18.88,19.1,18.82,18.99,0.03,0.16,"25,883",23.59,16.35,...,...,...,-17.65,Friday,Friday,4/20/2018
332992,1695,Sparton,SPA,18.95,19.06,18.61,18.83,-0.16,-0.84,"61,812",23.59,16.35,...,...,...,-18.34,Tuesday,Tuesday,4/24/2018
332993,1695,Sparton,SPA,18.84,19.01,18.66,18.97,0.14,0.74,"36,970",23.59,16.35,...,...,...,-17.74,Wednesday,Wednesday,4/25/2018
332994,1694,Sparton,SPA,18.72,18.74,18.42,18.48,-0.23,-1.23,"34,089",23.59,16.35,...,...,...,-19.86,Friday,Friday,4/27/2018
332995,1694,Sparton,SPA,18.43,18.58,18.33,18.47,-0.01,-0.05,"22,805",23.59,16.35,...,...,...,-19.9,Monday,Monday,4/30/2018
332996,1704,Sparton,SPA,18.39,18.56,18,18.52,0.05,0.27,"24,901",23.59,16.35,...,...,...,-19.69,Tuesday,Tuesday,5/1/2018
332997,1696,Sparton,SPA,18.06,18.25,17.93,17.95,-0.11,-0.61,"43,299",23.59,16.35,...,...,...,-22.16,Thursday,Thursday,5/3/2018
332998,1696,Sparton,SPA,17.78,18,17.78,17.91,-0.04,-0.22,"84,555",23.59,16.35,...,...,...,-22.33,Friday,Friday,5/4/2018
332999,1702,Sparton,SPA,17.95,18.54,17.66,17.75,-0.16,-0.89,"150,995",23.59,16.35,...,...,...,-23.03,Monday,Monday,5/7/2018
333000,1693,Sparton,SPA,17.82,18.29,17.73,18,0.25,1.41,"187,560",23.59,16.35,...,...,...,-21.94,Tuesday,Tuesday,5/8/2018
333001,1706,Sparton,SPA,18,18.02,17.87,17.97,-0.03,-0.17,"33,261",23.59,16.35,...,...,...,-22.07,Wednesday,Wednesday,5/9/2018
333002,1702,Sparton,SPA,17.9,18,17.45,17.93,-0.04,-0.22,"92,107",23.59,16.35,...,...,...,-22.25,Thursday,Thursday,5/10/2018
333003,1698,Sparton,SPA,17.82,17.83,17.44,17.62,-0.31,-1.73,"41,360",23.59,16.35,...,...,...,-23.59,Friday,Friday,5/11/2018
333004,1701,Sparton,SPA,17.62,17.81,17.26,17.4,-0.22,-1.25,"48,274",23.59,16.35,...,...,...,-24.54,Monday,Monday,5/14/2018
333005,1699,Sparton,SPA,17.36,17.39,17.18,17.19,-0.21,-1.21,"56,857",23.59,16.35,...,...,...,-25.46,Tuesday,Tuesday,5/15/2018
333006,1702,Sparton,SPA,17.22,17.68,17.22,17.47,0.28,1.63,"222,049",23.59,16.35,...,...,...,-24.24,Wednesday,Wednesday,5/16/2018
333007,1699,Sparton,SPA,17.51,17.82,17.51,17.65,0.18,1.03,"26,336",23.59,16.35,...,...,...,-23.46,Thursday,Thursday,5/17/2018
333008,1698,Sparton,SPA,17.71,17.8,17.5,17.5,-0.15,-0.85,"36,525",23.59,16.35,...,...,...,-24.11,Friday,Friday,5/18/2018
333009,1700,Sparton,SPA,17.6,17.74,17.15,17.33,-0.17,-0.97,"64,846",23.59,16.35,...,...,...,-24.85,Monday,Monday,5/21/2018
333010,1698,Sparton,SPA,17.31,17.58,17.31,17.55,0.22,1.27,"71,297",23.59,16.35,...,...,...,-23.89,Tuesday,Tuesday,5/22/2018
333011,1701,Sparton,SPA,17.51,17.72,17.51,17.65,0.1,0.57,"58,882",23.59,16.35,...,...,...,-23.46,Wednesday,Wednesday,5/23/2018
333012,1705,Sparton,SPA,17.68,18.02,17.64,18,0.35,1.98,"91,835",23.59,16.35,...,...,...,-21.94,Thursday,Thursday,5/24/2018
333013,1708,Sparton,SPA,18.04,18.5,18.04,18.41,0.41,2.28,"71,524",23.59,16.35,...,...,...,-20.16,Friday,Friday,5/25/2018
333014,1704,Sparton,SPA,18.36,18.69,18.36,18.51,0.1,0.54,"48,622",23.59,16.35,...,...,...,-19.73,Tuesday,Tuesday,5/29/2018
333015,1704,Sparton,SPA,18.55,18.72,18.35,18.38,-0.13,-0.7,"69,549",23.59,16.35,...,...,...,-20.29,Wednesday,Wednesday,5/30/2018
333016,1704,Sparton,SPA,18.35,18.58,18.35,18.55,0.17,0.92,"54,639",23.59,16.35,...,...,...,-19.56,Thursday,Thursday,5/31/2018
333017,1706,Sparton,SPA,18.55,18.65,18.35,18.39,-0.16,-0.86,"63,676",23.59,16.35,...,...,...,-20.25,Friday,Friday,6/1/2018
333018,1698,Sparton,SPA,18.4,18.43,18.12,18.15,-0.24,-1.31,"52,214",23.59,16.35,...,...,...,-21.29,Monday,Monday,6/4/2018
333019,1699,Sparton,SPA,18.1,18.32,18.05,18.19,0.04,0.22,"98,957",23.59,16.35,...,...,...,-21.12,Tuesday,Tuesday,6/5/2018
333020,1706,Sparton,SPA,18.19,18.47,18.12,18.41,0.22,1.21,"74,284",23.59,16.35,...,...,...,-20.16,Wednesday,Wednesday,6/6/2018
333021,1701,Sparton,SPA,18.45,18.6,18.3,18.41,...,...,"50,879",23.59,16.35,...,...,...,-20.16,Thursday,Thursday,6/7/2018
333022,1695,Sparton,SPA,18.46,18.52,18.2,18.2,-0.21,-1.14,"58,954",23.59,16.35,...,...,...,-21.08,Friday,Friday,6/8/2018
333023,1701,Sparton,SPA,18.29,18.45,18.16,18.2,...,...,"64,234",23.59,16.35,...,...,...,-21.08,Monday,Monday,6/11/2018
333024,1697,Sparton,SPA,18.23,18.72,18.23,18.43,0.23,1.26,"259,694",23.59,16.35,...,...,...,-20.08,Tuesday,Tuesday,6/12/2018
333025,1698,Sparton,SPA,18.44,19.02,18.37,18.91,0.48,2.6,"131,355",23.59,16.35,...,...,...,-18,Wednesday,Wednesday,6/13/2018
333026,1699,Sparton,SPA,18.87,19.13,18.73,19.11,0.2,1.06,"267,744",23.59,16.35,...,...,...,-17.13,Thursday,Thursday,6/14/2018
333027,1699,Sparton,SPA,19.05,19.23,18.76,19.17,0.06,0.31,"144,419",23.59,16.35,...,...,...,-16.87,Friday,Friday,6/15/2018
333028,1698,Sparton,SPA,19.1,19.24,18.89,19.13,-0.04,-0.21,"254,751",23.59,16.35,...,...,...,-17.04,Monday,Monday,6/18/2018
333029,1701,Sparton,SPA,19.03,19.22,18.88,19.08,-0.05,-0.26,"82,083",23.59,16.35,...,...,...,-17.26,Tuesday,Tuesday,6/19/2018
333030,1703,Sparton,SPA,19.09,19.31,18.99,19.07,-0.01,-0.05,"38,076",23.59,16.35,...,...,...,-17.3,Wednesday,Wednesday,6/20/2018
333031,1698,Sparton,SPA,19.08,19.18,18.87,19.03,-0.04,-0.21,"59,042",23.59,16.35,...,...,...,-17.48,Thursday,Thursday,6/21/2018
333032,1698,Sparton,SPA,19.1,19.24,18.95,19.18,0.15,0.79,"118,030",23.59,16.35,...,...,...,-16.83,Friday,Friday,6/22/2018
333033,1702,Sparton,SPA,19.2,19.29,18.94,19.02,-0.16,-0.83,"86,883",23.59,16.35,...,...,...,-17.52,Monday,Monday,6/25/2018
333034,1708,Sparton,SPA,19.02,19.47,19.02,19.4,0.38,2,"47,966",23.46,16.35,...,...,...,-15.87,Tuesday,Tuesday,6/26/2018
333035,1710,Sparton,SPA,19.4,19.55,19.2,19.27,-0.13,-0.67,"43,574",23.46,16.35,...,...,...,-16.44,Wednesday,Wednesday,6/27/2018
333036,1706,Sparton,SPA,19.22,19.25,18.91,19.03,-0.24,-1.25,"32,954",23.46,16.35,...,...,...,-17.48,Thursday,Thursday,6/28/2018
333037,1711,Sparton,SPA,19.03,19.16,18.82,18.99,-0.04,-0.21,"62,164",23.46,16.35,...,...,...,-17.65,Friday,Friday,6/29/2018
333038,1708,Sparton,SPA,18.87,19.43,18.81,19.34,0.35,1.84,"51,061",23.46,16.35,...,...,...,-16.13,Monday,Monday,7/2/2018
333039,1699,Sparton,SPA,19.43,19.56,19.19,19.35,0.01,0.05,"29,823",23.46,16.35,...,...,...,-16.09,Tuesday,Tuesday,7/3/2018
333040,1714,Sparton,SPA,19.41,19.65,19.37,19.44,0.09,0.47,"68,387",23.46,16.35,...,...,...,-15.7,Thursday,Thursday,7/5/2018
333041,1710,Sparton,SPA,19.5,19.77,19.5,19.66,0.22,1.13,"36,960",23.46,16.35,...,...,...,-14.74,Friday,Friday,7/6/2018
333042,1715,Sparton,SPA,19.69,19.71,19.44,19.5,-0.16,-0.81,"35,454",23.46,16.35,...,...,...,-15.44,Monday,Monday,7/9/2018
333043,1707,Sparton,SPA,19.38,19.38,16.56,17.13,-2.37,-12.15,"487,094",23.46,16.35,...,...,...,-25.72,Tuesday,Tuesday,7/10/2018
333044,1704,Sparton,SPA,17.09,17.1,16.76,16.79,-0.34,-1.98,"126,374",23.46,16.35,...,...,...,-27.19,Wednesday,Wednesday,7/11/2018
333045,1711,Sparton,SPA,16.79,16.79,16.16,16.18,-0.61,-3.63,"209,564",23.46,16.16,...,...,...,-29.84,Thursday,Thursday,7/12/2018
333046,1710,Sparton,SPA,16.27,16.8,16.27,16.58,0.4,2.47,"88,470",23.46,16.16,...,...,...,-28.1,Friday,Friday,7/13/2018
333047,1702,Sparton,SPA,16.61,16.61,16,16.49,-0.09,-0.54,"80,736",23.46,16,...,...,...,-28.49,Monday,Monday,7/16/2018
333048,1702,Sparton,SPA,16.45,16.75,16.37,16.4,-0.09,-0.55,"44,633",23.46,16,...,...,...,-28.88,Tuesday,Tuesday,7/17/2018
333049,1707,Sparton,SPA,16.39,16.41,16.18,16.3,-0.1,-0.61,"64,413",23.46,16,...,...,...,-29.31,Wednesday,Wednesday,7/18/2018
333050,1701,Sparton,SPA,16.3,16.47,16.28,16.33,0.03,0.18,"37,306",23.46,16,...,...,...,-29.18,Thursday,Thursday,7/19/2018
333051,1698,Sparton,SPA,16.34,16.34,16.08,16.17,-0.16,-0.98,"34,474",23.46,16,...,...,...,-29.88,Friday,Friday,7/20/2018
333052,1705,Sparton,SPA,16.2,16.3,16.03,16.26,0.09,0.56,"53,972",23.46,16,...,...,...,-29.49,Monday,Monday,7/23/2018
