,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
348846,1814,Teradata,TDC,38.98,40.05,38.86,39.67,0.92,2.37,"1,390,575",42.84,27.05,...,...,...,3.15,Thursday,Thursday,3/29/2018
348847,1803,Teradata,TDC,39.79,40.75,39.54,40.09,0.17,0.43,"1,066,712",42.84,27.05,...,...,...,4.24,Wednesday,Wednesday,4/11/2018
348848,1807,Teradata,TDC,40.16,40.73,40.16,40.46,0.37,0.92,"795,801",42.84,27.05,...,...,...,5.2,Thursday,Thursday,4/12/2018
348849,1793,Teradata,TDC,41.04,41.63,41.04,41.51,0.6,1.47,"779,625",42.84,27.05,...,...,...,7.93,Tuesday,Tuesday,4/17/2018
348850,1802,Teradata,TDC,41.48,41.9,41.32,41.6,0.09,0.22,"549,849",42.84,27.05,...,...,...,8.16,Wednesday,Wednesday,4/18/2018
348851,1805,Teradata,TDC,41.52,41.64,41.2,41.41,-0.19,-0.46,"457,690",42.84,27.05,...,...,...,7.67,Thursday,Thursday,4/19/2018
348852,1798,Teradata,TDC,41.27,41.5,40.78,40.93,-0.48,-1.16,"496,603",42.84,27.05,...,...,...,6.42,Friday,Friday,4/20/2018
348853,1808,Teradata,TDC,40.92,41.2,39.76,40.25,-0.36,-0.89,"604,889",42.84,27.05,...,...,...,4.65,Tuesday,Tuesday,4/24/2018
348854,1807,Teradata,TDC,40.2,40.23,39.6,40.13,-0.12,-0.3,"448,578",42.84,27.05,...,...,...,4.34,Wednesday,Wednesday,4/25/2018
348855,1805,Teradata,TDC,41.02,41.03,40.56,40.93,0.17,0.42,"821,203",42.84,27.05,...,...,...,6.42,Friday,Friday,4/27/2018
348856,1806,Teradata,TDC,41.1,41.36,40.89,40.92,-0.01,-0.02,"878,663",42.84,27.05,...,...,...,6.4,Monday,Monday,4/30/2018
348857,1815,Teradata,TDC,40.74,41.03,40.44,41,0.08,0.2,"832,315",42.84,27.05,...,...,...,6.6,Tuesday,Tuesday,5/1/2018
348858,1808,Teradata,TDC,40.81,41.08,39.87,40,-0.81,-1.98,"2,399,377",42.84,27.05,...,...,...,4,Thursday,Thursday,5/3/2018
348859,1809,Teradata,TDC,38.01,38.95,36.62,38.06,-1.94,-4.85,"4,825,710",42.84,27.05,...,...,...,-1.04,Friday,Friday,5/4/2018
348860,1813,Teradata,TDC,38,38.71,37.88,38.46,0.4,1.05,"1,594,476",42.84,27.05,...,...,...,...,Monday,Monday,5/7/2018
348861,1804,Teradata,TDC,38.56,39.51,38.56,39.25,0.79,2.05,"1,202,285",42.84,27.05,...,...,...,2.05,Tuesday,Tuesday,5/8/2018
348862,1818,Teradata,TDC,39.28,39.63,39.17,39.48,0.23,0.59,"688,257",42.84,27.05,...,...,...,2.65,Wednesday,Wednesday,5/9/2018
348863,1814,Teradata,TDC,39.79,40.07,39.56,39.59,0.11,0.28,"676,729",42.84,27.05,...,...,...,2.94,Thursday,Thursday,5/10/2018
348864,1810,Teradata,TDC,39.66,39.93,39.18,39.48,-0.11,-0.28,"1,393,866",42.84,27.05,...,...,...,2.65,Friday,Friday,5/11/2018
348865,1813,Teradata,TDC,39.41,39.56,37.94,37.99,-1.49,-3.77,"1,482,623",42.84,27.05,...,...,...,-1.22,Monday,Monday,5/14/2018
348866,1811,Teradata,TDC,37.69,38.05,37.41,38,0.01,0.03,"1,218,034",42.84,27.05,...,...,...,-1.2,Tuesday,Tuesday,5/15/2018
348867,1814,Teradata,TDC,38.1,38.41,37.94,38.02,0.02,0.05,"844,094",42.84,27.05,...,...,...,-1.14,Wednesday,Wednesday,5/16/2018
348868,1811,Teradata,TDC,39.75,40.45,38.83,38.86,0.84,2.21,"1,523,730",42.84,27.05,...,...,...,1.04,Thursday,Thursday,5/17/2018
348869,1809,Teradata,TDC,38.71,39.39,38.41,38.69,-0.17,-0.44,"836,193",42.84,27.05,...,...,...,0.6,Friday,Friday,5/18/2018
348870,1813,Teradata,TDC,38.78,38.97,38.28,38.49,-0.2,-0.52,"659,103",42.84,27.05,...,...,...,0.08,Monday,Monday,5/21/2018
348871,1811,Teradata,TDC,38.6,38.6,38.28,38.3,-0.19,-0.49,"548,698",42.84,27.05,...,...,...,-0.42,Tuesday,Tuesday,5/22/2018
348872,1814,Teradata,TDC,38.2,38.5,37.95,38.39,0.09,0.23,"446,704",42.84,27.05,...,...,...,-0.18,Wednesday,Wednesday,5/23/2018
348873,1817,Teradata,TDC,38.47,38.9,38.31,38.8,0.41,1.07,"694,842",42.84,27.05,...,...,...,0.88,Thursday,Thursday,5/24/2018
348874,1820,Teradata,TDC,38.67,38.95,38.57,38.77,-0.03,-0.08,"365,469",42.84,27.05,...,...,...,0.81,Friday,Friday,5/25/2018
348875,1817,Teradata,TDC,38.28,38.79,38.28,38.67,-0.1,-0.26,"441,138",42.84,27.05,...,...,...,0.55,Tuesday,Tuesday,5/29/2018
348876,1817,Teradata,TDC,39.85,40.33,39.57,39.65,0.98,2.53,"995,451",42.84,27.05,...,...,...,3.09,Wednesday,Wednesday,5/30/2018
348877,1817,Teradata,TDC,39.65,40.01,39.6,39.87,0.22,0.55,"1,218,868",42.84,27.05,...,...,...,3.67,Thursday,Thursday,5/31/2018
348878,1817,Teradata,TDC,39.94,40.43,39.67,39.7,-0.17,-0.43,"787,349",42.84,27.05,...,...,...,3.22,Friday,Friday,6/1/2018
348879,1809,Teradata,TDC,39.9,40.84,39.85,40.76,1.06,2.67,"679,757",42.84,27.05,...,...,...,5.98,Monday,Monday,6/4/2018
348880,1812,Teradata,TDC,40.98,41.65,40.66,41.65,0.89,2.18,"771,841",42.84,27.05,...,...,...,8.29,Tuesday,Tuesday,6/5/2018
348881,1818,Teradata,TDC,41.65,42.69,41.49,42.63,0.98,2.35,"965,479",42.84,27.55,...,...,...,10.84,Wednesday,Wednesday,6/6/2018
348882,1813,Teradata,TDC,42.67,42.76,40.81,41.08,-1.55,-3.64,"1,640,655",42.84,27.56,...,...,...,6.81,Thursday,Thursday,6/7/2018
348883,1806,Teradata,TDC,40.86,40.98,40.38,40.72,-0.36,-0.88,"919,883",42.84,27.6,...,...,...,5.88,Friday,Friday,6/8/2018
348884,1812,Teradata,TDC,40.89,41.25,40.49,41,0.28,0.69,"727,972",42.84,27.6,...,...,...,6.6,Monday,Monday,6/11/2018
348885,1810,Teradata,TDC,41.19,41.34,40.76,41,...,...,"960,350",42.84,27.72,...,...,...,6.6,Tuesday,Tuesday,6/12/2018
348886,1809,Teradata,TDC,41.23,42.23,41.03,41.9,0.9,2.2,"1,184,615",42.84,27.72,...,...,...,8.94,Wednesday,Wednesday,6/13/2018
348887,1810,Teradata,TDC,41.91,42.5,41.75,42.25,0.35,0.84,"1,128,415",42.84,27.72,...,...,...,9.85,Thursday,Thursday,6/14/2018
348888,1810,Teradata,TDC,42.31,43.33,42.05,43.26,1.01,2.39,"3,366,228",43.33,27.72,...,...,...,12.48,Friday,Friday,6/15/2018
348889,1811,Teradata,TDC,43.05,44.27,43,44,0.74,1.71,"1,384,790",44.27,28.33,...,...,...,14.4,Monday,Monday,6/18/2018
348890,1812,Teradata,TDC,43.51,43.71,42.82,43.46,-0.54,-1.23,"883,160",44.27,28.33,...,...,...,13,Tuesday,Tuesday,6/19/2018
348891,1815,Teradata,TDC,43.7,43.92,43.15,43.34,-0.12,-0.28,"674,180",44.27,28.33,...,...,...,12.69,Wednesday,Wednesday,6/20/2018
348892,1810,Teradata,TDC,43.42,43.5,42.53,42.68,-0.66,-1.52,"537,024",44.27,28.33,...,...,...,10.97,Thursday,Thursday,6/21/2018
348893,1810,Teradata,TDC,42.47,42.47,40.83,41.08,-1.6,-3.75,"2,387,558",44.27,28.33,...,...,...,6.81,Friday,Friday,6/22/2018
348894,1814,Teradata,TDC,40.84,40.95,39.37,39.91,-1.17,-2.85,"1,090,422",44.27,28.33,...,...,...,3.77,Monday,Monday,6/25/2018
348895,1820,Teradata,TDC,39.98,40.64,39.98,40.25,0.34,0.85,"869,042",44.27,28.33,...,...,...,4.65,Tuesday,Tuesday,6/26/2018
348896,1822,Teradata,TDC,40.37,40.44,39.49,39.55,-0.7,-1.74,"874,602",44.27,28.33,...,...,...,2.83,Wednesday,Wednesday,6/27/2018
348897,1817,Teradata,TDC,39.35,39.96,39.19,39.84,0.29,0.73,"1,097,741",44.27,28.33,...,...,...,3.59,Thursday,Thursday,6/28/2018
348898,1822,Teradata,TDC,40.16,40.68,39.89,40.15,0.31,0.78,"1,103,124",44.27,28.33,...,...,...,4.39,Friday,Friday,6/29/2018
