,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
350232,1802,Teledyne Technologies,TDY,184.96,188.88,184.04,187.17,3.58,1.95,"124,189",201.4,121.58,...,...,30,3.32,Thursday,Thursday,3/29/2018
350233,1791,Teledyne Technologies,TDY,188.41,191.73,187.06,190.25,0.68,0.36,"124,283",201.4,121.58,...,...,30.49,5.02,Wednesday,Wednesday,4/11/2018
350234,1795,Teledyne Technologies,TDY,191.06,194.84,191.06,194.14,3.89,2.04,"106,386",201.4,121.58,...,...,31.11,7.17,Thursday,Thursday,4/12/2018
350235,1781,Teledyne Technologies,TDY,197.99,199.17,196,197.17,0.2,0.1,"135,186",201.4,123.29,...,...,31.6,8.84,Tuesday,Tuesday,4/17/2018
350236,1790,Teledyne Technologies,TDY,197.77,198.13,196.23,196.4,-0.77,-0.39,"167,708",201.4,123.29,...,...,31.47,8.42,Wednesday,Wednesday,4/18/2018
350237,1793,Teledyne Technologies,TDY,196.56,198.78,195.16,198.42,2.02,1.03,"110,654",201.4,123.29,...,...,31.8,9.53,Thursday,Thursday,4/19/2018
350238,1786,Teledyne Technologies,TDY,198.9,199.94,196.84,198.34,-0.08,-0.04,"90,929",201.4,123.29,...,...,31.79,9.49,Friday,Friday,4/20/2018
350239,1796,Teledyne Technologies,TDY,199.7,200.71,192.09,194.96,-3.91,-1.97,"148,870",201.4,123.29,...,...,31.24,7.62,Tuesday,Tuesday,4/24/2018
350240,1795,Teledyne Technologies,TDY,194.6,195.08,191.34,193.39,-1.57,-0.81,"155,970",201.4,123.29,...,...,30.99,6.76,Wednesday,Wednesday,4/25/2018
350241,1793,Teledyne Technologies,TDY,192.58,192.58,189.4,190.42,-2.68,-1.39,"110,816",201.4,123.29,...,...,30.52,5.12,Friday,Friday,4/27/2018
350242,1794,Teledyne Technologies,TDY,190.88,192.66,186.94,187.09,-3.33,-1.75,"115,823",201.4,123.29,...,...,29.98,3.28,Monday,Monday,4/30/2018
350243,1803,Teledyne Technologies,TDY,186.97,186.97,177.68,180.65,-6.44,-3.44,"339,714",201.4,123.29,...,...,28.95,-0.28,Tuesday,Tuesday,5/1/2018
350244,1796,Teledyne Technologies,TDY,181.73,185.17,180.12,183.58,3.59,1.99,"200,912",201.4,123.29,...,...,29.42,1.34,Thursday,Thursday,5/3/2018
350245,1797,Teledyne Technologies,TDY,183.43,194.48,182.84,193.14,9.56,5.21,"264,426",201.4,123.29,...,...,26.79,6.62,Friday,Friday,5/4/2018
350246,1801,Teledyne Technologies,TDY,193.14,195.64,193.14,195.22,2.08,1.08,"144,233",201.4,123.29,...,...,27.08,7.77,Monday,Monday,5/7/2018
350247,1792,Teledyne Technologies,TDY,193.99,198.22,193.99,197.01,1.79,0.92,"146,113",201.4,123.29,...,...,27.32,8.76,Tuesday,Tuesday,5/8/2018
350248,1806,Teledyne Technologies,TDY,198.46,198.84,196.78,197.91,0.9,0.46,"276,289",201.4,123.29,...,...,27.45,9.25,Wednesday,Wednesday,5/9/2018
350249,1802,Teledyne Technologies,TDY,197.5,199.55,197.11,198.99,1.08,0.55,"155,245",201.4,123.29,...,...,27.6,9.85,Thursday,Thursday,5/10/2018
350250,1798,Teledyne Technologies,TDY,198.81,199.78,196.83,198.27,-0.72,-0.36,"95,131",201.4,123.29,...,...,27.5,9.45,Friday,Friday,5/11/2018
350251,1801,Teledyne Technologies,TDY,198.48,199.85,195.59,196.72,-1.55,-0.78,"126,617",201.4,123.29,...,...,27.28,8.6,Monday,Monday,5/14/2018
350252,1799,Teledyne Technologies,TDY,195.54,198.06,195.01,195.62,-1.1,-0.56,"134,873",201.4,123.29,...,...,27.13,7.99,Tuesday,Tuesday,5/15/2018
350253,1802,Teledyne Technologies,TDY,195.6,197.27,195.2,195.89,0.27,0.14,"120,938",201.4,123.29,...,...,27.17,8.14,Wednesday,Wednesday,5/16/2018
350254,1799,Teledyne Technologies,TDY,195.7,198,195.57,196.69,0.8,0.41,"98,245",201.4,123.29,...,...,27.28,8.58,Thursday,Thursday,5/17/2018
350255,1797,Teledyne Technologies,TDY,197.08,198.84,196.15,197.85,1.16,0.59,"92,599",201.4,123.29,...,...,27.44,9.22,Friday,Friday,5/18/2018
350256,1801,Teledyne Technologies,TDY,199.25,202.63,199.02,199.78,1.93,0.98,"164,809",202.63,123.29,...,...,27.71,10.28,Monday,Monday,5/21/2018
350257,1799,Teledyne Technologies,TDY,199.75,200.4,196.39,196.59,-3.19,-1.6,"95,198",202.63,123.29,...,...,27.27,8.52,Tuesday,Tuesday,5/22/2018
350258,1802,Teledyne Technologies,TDY,195.41,199.41,195.41,199.19,2.6,1.32,"87,318",202.63,123.29,...,...,27.63,9.96,Wednesday,Wednesday,5/23/2018
350259,1805,Teledyne Technologies,TDY,199,201.64,197.48,201.49,2.3,1.15,"123,833",202.63,123.29,...,...,27.95,11.23,Thursday,Thursday,5/24/2018
350260,1808,Teledyne Technologies,TDY,201,201.74,198.04,198.94,-2.55,-1.27,"113,344",202.63,123.29,...,...,27.59,9.82,Friday,Friday,5/25/2018
350261,1805,Teledyne Technologies,TDY,197.64,198.99,196.17,198.01,-0.93,-0.47,"106,691",202.63,123.29,...,...,27.46,9.31,Tuesday,Tuesday,5/29/2018
350262,1805,Teledyne Technologies,TDY,199,204.67,198.86,204.05,6.04,3.05,"257,048",204.67,123.29,...,...,28.3,12.64,Wednesday,Wednesday,5/30/2018
350263,1805,Teledyne Technologies,TDY,203.25,204.51,200.96,201.46,-2.59,-1.27,"157,529",204.67,123.29,...,...,27.94,11.21,Thursday,Thursday,5/31/2018
350264,1805,Teledyne Technologies,TDY,203.62,207.03,201.42,205.6,4.14,2.05,"152,618",207.03,123.29,...,...,28.52,13.5,Friday,Friday,6/1/2018
350265,1797,Teledyne Technologies,TDY,205.8,206.05,202.56,205.29,-0.31,-0.15,"118,287",207.03,123.29,...,...,28.47,13.33,Monday,Monday,6/4/2018
350266,1800,Teledyne Technologies,TDY,205.18,208.74,204.74,208.46,3.17,1.54,"145,708",208.74,123.29,...,...,28.91,15.08,Tuesday,Tuesday,6/5/2018
350267,1806,Teledyne Technologies,TDY,209.35,210.47,206.6,210.33,1.87,0.9,"117,675",210.47,123.29,...,...,29.17,16.11,Wednesday,Wednesday,6/6/2018
350268,1801,Teledyne Technologies,TDY,210.35,211.54,208.01,210.54,0.21,0.1,"94,508",211.54,123.29,...,...,29.2,16.22,Thursday,Thursday,6/7/2018
350269,1794,Teledyne Technologies,TDY,210.19,213.94,210.12,213.77,3.23,1.53,"157,375",213.94,123.29,...,...,29.65,18.01,Friday,Friday,6/8/2018
350270,1800,Teledyne Technologies,TDY,213.53,214.32,209.63,209.87,-3.9,-1.82,"134,882",214.32,123.29,...,...,29.11,15.85,Monday,Monday,6/11/2018
350271,1798,Teledyne Technologies,TDY,210.44,211.39,207.59,208.9,-0.97,-0.46,"129,839",214.32,123.29,...,...,28.97,15.32,Tuesday,Tuesday,6/12/2018
350272,1797,Teledyne Technologies,TDY,209,209.9,207.64,208.22,-0.68,-0.33,"130,324",214.32,123.29,...,...,28.88,14.94,Wednesday,Wednesday,6/13/2018
350273,1798,Teledyne Technologies,TDY,208.84,208.84,205.2,206.75,-1.47,-0.71,"110,837",214.32,123.29,...,...,28.68,14.13,Thursday,Thursday,6/14/2018
350274,1798,Teledyne Technologies,TDY,205.58,205.98,203.49,204.88,-1.87,-0.9,"231,311",214.32,123.29,...,...,28.42,13.1,Friday,Friday,6/15/2018
350275,1799,Teledyne Technologies,TDY,204.09,205.96,203.93,204.98,0.1,0.05,"97,975",214.32,123.29,...,...,28.43,13.15,Monday,Monday,6/18/2018
350276,1800,Teledyne Technologies,TDY,202.64,203.25,199.07,201.51,-3.47,-1.69,"176,184",214.32,123.29,...,...,27.95,11.24,Tuesday,Tuesday,6/19/2018
350277,1803,Teledyne Technologies,TDY,202.22,202.83,200.31,201.45,-0.06,-0.03,"97,227",214.32,123.29,...,...,27.94,11.21,Wednesday,Wednesday,6/20/2018
350278,1798,Teledyne Technologies,TDY,201.37,201.37,198.12,199.27,-2.18,-1.08,"100,035",214.32,123.29,...,...,27.64,10,Thursday,Thursday,6/21/2018
350279,1798,Teledyne Technologies,TDY,200.98,202.22,199.26,202.03,2.76,1.39,"180,930",214.32,123.29,...,...,28.02,11.53,Friday,Friday,6/22/2018
