,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
356713,1860,Transmontaigne Partners,TLP,36.05,36.05,35.5,35.79,0.14,0.39,"10,907",47.45,33.98,3.08,8.61,16.27,-9.28,Thursday,Thursday,3/29/2018
356714,1851,Transmontaigne Partners,TLP,37.28,37.83,37.01,37.65,0.57,1.54,"7,232",47.45,33.98,3.08,8.18,17.11,-4.56,Wednesday,Wednesday,4/11/2018
356715,1853,Transmontaigne Partners,TLP,37.79,38.02,37.27,37.52,-0.13,-0.35,"29,383",47.45,33.98,3.08,8.21,17.05,-4.89,Thursday,Thursday,4/12/2018
356716,1837,Transmontaigne Partners,TLP,39.92,41.45,39.37,40.62,0.78,1.96,"40,781",47.45,33.98,3.08,7.58,18.46,2.97,Tuesday,Tuesday,4/17/2018
356717,1849,Transmontaigne Partners,TLP,40.79,41.01,39.83,40.05,-0.57,-1.4,"25,132",47.45,33.98,3.14,7.84,18.2,1.52,Wednesday,Wednesday,4/18/2018
356718,1850,Transmontaigne Partners,TLP,39.93,40.28,39.43,39.67,-0.38,-0.95,"10,721",47.45,33.98,3.14,7.92,18.03,0.56,Thursday,Thursday,4/19/2018
356719,1845,Transmontaigne Partners,TLP,39.71,40.13,39.3,40.05,0.38,0.96,"20,156",47.45,33.98,3.14,7.84,18.2,1.52,Friday,Friday,4/20/2018
356720,1853,Transmontaigne Partners,TLP,40.57,40.99,39.77,40.05,-0.47,-1.16,"22,082",47.45,33.98,3.14,7.84,18.2,1.52,Tuesday,Tuesday,4/24/2018
356721,1854,Transmontaigne Partners,TLP,39.93,40.31,39.51,40.18,0.13,0.32,"2,973",47.45,33.98,3.14,7.81,18.26,1.85,Wednesday,Wednesday,4/25/2018
356722,1853,Transmontaigne Partners,TLP,38.79,39.3,38.15,38.56,-0.24,-0.63,"20,919",47.45,33.98,3.14,8.14,17.53,-2.26,Friday,Friday,4/27/2018
356723,1852,Transmontaigne Partners,TLP,38.37,38.78,37.88,38.65,0.09,0.23,"17,056",47.45,33.98,3.14,8.12,17.57,-2.03,Monday,Monday,4/30/2018
356724,1859,Transmontaigne Partners,TLP,38.56,38.92,37.75,37.9,-0.75,-1.94,"7,676",47.45,33.98,3.14,8.28,17.23,-3.93,Tuesday,Tuesday,5/1/2018
356725,1854,Transmontaigne Partners,TLP,38.45,38.45,37.5,37.77,-0.43,-1.13,"23,649",47.45,33.98,3.14,8.31,17.17,-4.26,Thursday,Thursday,5/3/2018
356726,1855,Transmontaigne Partners,TLP,37.81,38.4,37.58,38.36,0.59,1.56,"28,966",47.45,33.98,3.14,8.19,17.44,-2.76,Friday,Friday,5/4/2018
356727,1861,Transmontaigne Partners,TLP,38.3,39.2,34.5,36.57,-1.79,-4.67,"199,942",47.45,33.98,3.14,8.59,16.62,-7.3,Monday,Monday,5/7/2018
356728,1850,Transmontaigne Partners,TLP,36.69,37.25,36.06,36.83,0.26,0.71,"41,138",47.45,33.98,3.14,8.53,16.74,-6.64,Tuesday,Tuesday,5/8/2018
356729,1867,Transmontaigne Partners,TLP,38.2,38.2,37.14,37.34,0.51,1.38,"25,087",47.45,33.98,3.14,8.41,16.97,-5.35,Wednesday,Wednesday,5/9/2018
356730,1861,Transmontaigne Partners,TLP,37.42,37.73,37.17,37.71,0.37,0.99,"35,409",47.45,33.98,3.14,8.33,...,-4.41,Thursday,Thursday,5/10/2018
356731,1858,Transmontaigne Partners,TLP,37.59,38.16,37,37.84,0.13,0.34,"45,146",47.45,33.98,3.14,8.3,...,-4.08,Friday,Friday,5/11/2018
356732,1862,Transmontaigne Partners,TLP,37.97,38.83,37.28,37.6,-0.24,-0.63,"32,127",47.45,33.98,3.14,8.35,17.9,-4.69,Monday,Monday,5/14/2018
356733,1859,Transmontaigne Partners,TLP,37.58,38.08,37.15,37.16,-0.44,-1.17,"13,270",47.45,33.98,3.14,8.45,17.7,-5.8,Tuesday,Tuesday,5/15/2018
356734,1861,Transmontaigne Partners,TLP,37.26,38.08,36.53,36.53,-0.63,-1.7,"18,285",47.45,33.98,3.14,8.6,17.4,-7.4,Wednesday,Wednesday,5/16/2018
356735,1858,Transmontaigne Partners,TLP,36.58,38.01,36.58,37.49,0.96,2.63,"25,816",47.45,33.98,3.14,8.38,17.85,-4.97,Thursday,Thursday,5/17/2018
356736,1856,Transmontaigne Partners,TLP,37.34,37.69,37.16,37.46,-0.03,-0.08,"16,057",47.45,33.98,3.14,8.38,17.84,-5.04,Friday,Friday,5/18/2018
356737,1859,Transmontaigne Partners,TLP,37.45,37.99,37.45,37.48,0.02,0.05,"3,112",47.45,33.98,3.14,8.38,17.85,-4.99,Monday,Monday,5/21/2018
356738,1859,Transmontaigne Partners,TLP,37.48,38.2,37.46,38.11,0.63,1.68,"38,032",47.45,33.98,3.14,8.24,18.15,-3.4,Tuesday,Tuesday,5/22/2018
356739,1861,Transmontaigne Partners,TLP,38.02,38.4,37.63,37.97,-0.14,-0.37,"21,432",47.45,33.98,3.14,8.27,18.08,-3.75,Wednesday,Wednesday,5/23/2018
356740,1863,Transmontaigne Partners,TLP,37.75,37.75,37.38,37.58,-0.39,-1.03,"18,744",47.45,33.98,3.14,8.36,17.9,-4.74,Thursday,Thursday,5/24/2018
356741,1867,Transmontaigne Partners,TLP,37.38,37.98,37.38,37.98,0.4,1.06,"9,002",47.45,33.98,3.14,8.27,18.09,-3.73,Friday,Friday,5/25/2018
356742,1863,Transmontaigne Partners,TLP,37.58,38.44,37.2,37.95,-0.03,-0.08,"8,174",47.45,33.98,3.14,8.27,18.07,-3.8,Tuesday,Tuesday,5/29/2018
356743,1865,Transmontaigne Partners,TLP,37.96,38.6,37.91,38.6,0.65,1.71,"14,662",47.45,33.98,3.14,8.13,18.38,-2.15,Wednesday,Wednesday,5/30/2018
356744,1863,Transmontaigne Partners,TLP,38.35,38.75,38.18,38.72,0.12,0.31,"15,086",47.45,33.98,3.14,8.11,18.44,-1.85,Thursday,Thursday,5/31/2018
356745,1864,Transmontaigne Partners,TLP,38.8,39.72,38.25,39.52,0.8,2.07,"17,897",47.45,33.98,3.14,7.95,18.82,0.18,Friday,Friday,6/1/2018
356746,1857,Transmontaigne Partners,TLP,39.53,39.53,38.43,38.43,-1.09,-2.76,"15,151",47.45,33.98,3.14,8.17,18.3,-2.59,Monday,Monday,6/4/2018
