,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
365077,1864,Travelers Cos.,TRV,139.48,139.97,138.47,138.86,0.07,0.05,"1,218,449",150.55,113.76,2.88,2.07,18.99,2.37,Thursday,Thursday,3/29/2018
365078,1855,Travelers Cos.,TRV,135.8,137.13,135.64,136.59,-1.27,-0.92,"847,095",150.55,113.76,2.88,2.11,18.68,0.7,Wednesday,Wednesday,4/11/2018
365079,1857,Travelers Cos.,TRV,137.35,138.33,136.73,137.29,0.7,0.51,"983,910",150.55,113.76,2.88,2.1,18.77,1.22,Thursday,Thursday,4/12/2018
365080,1841,Travelers Cos.,TRV,138.47,138.99,137.01,137.34,-0.21,-0.15,"1,259,597",150.55,113.76,2.88,2.1,18.78,1.25,Tuesday,Tuesday,4/17/2018
365081,1853,Travelers Cos.,TRV,137.77,137.92,135.18,136.47,-0.87,-0.63,"1,337,467",150.55,113.76,2.88,2.11,18.66,0.61,Wednesday,Wednesday,4/18/2018
365082,1854,Travelers Cos.,TRV,135.75,137.52,135.65,136.59,0.12,0.09,"1,411,666",150.55,113.76,2.88,2.11,18.68,0.7,Thursday,Thursday,4/19/2018
365083,1849,Travelers Cos.,TRV,136.86,137.84,135.85,136.84,0.25,0.18,"1,376,938",150.55,113.76,2.88,2.1,18.71,0.88,Friday,Friday,4/20/2018
365084,1857,Travelers Cos.,TRV,132.14,133.93,130.79,132.88,-4.35,-3.17,"3,008,569",150.55,113.76,2.88,2.17,18.17,-2.03,Tuesday,Tuesday,4/24/2018
365085,1858,Travelers Cos.,TRV,131.91,133.28,131.39,132.22,-0.66,-0.5,"1,743,041",150.55,113.76,3.08,2.33,17.48,-2.52,Wednesday,Wednesday,4/25/2018
365086,1857,Travelers Cos.,TRV,132.34,133.78,131.95,133.19,0.24,0.18,"1,090,193",150.55,113.76,3.08,2.31,17.61,-1.81,Friday,Friday,4/27/2018
365087,1856,Travelers Cos.,TRV,133.88,134.35,131.48,131.6,-1.59,-1.19,"1,565,469",150.55,113.76,3.08,2.34,17.4,-2.98,Monday,Monday,4/30/2018
365088,1863,Travelers Cos.,TRV,131.56,131.56,129.7,131.09,-0.51,-0.39,"1,198,854",150.55,113.76,3.08,2.35,17.33,-3.35,Tuesday,Tuesday,5/1/2018
365089,1858,Travelers Cos.,TRV,127.41,127.81,125.15,127.31,-1.01,-0.79,"2,106,445",150.55,113.76,3.08,2.42,16.83,-6.14,Thursday,Thursday,5/3/2018
365090,1859,Travelers Cos.,TRV,126.71,130.44,126.52,129.71,2.4,1.89,"1,487,077",150.55,113.76,3.08,2.37,17.15,-4.37,Friday,Friday,5/4/2018
365091,1865,Travelers Cos.,TRV,129.64,129.83,128.77,128.99,-0.72,-0.56,"1,174,473",150.55,113.76,3.08,2.39,17.05,-4.9,Monday,Monday,5/7/2018
365092,1854,Travelers Cos.,TRV,128.98,129.63,127.89,128.66,-0.33,-0.26,"1,198,214",150.55,113.76,3.08,2.39,17.01,-5.15,Tuesday,Tuesday,5/8/2018
365093,1871,Travelers Cos.,TRV,129.39,130.21,128.58,129.75,1.09,0.85,"1,084,583",150.55,113.76,3.08,2.37,17.15,-4.34,Wednesday,Wednesday,5/9/2018
365094,1865,Travelers Cos.,TRV,129.94,131.15,129.44,130.88,1.13,0.87,"902,748",150.55,113.76,3.08,2.35,17.3,-3.51,Thursday,Thursday,5/10/2018
365095,1862,Travelers Cos.,TRV,130.99,132.09,130.61,131.25,0.37,0.28,"1,021,960",150.55,113.76,3.08,2.35,17.35,-3.24,Friday,Friday,5/11/2018
365096,1866,Travelers Cos.,TRV,131.51,131.77,129.72,130,-1.25,-0.95,"1,138,930",150.55,113.76,3.08,2.37,17.19,-4.16,Monday,Monday,5/14/2018
365097,1863,Travelers Cos.,TRV,129.2,130.35,128.84,129.86,-0.14,-0.11,"1,509,929",150.55,113.76,3.08,2.37,17.17,-4.26,Tuesday,Tuesday,5/15/2018
365098,1865,Travelers Cos.,TRV,129.83,130.54,129.52,130.15,0.29,0.22,"812,504",150.55,113.76,3.08,2.37,17.21,-4.05,Wednesday,Wednesday,5/16/2018
365099,1862,Travelers Cos.,TRV,130,130.83,129.68,130.72,0.57,0.44,"785,658",150.55,113.76,3.08,2.36,17.28,-3.63,Thursday,Thursday,5/17/2018
365100,1860,Travelers Cos.,TRV,130.76,130.77,129.52,129.85,-0.87,-0.67,"931,254",150.55,113.76,3.08,2.37,17.17,-4.27,Friday,Friday,5/18/2018
