,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
369235,1889,Tyler Technologies,TYL,207.02,211.85,206.17,210.96,4.69,2.27,"139,156",214.33,152,...,...,50.59,19.15,Thursday,Thursday,3/29/2018
369236,1880,Tyler Technologies,TYL,210.93,215.37,210.93,214.42,1.66,0.78,"136,096",215.37,153.69,...,...,51.42,21.11,Wednesday,Wednesday,4/11/2018
369237,1882,Tyler Technologies,TYL,215,216.75,210.24,214.64,0.22,0.1,"136,562",216.75,153.69,...,...,51.47,21.23,Thursday,Thursday,4/12/2018
369238,1866,Tyler Technologies,TYL,219.98,224,219.3,224,5.1,2.33,"383,408",224,154.61,...,...,53.72,26.52,Tuesday,Tuesday,4/17/2018
369239,1878,Tyler Technologies,TYL,224.06,226.76,222.14,225.59,1.59,0.71,"300,523",226.76,156.31,...,...,54.1,27.42,Wednesday,Wednesday,4/18/2018
369240,1879,Tyler Technologies,TYL,225.89,226.59,224.28,226,0.41,0.18,"411,336",226.76,157.21,...,...,54.2,27.65,Thursday,Thursday,4/19/2018
369241,1874,Tyler Technologies,TYL,226.2,227.1,224.85,226.53,0.53,0.23,"210,563",227.1,157.6,...,...,54.32,27.95,Friday,Friday,4/20/2018
369242,1882,Tyler Technologies,TYL,228.97,230.82,222.05,223.05,-4.45,-1.96,"219,521",230.82,159.5,...,...,53.49,25.98,Tuesday,Tuesday,4/24/2018
369243,1883,Tyler Technologies,TYL,222.75,222.75,218.55,220.86,-2.19,-0.98,"208,261",230.82,159.63,...,...,52.96,24.74,Wednesday,Wednesday,4/25/2018
369244,1882,Tyler Technologies,TYL,222.84,223.91,220.73,221.89,0.08,0.04,"234,744",230.82,160.12,...,...,53.21,25.33,Friday,Friday,4/27/2018
369245,1881,Tyler Technologies,TYL,223.26,227.5,218.64,218.92,-2.97,-1.34,"320,556",230.82,160.12,...,...,52.5,23.65,Monday,Monday,4/30/2018
369246,1888,Tyler Technologies,TYL,219.52,220.02,217.47,220.02,1.1,0.5,"245,739",230.82,160.12,...,...,52.76,24.27,Tuesday,Tuesday,5/1/2018
369247,1883,Tyler Technologies,TYL,216.98,220.69,214.26,219.56,0.38,0.17,"216,615",230.82,160.12,...,...,52.65,24.01,Thursday,Thursday,5/3/2018
369248,1884,Tyler Technologies,TYL,218.09,223.21,217.26,222.14,2.58,1.18,"108,891",230.82,160.12,...,...,51.78,25.47,Friday,Friday,5/4/2018
369249,1890,Tyler Technologies,TYL,221.94,224.49,221,222.14,...,...,"281,934",230.82,160.12,...,...,51.78,25.47,Monday,Monday,5/7/2018
369250,1879,Tyler Technologies,TYL,221.62,224.02,220.59,223.88,1.74,0.78,"215,211",230.82,160.12,...,...,52.19,26.45,Tuesday,Tuesday,5/8/2018
369251,1896,Tyler Technologies,TYL,224.96,227.9,223.9,227.52,3.64,1.63,"164,241",230.82,160.12,...,...,53.03,28.51,Wednesday,Wednesday,5/9/2018
369252,1890,Tyler Technologies,TYL,228.48,229.72,227.14,229.5,1.98,0.87,"191,128",230.82,160.12,...,...,53.5,29.62,Thursday,Thursday,5/10/2018
369253,1887,Tyler Technologies,TYL,229,232.12,227.01,231.01,1.51,0.66,"172,219",232.12,160.12,...,...,53.85,30.48,Friday,Friday,5/11/2018
369254,1891,Tyler Technologies,TYL,231.68,232.48,228.73,229.07,-1.94,-0.84,"269,951",232.48,160.12,...,...,53.4,29.38,Monday,Monday,5/14/2018
369255,1888,Tyler Technologies,TYL,227.5,228.85,224.27,226.63,-2.44,-1.07,"201,811",232.48,160.12,...,...,52.83,28,Tuesday,Tuesday,5/15/2018
369256,1890,Tyler Technologies,TYL,226.3,228.82,225.58,226.92,0.29,0.13,"167,647",232.48,160.12,...,...,52.9,28.17,Wednesday,Wednesday,5/16/2018
369257,1887,Tyler Technologies,TYL,226.97,227.88,225.56,227.23,0.31,0.14,"114,919",232.48,160.12,...,...,52.97,28.34,Thursday,Thursday,5/17/2018
369258,1885,Tyler Technologies,TYL,227.62,228.95,226.38,227.75,0.52,0.23,"243,218",232.48,160.12,...,...,53.09,28.64,Friday,Friday,5/18/2018
369259,1888,Tyler Technologies,TYL,228.5,229.53,224.38,225.72,-2.03,-0.89,"163,137",232.48,160.12,...,...,52.62,27.49,Monday,Monday,5/21/2018
369260,1888,Tyler Technologies,TYL,225.95,226.73,223.66,224.12,-1.6,-0.71,"120,153",232.48,160.12,...,...,52.24,26.59,Tuesday,Tuesday,5/22/2018
369261,1890,Tyler Technologies,TYL,222.97,226.39,222.97,226.39,2.27,1.01,"175,952",232.48,160.12,...,...,52.77,27.87,Wednesday,Wednesday,5/23/2018
369262,1892,Tyler Technologies,TYL,226.28,229.23,225.12,228.21,1.82,0.8,"94,173",232.48,160.12,...,...,53.2,28.9,Thursday,Thursday,5/24/2018
369263,1896,Tyler Technologies,TYL,227.5,230.16,225.95,227.99,-0.22,-0.1,"93,601",232.48,160.12,...,...,53.14,28.77,Friday,Friday,5/25/2018
369264,1892,Tyler Technologies,TYL,226.45,228.65,226.03,227.19,-0.8,-0.35,"165,008",232.48,160.12,...,...,52.96,28.32,Tuesday,Tuesday,5/29/2018
369265,1894,Tyler Technologies,TYL,228.19,231.88,228.19,230.94,3.75,1.65,"213,945",232.48,160.12,...,...,53.83,30.44,Wednesday,Wednesday,5/30/2018
369266,1892,Tyler Technologies,TYL,230.91,232.14,229.89,231.62,0.68,0.29,"176,052",232.48,160.12,...,...,53.99,30.82,Thursday,Thursday,5/31/2018
