,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
376279,1941,USG,USG,40.55,41.15,40.34,40.42,0.04,0.1,"1,289,552",41.18,25.6,...,...,63.23,4.82,Thursday,Thursday,3/29/2018
376280,1932,USG,USG,39.41,40.07,39.32,39.82,0.16,0.4,"736,912",41.18,25.6,...,...,62.29,3.27,Wednesday,Wednesday,4/11/2018
376281,1934,USG,USG,39.86,41.45,39.6,40.77,0.95,2.39,"2,548,025",41.45,25.6,...,...,63.77,5.73,Thursday,Thursday,4/12/2018
376282,1916,USG,USG,41.25,41.5,41.09,41.28,0.26,0.63,"1,091,316",41.5,25.6,...,...,64.57,7.05,Tuesday,Tuesday,4/17/2018
376283,1929,USG,USG,41.3,41.48,41.22,41.28,...,...,"682,466",41.5,25.6,...,...,64.57,7.05,Wednesday,Wednesday,4/18/2018
376284,1929,USG,USG,41.32,41.32,40.73,40.99,-0.29,-0.7,"634,763",41.5,25.6,...,...,64.12,6.3,Thursday,Thursday,4/19/2018
376285,1925,USG,USG,40.92,41,40.5,40.61,-0.38,-0.93,"607,761",41.5,25.6,...,...,63.52,5.32,Friday,Friday,4/20/2018
376286,1932,USG,USG,40.72,40.75,40,40.07,-0.53,-1.31,"1,145,969",41.5,25.6,...,...,62.68,3.92,Tuesday,Tuesday,4/24/2018
376287,1934,USG,USG,40.36,40.53,39.73,40.31,0.24,0.6,"1,153,992",41.5,25.6,...,...,63.05,4.54,Wednesday,Wednesday,4/25/2018
376288,1932,USG,USG,40.79,40.89,40.43,40.46,0.25,0.62,"672,070",41.5,25.6,...,...,76.83,4.93,Friday,Friday,4/27/2018
376289,1932,USG,USG,40.43,40.7,40.22,40.23,-0.23,-0.57,"569,571",41.5,25.6,...,...,76.4,4.33,Monday,Monday,4/30/2018
376290,1938,USG,USG,40.29,42.14,40.22,42,1.77,4.4,"3,889,179",42.14,25.6,...,...,79.76,8.92,Tuesday,Tuesday,5/1/2018
376291,1933,USG,USG,41.45,41.65,41.09,41.49,-0.06,-0.14,"1,056,457",42.14,25.6,...,...,78.79,7.6,Thursday,Thursday,5/3/2018
376292,1934,USG,USG,41.39,41.92,41.26,41.44,-0.05,-0.12,"1,788,928",42.14,25.6,...,...,78.69,7.47,Friday,Friday,5/4/2018
376293,1942,USG,USG,41.52,41.87,41.45,41.82,0.38,0.92,"923,752",42.14,25.6,...,...,79.42,8.45,Monday,Monday,5/7/2018
376294,1928,USG,USG,41.72,42,41.72,41.99,0.17,0.41,"1,310,584",42.14,25.6,...,...,79.74,8.9,Tuesday,Tuesday,5/8/2018
376295,1946,USG,USG,42,42,41.52,41.74,-0.25,-0.6,"552,761",42.14,25.6,...,...,79.26,8.25,Wednesday,Wednesday,5/9/2018
376296,1939,USG,USG,41.82,41.9,41.28,41.37,-0.37,-0.89,"751,966",42.14,25.6,...,...,78.56,7.29,Thursday,Thursday,5/10/2018
376297,1939,USG,USG,41.37,41.81,41.27,41.75,0.38,0.92,"381,880",42.14,25.6,...,...,79.28,8.27,Friday,Friday,5/11/2018
376298,1943,USG,USG,41.68,41.8,41.4,41.55,-0.2,-0.48,"395,751",42.14,25.6,...,...,78.9,7.75,Monday,Monday,5/14/2018
376299,1940,USG,USG,41.21,41.56,41.08,41.43,-0.12,-0.29,"620,714",42.14,25.6,...,...,78.67,7.44,Tuesday,Tuesday,5/15/2018
376300,1940,USG,USG,41.47,41.8,41.37,41.51,0.08,0.19,"509,376",42.14,25.6,...,...,78.83,7.65,Wednesday,Wednesday,5/16/2018
376301,1939,USG,USG,41.53,41.8,41.45,41.59,0.08,0.19,"347,833",42.14,25.6,...,...,78.98,7.86,Thursday,Thursday,5/17/2018
376302,1935,USG,USG,41.63,41.65,41.24,41.45,-0.14,-0.34,"773,508",42.14,25.6,...,...,78.71,7.49,Friday,Friday,5/18/2018
376303,1936,USG,USG,41.6,41.87,41.37,41.63,0.18,0.43,"613,388",42.14,25.6,...,...,79.05,7.96,Monday,Monday,5/21/2018
376304,1938,USG,USG,41.63,41.99,41.4,41.5,-0.13,-0.31,"658,237",42.14,25.6,...,...,78.81,7.62,Tuesday,Tuesday,5/22/2018
376305,1938,USG,USG,41.49,41.9,41.25,41.5,...,...,"666,691",42.14,25.6,...,...,78.81,7.62,Wednesday,Wednesday,5/23/2018
376306,1944,USG,USG,41.43,41.57,41.3,41.4,-0.1,-0.24,"304,192",42.14,25.6,...,...,78.62,7.37,Thursday,Thursday,5/24/2018
376307,1945,USG,USG,41.29,41.39,41.18,41.24,-0.16,-0.39,"1,158,354",42.14,25.6,...,...,78.31,6.95,Friday,Friday,5/25/2018
376308,1941,USG,USG,41.02,41.37,40.67,41.3,0.06,0.15,"718,686",42.14,25.6,...,...,78.43,7.11,Tuesday,Tuesday,5/29/2018
376309,1943,USG,USG,41.47,41.69,41.33,41.51,0.21,0.51,"538,373",42.14,25.6,...,...,78.83,7.65,Wednesday,Wednesday,5/30/2018
376310,1943,USG,USG,41.6,41.96,41.4,41.48,-0.03,-0.07,"554,884",42.14,25.6,...,...,78.77,7.57,Thursday,Thursday,5/31/2018
376311,1942,USG,USG,41.63,41.75,41.22,41.41,-0.07,-0.17,"882,592",42.14,25.6,...,...,78.64,7.39,Friday,Friday,6/1/2018
376312,1936,USG,USG,41.43,41.72,41.19,41.24,-0.17,-0.41,"814,164",42.14,25.6,...,...,78.31,6.95,Monday,Monday,6/4/2018
376313,1935,USG,USG,41.28,41.49,41.19,41.22,-0.02,-0.05,"713,647",42.14,25.6,...,...,78.28,6.9,Tuesday,Tuesday,6/5/2018
376314,1942,USG,USG,41.32,41.38,41.08,41.3,0.08,0.19,"680,050",42.14,25.6,...,...,78.43,7.11,Wednesday,Wednesday,6/6/2018
