,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
376475,1915,United States 12 Month Oil Fund LP,USL,22.48,22.73,22.44,22.64,0.09,0.4,"15,667",22.92,15.45,...,...,...,8.22,Thursday,Thursday,3/29/2018
376476,1906,United States 12 Month Oil Fund LP,USL,22.96,23.3,22.95,23.18,0.35,1.53,"22,106",23.3,15.45,...,...,...,10.8,Wednesday,Wednesday,4/11/2018
376477,1908,United States 12 Month Oil Fund LP,USL,23.14,23.27,23,23.27,0.09,0.39,"10,628",23.3,15.45,...,...,...,11.23,Thursday,Thursday,4/12/2018
376478,1890,United States 12 Month Oil Fund LP,USL,23.09,23.21,23.08,23.17,0.03,0.14,"7,663",23.44,15.45,...,...,...,10.76,Tuesday,Tuesday,4/17/2018
376479,1903,United States 12 Month Oil Fund LP,USL,23.58,23.83,23.47,23.78,0.61,2.63,"39,077",23.83,15.45,...,...,...,13.67,Wednesday,Wednesday,4/18/2018
376480,1903,United States 12 Month Oil Fund LP,USL,23.98,24.02,23.68,23.71,-0.07,-0.29,"14,896",24.02,15.45,...,...,...,13.34,Thursday,Thursday,4/19/2018
376481,1899,United States 12 Month Oil Fund LP,USL,23.53,23.82,23.5,23.74,0.03,0.13,"7,422",24.02,15.45,...,...,...,13.48,Friday,Friday,4/20/2018
376482,1906,United States 12 Month Oil Fund LP,USL,23.96,24.05,23.64,23.64,-0.37,-1.54,"5,879",24.05,15.45,...,...,...,13,Tuesday,Tuesday,4/24/2018
376483,1908,United States 12 Month Oil Fund LP,USL,23.66,23.78,23.2,23.76,0.12,0.51,"13,854",24.05,15.45,...,...,...,13.58,Wednesday,Wednesday,4/25/2018
376484,1907,United States 12 Month Oil Fund LP,USL,23.76,23.88,23.74,23.8,-0.08,-0.34,"25,477",24.05,15.45,...,...,...,13.74,Friday,Friday,4/27/2018
376485,1906,United States 12 Month Oil Fund LP,USL,23.78,24.28,23.75,24,0.2,0.86,"35,462",24.28,15.45,...,...,...,14.72,Monday,Monday,4/30/2018
376486,1912,United States 12 Month Oil Fund LP,USL,23.89,23.89,23.57,23.57,-0.43,-1.79,"10,810",24.28,15.45,...,...,...,12.67,Tuesday,Tuesday,5/1/2018
376487,1908,United States 12 Month Oil Fund LP,USL,23.66,23.94,23.59,23.94,0.25,1.05,"7,323",24.28,15.45,...,...,...,14.43,Thursday,Thursday,5/3/2018
376488,1908,United States 12 Month Oil Fund LP,USL,23.91,24.45,23.91,24.38,0.44,1.85,"30,308",24.45,15.45,...,...,...,16.54,Friday,Friday,5/4/2018
376489,1916,United States 12 Month Oil Fund LP,USL,24.63,24.8,24.45,24.51,0.13,0.53,"85,805",24.8,15.45,...,...,...,17.16,Monday,Monday,5/7/2018
376490,1902,United States 12 Month Oil Fund LP,USL,24.68,24.72,23.86,24.51,...,...,"114,989",24.8,15.45,...,...,...,17.16,Tuesday,Tuesday,5/8/2018
376491,1920,United States 12 Month Oil Fund LP,USL,24.88,25.06,24.88,24.99,0.48,1.96,"54,630",25.06,15.45,...,...,...,19.46,Wednesday,Wednesday,5/9/2018
376492,1913,United States 12 Month Oil Fund LP,USL,25.06,25.22,24.95,25.16,0.17,0.68,"34,762",25.22,15.45,...,...,...,20.27,Thursday,Thursday,5/10/2018
376493,1913,United States 12 Month Oil Fund LP,USL,25.11,25.18,24.99,25.01,-0.15,-0.6,"24,152",25.22,15.45,...,...,...,19.55,Friday,Friday,5/11/2018
376494,1917,United States 12 Month Oil Fund LP,USL,25.03,25.22,25.03,25.2,0.19,0.76,"13,485",25.22,15.45,...,...,...,20.46,Monday,Monday,5/14/2018
376495,1914,United States 12 Month Oil Fund LP,USL,25.15,25.25,25.03,25.18,-0.02,-0.08,"33,410",25.25,15.45,...,...,...,20.36,Tuesday,Tuesday,5/15/2018
376496,1914,United States 12 Month Oil Fund LP,USL,25.14,25.33,25.12,25.33,0.15,0.6,"13,948",25.33,15.45,...,...,...,21.08,Wednesday,Wednesday,5/16/2018
376497,1913,United States 12 Month Oil Fund LP,USL,25.39,25.5,25.22,25.32,-0.01,-0.04,"41,570",25.5,15.45,...,...,...,21.03,Thursday,Thursday,5/17/2018
376498,1909,United States 12 Month Oil Fund LP,USL,25.22,25.27,25.17,25.21,-0.11,-0.43,"21,343",25.5,15.45,...,...,...,20.51,Friday,Friday,5/18/2018
376499,1910,United States 12 Month Oil Fund LP,USL,25.3,25.57,25.29,25.54,0.33,1.31,"18,854",25.57,15.45,...,...,...,22.08,Monday,Monday,5/21/2018
376500,1912,United States 12 Month Oil Fund LP,USL,25.62,25.74,25.49,25.5,-0.04,-0.16,"19,761",25.74,15.45,...,...,...,21.89,Tuesday,Tuesday,5/22/2018
376501,1912,United States 12 Month Oil Fund LP,USL,25.45,25.45,25.22,25.44,-0.06,-0.23,"5,790",25.74,15.45,...,...,...,21.62,Wednesday,Wednesday,5/23/2018
376502,1918,United States 12 Month Oil Fund LP,USL,25.24,25.24,25.06,25.06,-0.38,-1.5,"23,526",25.74,15.45,...,...,...,19.79,Thursday,Thursday,5/24/2018
376503,1919,United States 12 Month Oil Fund LP,USL,24.52,24.52,24.11,24.13,-0.93,-3.71,"31,918",25.74,15.45,...,...,...,15.34,Friday,Friday,5/25/2018
376504,1915,United States 12 Month Oil Fund LP,USL,23.94,23.94,23.63,23.77,-0.36,-1.49,"105,495",25.74,15.45,...,...,...,13.62,Tuesday,Tuesday,5/29/2018
376505,1917,United States 12 Month Oil Fund LP,USL,23.9,24.26,23.9,24.26,0.49,2.07,"8,155",25.74,15.45,...,...,...,15.98,Wednesday,Wednesday,5/30/2018
376506,1917,United States 12 Month Oil Fund LP,USL,23.89,24.2,23.76,23.95,-0.31,-1.29,"70,329",25.74,15.45,...,...,...,14.48,Thursday,Thursday,5/31/2018
376507,1916,United States 12 Month Oil Fund LP,USL,23.72,23.81,23.55,23.55,-0.4,-1.66,"18,270",25.74,15.45,...,...,...,12.58,Friday,Friday,6/1/2018
376508,1910,United States 12 Month Oil Fund LP,USL,23.65,23.65,23.35,23.37,-0.18,-0.77,"13,539",25.74,15.45,...,...,...,11.71,Monday,Monday,6/4/2018
376509,1909,United States 12 Month Oil Fund LP,USL,23.18,23.5,23.18,23.47,0.1,0.43,"16,377",25.74,15.45,...,...,...,12.19,Tuesday,Tuesday,6/5/2018
376510,1916,United States 12 Month Oil Fund LP,USL,23.47,23.49,23.2,23.43,-0.04,-0.17,"18,051",25.74,15.45,...,...,...,12,Wednesday,Wednesday,6/6/2018
376511,1913,United States 12 Month Oil Fund LP,USL,23.49,23.73,23.49,23.72,0.29,1.24,"44,902",25.74,15.45,...,...,...,13.38,Thursday,Thursday,6/7/2018
376512,1905,United States 12 Month Oil Fund LP,USL,23.69,23.75,23.5,23.61,-0.11,-0.48,"70,348",25.74,15.45,...,...,...,12.84,Friday,Friday,6/8/2018
376513,1912,United States 12 Month Oil Fund LP,USL,23.48,23.77,23.43,23.74,0.14,0.58,"9,271",25.74,15.45,...,...,...,13.5,Monday,Monday,6/11/2018
376514,1912,United States 12 Month Oil Fund LP,USL,23.54,23.89,23.54,23.77,0.03,0.11,"27,730",25.74,15.45,...,...,...,13.63,Tuesday,Tuesday,6/12/2018
376515,1905,United States 12 Month Oil Fund LP,USL,23.76,23.99,23.61,23.98,0.21,0.88,"48,512",25.74,15.45,...,...,...,14.63,Wednesday,Wednesday,6/13/2018
376516,1908,United States 12 Month Oil Fund LP,USL,23.97,23.99,23.79,23.87,-0.11,-0.46,"20,289",25.74,15.45,...,...,...,14.1,Thursday,Thursday,6/14/2018
376517,1908,United States 12 Month Oil Fund LP,USL,23.68,23.68,23.06,23.06,-0.81,-3.39,"23,435",25.74,15.45,...,...,...,10.23,Friday,Friday,6/15/2018
376518,1910,United States 12 Month Oil Fund LP,USL,23.29,23.54,23.22,23.45,0.39,1.69,"62,669",25.74,15.45,...,...,...,12.09,Monday,Monday,6/18/2018
376519,1910,United States 12 Month Oil Fund LP,USL,23.16,23.31,23.02,23.26,-0.19,-0.81,"5,208",25.74,15.45,...,...,...,11.19,Tuesday,Tuesday,6/19/2018
376520,1913,United States 12 Month Oil Fund LP,USL,23.51,23.52,23.21,23.36,0.1,0.43,"8,324",25.74,15.45,...,...,...,11.66,Wednesday,Wednesday,6/20/2018
376521,1908,United States 12 Month Oil Fund LP,USL,23.2,23.4,23.19,23.22,-0.14,-0.6,"66,290",25.74,15.6,...,...,...,10.99,Thursday,Thursday,6/21/2018
376522,1908,United States 12 Month Oil Fund LP,USL,23.84,24.2,23.73,24.2,0.98,4.22,"124,048",25.74,15.6,...,...,...,15.68,Friday,Friday,6/22/2018
376523,1915,United States 12 Month Oil Fund LP,USL,24.01,24.01,23.83,23.99,-0.21,-0.87,"57,727",25.74,15.65,...,...,...,14.67,Monday,Monday,6/25/2018
376524,1920,United States 12 Month Oil Fund LP,USL,24.13,24.6,24.12,24.52,0.53,2.21,"11,422",25.74,15.98,...,...,...,17.21,Tuesday,Tuesday,6/26/2018
376525,1923,United States 12 Month Oil Fund LP,USL,24.78,25.17,23.69,24.93,0.41,1.67,"48,269",25.74,15.99,...,...,...,19.17,Wednesday,Wednesday,6/27/2018
376526,1916,United States 12 Month Oil Fund LP,USL,25.07,25.21,24.99,25.06,0.13,0.52,"28,648",25.74,15.99,...,...,...,19.79,Thursday,Thursday,6/28/2018
376527,1920,United States 12 Month Oil Fund LP,USL,25.25,25.46,25.25,25.32,0.26,1.04,"42,891",25.74,15.99,...,...,...,21.03,Friday,Friday,6/29/2018
376528,1919,United States 12 Month Oil Fund LP,USL,25.13,25.21,24.77,24.79,-0.53,-2.09,"25,795",25.74,15.99,...,...,...,18.5,Monday,Monday,7/2/2018
376529,1907,United States 12 Month Oil Fund LP,USL,25.05,25.13,24.57,24.69,-0.1,-0.39,"48,207",25.74,15.99,...,...,...,18.03,Tuesday,Tuesday,7/3/2018
376530,1922,United States 12 Month Oil Fund LP,USL,24.96,25.04,24.7,24.9,0.21,0.84,"13,898",25.74,15.99,...,...,...,19.02,Thursday,Thursday,7/5/2018
376531,1920,United States 12 Month Oil Fund LP,USL,24.9,25.02,24.76,25.01,0.11,0.44,"37,885",25.74,15.99,...,...,...,19.55,Friday,Friday,7/6/2018
376532,1924,United States 12 Month Oil Fund LP,USL,25.17,25.32,25.08,25.32,0.31,1.24,"42,792",25.74,16,...,...,...,21.03,Monday,Monday,7/9/2018
376533,1917,United States 12 Month Oil Fund LP,USL,25.53,25.59,25.39,25.41,0.09,0.36,"17,323",25.74,16.15,...,...,...,21.46,Tuesday,Tuesday,7/10/2018
376534,1914,United States 12 Month Oil Fund LP,USL,25.16,25.4,24.06,24.23,-1.18,-4.64,"26,946",25.74,16.45,...,...,...,15.82,Wednesday,Wednesday,7/11/2018
376535,1923,United States 12 Month Oil Fund LP,USL,24.39,24.58,24.14,24.55,0.32,1.32,"19,438",25.74,16.45,...,...,...,17.35,Thursday,Thursday,7/12/2018
376536,1919,United States 12 Month Oil Fund LP,USL,24.54,24.86,24.54,24.67,0.12,0.49,"22,997",25.74,16.45,...,...,...,17.93,Friday,Friday,7/13/2018
376537,1911,United States 12 Month Oil Fund LP,USL,24.18,24.22,23.75,23.79,-0.88,-3.57,"43,830",25.74,16.45,...,...,...,13.72,Monday,Monday,7/16/2018
376538,1910,United States 12 Month Oil Fund LP,USL,23.77,24.05,23.77,23.84,0.05,0.21,"13,565",25.74,16.45,...,...,...,13.96,Tuesday,Tuesday,7/17/2018
376539,1920,United States 12 Month Oil Fund LP,USL,23.75,24.13,23.75,24.1,0.26,1.09,"10,444",25.74,16.45,...,...,...,15.2,Wednesday,Wednesday,7/18/2018
