,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
390491,2002,Waste Connections,WCN,71.63,72.22,71.19,71.74,0.56,0.79,"1,383,332",74.59,58.28,0.56,0.78,32.86,1.13,Thursday,Thursday,3/29/2018
390492,1995,Waste Connections,WCN,71.85,72.42,71.65,72.1,0.03,0.04,"641,770",74.59,58.33,0.56,0.78,33.02,1.64,Wednesday,Wednesday,4/11/2018
390493,1997,Waste Connections,WCN,72.25,72.6,72.01,72.46,0.36,0.5,"694,129",74.59,58.33,0.56,0.77,33.19,2.14,Thursday,Thursday,4/12/2018
390494,1979,Waste Connections,WCN,73.8,74.33,73.42,73.64,0.31,0.42,"746,367",74.59,58.35,0.56,0.76,33.73,3.81,Tuesday,Tuesday,4/17/2018
390495,1992,Waste Connections,WCN,73.32,74.16,73.18,73.9,0.26,0.35,"423,446",74.59,58.9,0.56,0.76,33.85,4.17,Wednesday,Wednesday,4/18/2018
390496,1992,Waste Connections,WCN,73.84,74.4,73.67,73.91,0.01,0.01,"563,580",74.59,58.99,0.56,0.76,33.85,4.19,Thursday,Thursday,4/19/2018
390497,1989,Waste Connections,WCN,73.57,74.33,73.48,73.72,-0.19,-0.26,"748,124",74.59,59.14,0.56,0.76,33.77,3.92,Friday,Friday,4/20/2018
390498,1995,Waste Connections,WCN,73.58,73.84,72.47,72.65,-0.72,-0.98,"597,754",74.59,59.14,0.56,0.77,33.28,2.41,Tuesday,Tuesday,4/24/2018
390499,1997,Waste Connections,WCN,72.53,72.69,71.93,72.48,-0.17,-0.23,"491,271",74.59,59.14,0.56,0.77,33.2,2.17,Wednesday,Wednesday,4/25/2018
390500,1995,Waste Connections,WCN,72.89,73.86,72.89,73.3,0.39,0.53,"418,978",74.59,60.35,0.56,0.76,33.57,3.33,Friday,Friday,4/27/2018
390501,1994,Waste Connections,WCN,73.62,73.84,72.3,72.3,-1,-1.36,"851,547",74.59,60.35,0.56,0.77,33.12,1.92,Monday,Monday,4/30/2018
