,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
396113,1997,Walmart,WMT,87.9,89.34,87.77,88.97,1.2,1.37,"8,893,596",109.98,70.64,2.08,2.34,27.21,-9.9,Thursday,Thursday,3/29/2018
396114,1990,Walmart,WMT,86,86.86,85.8,85.91,-0.54,-0.62,"5,973,507",109.98,73.13,2.08,2.42,26.27,-13,Wednesday,Wednesday,4/11/2018
396115,1992,Walmart,WMT,86.19,86.83,85.41,85.43,-0.48,-0.56,"6,404,989",109.98,73.13,2.08,2.43,26.13,-13.49,Thursday,Thursday,4/12/2018
396116,1974,Walmart,WMT,87.48,88.17,87.41,87.9,1.06,1.22,"6,492,084",109.98,73.13,2.08,2.37,26.88,-10.99,Tuesday,Tuesday,4/17/2018
396117,1987,Walmart,WMT,88.2,88.56,87.51,87.57,-0.33,-0.38,"5,295,172",109.98,73.13,2.08,2.38,26.78,-11.32,Wednesday,Wednesday,4/18/2018
396118,1987,Walmart,WMT,87.41,88.04,86.58,87.89,0.32,0.37,"6,479,992",109.98,73.13,2.08,2.37,26.88,-11,Thursday,Thursday,4/19/2018
396119,1984,Walmart,WMT,87.87,88.38,86.67,86.98,-0.91,-1.04,"7,098,000",109.98,73.13,2.08,2.39,26.6,-11.92,Friday,Friday,4/20/2018
396120,1990,Walmart,WMT,86.77,86.91,85.57,86.53,0.43,0.5,"7,917,603",109.98,73.13,2.08,2.4,26.46,-12.37,Tuesday,Tuesday,4/24/2018
396121,1992,Walmart,WMT,86.32,87.7,85.89,87.17,0.64,0.74,"6,568,222",109.98,73.13,2.08,2.39,26.66,-11.73,Wednesday,Wednesday,4/25/2018
396122,1990,Walmart,WMT,87.87,87.9,87.08,87.29,-0.65,-0.74,"5,550,344",109.98,73.13,2.08,2.38,26.69,-11.61,Friday,Friday,4/27/2018
396123,1989,Walmart,WMT,87.94,89.66,87.92,88.46,1.17,1.34,"8,011,922",109.98,73.13,2.08,2.35,27.05,-10.42,Monday,Monday,4/30/2018
396124,1996,Walmart,WMT,87.67,88.01,86.35,87.41,-1.05,-1.19,"6,743,733",109.98,73.13,2.08,2.38,26.73,-11.48,Tuesday,Tuesday,5/1/2018
396125,1991,Walmart,WMT,86.19,86.29,85.12,86.23,-0.11,-0.13,"6,689,712",109.98,73.13,2.08,2.41,26.37,-12.68,Thursday,Thursday,5/3/2018
396126,1992,Walmart,WMT,86,88.1,85.36,87.53,1.3,1.51,"6,825,924",109.98,73.13,2.08,2.38,26.77,-11.36,Friday,Friday,5/4/2018
396127,2001,Walmart,WMT,87.49,87.5,85.27,85.47,-2.06,-2.35,"10,584,617",109.98,73.13,2.08,2.43,26.14,-13.45,Monday,Monday,5/7/2018
396128,1986,Walmart,WMT,85.52,85.85,84.92,85.74,0.27,0.32,"6,372,507",109.98,73.13,2.08,2.43,26.22,-13.17,Tuesday,Tuesday,5/8/2018
396129,2005,Walmart,WMT,82.56,83.68,82,83.06,-2.68,-3.13,"31,923,091",109.98,73.13,2.08,2.5,25.4,-15.89,Wednesday,Wednesday,5/9/2018
396130,1998,Walmart,WMT,82.64,83.77,82.01,82.69,0.15,0.18,"14,445,078",109.98,73.13,2.08,2.52,25.29,-16.26,Thursday,Thursday,5/10/2018
396131,1998,Walmart,WMT,82.69,83.52,81.95,83.38,0.69,0.83,"9,843,117",109.98,73.13,2.08,2.49,25.5,-15.56,Friday,Friday,5/11/2018
396132,2002,Walmart,WMT,83.89,84.79,83.65,84.39,1.01,1.21,"9,090,225",109.98,73.13,2.08,2.46,25.81,-14.54,Monday,Monday,5/14/2018
396133,1997,Walmart,WMT,84.06,84.88,83.8,84.52,0.13,0.15,"8,656,307",109.98,73.13,2.08,2.46,25.85,-14.41,Tuesday,Tuesday,5/15/2018
396134,1998,Walmart,WMT,84.87,86.63,84.74,86.13,1.61,1.9,"13,128,930",109.98,73.13,2.08,2.41,26.34,-12.78,Wednesday,Wednesday,5/16/2018
396135,1997,Walmart,WMT,87.04,87.59,83.85,84.49,-1.64,-1.9,"28,260,156",109.98,73.13,2.08,2.46,25.84,-14.44,Thursday,Thursday,5/17/2018
396136,1994,Walmart,WMT,84.24,84.44,83.49,83.64,-0.85,-1.01,"11,488,181",109.98,73.13,2.08,2.49,27.97,-15.3,Friday,Friday,5/18/2018
396137,1995,Walmart,WMT,84.14,84.54,83.82,84.51,0.87,1.04,"9,376,230",109.98,73.13,2.08,2.46,28.26,-14.42,Monday,Monday,5/21/2018
396138,1996,Walmart,WMT,84.5,84.81,83.29,83.37,-1.14,-1.35,"7,795,539",109.98,73.13,2.08,2.49,27.88,-15.57,Tuesday,Tuesday,5/22/2018
396139,1996,Walmart,WMT,82.95,83.02,82.17,83.01,-0.36,-0.43,"8,912,608",109.98,73.13,2.08,2.51,27.76,-15.94,Wednesday,Wednesday,5/23/2018
396140,2000,Walmart,WMT,83,83,81.78,82.85,-0.16,-0.19,"8,168,568",109.98,73.13,2.08,2.51,27.71,-16.1,Thursday,Thursday,5/24/2018
396141,2002,Walmart,WMT,82.85,83.34,82.32,82.46,-0.39,-0.47,"5,625,065",109.98,73.13,2.08,2.52,27.58,-16.5,Friday,Friday,5/25/2018
396142,1999,Walmart,WMT,81.96,82.52,81.81,82.4,-0.06,-0.07,"7,547,384",109.98,73.13,2.08,2.52,27.56,-16.56,Tuesday,Tuesday,5/29/2018
396143,2002,Walmart,WMT,82.45,84.23,82.26,84.12,1.72,2.09,"9,080,658",109.98,73.13,2.08,2.47,28.13,-14.82,Wednesday,Wednesday,5/30/2018
