,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
400345,2039,White Mountains Insurance Group,WTM,817.75,822.52,812.35,822.52,2.22,0.27,"29,122",903.26,786.23,1,0.12,51.04,-3.38,Thursday,Thursday,3/29/2018
400346,2032,White Mountains Insurance Group,WTM,859.23,866,857.6,859.31,1.43,0.17,"87,562",903.26,786.23,1,0.12,53.32,0.94,Wednesday,Wednesday,4/11/2018
400347,2034,White Mountains Insurance Group,WTM,865.5,865.5,858.46,858.9,-0.41,-0.05,"44,660",903.26,786.23,1,0.12,53.3,0.9,Thursday,Thursday,4/12/2018
400348,2016,White Mountains Insurance Group,WTM,859.73,865.5,859,861.2,4.2,0.49,"56,334",903.26,786.23,1,0.12,53.44,1.17,Tuesday,Tuesday,4/17/2018
400349,2029,White Mountains Insurance Group,WTM,863.88,869,858.97,864.11,2.91,0.34,"57,592",903.26,786.23,1,0.12,53.62,1.51,Wednesday,Wednesday,4/18/2018
400350,2029,White Mountains Insurance Group,WTM,864.99,866.22,858.45,860.73,-3.38,-0.39,"57,717",903.26,786.23,1,0.12,53.41,1.11,Thursday,Thursday,4/19/2018
400351,2026,White Mountains Insurance Group,WTM,863.16,865.87,856.13,861.29,0.56,0.07,"56,148",903.26,786.23,1,0.12,53.44,1.18,Friday,Friday,4/20/2018
400352,2032,White Mountains Insurance Group,WTM,864.95,866.07,862.25,863.02,-0.92,-0.11,"40,509",903.26,786.23,1,0.12,53.55,1.38,Tuesday,Tuesday,4/24/2018
400353,2034,White Mountains Insurance Group,WTM,864.24,868,863,867.14,4.12,0.48,"44,158",903.26,786.23,1,0.12,53.81,1.86,Wednesday,Wednesday,4/25/2018
400354,2032,White Mountains Insurance Group,WTM,867.55,868.04,864.51,867.17,0.77,0.09,"45,584",903.26,786.23,1,0.12,53.81,1.87,Friday,Friday,4/27/2018
