,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
401647,2056,World Wrestling Entertainment Cl A,WWE,36.14,36.55,35.94,36.01,-0.11,-0.3,"546,130",39.09,19.12,0.48,1.33,87.83,17.76,Thursday,Thursday,3/29/2018
401648,2049,World Wrestling Entertainment Cl A,WWE,38.52,38.79,38.06,38.51,-0.17,-0.44,"539,570",39.09,19.12,0.48,1.25,93.93,25.93,Wednesday,Wednesday,4/11/2018
401649,2051,World Wrestling Entertainment Cl A,WWE,38.65,38.95,38.11,38.52,0.01,0.03,"405,142",39.09,19.12,0.48,1.25,93.95,25.96,Thursday,Thursday,4/12/2018
401650,2033,World Wrestling Entertainment Cl A,WWE,38.98,39.33,38.34,38.96,-0.52,-1.32,"715,089",39.56,19.12,0.48,1.23,95.02,27.4,Tuesday,Tuesday,4/17/2018
401651,2046,World Wrestling Entertainment Cl A,WWE,39,39.55,38.85,38.9,-0.06,-0.15,"654,943",39.56,19.12,0.48,1.23,94.88,27.21,Wednesday,Wednesday,4/18/2018
401652,2046,World Wrestling Entertainment Cl A,WWE,38.87,39.3,38.43,38.9,...,...,"659,213",39.56,19.12,0.48,1.23,94.88,27.21,Thursday,Thursday,4/19/2018
401653,2043,World Wrestling Entertainment Cl A,WWE,39.05,39.57,38.92,39.33,0.43,1.11,"629,151",39.57,19.12,0.48,1.22,95.93,28.61,Friday,Friday,4/20/2018
401654,2049,World Wrestling Entertainment Cl A,WWE,39.35,39.43,38.28,38.43,-0.72,-1.84,"573,646",39.64,19.12,0.48,1.25,93.73,25.67,Tuesday,Tuesday,4/24/2018
401655,2051,World Wrestling Entertainment Cl A,WWE,38.43,40.18,38.31,39.53,1.1,2.86,"1,916,532",40.18,19.12,0.48,1.21,96.41,29.27,Wednesday,Wednesday,4/25/2018
401656,2049,World Wrestling Entertainment Cl A,WWE,40.48,40.6,40.1,40.3,-0.01,-0.02,"717,435",40.6,19.12,0.48,1.19,98.29,31.79,Friday,Friday,4/27/2018
401657,2048,World Wrestling Entertainment Cl A,WWE,40.31,40.64,39.78,39.79,-0.51,-1.27,"424,738",40.64,19.12,0.48,1.21,97.05,30.12,Monday,Monday,4/30/2018
401658,2055,World Wrestling Entertainment Cl A,WWE,39.72,40,39.12,39.77,-0.02,-0.05,"490,355",40.64,19.12,0.48,1.21,97,30.05,Tuesday,Tuesday,5/1/2018
401659,2050,World Wrestling Entertainment Cl A,WWE,39,41.6,38.5,41.39,1.61,4.05,"1,599,430",41.6,19.12,0.48,1.16,100.95,35.35,Thursday,Thursday,5/3/2018
401660,2051,World Wrestling Entertainment Cl A,WWE,40.77,41.09,40.39,41.01,-0.38,-0.92,"816,765",41.6,19.12,0.48,1.17,70.71,34.11,Friday,Friday,5/4/2018
401661,2060,World Wrestling Entertainment Cl A,WWE,41.19,42.08,40.89,42.07,1.06,2.58,"886,317",42.08,19.12,0.48,1.14,72.53,37.57,Monday,Monday,5/7/2018
401662,2045,World Wrestling Entertainment Cl A,WWE,41.82,42.72,41.73,42.06,-0.01,-0.02,"695,553",42.72,19.12,0.48,1.14,72.52,37.54,Tuesday,Tuesday,5/8/2018
401663,2064,World Wrestling Entertainment Cl A,WWE,42.12,42.86,42.01,42.59,0.53,1.26,"476,040",42.86,19.12,0.48,1.13,73.43,39.27,Wednesday,Wednesday,5/9/2018
401664,2057,World Wrestling Entertainment Cl A,WWE,42.78,43.67,42.76,43.08,0.49,1.15,"659,446",43.67,19.12,0.48,1.11,74.28,40.88,Thursday,Thursday,5/10/2018
401665,2057,World Wrestling Entertainment Cl A,WWE,43.22,43.52,42.96,43.51,0.43,1,"361,842",43.67,19.12,0.48,1.1,75.02,42.28,Friday,Friday,5/11/2018
401666,2061,World Wrestling Entertainment Cl A,WWE,43.69,43.88,42.92,43.57,0.06,0.14,"869,706",43.88,19.12,0.48,1.1,75.12,42.48,Monday,Monday,5/14/2018
401667,2056,World Wrestling Entertainment Cl A,WWE,43.25,43.96,43.01,43.65,0.08,0.18,"451,556",43.96,19.12,0.48,1.1,75.26,42.74,Tuesday,Tuesday,5/15/2018
401668,2057,World Wrestling Entertainment Cl A,WWE,43.76,43.86,43.43,43.59,-0.06,-0.14,"450,104",43.96,19.12,0.48,1.1,75.16,42.54,Wednesday,Wednesday,5/16/2018
