,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
5028,183583,AcelRx Pharmaceuticals,ACRX,2.15,2.2,2.1,2.1,-0.05,-2.33,"265,795",5.75,1.55,0,0,0,3.70,Nasdaq,Thursday,2018-03-29
5029,288195,AcelRx Pharmaceuticals,ACRX,2.25,2.3,2.2,2.3,0.05,2.22,"413,009",5.75,1.55,0,0,0,13.58,Nasdaq,Wednesday,2018-04-11
5030,141444,AcelRx Pharmaceuticals,ACRX,2.3,2.3,2.2,2.2,-0.10,-4.35,"370,822",5.75,1.55,0,0,0,8.64,Nasdaq,Thursday,2018-04-12
5031,216634,AcelRx Pharmaceuticals,ACRX,2.4,2.45,2.35,2.4,0,0,"457,492",5.75,1.55,0,0,0,18.52,Nasdaq,Tuesday,2018-04-17
5032,289994,AcelRx Pharmaceuticals,ACRX,2.4,2.5,2.35,2.4,0,0,"578,903",5.75,1.55,0,0,0,18.52,Nasdaq,Wednesday,2018-04-18
5033,143246,AcelRx Pharmaceuticals,ACRX,2.4,2.45,2.37,2.42,0.02,1.04,"454,725",5.75,1.55,0,0,0,19.75,Nasdaq,Thursday,2018-04-19
5034,21,AcelRx Pharmaceuticals,ACRX,2.4,2.42,2.35,2.35,-0.07,-3.09,"219,069",5.75,1.55,0,0,0,16.05,Nasdaq,Friday,2018-04-20
5035,218442,AcelRx Pharmaceuticals,ACRX,2.3,2.35,2.3,2.35,0.05,2.17,"134,964",5.75,1.55,0,0,0,16.05,Nasdaq,Tuesday,2018-04-24
5036,291806,AcelRx Pharmaceuticals,ACRX,2.4,2.4,2.3,2.35,0,0,"182,668",5.75,1.55,0,0,0,16.05,Nasdaq,Wednesday,2018-04-25
5037,1835,AcelRx Pharmaceuticals,ACRX,2.5,2.6,2.4,2.45,0.15,6.52,"1,286,514",5.75,1.55,0,0,0,20.99,Nasdaq,Friday,2018-04-27
5038,75290,AcelRx Pharmaceuticals,ACRX,2.55,2.56,2.4,2.4,-0.05,-2.04,"475,701",5.75,1.55,0,0,0,18.52,Nasdaq,Monday,2018-04-30
5039,255087,AcelRx Pharmaceuticals,ACRX,2.4,2.45,2.3,2.45,0.05,2.08,"405,126",5.75,1.55,0,0,0,20.99,Nasdaq,Tuesday,2018-05-01
5040,185409,AcelRx Pharmaceuticals,ACRX,2.5,2.55,2.4,2.42,-0.08,-3.00,"178,704",5.75,1.55,0,0,0,19.75,Nasdaq,Thursday,2018-05-03
5041,44002,AcelRx Pharmaceuticals,ACRX,2.4,2.55,2.4,2.5,0.08,3.09,"317,961",5.75,1.55,0,0,0,23.46,Nasdaq,Friday,2018-05-04
5042,113812,AcelRx Pharmaceuticals,ACRX,2.45,2.55,2.45,2.5,0,0,"508,901",5.75,1.55,0,0,0,23.46,Nasdaq,Monday,2018-05-07
5043,256892,AcelRx Pharmaceuticals,ACRX,2.55,2.55,2.46,2.5,0,0,"311,141",5.75,1.55,0,0,0,23.46,Nasdaq,Tuesday,2018-05-08
5044,328434,AcelRx Pharmaceuticals,ACRX,2.6,2.65,2.5,2.5,0,0,"349,925",5.75,1.55,0,0,0,23.46,Nasdaq,Wednesday,2018-05-09
5045,187212,AcelRx Pharmaceuticals,ACRX,2.5,2.55,2.4,2.5,0,0,"474,677",5.75,1.55,0,0,0,23.46,Nasdaq,Thursday,2018-05-10
5046,45813,AcelRx Pharmaceuticals,ACRX,2.5,2.58,2.45,2.5,0,0,"388,678",5.75,1.55,0,0,0,23.46,Nasdaq,Friday,2018-05-11
5047,115626,AcelRx Pharmaceuticals,ACRX,2.5,2.6,2.48,2.55,0.05,2.00,"247,101",5.75,1.55,0,0,0,25.93,Nasdaq,Monday,2018-05-14
5048,258705,AcelRx Pharmaceuticals,ACRX,2.55,2.92,2.55,2.8,0.25,9.80,"1,001,731",5.75,1.55,0,0,0,38.27,Nasdaq,Tuesday,2018-05-15
5049,330255,AcelRx Pharmaceuticals,ACRX,2.95,3.1,2.85,3.05,0.25,8.93,"1,298,637",5.75,1.55,0,0,0,50.62,Nasdaq,Wednesday,2018-05-16
5050,189017,AcelRx Pharmaceuticals,ACRX,3.1,3.15,2.95,3.0,-0.05,-1.64,"1,276,924",5.75,1.55,0,0,0,48.15,Nasdaq,Thursday,2018-05-17
5051,47631,AcelRx Pharmaceuticals,ACRX,3.0,3.0,2.85,2.95,-0.05,-1.67,"670,836",5.75,1.55,0,0,0,45.68,Nasdaq,Friday,2018-05-18
5052,117444,AcelRx Pharmaceuticals,ACRX,2.95,3.0,2.85,2.9,-0.05,-1.69,"347,154",5.75,1.55,0,0,0,43.21,Nasdaq,Monday,2018-05-21
5053,260519,AcelRx Pharmaceuticals,ACRX,2.9,2.95,2.85,2.9,0,0,"345,874",5.75,1.55,0,0,0,43.21,Nasdaq,Tuesday,2018-05-22
5054,332078,AcelRx Pharmaceuticals,ACRX,3.0,3.15,2.95,3.15,0.25,8.62,"820,721",5.75,1.55,0,0,0,55.56,Nasdaq,Wednesday,2018-05-23
5055,190834,AcelRx Pharmaceuticals,ACRX,3.45,3.5,3.3,3.4,0.25,7.94,"2,107,188",5.75,1.55,0,0,0,67.90,Nasdaq,Thursday,2018-05-24
5056,49448,AcelRx Pharmaceuticals,ACRX,3.45,3.45,3.1,3.2,-0.20,-5.88,"1,196,875",5.75,1.55,0,0,0,58.02,Nasdaq,Friday,2018-05-25
5057,262339,AcelRx Pharmaceuticals,ACRX,3.3,3.45,3.25,3.35,0.15,4.69,"1,230,336",5.75,1.55,0,0,0,65.43,Nasdaq,Tuesday,2018-05-29
5058,333888,AcelRx Pharmaceuticals,ACRX,3.4,3.5,3.35,3.4,0.05,1.49,"546,877",5.75,1.55,0,0,0,67.90,Nasdaq,Wednesday,2018-05-30
5059,192651,AcelRx Pharmaceuticals,ACRX,3.35,3.45,3.3,3.4,0,0,"629,434",5.75,1.55,0,0,0,67.90,Nasdaq,Thursday,2018-05-31
