,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
5419,183593,Acxiom,ACXM,24.93,24.93,18.6,22.71,-5.34,-19.04,"17,429,352",32.93,18.60,0,0,189.25,-17.60,Nasdaq,Thursday,2018-03-29
5420,288205,Acxiom,ACXM,23.57,24.62,23.57,24.19,0.42,1.77,"1,096,192",32.93,18.60,0,0,201.58,-12.23,Nasdaq,Wednesday,2018-04-11
5421,141454,Acxiom,ACXM,24.32,25.03,24.22,24.8,0.61,2.52,"938,227",32.93,18.6,0,0,206.67,-10.01,Nasdaq,Thursday,2018-04-12
5422,216644,Acxiom,ACXM,24.59,25.44,24.59,25.24,0.65,2.64,"855,716",32.93,18.60,0,0,210.33,-8.42,Nasdaq,Tuesday,2018-04-17
5423,290004,Acxiom,ACXM,25.35,25.95,25.24,25.77,0.53,2.10,"498,366",32.93,18.6,0,0,214.75,-6.49,Nasdaq,Wednesday,2018-04-18
5424,143256,Acxiom,ACXM,25.66,25.95,24.41,25.63,-0.14,-0.54,"354,547",32.93,18.60,0,0,213.58,-7.00,Nasdaq,Thursday,2018-04-19
5425,31,Acxiom,ACXM,25.54,25.73,25.29,25.5,-0.13,-0.51,"457,269",32.93,18.60,0,0,212.50,-7.47,Nasdaq,Friday,2018-04-20
5426,218452,Acxiom,ACXM,25.67,26.0,25.09,25.37,-0.18,-0.70,"384,607",32.93,18.6,0,0,211.42,-7.95,Nasdaq,Tuesday,2018-04-24
5427,291816,Acxiom,ACXM,25.41,25.79,25.03,25.53,0.16,0.63,"763,715",32.93,18.6,0,0,212.75,-7.37,Nasdaq,Wednesday,2018-04-25
5428,1845,Acxiom,ACXM,26.04,26.34,25.86,26.18,0.20,0.77,"363,382",32.93,18.60,0,0,218.17,-5.01,Nasdaq,Friday,2018-04-27
5429,75300,Acxiom,ACXM,26.27,26.48,25.91,25.98,-0.20,-0.76,"541,428",32.93,18.6,0,0,216.50,-5.73,Nasdaq,Monday,2018-04-30
5430,255097,Acxiom,ACXM,25.82,26.25,25.31,26.17,0.19,0.73,"350,383",32.93,18.6,0,0,218.08,-5.04,Nasdaq,Tuesday,2018-05-01
5431,185419,Acxiom,ACXM,25.75,26.08,25.27,25.55,-0.37,-1.43,"565,460",32.93,18.60,0,0,212.92,-7.29,Nasdaq,Thursday,2018-05-03
5432,44012,Acxiom,ACXM,25.45,26.45,24.81,26.24,0.69,2.70,"429,519",32.93,18.60,0,0,218.67,-4.79,Nasdaq,Friday,2018-05-04
5433,113822,Acxiom,ACXM,26.38,26.87,26.17,26.66,0.42,1.60,"342,232",32.93,18.6,0,0,222.17,-3.27,Nasdaq,Monday,2018-05-07
5434,256902,Acxiom,ACXM,26.77,26.98,26.49,26.61,-0.05,-0.19,"578,275",32.93,18.60,0,0,221.75,-3.45,Nasdaq,Tuesday,2018-05-08
5435,328444,Acxiom,ACXM,26.78,26.95,26.62,26.74,0.13,0.49,"570,500",32.93,18.60,0,0,222.83,-2.98,Nasdaq,Wednesday,2018-05-09
5436,187222,Acxiom,ACXM,26.76,28.0,26.69,27.17,0.43,1.61,"1,811,729",32.93,18.6,0,0,226.42,-1.42,Nasdaq,Thursday,2018-05-10
5437,45823,Acxiom,ACXM,27.33,27.33,26.79,27.25,0.08,0.29,"708,700",32.93,18.6,0,0,227.08,-1.12,Nasdaq,Friday,2018-05-11
5438,115636,Acxiom,ACXM,27.35,27.46,27.02,27.21,-0.04,-0.15,"755,362",32.93,18.6,0,0,226.75,-1.27,Nasdaq,Monday,2018-05-14
5439,258715,Acxiom,ACXM,27.09,27.45,27.04,27.38,0.17,0.62,"390,876",32.93,18.6,0,0,228.17,-0.65,Nasdaq,Tuesday,2018-05-15
5440,330265,Acxiom,ACXM,27.5,27.76,27.22,27.56,0.18,0.66,"779,594",32.93,18.6,0,0,229.67,0,Nasdaq,Wednesday,2018-05-16
5441,189027,Acxiom,ACXM,25.66,28.6,25.49,27.5,-0.06,-0.22,"1,788,856",32.93,18.60,0,0,229.17,-0.22,Nasdaq,Thursday,2018-05-17
5442,47641,Acxiom,ACXM,27.66,28.24,27.5,27.99,0.49,1.78,"930,108",32.93,18.6,0,0,99.96,1.56,Nasdaq,Friday,2018-05-18
5443,117454,Acxiom,ACXM,28.14,28.7,28.14,28.64,0.65,2.32,"681,036",32.93,18.60,0,0,102.29,3.92,Nasdaq,Monday,2018-05-21
5444,260529,Acxiom,ACXM,28.74,28.94,28.21,28.36,-0.28,-0.98,"673,699",32.93,18.6,0,0,101.29,2.90,Nasdaq,Tuesday,2018-05-22
5445,332088,Acxiom,ACXM,28.06,28.72,27.87,28.68,0.32,1.13,"791,066",32.93,18.60,0,0,102.43,4.06,Nasdaq,Wednesday,2018-05-23
5446,190844,Acxiom,ACXM,28.75,29.02,28.39,28.84,0.16,0.56,"408,219",32.93,18.60,0,0,103.00,4.64,Nasdaq,Thursday,2018-05-24
5447,49458,Acxiom,ACXM,28.61,28.89,28.54,28.58,-0.26,-0.90,"451,591",32.93,18.60,0,0,102.07,3.70,Nasdaq,Friday,2018-05-25
5448,262349,Acxiom,ACXM,28.37,29.07,27.07,28.76,0.18,0.63,"439,353",32.93,18.60,0,0,102.71,4.35,Nasdaq,Tuesday,2018-05-29
5449,333898,Acxiom,ACXM,28.85,29.56,28.85,29.52,0.76,2.64,"381,888",32.93,18.60,0,0,105.43,7.11,Nasdaq,Wednesday,2018-05-30
5450,192661,Acxiom,ACXM,29.46,29.82,29.22,29.29,-0.23,-0.78,"468,847",32.93,18.6,0,0,104.61,6.28,Nasdaq,Thursday,2018-05-31
5451,34865,Acxiom,ACXM,29.53,29.77,29.25,29.28,-0.01,-0.03,"462,792",32.93,18.60,0,0,104.57,6.24,Nasdaq,Friday,2018-06-01
5452,106529,Acxiom,ACXM,29.47,29.77,29.18,29.73,0.45,1.54,"618,886",32.93,18.60,0,0,106.18,7.87,Nasdaq,Monday,2018-06-04
5453,247810,Acxiom,ACXM,29.8,29.98,29.66,29.8,0.07,0.24,"493,838",32.93,18.6,0,0,106.43,8.13,Nasdaq,Tuesday,2018-06-05
5454,321141,Acxiom,ACXM,29.9,30.17,29.78,30.15,0.35,1.17,"677,434",32.93,18.60,0,0,107.68,9.40,Nasdaq,Wednesday,2018-06-06
5455,176279,Acxiom,ACXM,30.27,30.27,29.62,29.86,-0.29,-0.96,"346,612",32.93,18.60,0,0,106.64,8.35,Nasdaq,Thursday,2018-06-07
5456,36692,Acxiom,ACXM,29.72,30.43,29.64,30.36,0.50,1.67,"461,507",32.93,18.60,0,0,108.43,10.16,Nasdaq,Friday,2018-06-08
5457,108355,Acxiom,ACXM,30.31,30.73,30.14,30.27,-0.09,-0.30,"435,929",32.93,18.6,0,0,108.11,9.83,Nasdaq,Monday,2018-06-11
