,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
5536,183595,Adaptimmune Therapeutics ADR,ADAP,10.6,11.63,10.54,11.23,0.76,7.26,"684,714",13.41,4.28,0,0,0,68.11,Nasdaq,Thursday,2018-03-29
5537,288207,Adaptimmune Therapeutics ADR,ADAP,10.96,12.05,10.8,11.57,0.52,4.71,"600,889",13.41,4.28,0,0,0,73.20,Nasdaq,Wednesday,2018-04-11
5538,141456,Adaptimmune Therapeutics ADR,ADAP,11.59,12.8,11.59,12.47,0.90,7.78,"958,984",13.41,4.28,0,0,0,86.68,Nasdaq,Thursday,2018-04-12
5539,216646,Adaptimmune Therapeutics ADR,ADAP,12.42,12.48,12.02,12.34,-0.02,-0.16,"319,375",13.41,4.28,0,0,0,84.73,Nasdaq,Tuesday,2018-04-17
5540,290006,Adaptimmune Therapeutics ADR,ADAP,12.4,13.1,12.11,12.39,0.05,0.41,"662,063",13.41,4.28,0,0,0,85.48,Nasdaq,Wednesday,2018-04-18
5541,143258,Adaptimmune Therapeutics ADR,ADAP,12.45,12.97,12.03,12.11,-0.28,-2.26,"411,046",13.41,4.28,0,0,0,81.29,Nasdaq,Thursday,2018-04-19
5542,33,Adaptimmune Therapeutics ADR,ADAP,12.12,12.66,11.87,12.44,0.33,2.73,"475,799",13.41,4.28,0,0,0,86.23,Nasdaq,Friday,2018-04-20
5543,218454,Adaptimmune Therapeutics ADR,ADAP,12.29,12.59,12.12,12.22,-0.07,-0.57,"249,521",13.41,4.28,0,0,0,82.93,Nasdaq,Tuesday,2018-04-24
5544,291818,Adaptimmune Therapeutics ADR,ADAP,12.27,12.78,12.05,12.52,0.30,2.45,"311,172",13.41,4.28,0,0,0,87.43,Nasdaq,Wednesday,2018-04-25
5545,1847,Adaptimmune Therapeutics ADR,ADAP,13.09,13.29,12.86,13.08,-0.02,-0.15,"201,044",13.70,4.28,0,0,0,95.81,Nasdaq,Friday,2018-04-27
5546,75302,Adaptimmune Therapeutics ADR,ADAP,13.11,13.19,12.67,12.71,-0.37,-2.83,"172,163",13.7,4.28,0,0,0,90.27,Nasdaq,Monday,2018-04-30
5547,255099,Adaptimmune Therapeutics ADR,ADAP,12.82,13.1,12.43,13.04,0.33,2.60,"360,013",13.7,4.28,0,0,0,95.21,Nasdaq,Tuesday,2018-05-01
5548,185421,Adaptimmune Therapeutics ADR,ADAP,13.06,13.65,12.93,13.11,0.01,0.08,"389,779",13.70,4.28,0,0,0,96.26,Nasdaq,Thursday,2018-05-03
5549,44014,Adaptimmune Therapeutics ADR,ADAP,13.11,13.37,12.96,12.98,-0.13,-0.99,"281,621",13.70,4.28,0,0,0,94.31,Nasdaq,Friday,2018-05-04
5550,113824,Adaptimmune Therapeutics ADR,ADAP,12.98,13.72,12.98,13.31,0.33,2.54,"333,091",13.72,4.28,0,0,0,99.25,Nasdaq,Monday,2018-05-07
5551,256904,Adaptimmune Therapeutics ADR,ADAP,13.4,13.61,12.65,12.84,-0.47,-3.53,"389,731",13.72,4.28,0,0,0,92.22,Nasdaq,Tuesday,2018-05-08
5552,328446,Adaptimmune Therapeutics ADR,ADAP,12.96,14.2,12.66,13.74,0.90,7.01,"776,292",14.20,4.28,0,0,0,105.69,Nasdaq,Wednesday,2018-05-09
5553,187224,Adaptimmune Therapeutics ADR,ADAP,14.04,14.63,13.01,13.18,-0.56,-4.08,"699,854",14.63,4.28,0,0,0,97.31,Nasdaq,Thursday,2018-05-10
5554,45825,Adaptimmune Therapeutics ADR,ADAP,13.11,13.35,12.82,13.15,-0.03,-0.23,"409,363",14.63,4.28,0,0,0,96.86,Nasdaq,Friday,2018-05-11
5555,115638,Adaptimmune Therapeutics ADR,ADAP,13.4,13.52,12.53,12.77,-0.38,-2.89,"387,685",14.63,4.28,0,0,0,91.17,Nasdaq,Monday,2018-05-14
5556,258717,Adaptimmune Therapeutics ADR,ADAP,13.09,13.14,12.3,12.81,0.04,0.31,"507,128",14.63,4.28,0,0,0,91.77,Nasdaq,Tuesday,2018-05-15
5557,330267,Adaptimmune Therapeutics ADR,ADAP,12.74,12.95,12.23,12.31,-0.50,-3.90,"497,104",14.63,4.28,0,0,0,84.28,Nasdaq,Wednesday,2018-05-16
5558,189029,Adaptimmune Therapeutics ADR,ADAP,12.11,12.46,11.9,12.02,-0.29,-2.36,"396,423",14.63,4.28,0,0,0,79.94,Nasdaq,Thursday,2018-05-17
5559,47643,Adaptimmune Therapeutics ADR,ADAP,11.9,12.5,11.85,12.15,0.13,1.08,"325,764",14.63,4.28,0,0,0,81.89,Nasdaq,Friday,2018-05-18
5560,117456,Adaptimmune Therapeutics ADR,ADAP,12.1,12.41,12.1,12.19,0.04,0.33,"299,397",14.63,4.28,0,0,0,82.49,Nasdaq,Monday,2018-05-21
5561,260531,Adaptimmune Therapeutics ADR,ADAP,12.23,12.86,12.11,12.45,0.26,2.13,"245,243",14.63,4.28,0,0,0,86.38,Nasdaq,Tuesday,2018-05-22
5562,332090,Adaptimmune Therapeutics ADR,ADAP,12.32,13.22,12.32,13.2,0.75,6.02,"376,455",14.63,4.28,0,0,0,97.60,Nasdaq,Wednesday,2018-05-23
5563,190846,Adaptimmune Therapeutics ADR,ADAP,13.13,13.43,12.95,13.25,0.05,0.38,"264,291",14.63,4.28,0,0,0,98.35,Nasdaq,Thursday,2018-05-24
5564,49460,Adaptimmune Therapeutics ADR,ADAP,13.17,13.36,13.02,13.31,0.06,0.45,"187,127",14.63,4.28,0,0,0,99.25,Nasdaq,Friday,2018-05-25
5565,262351,Adaptimmune Therapeutics ADR,ADAP,13.2,13.49,13.03,13.25,-0.06,-0.45,"270,746",14.63,4.28,0,0,0,98.35,Nasdaq,Tuesday,2018-05-29
5566,333900,Adaptimmune Therapeutics ADR,ADAP,13.25,13.66,12.9,13.15,-0.10,-0.75,"386,679",14.63,4.28,0,0,0,96.86,Nasdaq,Wednesday,2018-05-30
5567,192663,Adaptimmune Therapeutics ADR,ADAP,13.15,13.32,13.06,13.24,0.09,0.68,"195,997",14.63,4.28,0,0,0,98.20,Nasdaq,Thursday,2018-05-31
5568,34867,Adaptimmune Therapeutics ADR,ADAP,13.27,13.54,13.25,13.44,0.20,1.51,"340,927",14.63,4.28,0,0,0,101.20,Nasdaq,Friday,2018-06-01
5569,106531,Adaptimmune Therapeutics ADR,ADAP,13.54,13.72,12.17,12.89,-0.55,-4.09,"1,488,873",14.63,4.28,0,0,0,92.96,Nasdaq,Monday,2018-06-04
5570,247812,Adaptimmune Therapeutics ADR,ADAP,12.7,12.84,12.44,12.59,-0.30,-2.33,"599,898",14.63,4.28,0,0,0,88.47,Nasdaq,Tuesday,2018-06-05
5571,321143,Adaptimmune Therapeutics ADR,ADAP,12.54,13.5,12.51,12.83,0.24,1.91,"554,632",14.63,4.28,0,0,0,92.07,Nasdaq,Wednesday,2018-06-06
5572,176281,Adaptimmune Therapeutics ADR,ADAP,12.93,12.93,12.43,12.61,-0.22,-1.71,"250,045",14.63,4.28,0,0,0,88.77,Nasdaq,Thursday,2018-06-07
5573,36694,Adaptimmune Therapeutics ADR,ADAP,12.55,12.8,12.38,12.69,0.08,0.63,"291,292",14.63,4.28,0,0,0,89.97,Nasdaq,Friday,2018-06-08
5574,108357,Adaptimmune Therapeutics ADR,ADAP,12.89,12.93,12.32,12.38,-0.31,-2.44,"360,404",14.63,4.28,0,0,0,85.33,Nasdaq,Monday,2018-06-11
5575,249635,Adaptimmune Therapeutics ADR,ADAP,12.36,12.73,12.2,12.28,-0.10,-0.81,"356,491",14.63,4.28,0,0,0,83.83,Nasdaq,Tuesday,2018-06-12
5576,322976,Adaptimmune Therapeutics ADR,ADAP,12.36,12.48,11.72,12.38,0.10,0.81,"319,950",14.63,4.28,0,0,0,85.33,Nasdaq,Wednesday,2018-06-13
5577,178109,Adaptimmune Therapeutics ADR,ADAP,12.38,12.39,11.99,12.25,-0.13,-1.05,"339,578",14.63,4.28,0,0,0,83.38,Nasdaq,Thursday,2018-06-14
5578,38519,Adaptimmune Therapeutics ADR,ADAP,12.28,12.72,12.16,12.51,0.26,2.12,"561,070",14.63,4.28,0,0,0,87.28,Nasdaq,Friday,2018-06-15
5579,110178,Adaptimmune Therapeutics ADR,ADAP,12.44,12.56,12.18,12.38,-0.13,-1.04,"232,076",14.63,4.28,0,0,0,85.33,Nasdaq,Monday,2018-06-18
5580,251455,Adaptimmune Therapeutics ADR,ADAP,12.18,12.22,11.73,11.74,-0.64,-5.17,"560,377",14.63,4.28,0,0,0,75.75,Nasdaq,Tuesday,2018-06-19
5581,324800,Adaptimmune Therapeutics ADR,ADAP,11.85,12.91,11.82,12.9,1.16,9.88,"938,216",14.63,4.28,0,0,0,93.11,Nasdaq,Wednesday,2018-06-20
5582,179931,Adaptimmune Therapeutics ADR,ADAP,12.9,13.35,12.7,13.08,0.18,1.40,"449,409",14.63,4.36,0,0,0,95.81,Nasdaq,Thursday,2018-06-21
5583,40342,Adaptimmune Therapeutics ADR,ADAP,13.08,13.08,12.56,13.0,-0.08,-0.61,"361,265",14.63,4.36,0,0,0,94.61,Nasdaq,Friday,2018-06-22
5584,112000,Adaptimmune Therapeutics ADR,ADAP,12.95,13.22,12.73,12.89,-0.11,-0.85,"301,193",14.63,4.36,0,0,0,92.96,Nasdaq,Monday,2018-06-25
5585,253273,Adaptimmune Therapeutics ADR,ADAP,12.86,12.94,12.07,12.61,-0.28,-2.17,"347,581",14.63,4.36,0,0,0,88.77,Nasdaq,Tuesday,2018-06-26
5586,326615,Adaptimmune Therapeutics ADR,ADAP,12.66,12.86,12.12,12.19,-0.42,-3.33,"304,751",14.63,4.36,0,0,0,82.49,Nasdaq,Wednesday,2018-06-27
5587,181758,Adaptimmune Therapeutics ADR,ADAP,12.2,12.23,11.91,11.99,-0.20,-1.64,"281,720",14.63,4.36,0,0,0,79.49,Nasdaq,Thursday,2018-06-28
5588,42172,Adaptimmune Therapeutics ADR,ADAP,12.07,12.15,11.79,11.87,-0.12,-1.00,"245,507",14.63,4.36,0,0,0,77.69,Nasdaq,Friday,2018-06-29
5589,97362,Adaptimmune Therapeutics ADR,ADAP,11.73,11.95,11.51,11.79,-0.08,-0.67,"321,012",14.63,4.36,0,0,0,76.50,Nasdaq,Monday,2018-07-02
5590,238650,Adaptimmune Therapeutics ADR,ADAP,11.81,12.0,11.69,11.74,-0.05,-0.42,"130,442",14.63,4.4,0,0,0,75.75,Nasdaq,Tuesday,2018-07-03
5591,168946,Adaptimmune Therapeutics ADR,ADAP,11.78,11.78,11.45,11.58,-0.16,-1.36,"164,906",14.63,4.48,0,0,0,73.35,Nasdaq,Thursday,2018-07-05
5592,27546,Adaptimmune Therapeutics ADR,ADAP,11.56,11.79,11.41,11.47,-0.11,-0.95,"220,595",14.63,4.71,0,0,0,71.71,Nasdaq,Friday,2018-07-06
5593,99199,Adaptimmune Therapeutics ADR,ADAP,11.42,11.5,11.05,11.19,-0.28,-2.44,"677,444",14.63,4.71,0,0,0,67.51,Nasdaq,Monday,2018-07-09
5594,240469,Adaptimmune Therapeutics ADR,ADAP,11.23,11.37,11.03,11.2,0.01,0.09,"282,487",14.63,4.71,0,0,0,67.66,Nasdaq,Tuesday,2018-07-10
5595,315660,Adaptimmune Therapeutics ADR,ADAP,11.08,11.2,10.88,10.91,-0.29,-2.59,"237,236",14.63,4.73,0,0,0,63.32,Nasdaq,Wednesday,2018-07-11
5596,170777,Adaptimmune Therapeutics ADR,ADAP,11.08,11.14,10.95,11.08,0.17,1.56,"193,028",14.63,4.82,0,0,0,65.87,Nasdaq,Thursday,2018-07-12
5597,29376,Adaptimmune Therapeutics ADR,ADAP,11.11,11.41,10.62,11.34,0.26,2.35,"564,009",14.63,4.82,0,0,0,69.76,Nasdaq,Friday,2018-07-13
5598,101028,Adaptimmune Therapeutics ADR,ADAP,11.34,11.34,10.83,10.96,-0.38,-3.35,"200,790",14.63,4.82,0,0,0,64.07,Nasdaq,Monday,2018-07-16
5599,242305,Adaptimmune Therapeutics ADR,ADAP,10.95,11.64,10.68,11.41,0.45,4.11,"691,324",14.63,4.82,0,0,0,70.81,Nasdaq,Tuesday,2018-07-17
5600,317483,Adaptimmune Therapeutics ADR,ADAP,11.55,11.86,10.72,11.1,-0.31,-2.72,"429,369",14.63,4.82,0,0,0,66.17,Nasdaq,Wednesday,2018-07-18
5601,172601,Adaptimmune Therapeutics ADR,ADAP,11.08,11.28,10.9,10.98,-0.12,-1.08,"320,484",14.63,4.82,0,0,0,64.37,Nasdaq,Thursday,2018-07-19
5602,31194,Adaptimmune Therapeutics ADR,ADAP,10.93,10.95,10.36,10.44,-0.54,-4.92,"531,087",14.63,4.82,0,0,0,56.29,Nasdaq,Friday,2018-07-20
5603,102852,Adaptimmune Therapeutics ADR,ADAP,10.38,10.68,9.91,10.35,-0.09,-0.86,"663,707",14.63,4.82,0,0,0,54.94,Nasdaq,Monday,2018-07-23
5604,244128,Adaptimmune Therapeutics ADR,ADAP,10.35,10.4,9.86,10.08,-0.27,-2.61,"588,024",14.63,4.82,0,0,0,50.90,Nasdaq,Tuesday,2018-07-24
5605,319311,Adaptimmune Therapeutics ADR,ADAP,10.09,10.69,9.84,10.04,-0.04,-0.40,"431,889",14.63,4.82,0,0,0,50.30,Nasdaq,Wednesday,2018-07-25
5606,174439,Adaptimmune Therapeutics ADR,ADAP,9.99,10.35,9.78,10.19,0.15,1.49,"272,054",14.63,4.82,0,0,0,52.54,Nasdaq,Thursday,2018-07-26
5607,33022,Adaptimmune Therapeutics ADR,ADAP,10.15,10.15,9.75,9.94,-0.25,-2.45,"248,116",14.63,4.82,0,0,0,48.80,Nasdaq,Friday,2018-07-27
5608,104684,Adaptimmune Therapeutics ADR,ADAP,9.91,9.91,9.39,9.43,-0.51,-5.13,"370,692",14.63,4.82,0,0,0,41.17,Nasdaq,Monday,2018-07-30
5609,245970,Adaptimmune Therapeutics ADR,ADAP,9.4,9.96,9.4,9.78,0.35,3.71,"303,425",14.63,4.82,0,0,0,46.41,Nasdaq,Tuesday,2018-07-31
5610,293628,Adaptimmune Therapeutics ADR,ADAP,9.75,10.09,9.62,9.68,-0.10,-1.02,"230,398",14.63,4.82,0,0,0,44.91,Nasdaq,Wednesday,2018-08-01
5611,145066,Adaptimmune Therapeutics ADR,ADAP,9.67,10.0,8.96,9.79,0.11,1.14,"1,019,418",14.63,4.82,0,0,0,46.56,Nasdaq,Thursday,2018-08-02
5612,3654,Adaptimmune Therapeutics ADR,ADAP,9.99,9.99,8.81,8.84,-0.95,-9.70,"946,690",14.63,4.82,0,0,0,32.34,Nasdaq,Friday,2018-08-03
5613,77112,Adaptimmune Therapeutics ADR,ADAP,8.84,9.07,8.3,8.77,-0.07,-0.79,"464,508",14.63,4.82,0,0,0,31.29,Nasdaq,Monday,2018-08-06
5614,220265,Adaptimmune Therapeutics ADR,ADAP,8.81,9.02,8.67,8.88,0.11,1.25,"394,392",14.63,4.82,0,0,0,32.93,Nasdaq,Tuesday,2018-08-07
5615,295468,Adaptimmune Therapeutics ADR,ADAP,8.88,9.16,8.58,8.78,-0.10,-1.13,"375,325",14.63,4.82,0,0,0,31.44,Nasdaq,Wednesday,2018-08-08
5616,146907,Adaptimmune Therapeutics ADR,ADAP,8.78,9.02,8.66,8.95,0.17,1.94,"220,359",14.63,4.82,0,0,0,33.98,Nasdaq,Thursday,2018-08-09
5617,5487,Adaptimmune Therapeutics ADR,ADAP,8.96,9.0,8.76,8.78,-0.17,-1.90,"149,169",14.63,4.82,0,0,0,31.44,Nasdaq,Friday,2018-08-10
5618,78946,Adaptimmune Therapeutics ADR,ADAP,8.78,8.78,8.52,8.63,-0.15,-1.71,"192,501",14.63,4.84,0,0,0,29.19,Nasdaq,Monday,2018-08-13
5619,222098,Adaptimmune Therapeutics ADR,ADAP,8.6,8.73,8.38,8.43,-0.20,-2.32,"240,529",14.63,4.84,0,0,0,26.20,Nasdaq,Tuesday,2018-08-14
5620,297302,Adaptimmune Therapeutics ADR,ADAP,8.48,8.67,8.26,8.62,0.19,2.25,"309,080",14.63,4.84,0,0,0,29.04,Nasdaq,Wednesday,2018-08-15
5621,148743,Adaptimmune Therapeutics ADR,ADAP,8.69,8.92,8.44,8.75,0.13,1.51,"218,781",14.63,4.84,0,0,0,30.99,Nasdaq,Thursday,2018-08-16
5622,7325,Adaptimmune Therapeutics ADR,ADAP,8.79,8.79,8.45,8.48,-0.27,-3.09,"283,443",14.63,4.84,0,0,0,26.95,Nasdaq,Friday,2018-08-17
5623,80795,Adaptimmune Therapeutics ADR,ADAP,8.56,8.65,8.21,8.27,-0.21,-2.48,"179,348",14.63,4.84,0,0,0,23.80,Nasdaq,Monday,2018-08-20
5624,223940,Adaptimmune Therapeutics ADR,ADAP,8.25,8.52,8.25,8.47,0.20,2.42,"229,718",14.63,4.84,0,0,0,26.80,Nasdaq,Tuesday,2018-08-21
5625,299140,Adaptimmune Therapeutics ADR,ADAP,8.51,9.1,8.47,9.01,0.54,6.38,"388,064",14.63,4.97,0,0,0,34.88,Nasdaq,Wednesday,2018-08-22
5626,150586,Adaptimmune Therapeutics ADR,ADAP,9.04,9.55,8.9,9.23,0.22,2.44,"696,317",14.63,5.13,0,0,0,38.17,Nasdaq,Thursday,2018-08-23
5627,9165,Adaptimmune Therapeutics ADR,ADAP,9.2,10.57,9.1,10.25,1.02,11.05,"1,491,953",14.63,5.13,0,0,0,53.44,Nasdaq,Friday,2018-08-24
5628,82638,Adaptimmune Therapeutics ADR,ADAP,10.25,10.88,10.25,10.47,0.22,2.15,"404,080",14.63,5.42,0,0,0,56.74,Nasdaq,Monday,2018-08-27
5629,225786,Adaptimmune Therapeutics ADR,ADAP,10.47,10.59,10.26,10.46,-0.01,-0.10,"148,984",14.63,5.76,0,0,0,56.59,Nasdaq,Tuesday,2018-08-28
5630,300971,Adaptimmune Therapeutics ADR,ADAP,10.41,10.45,9.96,10.3,-0.16,-1.53,"242,536",14.63,5.93,0,0,0,54.19,Nasdaq,Wednesday,2018-08-29
5631,152413,Adaptimmune Therapeutics ADR,ADAP,10.35,11.02,10.09,10.82,0.52,5.05,"434,373",14.63,6.10,0,0,0,61.98,Nasdaq,Thursday,2018-08-30
