,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
10507,183704,Applied Genetic Technologies,AGTC,3.8,4.0,3.75,3.85,-0.10,-2.53,"61,032",7.05,3.25,0,0,0,6.94,Nasdaq,Thursday,2018-03-29
10508,288314,Applied Genetic Technologies,AGTC,3.85,4.35,3.85,4.0,0.15,3.90,"131,998",6.46,3.25,0,0,0,11.11,Nasdaq,Wednesday,2018-04-11
10509,141563,Applied Genetic Technologies,AGTC,4.05,4.7,4.05,4.6,0.60,15.00,"220,367",6.46,3.25,0,0,0,27.78,Nasdaq,Thursday,2018-04-12
10510,216754,Applied Genetic Technologies,AGTC,4.9,5.45,4.9,5.25,0.35,7.14,"276,588",6.46,3.25,0,0,0,45.83,Nasdaq,Tuesday,2018-04-17
10511,290114,Applied Genetic Technologies,AGTC,5.35,5.5,4.96,5.05,-0.20,-3.81,"194,435",6.46,3.25,0,0,0,40.28,Nasdaq,Wednesday,2018-04-18
10512,143366,Applied Genetic Technologies,AGTC,5.05,5.1,4.9,5.0,-0.05,-0.99,"79,002",6.40,3.25,0,0,0,38.89,Nasdaq,Thursday,2018-04-19
10513,141,Applied Genetic Technologies,AGTC,5.05,5.05,4.92,5.0,0,0,"49,009",6.32,3.25,0,0,0,38.89,Nasdaq,Friday,2018-04-20
10514,218562,Applied Genetic Technologies,AGTC,5.1,5.15,4.85,4.85,-0.25,-4.90,"82,251",6.05,3.25,0,0,0,34.72,Nasdaq,Tuesday,2018-04-24
10515,291926,Applied Genetic Technologies,AGTC,4.8,4.85,4.65,4.7,-0.15,-3.09,"49,634",6.05,3.25,0,0,0,30.56,Nasdaq,Wednesday,2018-04-25
10516,1955,Applied Genetic Technologies,AGTC,4.85,4.85,4.7,4.72,-0.08,-1.56,"41,741",6.05,3.25,0,0,0,31.25,Nasdaq,Friday,2018-04-27
10517,75410,Applied Genetic Technologies,AGTC,4.7,4.85,4.55,4.58,-0.15,-3.17,"76,952",6.05,3.25,0,0,0,27.08,Nasdaq,Monday,2018-04-30
10518,255207,Applied Genetic Technologies,AGTC,4.45,4.75,4.35,4.65,0.08,1.64,"56,458",6.05,3.25,0,0,0,29.17,Nasdaq,Tuesday,2018-05-01
10519,185529,Applied Genetic Technologies,AGTC,4.85,4.85,4.55,4.7,-0.15,-3.09,"34,066",6.05,3.25,0,0,0,30.56,Nasdaq,Thursday,2018-05-03
10520,44121,Applied Genetic Technologies,AGTC,4.65,4.95,4.5,4.85,0.15,3.19,"44,912",6.05,3.25,0,0,0,34.72,Nasdaq,Friday,2018-05-04
10521,113932,Applied Genetic Technologies,AGTC,4.9,5.16,4.78,5.05,0.20,4.12,"70,190",6.05,3.25,0,0,0,40.28,Nasdaq,Monday,2018-05-07
10522,257012,Applied Genetic Technologies,AGTC,5.05,5.05,4.85,4.85,-0.20,-3.96,"40,908",6.05,3.25,0,0,0,34.72,Nasdaq,Tuesday,2018-05-08
10523,328554,Applied Genetic Technologies,AGTC,4.85,4.95,4.65,4.8,-0.05,-1.03,"94,109",6.05,3.25,0,0,0,33.33,Nasdaq,Wednesday,2018-05-09
10524,187330,Applied Genetic Technologies,AGTC,4.9,5.1,4.85,5.05,0.25,5.21,"39,482",6.05,3.25,0,0,0,40.28,Nasdaq,Thursday,2018-05-10
10525,45933,Applied Genetic Technologies,AGTC,5.0,5.25,4.9,4.9,-0.15,-2.97,"54,079",6.05,3.25,0,0,0,36.11,Nasdaq,Friday,2018-05-11
10526,115746,Applied Genetic Technologies,AGTC,4.95,5.05,4.85,5.05,0.15,3.06,"47,318",6.05,3.25,0,0,0,40.28,Nasdaq,Monday,2018-05-14
10527,258825,Applied Genetic Technologies,AGTC,5.05,5.75,5.05,5.42,0.38,7.43,"197,601",6.05,3.25,0,0,0,50.69,Nasdaq,Tuesday,2018-05-15
10528,330375,Applied Genetic Technologies,AGTC,5.45,5.65,5.25,5.6,0.18,3.23,"56,075",6.05,3.25,0,0,0,55.56,Nasdaq,Wednesday,2018-05-16
10529,189137,Applied Genetic Technologies,AGTC,5.6,5.61,5.4,5.5,-0.10,-1.79,"63,762",6.05,3.25,0,0,0,52.78,Nasdaq,Thursday,2018-05-17
10530,47751,Applied Genetic Technologies,AGTC,5.55,5.75,5.55,5.65,0.15,2.73,"33,747",6.05,3.25,0,0,0,56.94,Nasdaq,Friday,2018-05-18
10531,117564,Applied Genetic Technologies,AGTC,5.65,5.75,5.6,5.65,0,0,"59,804",6.05,3.25,0,0,0,56.94,Nasdaq,Monday,2018-05-21
10532,260639,Applied Genetic Technologies,AGTC,5.75,5.75,5.35,5.35,-0.30,-5.31,"60,413",6.05,3.25,0,0,0,48.61,Nasdaq,Tuesday,2018-05-22
10533,332198,Applied Genetic Technologies,AGTC,5.4,5.4,5.1,5.25,-0.10,-1.87,"62,376",6.05,3.25,0,0,0,45.83,Nasdaq,Wednesday,2018-05-23
10534,190953,Applied Genetic Technologies,AGTC,5.0,5.0,4.5,4.5,-0.75,-14.29,"296,776",6.05,3.25,0,0,0,25.00,Nasdaq,Thursday,2018-05-24
10535,49567,Applied Genetic Technologies,AGTC,4.5,4.75,4.5,4.63,0.13,2.78,"150,453",6.05,3.25,0,0,0,28.47,Nasdaq,Friday,2018-05-25
10536,262459,Applied Genetic Technologies,AGTC,4.7,4.71,4.3,4.55,-0.08,-1.62,"126,042",6.05,3.25,0,0,0,26.39,Nasdaq,Tuesday,2018-05-29
10537,334008,Applied Genetic Technologies,AGTC,4.55,4.75,4.5,4.5,-0.05,-1.10,"91,986",6.05,3.25,0,0,0,25.00,Nasdaq,Wednesday,2018-05-30
10538,192770,Applied Genetic Technologies,AGTC,4.45,4.55,4.05,4.5,0,0,"234,852",6.05,3.25,0,0,0,25.00,Nasdaq,Thursday,2018-05-31
10539,34974,Applied Genetic Technologies,AGTC,4.50,4.7,4.4,4.4,-0.10,-2.22,"255,795",6.05,3.25,0,0,0,22.22,Nasdaq,Friday,2018-06-01
10540,106638,Applied Genetic Technologies,AGTC,4.5,4.6,4.3,4.55,0.15,3.41,"85,599",6.05,3.25,0,0,0,26.39,Nasdaq,Monday,2018-06-04
10541,247918,Applied Genetic Technologies,AGTC,4.5,4.9,4.5,4.65,0.10,2.20,"98,034",6.05,3.25,0,0,0,29.17,Nasdaq,Tuesday,2018-06-05
10542,321250,Applied Genetic Technologies,AGTC,4.73,4.85,4.6,4.6,-0.05,-1.08,"58,283",6.05,3.25,0,0,0,27.78,Nasdaq,Wednesday,2018-06-06
10543,176388,Applied Genetic Technologies,AGTC,4.6,5.1,4.6,4.9,0.30,6.52,"152,705",6.05,3.25,0,0,0,36.11,Nasdaq,Thursday,2018-06-07
10544,36801,Applied Genetic Technologies,AGTC,5.0,5.0,4.67,4.75,-0.15,-3.06,"45,156",6.05,3.25,0,0,0,31.94,Nasdaq,Friday,2018-06-08
10545,108464,Applied Genetic Technologies,AGTC,4.7,4.75,4.35,4.55,-0.20,-4.21,"131,216",6.05,3.25,0,0,0,26.39,Nasdaq,Monday,2018-06-11
10546,249742,Applied Genetic Technologies,AGTC,4.6,4.9,4.6,4.72,0.18,3.85,"43,016",6.05,3.25,0,0,0,31.25,Nasdaq,Tuesday,2018-06-12
10547,323083,Applied Genetic Technologies,AGTC,4.8,4.8,4.45,4.5,-0.23,-4.76,"78,780",6.05,3.25,0,0,0,25.00,Nasdaq,Wednesday,2018-06-13
10548,178216,Applied Genetic Technologies,AGTC,4.5,4.6,4.3,4.35,-0.15,-3.33,"82,012",6.05,3.25,0,0,0,20.83,Nasdaq,Thursday,2018-06-14
10549,38626,Applied Genetic Technologies,AGTC,4.35,4.4,4.2,4.3,-0.05,-1.15,"97,163",6.05,3.25,0,0,0,19.44,Nasdaq,Friday,2018-06-15
10550,110285,Applied Genetic Technologies,AGTC,4.3,4.5,4.3,4.4,0.10,2.33,"64,305",6.05,3.25,0,0,0,22.22,Nasdaq,Monday,2018-06-18
10551,251562,Applied Genetic Technologies,AGTC,4.4,4.55,4.2,4.35,-0.05,-1.14,"84,807",6.05,3.25,0,0,0,20.83,Nasdaq,Tuesday,2018-06-19
10552,324906,Applied Genetic Technologies,AGTC,4.38,4.65,4.35,4.55,0.20,4.60,"97,209",6.05,3.25,0,0,0,26.39,Nasdaq,Wednesday,2018-06-20
10553,180038,Applied Genetic Technologies,AGTC,4.6,4.6,4.35,4.4,-0.15,-3.30,"40,056",6.05,3.25,0,0,0,22.22,Nasdaq,Thursday,2018-06-21
10554,40449,Applied Genetic Technologies,AGTC,4.35,4.5,4.25,4.35,-0.05,-1.14,"53,374",5.9,3.25,0,0,0,20.83,Nasdaq,Friday,2018-06-22
10555,112106,Applied Genetic Technologies,AGTC,4.35,4.35,4.1,4.1,-0.25,-5.75,"96,369",5.85,3.25,0,0,0,13.89,Nasdaq,Monday,2018-06-25
10556,253379,Applied Genetic Technologies,AGTC,4.05,4.25,4.05,4.15,0.05,1.22,"41,704",5.85,3.25,0,0,0,15.28,Nasdaq,Tuesday,2018-06-26
10557,326721,Applied Genetic Technologies,AGTC,4.25,4.25,3.9,3.9,-0.25,-6.02,"109,770",5.75,3.25,0,0,0,8.33,Nasdaq,Wednesday,2018-06-27
10558,181864,Applied Genetic Technologies,AGTC,3.9,4.0,3.85,3.85,-0.05,-1.28,"178,407",5.75,3.25,0,0,0,6.94,Nasdaq,Thursday,2018-06-28
10559,42278,Applied Genetic Technologies,AGTC,3.9,3.95,3.7,3.7,-0.15,-3.90,"139,945",5.75,3.25,0,0,0,2.78,Nasdaq,Friday,2018-06-29
10560,97468,Applied Genetic Technologies,AGTC,3.7,3.9,3.7,3.85,0.15,4.05,"398,767",5.75,3.25,0,0,0,6.94,Nasdaq,Monday,2018-07-02
10561,238756,Applied Genetic Technologies,AGTC,3.85,4.3,3.8,4.25,0.40,10.39,"166,103",5.75,3.25,0,0,0,18.06,Nasdaq,Tuesday,2018-07-03
10562,169052,Applied Genetic Technologies,AGTC,4.35,4.45,4.25,4.33,0.08,1.76,"120,173",5.75,3.25,0,0,0,20.14,Nasdaq,Thursday,2018-07-05
10563,27652,Applied Genetic Technologies,AGTC,4.3,4.35,4.2,4.2,-0.13,-2.89,"44,035",5.75,3.25,0,0,0,16.67,Nasdaq,Friday,2018-07-06
10564,99305,Applied Genetic Technologies,AGTC,4.2,4.45,4.2,4.4,0.20,4.76,"19,252",5.75,3.25,0,0,0,22.22,Nasdaq,Monday,2018-07-09
10565,240575,Applied Genetic Technologies,AGTC,4.35,4.45,4.1,4.15,-0.25,-5.68,"78,383",5.75,3.25,0,0,0,15.28,Nasdaq,Tuesday,2018-07-10
10566,315765,Applied Genetic Technologies,AGTC,4.15,4.3,4.1,4.15,0,0,"47,356",5.75,3.25,0,0,0,15.28,Nasdaq,Wednesday,2018-07-11
10567,170883,Applied Genetic Technologies,AGTC,4.1,4.2,4.1,4.1,-0.05,-1.20,"12,330",5.75,3.25,0,0,0,13.89,Nasdaq,Thursday,2018-07-12
10568,29482,Applied Genetic Technologies,AGTC,4.1,4.1,3.95,3.95,-0.15,-3.66,"84,144",5.75,3.25,0,0,0,9.72,Nasdaq,Friday,2018-07-13
10569,101134,Applied Genetic Technologies,AGTC,4.0,4.0,3.8,3.85,-0.10,-2.53,"143,716",5.75,3.25,0,0,0,6.94,Nasdaq,Monday,2018-07-16
10570,242411,Applied Genetic Technologies,AGTC,3.85,4.2,3.83,4.15,0.30,7.79,"119,132",5.75,3.25,0,0,0,15.28,Nasdaq,Tuesday,2018-07-17
10571,317589,Applied Genetic Technologies,AGTC,4.15,4.3,4.15,4.2,0.05,1.20,"96,123",5.75,3.25,0,0,0,16.67,Nasdaq,Wednesday,2018-07-18
10572,172709,Applied Genetic Technologies,AGTC,4.2,4.3,4.05,4.15,-0.05,-1.19,"101,109",5.75,3.25,0,0,0,15.28,Nasdaq,Thursday,2018-07-19
10573,31302,Applied Genetic Technologies,AGTC,4.1,4.2,4.05,4.05,-0.10,-2.41,"68,971",5.75,3.25,0,0,0,12.50,Nasdaq,Friday,2018-07-20
10574,102960,Applied Genetic Technologies,AGTC,4.2,4.4,4.1,4.35,0.30,7.41,"130,781",5.75,3.25,0,0,0,20.83,Nasdaq,Monday,2018-07-23
10575,244235,Applied Genetic Technologies,AGTC,4.45,4.5,4.1,4.1,-0.25,-5.75,"145,639",5.75,3.25,0,0,0,13.89,Nasdaq,Tuesday,2018-07-24
10576,319419,Applied Genetic Technologies,AGTC,4.1,4.35,4.1,4.25,0.15,3.66,"73,616",5.75,3.25,0,0,0,18.06,Nasdaq,Wednesday,2018-07-25
10577,174547,Applied Genetic Technologies,AGTC,4.3,4.35,4.2,4.25,0,0,"36,383",5.75,3.25,0,0,0,18.06,Nasdaq,Thursday,2018-07-26
10578,33130,Applied Genetic Technologies,AGTC,4.3,4.3,4.0,4.1,-0.15,-3.53,"121,460",5.75,3.25,0,0,0,13.89,Nasdaq,Friday,2018-07-27
10579,104792,Applied Genetic Technologies,AGTC,4.15,4.2,4.05,4.08,-0.02,-0.61,"13,995",5.75,3.25,0,0,0,13.19,Nasdaq,Monday,2018-07-30
10580,246078,Applied Genetic Technologies,AGTC,4.05,4.1,4.0,4.0,-0.08,-1.84,"42,106",5.75,3.25,0,0,0,11.11,Nasdaq,Tuesday,2018-07-31
10581,293736,Applied Genetic Technologies,AGTC,4.00,4.30,4.00,4.22,0.23,5.62,"95,321",5.75,3.25,0,0,0,17.36,Nasdaq,Wednesday,2018-08-01
10582,145174,Applied Genetic Technologies,AGTC,4.2,4.2,4.1,4.15,-0.07,-1.78,"25,286",5.75,3.25,0,0,0,15.28,Nasdaq,Thursday,2018-08-02
10583,3761,Applied Genetic Technologies,AGTC,4.1,4.25,4.05,4.15,0,0,"33,991",5.75,3.25,0,0,0,15.28,Nasdaq,Friday,2018-08-03
10584,77219,Applied Genetic Technologies,AGTC,4.15,4.35,4.15,4.15,0,0,"57,536",5.75,3.25,0,0,0,15.28,Nasdaq,Monday,2018-08-06
10585,220372,Applied Genetic Technologies,AGTC,4.15,4.3,4.1,4.1,-0.05,-1.20,"40,551",5.75,3.25,0,0,0,13.89,Nasdaq,Tuesday,2018-08-07
10586,295575,Applied Genetic Technologies,AGTC,4.05,4.25,3.95,4.25,0.15,3.66,"88,812",5.75,3.25,0,0,0,18.06,Nasdaq,Wednesday,2018-08-08
10587,147016,Applied Genetic Technologies,AGTC,4.2,4.25,4.1,4.1,-0.15,-3.53,"40,528",5.75,3.25,0,0,0,13.89,Nasdaq,Thursday,2018-08-09
10588,5596,Applied Genetic Technologies,AGTC,4.1,4.25,3.9,4.15,0.05,1.22,"157,259",5.75,3.25,0,0,0,15.28,Nasdaq,Friday,2018-08-10
10589,79055,Applied Genetic Technologies,AGTC,4.15,4.16,4.0,4.0,-0.15,-3.61,"125,546",5.75,3.25,0,0,0,11.11,Nasdaq,Monday,2018-08-13
10590,222207,Applied Genetic Technologies,AGTC,4.0,4.15,4.0,4.1,0.10,2.50,"17,022",5.75,3.25,0,0,0,13.89,Nasdaq,Tuesday,2018-08-14
10591,297411,Applied Genetic Technologies,AGTC,4.05,4.1,3.95,4.1,0,0,"181,993",5.75,3.25,0,0,0,13.89,Nasdaq,Wednesday,2018-08-15
10592,148852,Applied Genetic Technologies,AGTC,4.05,4.1,4.05,4.1,0,0,"27,193",5.75,3.25,0,0,0,13.89,Nasdaq,Thursday,2018-08-16
10593,7434,Applied Genetic Technologies,AGTC,4.05,4.15,4.05,4.15,0.05,1.22,"44,619",5.75,3.25,0,0,0,15.28,Nasdaq,Friday,2018-08-17
10594,80904,Applied Genetic Technologies,AGTC,4.15,4.2,4.0,4.0,-0.15,-3.61,"29,885",5.75,3.25,0,0,0,11.11,Nasdaq,Monday,2018-08-20
10595,224049,Applied Genetic Technologies,AGTC,4.05,4.36,4.05,4.3,0.30,7.50,"130,366",5.75,3.25,0,0,0,19.44,Nasdaq,Tuesday,2018-08-21
10596,299249,Applied Genetic Technologies,AGTC,4.3,4.38,4.25,4.35,0.05,1.16,"85,827",5.75,3.25,0,0,0,20.83,Nasdaq,Wednesday,2018-08-22
10597,150694,Applied Genetic Technologies,AGTC,4.35,4.35,4.25,4.25,-0.10,-2.30,"50,552",5.75,3.25,0,0,0,18.06,Nasdaq,Thursday,2018-08-23
10598,9274,Applied Genetic Technologies,AGTC,4.35,4.4,4.3,4.35,0.10,2.35,"109,991",5.75,3.25,0,0,0,20.83,Nasdaq,Friday,2018-08-24
10599,82747,Applied Genetic Technologies,AGTC,4.4,4.65,4.37,4.5,0.15,3.45,"38,311",5.75,3.25,0,0,0,25.00,Nasdaq,Monday,2018-08-27
10600,225895,Applied Genetic Technologies,AGTC,4.5,4.56,4.2,4.35,-0.15,-3.33,"88,242",5.75,3.25,0,0,0,20.83,Nasdaq,Tuesday,2018-08-28
10601,301079,Applied Genetic Technologies,AGTC,4.4,4.45,4.35,4.45,0.10,2.30,"11,696",5.75,3.25,0,0,0,23.61,Nasdaq,Wednesday,2018-08-29
10602,152521,Applied Genetic Technologies,AGTC,4.45,4.5,4.4,4.45,0,0,"67,770",5.75,3.25,0,0,0,23.61,Nasdaq,Thursday,2018-08-30
10603,11112,Applied Genetic Technologies,AGTC,4.45,4.5,4.4,4.45,0,0,"91,962",5.75,3.25,0,0,0,23.61,Nasdaq,Friday,2018-08-31
10604,280946,Applied Genetic Technologies,AGTC,4.4,4.5,4.3,4.45,0,0,"104,987",5.75,3.25,0,0,0,23.61,Nasdaq,Tuesday,2018-09-04
10605,352497,Applied Genetic Technologies,AGTC,4.5,4.5,4.41,4.47,0.02,0.56,"25,102",5.75,3.25,0,0,0,24.31,Nasdaq,Wednesday,2018-09-05
