,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
19707,183678,AMERISAFE,AMSF,55.3,56.9,55.25,55.25,0.15,0.27,"151,559",67.82,51.20,0.88,1.59,23.02,-10.31,Nasdaq,Thursday,2018-03-29
19708,288288,AMERISAFE,AMSF,53.35,53.75,52.8,53.65,0.15,0.28,"61,248",67.82,51.20,0.88,1.64,22.35,-12.91,Nasdaq,Wednesday,2018-04-11
19709,141537,AMERISAFE,AMSF,53.8,54.45,53.65,54.4,0.75,1.40,"35,051",67.82,51.2,0.88,1.62,22.67,-11.69,Nasdaq,Thursday,2018-04-12
19710,216728,AMERISAFE,AMSF,55.5,56.05,55.25,55.6,0.30,0.54,"49,108",67.82,51.20,0.88,1.58,23.17,-9.74,Nasdaq,Tuesday,2018-04-17
19711,290088,AMERISAFE,AMSF,55.65,56.4,55.5,55.6,0,0,"109,869",67.82,51.2,0.88,1.58,23.17,-9.74,Nasdaq,Wednesday,2018-04-18
19712,143340,AMERISAFE,AMSF,55.55,55.75,55.05,55.6,0,0,"42,876",67.82,51.20,0.88,1.58,23.17,-9.74,Nasdaq,Thursday,2018-04-19
19713,115,AMERISAFE,AMSF,55.55,55.95,55.45,55.7,0.10,0.18,"38,782",67.82,51.20,0.88,1.58,23.21,-9.58,Nasdaq,Friday,2018-04-20
19714,218536,AMERISAFE,AMSF,56.3,56.6,55.7,56.55,0.35,0.62,"44,195",67.82,51.2,0.88,1.56,23.56,-8.20,Nasdaq,Tuesday,2018-04-24
19715,291900,AMERISAFE,AMSF,56.5,57.0,56.0,56.45,-0.10,-0.18,"40,473",67.82,51.2,0.88,1.56,23.52,-8.36,Nasdaq,Wednesday,2018-04-25
19716,1929,AMERISAFE,AMSF,61.6,61.95,59.95,60.95,-0.40,-0.65,"181,786",67.82,51.20,0.88,1.44,24.00,-1.06,Nasdaq,Friday,2018-04-27
19717,75384,AMERISAFE,AMSF,61.2,61.2,58.35,59.3,-1.65,-2.71,"86,309",67.82,51.2,0.88,1.48,23.35,-3.73,Nasdaq,Monday,2018-04-30
19718,255181,AMERISAFE,AMSF,59.2,59.67,57.55,59.4,0.10,0.17,"147,224",67.82,51.2,0.88,1.48,23.39,-3.57,Nasdaq,Tuesday,2018-05-01
19719,185503,AMERISAFE,AMSF,58.2,58.4,56.95,57.8,-0.55,-0.94,"83,586",67.82,51.20,0.88,1.52,22.76,-6.17,Nasdaq,Thursday,2018-05-03
19720,44096,AMERISAFE,AMSF,57.65,58.77,57.55,58.0,0.20,0.35,"65,021",67.82,51.20,0.88,1.52,22.83,-5.84,Nasdaq,Friday,2018-05-04
