,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
26281,183718,Ardelyx,ARDX,5.2,5.35,5.05,5.05,-0.20,-3.81,"347,446",14.10,4.05,0,0,0,-23.48,Nasdaq,Thursday,2018-03-29
26282,288328,Ardelyx,ARDX,5.15,5.28,5.05,5.2,0.05,0.97,"447,320",14.10,4.05,0,0,0,-21.21,Nasdaq,Wednesday,2018-04-11
26283,141577,Ardelyx,ARDX,5.25,5.45,5.15,5.25,0.05,0.96,"421,166",14.1,4.05,0,0,0,-20.45,Nasdaq,Thursday,2018-04-12
26284,216768,Ardelyx,ARDX,5.15,5.85,5.05,5.65,0.55,10.78,"776,180",14.10,4.05,0,0,0,-14.39,Nasdaq,Tuesday,2018-04-17
26285,290128,Ardelyx,ARDX,5.65,5.65,5.05,5.08,-0.58,-10.18,"421,337",14.1,4.05,0,0,0,-23.11,Nasdaq,Wednesday,2018-04-18
26286,143380,Ardelyx,ARDX,5.1,5.15,4.85,4.9,-0.18,-3.45,"433,791",14.10,4.05,0,0,0,-25.76,Nasdaq,Thursday,2018-04-19
26287,155,Ardelyx,ARDX,4.85,5.1,4.8,4.85,-0.05,-1.02,"418,874",14.10,4.05,0,0,0,-26.52,Nasdaq,Friday,2018-04-20
26288,218576,Ardelyx,ARDX,4.7,4.83,4.45,4.7,0.05,1.08,"412,399",14.1,4.05,0,0,0,-28.79,Nasdaq,Tuesday,2018-04-24
26289,291940,Ardelyx,ARDX,4.75,4.9,4.65,4.85,0.15,3.19,"129,677",14.1,4.05,0,0,0,-26.52,Nasdaq,Wednesday,2018-04-25
26290,1968,Ardelyx,ARDX,4.95,4.95,4.8,4.9,-0.05,-1.01,"138,397",14.05,4.05,0,0,0,-25.76,Nasdaq,Friday,2018-04-27
26291,75423,Ardelyx,ARDX,4.9,4.95,4.75,4.8,-0.10,-2.04,"137,753",14.05,4.05,0,0,0,-27.27,Nasdaq,Monday,2018-04-30
26292,255220,Ardelyx,ARDX,4.8,5.05,4.75,5.0,0.20,4.17,"198,103",13.95,4.05,0,0,0,-24.24,Nasdaq,Tuesday,2018-05-01
26293,185542,Ardelyx,ARDX,5.05,5.1,4.95,5.05,0,0,"169,135",13.25,4.05,0,0,0,-23.48,Nasdaq,Thursday,2018-05-03
26294,44134,Ardelyx,ARDX,5.0,5.15,5.0,5.05,0,0,"228,462",13.20,4.05,0,0,0,-23.48,Nasdaq,Friday,2018-05-04
26295,113945,Ardelyx,ARDX,5.05,5.1,5.0,5.05,0,0,"130,960",13.2,4.05,0,0,0,-23.48,Nasdaq,Monday,2018-05-07
26296,257025,Ardelyx,ARDX,5.05,5.1,5.0,5.05,0,0,"103,388",13.20,4.05,0,0,0,-23.48,Nasdaq,Tuesday,2018-05-08
26297,328567,Ardelyx,ARDX,5.0,5.1,4.9,5.05,0,0,"221,550",13.10,4.05,0,0,0,-23.48,Nasdaq,Wednesday,2018-05-09
26298,187343,Ardelyx,ARDX,5.1,5.35,5.05,5.2,0.15,2.97,"351,907",12.6,4.05,0,0,0,-21.21,Nasdaq,Thursday,2018-05-10
26299,45946,Ardelyx,ARDX,5.15,5.35,5.1,5.17,-0.03,-0.48,"312,082",8.8,4.05,0,0,0,-21.59,Nasdaq,Friday,2018-05-11
26300,115759,Ardelyx,ARDX,5.2,5.5,5.2,5.45,0.28,5.31,"397,632",8.65,4.05,0,0,0,-17.42,Nasdaq,Monday,2018-05-14
26301,258838,Ardelyx,ARDX,5.45,5.7,5.4,5.65,0.20,3.67,"349,904",8.65,4.05,0,0,0,-14.39,Nasdaq,Tuesday,2018-05-15
26302,330388,Ardelyx,ARDX,5.6,5.85,5.6,5.7,0.05,0.88,"178,874",8.65,4.05,0,0,0,-13.64,Nasdaq,Wednesday,2018-05-16
26303,189150,Ardelyx,ARDX,5.7,5.8,5.65,5.75,0.05,0.88,"103,656",8.65,4.05,0,0,0,-12.88,Nasdaq,Thursday,2018-05-17
26304,47764,Ardelyx,ARDX,5.75,5.9,5.7,5.8,0.05,0.87,"139,249",8.65,4.05,0,0,0,-12.12,Nasdaq,Friday,2018-05-18
26305,117577,Ardelyx,ARDX,5.8,5.85,5.45,5.65,-0.15,-2.59,"196,590",8.65,4.05,0,0,0,-14.39,Nasdaq,Monday,2018-05-21
26306,260652,Ardelyx,ARDX,4.95,4.95,4.4,4.55,-1.10,-19.47,"2,697,394",8.65,4.05,0,0,0,-31.06,Nasdaq,Tuesday,2018-05-22
26307,332211,Ardelyx,ARDX,3.9,4.0,3.75,3.9,-0.65,-14.29,"8,768,390",8.65,3.75,0,0,0,-40.91,Nasdaq,Wednesday,2018-05-23
26308,190966,Ardelyx,ARDX,3.9,3.95,3.77,3.8,-0.10,-2.56,"1,598,004",8.65,3.75,0,0,0,-42.42,Nasdaq,Thursday,2018-05-24
26309,49580,Ardelyx,ARDX,3.8,4.3,3.8,4.15,0.35,9.21,"2,348,690",8.65,3.75,0,0,0,-37.12,Nasdaq,Friday,2018-05-25
26310,262472,Ardelyx,ARDX,4.25,4.25,3.9,4.0,-0.15,-3.61,"1,099,326",8.65,3.75,0,0,0,-39.39,Nasdaq,Tuesday,2018-05-29
26311,334021,Ardelyx,ARDX,4.05,4.15,3.85,4.03,0.03,0.63,"1,124,523",8.65,3.75,0,0,0,-39.02,Nasdaq,Wednesday,2018-05-30
26312,192783,Ardelyx,ARDX,4.05,4.1,3.95,3.98,-0.05,-1.24,"385,849",8.65,3.75,0,0,0,-39.77,Nasdaq,Thursday,2018-05-31
26313,34987,Ardelyx,ARDX,4.00,4.05,3.9,4.0,0.02,0.63,"545,392",8.65,3.75,0,0,0,-39.39,Nasdaq,Friday,2018-06-01
26314,106651,Ardelyx,ARDX,4.05,4.05,3.88,4.0,0,0,"466,989",8.65,3.75,0,0,0,-39.39,Nasdaq,Monday,2018-06-04
26315,247931,Ardelyx,ARDX,4.0,4.05,3.9,3.92,-0.08,-1.88,"759,295",8.65,3.75,0,0,0,-40.53,Nasdaq,Tuesday,2018-06-05
26316,321263,Ardelyx,ARDX,3.9,3.95,3.85,3.85,-0.07,-1.91,"764,263",8.65,3.75,0,0,0,-41.67,Nasdaq,Wednesday,2018-06-06
26317,176401,Ardelyx,ARDX,3.9,3.9,3.8,3.8,-0.05,-1.30,"810,152",8.65,3.75,0,0,0,-42.42,Nasdaq,Thursday,2018-06-07
26318,36814,Ardelyx,ARDX,3.8,4.05,3.75,4.05,0.25,6.58,"658,829",8.65,3.75,0,0,0,-38.64,Nasdaq,Friday,2018-06-08
26319,108477,Ardelyx,ARDX,4.1,4.11,3.97,4.05,0,0,"792,718",8.65,3.75,0,0,0,-38.64,Nasdaq,Monday,2018-06-11
26320,249755,Ardelyx,ARDX,4.05,4.1,3.9,3.95,-0.10,-2.47,"501,225",8.65,3.75,0,0,0,-40.15,Nasdaq,Tuesday,2018-06-12
26321,323096,Ardelyx,ARDX,4.0,4.2,3.9,4.03,0.08,1.90,"705,929",8.65,3.75,0,0,0,-39.02,Nasdaq,Wednesday,2018-06-13
26322,178229,Ardelyx,ARDX,4.0,4.13,3.95,4.05,0.02,0.62,"488,623",8.65,3.75,0,0,0,-38.64,Nasdaq,Thursday,2018-06-14
26323,38639,Ardelyx,ARDX,4.0,4.13,3.95,4.0,-0.05,-1.23,"1,610,196",8.65,3.75,0,0,0,-39.39,Nasdaq,Friday,2018-06-15
26324,110298,Ardelyx,ARDX,4.0,4.25,3.92,4.25,0.25,6.25,"687,894",8.65,3.75,0,0,0,-35.61,Nasdaq,Monday,2018-06-18
26325,251575,Ardelyx,ARDX,4.25,4.45,4.15,4.25,0,0,"1,050,688",8.65,3.75,0,0,0,-35.61,Nasdaq,Tuesday,2018-06-19
26326,324919,Ardelyx,ARDX,4.25,4.3,3.9,3.95,-0.30,-7.06,"1,322,401",8.65,3.75,0,0,0,-40.15,Nasdaq,Wednesday,2018-06-20
26327,180052,Ardelyx,ARDX,4.0,4.1,3.95,4.1,0.15,3.80,"545,711",8.65,3.75,0,0,0,-37.88,Nasdaq,Thursday,2018-06-21
26328,40463,Ardelyx,ARDX,4.05,4.2,3.9,4.15,0.05,1.22,"665,862",8.65,3.75,0,0,0,-37.12,Nasdaq,Friday,2018-06-22
26329,112120,Ardelyx,ARDX,4.1,4.2,3.85,3.85,-0.30,-7.23,"728,799",8.65,3.75,0,0,0,-41.67,Nasdaq,Monday,2018-06-25
26330,253393,Ardelyx,ARDX,3.9,3.9,3.85,3.9,0.05,1.30,"302,299",8.65,3.75,0,0,0,-40.91,Nasdaq,Tuesday,2018-06-26
26331,326735,Ardelyx,ARDX,3.95,3.98,3.75,3.8,-0.10,-2.56,"660,559",8.65,3.75,0,0,0,-42.42,Nasdaq,Wednesday,2018-06-27
26332,181878,Ardelyx,ARDX,3.8,3.85,3.6,3.8,0,0,"314,934",8.65,3.60,0,0,0,-42.42,Nasdaq,Thursday,2018-06-28
26333,42292,Ardelyx,ARDX,3.8,3.8,3.7,3.7,-0.10,-2.63,"238,864",8.65,3.60,0,0,0,-43.94,Nasdaq,Friday,2018-06-29
26334,97482,Ardelyx,ARDX,3.7,3.75,3.58,3.75,0.05,1.35,"486,106",8.65,3.58,0,0,0,-43.18,Nasdaq,Monday,2018-07-02
