,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
26869,183672,American Railcar Industries,ARII,37.19,37.77,37.19,37.41,0.39,1.05,"61,986",44.20,34.30,1.60,4.28,5.03,-10.16,Nasdaq,Thursday,2018-03-29
26870,288283,American Railcar Industries,ARII,36.64,37.01,36.13,36.65,-0.20,-0.54,"36,129",43.90,34.30,1.60,4.37,4.93,-11.98,Nasdaq,Wednesday,2018-04-11
26871,141532,American Railcar Industries,ARII,36.75,37.07,36.12,36.75,0.10,0.27,"27,272",43.9,34.3,1.60,4.35,4.94,-11.74,Nasdaq,Thursday,2018-04-12
26872,216722,American Railcar Industries,ARII,37.66,37.96,37.2,37.33,-0.13,-0.35,"42,451",43.90,34.30,1.60,4.29,5.02,-10.35,Nasdaq,Tuesday,2018-04-17
26873,290082,American Railcar Industries,ARII,37.26,37.77,37.0,37.18,-0.15,-0.40,"45,464",43.9,34.3,1.60,4.30,5.00,-10.71,Nasdaq,Wednesday,2018-04-18
26874,143334,American Railcar Industries,ARII,37.19,37.48,37.05,37.37,0.19,0.51,"37,606",43.90,34.30,1.60,4.28,5.02,-10.25,Nasdaq,Thursday,2018-04-19
26875,109,American Railcar Industries,ARII,37.44,38.15,37.28,37.8,0.43,1.15,"70,410",43.90,34.30,1.60,4.23,5.08,-9.22,Nasdaq,Friday,2018-04-20
26876,218530,American Railcar Industries,ARII,37.94,38.21,36.45,37.19,-0.58,-1.54,"38,405",43.9,34.3,1.60,4.30,5.00,-10.69,Nasdaq,Tuesday,2018-04-24
26877,291894,American Railcar Industries,ARII,37.16,37.87,37.01,37.53,0.34,0.91,"31,357",43.9,34.3,1.60,4.26,5.04,-9.87,Nasdaq,Wednesday,2018-04-25
26878,1923,American Railcar Industries,ARII,37.59,38.01,37.59,37.87,0.36,0.96,"44,754",43.45,34.30,1.60,4.22,5.09,-9.05,Nasdaq,Friday,2018-04-27
26879,75378,American Railcar Industries,ARII,37.9,38.31,37.7,37.95,0.08,0.21,"75,147",42.88,34.3,1.60,4.22,5.10,-8.86,Nasdaq,Monday,2018-04-30
26880,255175,American Railcar Industries,ARII,38.16,38.16,36.29,36.97,-0.98,-2.58,"101,728",42.88,34.3,1.60,4.33,4.97,-11.22,Nasdaq,Tuesday,2018-05-01
26881,185497,American Railcar Industries,ARII,36.04,36.41,35.33,36.03,-0.21,-0.58,"86,182",42.52,34.30,1.60,4.44,4.76,-13.47,Nasdaq,Thursday,2018-05-03
26882,44090,American Railcar Industries,ARII,36.0,36.91,36.0,36.32,0.29,0.80,"49,104",42.52,34.30,1.60,4.41,4.80,-12.78,Nasdaq,Friday,2018-05-04
26883,113900,American Railcar Industries,ARII,36.47,37.49,36.47,37.37,1.05,2.89,"47,621",42.52,34.3,1.60,4.28,4.94,-10.25,Nasdaq,Monday,2018-05-07
26884,256980,American Railcar Industries,ARII,37.42,37.83,37.15,37.8,0.43,1.15,"56,879",42.52,34.30,1.60,4.23,4.99,-9.22,Nasdaq,Tuesday,2018-05-08
26885,328522,American Railcar Industries,ARII,37.99,38.83,37.94,38.67,0.87,2.30,"65,104",42.52,34.30,1.60,4.14,5.11,-7.13,Nasdaq,Wednesday,2018-05-09
26886,187299,American Railcar Industries,ARII,38.73,38.99,38.34,38.86,0.19,0.49,"37,495",42.52,34.3,1.60,4.12,5.13,-6.68,Nasdaq,Thursday,2018-05-10
26887,45901,American Railcar Industries,ARII,38.88,39.0,38.43,38.76,-0.10,-0.26,"38,484",42.52,34.3,1.60,4.13,5.12,-6.92,Nasdaq,Friday,2018-05-11
