,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
43375,183811,Biogen,BIIB,273.11,276.44,271.0,273.82,2.00,0.74,"1,194,827",370.57,244.28,0,0,22.99,-14.05,Nasdaq,Thursday,2018-03-29
43376,288418,Biogen,BIIB,263.36,269.95,262.0,265.99,0.90,0.34,"1,512,360",370.57,244.28,0,0,22.33,-16.51,Nasdaq,Wednesday,2018-04-11
43377,141669,Biogen,BIIB,268.67,270.18,266.27,267.44,1.45,0.55,"1,211,288",370.57,244.28,0,0,22.46,-16.05,Nasdaq,Thursday,2018-04-12
43378,216859,Biogen,BIIB,265.77,268.76,263.78,264.75,1.64,0.62,"1,719,440",370.57,244.28,0,0,22.23,-16.89,Nasdaq,Tuesday,2018-04-17
43379,290220,Biogen,BIIB,265.5,270.74,265.5,268.03,3.28,1.24,"1,222,985",370.57,244.28,0,0,22.50,-15.86,Nasdaq,Wednesday,2018-04-18
43380,143472,Biogen,BIIB,267.69,271.05,264.82,266.02,-2.01,-0.75,"810,976",370.57,244.28,0,0,22.34,-16.50,Nasdaq,Thursday,2018-04-19
43381,247,Biogen,BIIB,266.03,267.66,261.2,263.02,-3.00,-1.13,"1,452,303",370.57,244.28,0,0,22.08,-17.44,Nasdaq,Friday,2018-04-20
43382,218666,Biogen,BIIB,253.71,266.73,249.17,262.15,2.85,1.10,"3,522,461",370.57,244.28,0,0,22.01,-17.71,Nasdaq,Tuesday,2018-04-24
43383,292032,Biogen,BIIB,262.7,274.4,262.27,269.45,7.30,2.78,"2,385,056",370.57,244.28,0,0,19.26,-15.42,Nasdaq,Wednesday,2018-04-25
43384,2058,Biogen,BIIB,275.6,279.44,274.01,276.8,2.94,1.07,"1,863,227",370.57,244.28,0,0,19.79,-13.11,Nasdaq,Friday,2018-04-27
43385,75512,Biogen,BIIB,277.58,280.31,273.45,273.6,-3.20,-1.16,"1,924,129",370.57,244.28,0,0,19.56,-14.12,Nasdaq,Monday,2018-04-30
43386,255309,Biogen,BIIB,274.89,279.72,271.69,274.61,1.01,0.37,"1,583,098",370.57,244.28,0,0,19.63,-13.80,Nasdaq,Tuesday,2018-05-01
43387,185629,Biogen,BIIB,272.84,275.04,264.51,266.44,-7.69,-2.81,"1,858,464",370.57,244.28,0,0,19.05,-16.36,Nasdaq,Thursday,2018-05-03
43388,44224,Biogen,BIIB,264.99,272.58,264.99,270.34,3.90,1.46,"1,758,909",370.57,244.28,0,0,19.32,-15.14,Nasdaq,Friday,2018-05-04
43389,114036,Biogen,BIIB,271.15,273.78,269.02,269.7,-0.64,-0.24,"1,227,475",370.57,244.28,0,0,19.28,-15.34,Nasdaq,Monday,2018-05-07
43390,257119,Biogen,BIIB,271.11,271.45,267.89,269.73,0.03,0.01,"1,211,808",370.57,244.28,0,0,19.28,-15.33,Nasdaq,Tuesday,2018-05-08
43391,328659,Biogen,BIIB,269.75,275.72,269.07,274.03,4.30,1.59,"1,345,961",370.57,244.28,0,0,19.59,-13.98,Nasdaq,Wednesday,2018-05-09
43392,187435,Biogen,BIIB,272.65,276.26,272.1,274.0,-0.03,-0.01,"1,385,497",370.57,244.28,0,0,19.59,-13.99,Nasdaq,Thursday,2018-05-10
43393,46038,Biogen,BIIB,274.36,283.59,274.36,282.39,8.39,3.06,"1,885,752",370.57,244.28,0,0,20.19,-11.36,Nasdaq,Friday,2018-05-11
43394,115851,Biogen,BIIB,282.34,285.52,281.02,282.34,-0.05,-0.02,"1,808,617",370.57,244.28,0,0,20.18,-11.37,Nasdaq,Monday,2018-05-14
43395,258929,Biogen,BIIB,280.16,281.73,275.0,276.06,-6.28,-2.22,"1,685,593",370.57,244.28,0,0,19.73,-13.34,Nasdaq,Tuesday,2018-05-15
43396,330480,Biogen,BIIB,277.33,283.55,276.94,281.51,5.45,1.97,"1,363,868",370.57,244.28,0,0,20.12,-11.63,Nasdaq,Wednesday,2018-05-16
43397,189241,Biogen,BIIB,280.26,281.62,277.26,280.57,-0.94,-0.33,"1,279,113",370.57,244.28,0,0,20.06,-11.93,Nasdaq,Thursday,2018-05-17
43398,47857,Biogen,BIIB,281.01,282.73,280.02,280.4,-0.17,-0.06,"1,352,123",370.57,244.28,0,0,20.04,-11.98,Nasdaq,Friday,2018-05-18
43399,117668,Biogen,BIIB,281.36,282.1,276.42,277.67,-2.73,-0.97,"1,278,285",370.57,244.28,0,0,19.85,-12.84,Nasdaq,Monday,2018-05-21
43400,260743,Biogen,BIIB,278.21,281.04,278.01,279.69,2.02,0.73,"1,258,906",370.57,244.28,0,0,19.99,-12.20,Nasdaq,Tuesday,2018-05-22
43401,332301,Biogen,BIIB,277.14,284.0,276.65,283.75,4.06,1.45,"1,220,979",370.57,244.28,0,0,20.28,-10.93,Nasdaq,Wednesday,2018-05-23
43402,191058,Biogen,BIIB,283.44,285.47,281.8,284.41,0.66,0.23,"1,044,051",370.57,244.28,0,0,20.33,-10.72,Nasdaq,Thursday,2018-05-24
43403,49672,Biogen,BIIB,284.29,289.61,283.85,286.21,1.80,0.63,"1,284,822",370.57,244.28,0,0,20.46,-10.16,Nasdaq,Friday,2018-05-25
43404,262562,Biogen,BIIB,283.62,289.89,282.1,287.09,0.88,0.31,"1,481,678",370.57,244.28,0,0,20.52,-9.88,Nasdaq,Tuesday,2018-05-29
43405,334111,Biogen,BIIB,288.49,297.5,287.96,294.4,7.31,2.55,"1,950,051",370.57,244.28,0,0,21.04,-7.59,Nasdaq,Wednesday,2018-05-30
43406,192873,Biogen,BIIB,298.07,301.22,291.82,293.96,-0.44,-0.15,"1,896,891",370.57,248.61,0,0,21.01,-7.73,Nasdaq,Thursday,2018-05-31
43407,35078,Biogen,BIIB,294.94,298.36,293.02,297.09,3.13,1.06,"1,191,817",370.57,249.17,0,0,21.24,-6.74,Nasdaq,Friday,2018-06-01
43408,106742,Biogen,BIIB,297.04,301.5,296.12,298.91,1.82,0.61,"1,015,269",370.57,249.17,0,0,21.37,-6.17,Nasdaq,Monday,2018-06-04
43409,248023,Biogen,BIIB,299.39,301.7,295.76,298.64,-0.27,-0.09,"1,167,708",370.57,249.17,0,0,21.35,-6.26,Nasdaq,Tuesday,2018-06-05
43410,321355,Biogen,BIIB,299.15,303.94,298.88,303.75,5.11,1.71,"1,298,470",370.57,249.17,0,0,21.71,-4.65,Nasdaq,Wednesday,2018-06-06
