,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
45923,183803,Bellerophon Therapeutics,BLPH,2.06,2.15,2.0,2.08,-0.02,-0.95,"124,480",2.74,1.00,0,0,0,-19.38,Nasdaq,Thursday,2018-03-29
45924,288410,Bellerophon Therapeutics,BLPH,2.0,2.11,2.0,2.03,0.03,1.41,"60,370",2.74,1.00,0,0,0,-21.39,Nasdaq,Wednesday,2018-04-11
45925,141661,Bellerophon Therapeutics,BLPH,2.04,2.12,2.02,2.08,0.05,2.55,"100,481",2.74,1.0,0,0,0,-19.38,Nasdaq,Thursday,2018-04-12
45926,216851,Bellerophon Therapeutics,BLPH,2.06,2.11,2.0,2.06,0.01,0.49,"88,098",2.74,1.00,0,0,0,-20.16,Nasdaq,Tuesday,2018-04-17
45927,290212,Bellerophon Therapeutics,BLPH,2.07,2.1,2.0,2.07,0.01,0.49,"95,153",2.74,1.0,0,0,0,-19.77,Nasdaq,Wednesday,2018-04-18
45928,143464,Bellerophon Therapeutics,BLPH,2.06,2.22,2.05,2.18,0.11,5.31,"171,737",2.74,1.00,0,0,0,-15.50,Nasdaq,Thursday,2018-04-19
45929,239,Bellerophon Therapeutics,BLPH,2.2,2.36,2.19,2.32,0.14,6.42,"372,078",2.74,1.00,0,0,0,-10.08,Nasdaq,Friday,2018-04-20
45930,218658,Bellerophon Therapeutics,BLPH,2.35,2.37,2.18,2.23,-0.12,-5.11,"110,811",2.74,1.0,0,0,0,-13.57,Nasdaq,Tuesday,2018-04-24
45931,292024,Bellerophon Therapeutics,BLPH,2.24,2.27,2.15,2.24,0.01,0.45,"42,351",2.74,1.0,0,0,0,-13.18,Nasdaq,Wednesday,2018-04-25
45932,2050,Bellerophon Therapeutics,BLPH,2.28,2.31,2.21,2.28,0.02,0.88,"74,745",2.74,1.00,0,0,0,-11.63,Nasdaq,Friday,2018-04-27
45933,75504,Bellerophon Therapeutics,BLPH,2.29,2.38,2.27,2.3,0.02,0.88,"153,792",2.74,1.0,0,0,0,-10.85,Nasdaq,Monday,2018-04-30
45934,255301,Bellerophon Therapeutics,BLPH,2.3,2.36,2.27,2.29,-0.01,-0.43,"67,872",2.74,1.0,0,0,0,-11.24,Nasdaq,Tuesday,2018-05-01
45935,185621,Bellerophon Therapeutics,BLPH,2.32,2.35,2.21,2.26,-0.04,-1.74,"71,747",2.74,1.00,0,0,0,-12.40,Nasdaq,Thursday,2018-05-03
45936,44216,Bellerophon Therapeutics,BLPH,2.27,2.3,2.21,2.28,0.02,0.88,"46,571",2.74,1.00,0,0,0,-11.63,Nasdaq,Friday,2018-05-04
45937,114028,Bellerophon Therapeutics,BLPH,2.26,2.3,2.22,2.27,-0.01,-0.44,"62,403",2.74,1.0,0,0,0,-12.02,Nasdaq,Monday,2018-05-07
45938,257111,Bellerophon Therapeutics,BLPH,2.3,2.3,2.15,2.18,-0.09,-3.96,"80,536",2.74,1.00,0,0,0,-15.50,Nasdaq,Tuesday,2018-05-08
45939,328651,Bellerophon Therapeutics,BLPH,2.23,2.27,2.17,2.19,0.01,0.46,"83,969",2.74,1.00,0,0,0,-15.12,Nasdaq,Wednesday,2018-05-09
45940,187427,Bellerophon Therapeutics,BLPH,2.2,2.27,2.17,2.17,-0.02,-0.91,"74,557",2.74,1.0,0,0,0,-15.89,Nasdaq,Thursday,2018-05-10
45941,46030,Bellerophon Therapeutics,BLPH,2.2,2.23,2.17,2.21,0.04,1.84,"18,499",2.74,1.0,0,0,0,-14.34,Nasdaq,Friday,2018-05-11
45942,115843,Bellerophon Therapeutics,BLPH,2.21,2.24,2.18,2.22,0.01,0.45,"24,029",2.74,1.0,0,0,0,-13.95,Nasdaq,Monday,2018-05-14
45943,258921,Bellerophon Therapeutics,BLPH,2.23,2.29,2.2,2.24,0.02,0.90,"83,375",2.74,1.0,0,0,0,-13.18,Nasdaq,Tuesday,2018-05-15
45944,330472,Bellerophon Therapeutics,BLPH,2.25,2.48,2.25,2.31,0.07,3.12,"1,565,907",2.74,1.0,0,0,0,-10.47,Nasdaq,Wednesday,2018-05-16
45945,189233,Bellerophon Therapeutics,BLPH,2.39,2.44,2.3,2.43,0.12,5.19,"478,082",2.74,1.00,0,0,0,-5.81,Nasdaq,Thursday,2018-05-17
45946,47849,Bellerophon Therapeutics,BLPH,2.45,2.5,2.36,2.4,-0.03,-1.23,"238,212",2.74,1.0,0,0,0,-6.98,Nasdaq,Friday,2018-05-18
45947,117660,Bellerophon Therapeutics,BLPH,2.42,2.48,2.37,2.44,0.04,1.67,"220,417",2.74,1.00,0,0,0,-5.43,Nasdaq,Monday,2018-05-21
45948,260735,Bellerophon Therapeutics,BLPH,2.44,2.44,2.2,2.34,-0.10,-4.10,"553,777",2.74,1.0,0,0,0,-9.30,Nasdaq,Tuesday,2018-05-22
45949,332293,Bellerophon Therapeutics,BLPH,2.35,2.37,2.27,2.35,0.01,0.43,"173,255",2.74,1.00,0,0,0,-8.91,Nasdaq,Wednesday,2018-05-23
