,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
46511,183812,BioMarin Pharmaceutical,BMRN,79.69,81.63,79.24,81.07,1.45,1.82,"1,085,171",100.51,77.05,0,0,0,-9.08,Nasdaq,Thursday,2018-03-29
46512,288419,BioMarin Pharmaceutical,BMRN,79.2,80.41,79.2,79.48,-0.35,-0.44,"727,406",100.51,75.81,0,0,0,-10.87,Nasdaq,Wednesday,2018-04-11
46513,141670,BioMarin Pharmaceutical,BMRN,79.85,84.31,78.99,83.89,4.41,5.55,"2,187,612",100.51,75.81,0,0,0,-5.92,Nasdaq,Thursday,2018-04-12
46514,216860,BioMarin Pharmaceutical,BMRN,83.25,85.39,82.78,84.45,1.76,2.13,"1,009,850",100.51,75.81,0,0,0,-5.29,Nasdaq,Tuesday,2018-04-17
46515,290221,BioMarin Pharmaceutical,BMRN,84.49,84.91,84.04,84.42,-0.03,-0.04,"1,041,602",100.51,75.81,0,0,0,-5.33,Nasdaq,Wednesday,2018-04-18
46516,143473,BioMarin Pharmaceutical,BMRN,84.06,85.82,82.96,83.62,-0.80,-0.95,"1,345,021",100.51,75.81,0,0,0,-6.22,Nasdaq,Thursday,2018-04-19
46517,248,BioMarin Pharmaceutical,BMRN,83.54,84.49,81.1,82.3,-1.32,-1.58,"2,063,775",100.51,75.81,0,0,0,-7.70,Nasdaq,Friday,2018-04-20
46518,218667,BioMarin Pharmaceutical,BMRN,82.91,83.49,80.9,81.13,-0.95,-1.16,"816,503",100.51,75.81,0,0,0,-9.02,Nasdaq,Tuesday,2018-04-24
46519,292033,BioMarin Pharmaceutical,BMRN,81.02,82.16,80.31,81.53,0.40,0.49,"1,226,490",100.51,75.81,0,0,0,-8.57,Nasdaq,Wednesday,2018-04-25
46520,2059,BioMarin Pharmaceutical,BMRN,82.47,84.7,82.3,84.31,1.80,2.18,"1,213,357",100.51,75.81,0,0,0,-5.45,Nasdaq,Friday,2018-04-27
46521,75513,BioMarin Pharmaceutical,BMRN,84.71,85.98,83.24,83.51,-0.80,-0.95,"1,567,822",100.51,75.81,0,0,0,-6.35,Nasdaq,Monday,2018-04-30
46522,255310,BioMarin Pharmaceutical,BMRN,83.47,86.3,83.19,86.16,2.65,3.17,"1,386,668",100.51,75.81,0,0,0,-3.38,Nasdaq,Tuesday,2018-05-01
46523,185630,BioMarin Pharmaceutical,BMRN,82.02,83.15,81.52,82.3,-0.07,-0.08,"745,948",100.51,75.81,0,0,0,-7.70,Nasdaq,Thursday,2018-05-03
46524,44225,BioMarin Pharmaceutical,BMRN,82.4,85.97,82.3,85.38,3.08,3.74,"1,423,489",100.51,75.81,0,0,0,-4.25,Nasdaq,Friday,2018-05-04
46525,114037,BioMarin Pharmaceutical,BMRN,85.96,87.22,85.42,86.97,1.59,1.86,"1,184,513",100.03,75.81,0,0,0,-2.47,Nasdaq,Monday,2018-05-07
46526,257120,BioMarin Pharmaceutical,BMRN,86.65,87.33,86.33,86.81,-0.16,-0.18,"868,398",100.03,75.81,0,0,0,-2.65,Nasdaq,Tuesday,2018-05-08
46527,328660,BioMarin Pharmaceutical,BMRN,86.76,88.72,86.02,88.45,1.64,1.89,"1,024,278",100.03,75.81,0,0,0,-0.81,Nasdaq,Wednesday,2018-05-09
46528,187436,BioMarin Pharmaceutical,BMRN,89.15,90.24,88.94,89.4,0.95,1.07,"2,265,515",100.03,75.81,0,0,0,0.26,Nasdaq,Thursday,2018-05-10
46529,46039,BioMarin Pharmaceutical,BMRN,89.43,89.97,87.55,88.41,-0.99,-1.11,"1,790,229",100.03,75.81,0,0,0,-0.85,Nasdaq,Friday,2018-05-11
46530,115852,BioMarin Pharmaceutical,BMRN,88.69,89.97,88.26,89.54,1.13,1.28,"1,156,196",100.03,75.81,0,0,0,0.41,Nasdaq,Monday,2018-05-14
46531,258930,BioMarin Pharmaceutical,BMRN,88.77,88.79,87.63,88.7,-0.84,-0.94,"792,381",100.03,75.81,0,0,0,-0.53,Nasdaq,Tuesday,2018-05-15
46532,330481,BioMarin Pharmaceutical,BMRN,89.13,89.98,88.57,89.52,0.82,0.92,"665,806",100.03,75.81,0,0,0,0.39,Nasdaq,Wednesday,2018-05-16
46533,189242,BioMarin Pharmaceutical,BMRN,89.04,89.28,87.61,88.43,-1.09,-1.22,"642,618",100.03,75.81,0,0,0,-0.83,Nasdaq,Thursday,2018-05-17
46534,47858,BioMarin Pharmaceutical,BMRN,88.83,89.42,87.28,88.88,0.45,0.51,"696,368",100.03,75.81,0,0,0,-0.33,Nasdaq,Friday,2018-05-18
46535,117669,BioMarin Pharmaceutical,BMRN,89.06,90.85,88.98,89.36,0.48,0.54,"942,922",100.03,75.81,0,0,0,0.21,Nasdaq,Monday,2018-05-21
46536,260744,BioMarin Pharmaceutical,BMRN,87.0,88.18,84.02,87.61,-1.75,-1.96,"3,676,227",100.03,75.81,0,0,0,-1.75,Nasdaq,Tuesday,2018-05-22
46537,332302,BioMarin Pharmaceutical,BMRN,86.94,89.89,86.7,88.46,0.85,0.97,"1,174,745",100.03,75.81,0,0,0,-0.80,Nasdaq,Wednesday,2018-05-23
46538,191059,BioMarin Pharmaceutical,BMRN,88.99,89.9,88.17,88.28,-0.18,-0.20,"1,052,863",100.03,75.81,0,0,0,-1.00,Nasdaq,Thursday,2018-05-24
46539,49673,BioMarin Pharmaceutical,BMRN,90.6,92.87,90.27,92.49,4.21,4.77,"3,421,659",100.03,75.81,0,0,0,3.72,Nasdaq,Friday,2018-05-25
46540,262563,BioMarin Pharmaceutical,BMRN,91.68,91.93,89.94,90.54,-1.95,-2.11,"1,066,412",100.03,75.81,0,0,0,1.54,Nasdaq,Tuesday,2018-05-29
46541,334112,BioMarin Pharmaceutical,BMRN,90.88,91.07,89.47,90.6,0.06,0.07,"1,204,648",100.03,75.81,0,0,0,1.60,Nasdaq,Wednesday,2018-05-30
46542,192874,BioMarin Pharmaceutical,BMRN,90.6,91.2,89.83,90.34,-0.26,-0.29,"938,102",100.03,75.81,0,0,0,1.31,Nasdaq,Thursday,2018-05-31
46543,35079,BioMarin Pharmaceutical,BMRN,90.68,92.79,89.9,91.92,1.58,1.75,"1,238,551",100.03,75.81,0,0,0,3.08,Nasdaq,Friday,2018-06-01
46544,106743,BioMarin Pharmaceutical,BMRN,91.8,92.27,90.54,92.07,0.15,0.16,"531,713",100.03,75.81,0,0,0,3.25,Nasdaq,Monday,2018-06-04
46545,248024,BioMarin Pharmaceutical,BMRN,92.21,92.88,90.69,92.13,0.06,0.07,"906,946",100.03,75.81,0,0,0,3.32,Nasdaq,Tuesday,2018-06-05
