,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
49721,183840,Bridgford Foods,BRID,14.75,14.96,14.74,14.96,0.21,1.46,"6,537",21.55,10.86,0,0,28.68,19.20,Nasdaq,Thursday,2018-03-29
49722,288447,Bridgford Foods,BRID,14.34,14.35,13.88,13.88,-0.42,-2.94,"2,610",21.55,10.96,0,0,26.61,10.60,Nasdaq,Wednesday,2018-04-11
49723,141698,Bridgford Foods,BRID,14.29,14.35,14.29,14.35,0.47,3.39,"2,474",21.55,11.03,0,0,27.51,14.34,Nasdaq,Thursday,2018-04-12
49724,216888,Bridgford Foods,BRID,14.38,14.5,14.38,14.38,0.04,0.24,647,21.55,11.03,0,0,27.57,14.62,Nasdaq,Tuesday,2018-04-17
49725,290249,Bridgford Foods,BRID,14.38,15.78,14.38,15.78,1.40,9.70,"3,699",21.55,11.05,0,0,30.25,25.74,Nasdaq,Wednesday,2018-04-18
49726,143502,Bridgford Foods,BRID,16.02,16.24,14.34,14.86,-0.92,-5.86,"4,401",21.55,11.05,0,0,28.47,18.37,Nasdaq,Thursday,2018-04-19
49727,277,Bridgford Foods,BRID,14.6,14.92,14.43,14.9,0.04,0.30,"1,621",21.55,11.05,0,0,28.56,18.73,Nasdaq,Friday,2018-04-20
49728,218695,Bridgford Foods,BRID,14.58,14.58,14.51,14.51,-0.46,-3.07,340,21.55,11.05,0,0,27.81,15.62,Nasdaq,Tuesday,2018-04-24
49729,292061,Bridgford Foods,BRID,14.9,15.36,14.88,15.36,0.85,5.82,"2,269",21.55,11.05,0,0,29.43,22.35,Nasdaq,Wednesday,2018-04-25
49730,2086,Bridgford Foods,BRID,15.0,15.3,14.84,15.15,0.75,5.18,"13,870",21.55,11.05,0,0,29.04,20.72,Nasdaq,Friday,2018-04-27
49731,75541,Bridgford Foods,BRID,15.21,15.21,15.0,15.03,-0.12,-0.79,676,21.55,11.05,0,0,28.81,19.76,Nasdaq,Monday,2018-04-30
49732,255337,Bridgford Foods,BRID,15.09,15.2,14.66,14.75,-0.28,-1.86,"7,030",21.55,11.05,0,0,28.27,17.53,Nasdaq,Tuesday,2018-05-01
49733,185657,Bridgford Foods,BRID,14.5,14.94,14.34,14.94,-0.04,-0.23,"1,401",21.55,11.05,0,0,28.64,19.04,Nasdaq,Thursday,2018-05-03
49734,44252,Bridgford Foods,BRID,14.88,15.06,14.88,14.95,0.01,0.07,"1,679",21.55,11.05,0,0,28.66,19.12,Nasdaq,Friday,2018-05-04
49735,114065,Bridgford Foods,BRID,15.0,15.86,15.0,15.55,0.60,4.01,"6,061",21.55,11.05,0,0,29.81,23.90,Nasdaq,Monday,2018-05-07
49736,257147,Bridgford Foods,BRID,15.79,15.9,15.4,15.4,-0.15,-0.96,"2,994",21.55,11.05,0,0,29.52,22.71,Nasdaq,Tuesday,2018-05-08
49737,328688,Bridgford Foods,BRID,15.95,16.2,15.2,15.2,-0.20,-1.30,"2,937",21.55,11.05,0,0,29.14,21.12,Nasdaq,Wednesday,2018-05-09
49738,187463,Bridgford Foods,BRID,15.06,15.22,15.0,15.0,-0.20,-1.32,724,21.55,11.05,0,0,28.75,19.52,Nasdaq,Thursday,2018-05-10
49739,46066,Bridgford Foods,BRID,15.0,16.0,15.0,15.92,0.92,6.13,"7,595",21.55,11.05,0,0,30.52,26.85,Nasdaq,Friday,2018-05-11
49740,115879,Bridgford Foods,BRID,15.6,15.9,15.01,15.38,-0.54,-3.39,"6,955",21.55,11.05,0,0,29.48,22.55,Nasdaq,Monday,2018-05-14
49741,258957,Bridgford Foods,BRID,15.9,15.95,15.0,15.14,-0.24,-1.55,"9,550",21.55,11.05,0,0,29.02,20.65,Nasdaq,Tuesday,2018-05-15
49742,117697,Bridgford Foods,BRID,15.6,15.6,15.41,15.57,0.43,2.83,"1,028",21.55,11.05,0,0,29.84,24.06,Nasdaq,Monday,2018-05-21
49743,260772,Bridgford Foods,BRID,15.43,15.43,15.43,15.43,-0.14,-0.87,151,21.55,11.05,0,0,29.59,22.98,Nasdaq,Tuesday,2018-05-22
49744,332329,Bridgford Foods,BRID,15.55,15.55,15.25,15.25,-0.18,-1.20,"1,150",21.55,11.05,0,0,29.23,21.51,Nasdaq,Wednesday,2018-05-23
49745,191086,Bridgford Foods,BRID,15.3,15.3,15.01,15.01,-0.24,-1.57,229,21.55,11.05,0,0,28.77,19.60,Nasdaq,Thursday,2018-05-24
49746,49700,Bridgford Foods,BRID,15.32,15.56,15.06,15.2,0.19,1.27,"4,769",21.55,11.05,0,0,29.14,21.12,Nasdaq,Friday,2018-05-25
49747,334138,Bridgford Foods,BRID,15.55,15.55,15.1,15.1,-0.10,-0.66,"1,765",21.55,11.05,0,0,28.94,20.32,Nasdaq,Wednesday,2018-05-30
49748,35106,Bridgford Foods,BRID,15.10,15.1,15.01,15.1,0,0,"6,309",21.55,11.05,0,0,28.94,20.32,Nasdaq,Friday,2018-06-01
49749,106769,Bridgford Foods,BRID,14.5,15.19,14.36,15.19,0.09,0.62,"5,345",21.55,11.05,0,0,29.12,21.06,Nasdaq,Monday,2018-06-04
49750,321383,Bridgford Foods,BRID,14.9,15.2,14.69,14.9,-0.29,-1.93,"12,100",21.55,11.05,0,0,16.79,18.73,Nasdaq,Wednesday,2018-06-06
49751,176521,Bridgford Foods,BRID,14.55,14.87,14.55,14.65,-0.25,-1.68,"3,889",21.55,11.05,0,0,16.51,16.73,Nasdaq,Thursday,2018-06-07
49752,36933,Bridgford Foods,BRID,14.51,14.97,14.5,14.51,-0.14,-0.96,"3,155",21.55,11.05,0,0,16.35,15.62,Nasdaq,Friday,2018-06-08
49753,108596,Bridgford Foods,BRID,14.45,14.45,14.3,14.3,-0.21,-1.45,416,21.55,11.05,0,0,16.11,13.94,Nasdaq,Monday,2018-06-11
49754,249874,Bridgford Foods,BRID,14.54,14.54,14.31,14.31,0.01,0.07,406,21.55,11.05,0,0,16.13,14.02,Nasdaq,Tuesday,2018-06-12
49755,323214,Bridgford Foods,BRID,14.3,14.3,13.71,13.71,-0.60,-4.19,"3,077",21.55,11.05,0,0,15.45,9.24,Nasdaq,Wednesday,2018-06-13
49756,178348,Bridgford Foods,BRID,13.7,13.9,13.7,13.9,0.19,1.39,535,21.55,11.05,0,0,15.66,10.76,Nasdaq,Thursday,2018-06-14
49757,38756,Bridgford Foods,BRID,13.85,14.07,13.85,14.07,0.17,1.22,"2,152",21.55,11.05,0,0,15.86,12.11,Nasdaq,Friday,2018-06-15
49758,110416,Bridgford Foods,BRID,14.25,14.27,14.25,14.27,0.20,1.42,"3,640",21.55,11.05,0,0,16.08,13.71,Nasdaq,Monday,2018-06-18
49759,251691,Bridgford Foods,BRID,14.25,14.0,14.0,14.0,-0.27,-1.89,238,21.55,11.05,0,0,15.78,11.55,Nasdaq,Tuesday,2018-06-19
49760,325036,Bridgford Foods,BRID,13.95,14.0,13.89,13.89,-0.11,-0.75,"3,341",21.55,11.05,0,0,15.66,10.72,Nasdaq,Wednesday,2018-06-20
49761,180170,Bridgford Foods,BRID,13.96,13.96,13.33,13.33,-0.56,-4.07,"2,470",21.55,11.05,0,0,15.02,6.22,Nasdaq,Thursday,2018-06-21
49762,112239,Bridgford Foods,BRID,13.51,13.95,13.51,13.95,0.62,4.65,300,21.55,11.05,0,0,15.72,11.16,Nasdaq,Monday,2018-06-25
49763,253511,Bridgford Foods,BRID,12.56,13.82,12.56,13.82,-0.13,-0.93,281,21.55,11.05,0,0,15.57,10.12,Nasdaq,Tuesday,2018-06-26
49764,326854,Bridgford Foods,BRID,13.28,13.61,13.28,13.61,-0.21,-1.51,774,21.55,11.05,0,0,15.34,8.45,Nasdaq,Wednesday,2018-06-27
49765,181996,Bridgford Foods,BRID,13.6,13.6,12.56,13.59,-0.02,-0.15,"4,545",21.55,11.05,0,0,15.31,8.29,Nasdaq,Thursday,2018-06-28
49766,42411,Bridgford Foods,BRID,13.6,13.6,13.59,13.6,0.01,0.07,"1,786",21.55,11.05,0,0,15.33,8.37,Nasdaq,Friday,2018-06-29
49767,97601,Bridgford Foods,BRID,13.6,13.6,13.46,13.6,0,0,"2,574",21.55,11.05,0,0,15.33,8.37,Nasdaq,Monday,2018-07-02
49768,238887,Bridgford Foods,BRID,13.6,14.25,13.01,14.24,0.64,4.71,"3,531",21.55,11.05,0,0,16.05,13.47,Nasdaq,Tuesday,2018-07-03
49769,169186,Bridgford Foods,BRID,14.0,14.0,14.0,14.0,-0.24,-1.69,408,21.55,11.05,0,0,15.78,11.55,Nasdaq,Thursday,2018-07-05
49770,99438,Bridgford Foods,BRID,13.81,14.32,13.71,14.2,0.20,1.43,"4,009",21.55,11.05,0,0,16.00,13.15,Nasdaq,Monday,2018-07-09
49771,240708,Bridgford Foods,BRID,14.2,14.2,13.74,13.74,-0.46,-3.23,"1,042",21.55,11.05,0,0,15.48,9.49,Nasdaq,Tuesday,2018-07-10
49772,101265,Bridgford Foods,BRID,13.7,13.7,13.32,13.35,-0.39,-2.85,"2,293",21.55,11.05,0,0,15.04,6.37,Nasdaq,Monday,2018-07-16
49773,242544,Bridgford Foods,BRID,13.45,13.52,13.01,13.47,0.12,0.90,"3,148",21.55,11.05,0,0,15.18,7.33,Nasdaq,Tuesday,2018-07-17
49774,317722,Bridgford Foods,BRID,13.01,13.55,13.0,13.52,0.05,0.37,"1,642",21.55,11.05,0,0,15.24,7.73,Nasdaq,Wednesday,2018-07-18
49775,172841,Bridgford Foods,BRID,13.52,13.52,13.15,13.25,-0.27,-2.00,"1,827",21.55,11.05,0,0,14.93,5.58,Nasdaq,Thursday,2018-07-19
49776,31432,Bridgford Foods,BRID,13.49,13.85,13.01,13.85,0.60,4.53,"1,606",21.55,11.05,0,0,15.61,10.36,Nasdaq,Friday,2018-07-20
49777,103092,Bridgford Foods,BRID,13.52,13.52,13.52,13.52,-0.33,-2.38,244,21.55,11.05,0,0,15.24,7.73,Nasdaq,Monday,2018-07-23
