,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
68642,183904,Celldex Therapeutics,CLDX,2.3,2.35,2.25,2.33,0.04,1.75,"1,269,688",3.75,2.20,0,0,0,-17.96,Nasdaq,Thursday,2018-03-29
68643,288510,Celldex Therapeutics,CLDX,2.11,2.2,2.08,2.19,0.06,2.82,"1,220,352",3.42,1.97,0,0,0,-22.89,Nasdaq,Wednesday,2018-04-11
68644,141762,Celldex Therapeutics,CLDX,2.21,2.27,2.18,2.24,0.05,2.28,"1,112,197",3.42,1.97,0,0,0,-21.13,Nasdaq,Thursday,2018-04-12
68645,216952,Celldex Therapeutics,CLDX,0.8,0.88,0.79,0.79,0.03,3.82,"10,772,038",3.42,0.76,0,0,0,-72.18,Nasdaq,Tuesday,2018-04-17
68646,290313,Celldex Therapeutics,CLDX,0.8,0.81,0.72,0.73,-0.06,-8.10,"10,293,882",3.42,0.72,0,0,0,-74.43,Nasdaq,Wednesday,2018-04-18
68647,143566,Celldex Therapeutics,CLDX,0.75,0.75,0.65,0.68,-0.05,-6.47,"10,381,361",3.42,0.65,0,0,0,-76.09,Nasdaq,Thursday,2018-04-19
68648,341,Celldex Therapeutics,CLDX,0.69,0.75,0.69,0.7,0.02,3.09,"6,183,764",3.42,0.65,0,0,0,-75.35,Nasdaq,Friday,2018-04-20
68649,218759,Celldex Therapeutics,CLDX,0.71,0.72,0.67,0.71,0.02,3.46,"3,762,625",3.42,0.65,0,0,0,-74.96,Nasdaq,Tuesday,2018-04-24
68650,292124,Celldex Therapeutics,CLDX,0.7,0.76,0.67,0.75,0.03,4.81,"5,798,814",3.42,0.65,0,0,0,-73.76,Nasdaq,Wednesday,2018-04-25
68651,2148,Celldex Therapeutics,CLDX,0.8,0.8,0.74,0.77,-0.02,-2.80,"3,348,478",3.39,0.65,0,0,0,-73.06,Nasdaq,Friday,2018-04-27
68652,75605,Celldex Therapeutics,CLDX,0.77,0.77,0.71,0.74,-0.03,-3.27,"2,931,635",3.33,0.65,0,0,0,-73.94,Nasdaq,Monday,2018-04-30
68653,255400,Celldex Therapeutics,CLDX,0.72,0.77,0.72,0.77,0.03,4.05,"2,190,909",3.31,0.65,0,0,0,-72.89,Nasdaq,Tuesday,2018-05-01
68654,185720,Celldex Therapeutics,CLDX,0.79,0.81,0.77,0.79,0,0.03,"2,197,805",3.31,0.65,0,0,0,-72.18,Nasdaq,Thursday,2018-05-03
68655,44317,Celldex Therapeutics,CLDX,0.78,0.83,0.78,0.8,0.01,1.52,"1,788,377",3.28,0.65,0,0,0,-71.76,Nasdaq,Friday,2018-05-04
68656,114129,Celldex Therapeutics,CLDX,0.81,0.84,0.77,0.78,-0.02,-2.38,"2,042,931",3.27,0.65,0,0,0,-72.43,Nasdaq,Monday,2018-05-07
68657,257212,Celldex Therapeutics,CLDX,0.77,0.78,0.73,0.75,-0.03,-4.21,"3,211,980",3.27,0.65,0,0,0,-73.59,Nasdaq,Tuesday,2018-05-08
68658,328753,Celldex Therapeutics,CLDX,0.75,0.8,0.73,0.77,0.02,2.81,"2,567,009",3.27,0.65,0,0,0,-72.85,Nasdaq,Wednesday,2018-05-09
68659,187528,Celldex Therapeutics,CLDX,0.75,0.78,0.71,0.72,-0.05,-6.48,"2,694,197",3.27,0.65,0,0,0,-74.61,Nasdaq,Thursday,2018-05-10
68660,46131,Celldex Therapeutics,CLDX,0.73,0.75,0.71,0.73,0,0.64,"2,919,950",3.27,0.65,0,0,0,-74.45,Nasdaq,Friday,2018-05-11
68661,115944,Celldex Therapeutics,CLDX,0.75,0.75,0.72,0.72,-0.01,-0.79,"2,303,299",3.27,0.65,0,0,0,-74.65,Nasdaq,Monday,2018-05-14
68662,259022,Celldex Therapeutics,CLDX,0.72,0.73,0.7,0.71,-0.01,-2.00,"1,876,953",3.26,0.65,0,0,0,-75.15,Nasdaq,Tuesday,2018-05-15
68663,330573,Celldex Therapeutics,CLDX,0.71,0.72,0.68,0.7,-0.01,-1.18,"2,233,513",3.26,0.65,0,0,0,-75.45,Nasdaq,Wednesday,2018-05-16
68664,189334,Celldex Therapeutics,CLDX,0.7,0.7,0.68,0.69,-0.00,-0.62,"1,791,668",3.26,0.65,0,0,0,-75.60,Nasdaq,Thursday,2018-05-17
68665,47949,Celldex Therapeutics,CLDX,0.69,0.7,0.67,0.67,-0.02,-3.09,"2,384,657",3.26,0.65,0,0,0,-76.35,Nasdaq,Friday,2018-05-18
68666,117761,Celldex Therapeutics,CLDX,0.69,0.69,0.65,0.66,-0.01,-2.22,"2,618,316",3.26,0.65,0,0,0,-76.88,Nasdaq,Monday,2018-05-21
68667,260837,Celldex Therapeutics,CLDX,0.66,0.7,0.65,0.66,0.01,1.25,"4,159,513",3.26,0.65,0,0,0,-76.59,Nasdaq,Tuesday,2018-05-22
68668,332394,Celldex Therapeutics,CLDX,0.66,0.68,0.65,0.66,-0.01,-0.78,"2,636,776",3.26,0.65,0,0,0,-76.77,Nasdaq,Wednesday,2018-05-23
68669,191151,Celldex Therapeutics,CLDX,0.67,0.68,0.62,0.64,-0.02,-3.35,"2,974,350",3.26,0.62,0,0,0,-77.55,Nasdaq,Thursday,2018-05-24
68670,49764,Celldex Therapeutics,CLDX,0.64,0.65,0.62,0.63,-0.00,-0.61,"2,035,181",3.26,0.62,0,0,0,-77.69,Nasdaq,Friday,2018-05-25
68671,262653,Celldex Therapeutics,CLDX,0.65,0.66,0.63,0.63,-0.01,-0.99,"3,412,669",3.26,0.62,0,0,0,-77.91,Nasdaq,Tuesday,2018-05-29
68672,334203,Celldex Therapeutics,CLDX,0.64,0.65,0.62,0.62,-0.01,-1.98,"3,727,853",3.26,0.62,0,0,0,-78.35,Nasdaq,Wednesday,2018-05-30
68673,192964,Celldex Therapeutics,CLDX,0.62,0.63,0.58,0.58,-0.03,-5.66,"5,400,235",3.26,0.58,0,0,0,-79.57,Nasdaq,Thursday,2018-05-31
68674,35171,Celldex Therapeutics,CLDX,0.61,0.62,0.58,0.59,0.01,1.52,"4,468,981",3.26,0.58,0,0,0,-79.26,Nasdaq,Friday,2018-06-01
68675,106834,Celldex Therapeutics,CLDX,0.63,0.63,0.59,0.61,0.02,3.40,"3,301,945",3.26,0.58,0,0,0,-78.56,Nasdaq,Monday,2018-06-04
68676,248114,Celldex Therapeutics,CLDX,0.63,0.64,0.61,0.64,0.03,4.71,"4,466,611",3.26,0.58,0,0,0,-77.55,Nasdaq,Tuesday,2018-06-05
68677,321448,Celldex Therapeutics,CLDX,0.65,0.67,0.63,0.66,0.02,2.74,"4,201,145",3.26,0.58,0,0,0,-76.93,Nasdaq,Wednesday,2018-06-06
68678,176587,Celldex Therapeutics,CLDX,0.66,0.67,0.65,0.66,-0.00,-0.02,"2,744,848",3.26,0.58,0,0,0,-76.93,Nasdaq,Thursday,2018-06-07
68679,36998,Celldex Therapeutics,CLDX,0.65,0.66,0.63,0.65,-0.01,-1.13,"2,219,231",3.26,0.58,0,0,0,-77.19,Nasdaq,Friday,2018-06-08
68680,108661,Celldex Therapeutics,CLDX,0.67,0.69,0.65,0.66,0.02,2.62,"3,036,640",3.26,0.58,0,0,0,-76.60,Nasdaq,Monday,2018-06-11
68681,249939,Celldex Therapeutics,CLDX,0.66,0.67,0.64,0.65,-0.01,-2.21,"1,552,250",3.26,0.58,0,0,0,-77.11,Nasdaq,Tuesday,2018-06-12
68682,323278,Celldex Therapeutics,CLDX,0.65,0.65,0.6,0.6,-0.05,-7.52,"3,234,736",3.26,0.58,0,0,0,-78.83,Nasdaq,Wednesday,2018-06-13
68683,178413,Celldex Therapeutics,CLDX,0.61,0.62,0.59,0.6,0,0.17,"2,961,857",3.26,0.58,0,0,0,-78.80,Nasdaq,Thursday,2018-06-14
68684,38821,Celldex Therapeutics,CLDX,0.6,0.6,0.58,0.58,-0.02,-3.11,"3,677,548",3.26,0.58,0,0,0,-79.46,Nasdaq,Friday,2018-06-15
68685,110481,Celldex Therapeutics,CLDX,0.59,0.61,0.59,0.59,0.01,1.90,"2,868,719",3.26,0.58,0,0,0,-79.07,Nasdaq,Monday,2018-06-18
68686,251756,Celldex Therapeutics,CLDX,0.6,0.6,0.59,0.59,-0.01,-0.91,"3,625,400",3.26,0.58,0,0,0,-79.26,Nasdaq,Tuesday,2018-06-19
68687,325101,Celldex Therapeutics,CLDX,0.59,0.6,0.58,0.58,-0.01,-1.17,"3,850,536",3.26,0.58,0,0,0,-79.50,Nasdaq,Wednesday,2018-06-20
68688,180235,Celldex Therapeutics,CLDX,0.58,0.6,0.56,0.56,-0.03,-4.36,"3,850,378",3.26,0.56,0,0,0,-80.39,Nasdaq,Thursday,2018-06-21
68689,40647,Celldex Therapeutics,CLDX,0.56,0.57,0.51,0.52,-0.04,-6.38,"15,542,301",3.26,0.51,0,0,0,-81.64,Nasdaq,Friday,2018-06-22
68690,112304,Celldex Therapeutics,CLDX,0.54,0.58,0.5,0.51,-0.01,-1.42,"5,282,083",3.26,0.5,0,0,0,-81.90,Nasdaq,Monday,2018-06-25
68691,253576,Celldex Therapeutics,CLDX,0.52,0.54,0.49,0.5,-0.01,-2.14,"5,175,793",3.26,0.49,0,0,0,-82.29,Nasdaq,Tuesday,2018-06-26
68692,326919,Celldex Therapeutics,CLDX,0.5,0.51,0.48,0.5,-0.01,-1.55,"2,479,103",3.26,0.48,0,0,0,-82.57,Nasdaq,Wednesday,2018-06-27
68693,182061,Celldex Therapeutics,CLDX,0.5,0.5,0.48,0.5,0,0.53,"1,922,591",3.26,0.48,0,0,0,-82.48,Nasdaq,Thursday,2018-06-28
68694,42476,Celldex Therapeutics,CLDX,0.5,0.52,0.49,0.5,0.01,1.19,"1,976,797",3.26,0.48,0,0,0,-82.27,Nasdaq,Friday,2018-06-29
