,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
69191,183864,Calumet Specialty Products Partners,CLMT,6.95,7.5,6.9,7.05,0.05,0.71,"239,541",9.95,3.40,2.74,38.87,0,-8.44,Nasdaq,Thursday,2018-03-29
69192,288471,Calumet Specialty Products Partners,CLMT,7.05,7.2,7.0,7.13,0.03,0.35,"86,079",9.95,3.40,2.74,38.46,0,-7.47,Nasdaq,Wednesday,2018-04-11
69193,141722,Calumet Specialty Products Partners,CLMT,7.2,7.4,7.1,7.35,0.23,3.16,"209,595",9.95,3.4,2.74,37.28,0,-4.55,Nasdaq,Thursday,2018-04-12
69194,216912,Calumet Specialty Products Partners,CLMT,7.25,7.35,7.15,7.35,0.15,2.08,"141,208",9.95,3.40,2.74,37.28,0,-4.55,Nasdaq,Tuesday,2018-04-17
69195,290273,Calumet Specialty Products Partners,CLMT,7.35,7.46,7.27,7.4,0.05,0.68,"137,468",9.95,3.4,2.74,37.03,0,-3.90,Nasdaq,Wednesday,2018-04-18
69196,143526,Calumet Specialty Products Partners,CLMT,7.45,7.45,7.3,7.3,-0.10,-1.35,"58,742",9.95,3.45,2.74,37.53,0,-5.19,Nasdaq,Thursday,2018-04-19
69197,301,Calumet Specialty Products Partners,CLMT,7.3,7.35,7.15,7.2,-0.10,-1.37,"77,718",9.95,3.45,2.74,38.06,0,-6.49,Nasdaq,Friday,2018-04-20
69198,218719,Calumet Specialty Products Partners,CLMT,7.25,7.35,7.0,7.1,-0.10,-1.39,"137,475",9.95,3.45,2.74,38.59,0,-7.79,Nasdaq,Tuesday,2018-04-24
69199,292084,Calumet Specialty Products Partners,CLMT,7.1,7.1,7.0,7.03,-0.07,-1.06,"98,335",9.95,3.45,2.74,39.00,0,-8.77,Nasdaq,Wednesday,2018-04-25
69200,2110,Calumet Specialty Products Partners,CLMT,7.0,7.15,6.9,7.1,0.05,0.71,"157,914",9.95,3.45,2.74,38.59,0,-7.79,Nasdaq,Friday,2018-04-27
69201,75565,Calumet Specialty Products Partners,CLMT,7.05,7.2,6.95,7.1,0,0,"196,166",9.95,3.45,2.74,38.59,0,-7.79,Nasdaq,Monday,2018-04-30
69202,255361,Calumet Specialty Products Partners,CLMT,7.1,7.5,6.95,7.45,0.35,4.93,"304,178",9.95,3.45,2.74,36.78,0,-3.25,Nasdaq,Tuesday,2018-05-01
69203,185681,Calumet Specialty Products Partners,CLMT,7.3,7.5,7.25,7.4,-0.10,-1.33,"181,052",9.95,3.67,2.74,37.03,0,-3.90,Nasdaq,Thursday,2018-05-03
69204,44276,Calumet Specialty Products Partners,CLMT,7.35,7.7,7.3,7.55,0.15,2.03,"140,602",9.95,3.80,2.74,36.29,0,-1.95,Nasdaq,Friday,2018-05-04
69205,114089,Calumet Specialty Products Partners,CLMT,7.5,7.6,7.45,7.6,0.05,0.66,"153,376",9.95,3.8,2.74,36.05,0,-1.30,Nasdaq,Monday,2018-05-07
69206,257171,Calumet Specialty Products Partners,CLMT,7.6,7.6,7.35,7.6,0,0,"118,868",9.95,3.80,2.74,36.05,0,-1.30,Nasdaq,Tuesday,2018-05-08
69207,328712,Calumet Specialty Products Partners,CLMT,7.6,7.6,7.15,7.2,-0.40,-5.26,"347,995",9.95,3.80,2.74,38.06,0,-6.49,Nasdaq,Wednesday,2018-05-09
69208,187487,Calumet Specialty Products Partners,CLMT,7.15,7.35,7.15,7.25,0.05,0.69,"208,074",9.95,3.8,2.74,37.79,0,-5.84,Nasdaq,Thursday,2018-05-10
69209,46090,Calumet Specialty Products Partners,CLMT,7.2,7.3,7.0,7.2,-0.05,-0.69,"288,732",9.95,3.8,2.74,38.06,0,-6.49,Nasdaq,Friday,2018-05-11
69210,115903,Calumet Specialty Products Partners,CLMT,7.15,7.7,7.06,7.65,0.45,6.25,"296,996",9.95,3.8,2.74,35.82,0,-0.65,Nasdaq,Monday,2018-05-14
69211,258981,Calumet Specialty Products Partners,CLMT,7.65,8.15,7.61,7.95,0.30,3.92,"764,728",9.95,3.8,2.74,34.47,0,3.25,Nasdaq,Tuesday,2018-05-15
69212,330532,Calumet Specialty Products Partners,CLMT,8.45,8.5,8.05,8.1,0.15,1.89,"919,832",9.95,3.8,2.74,33.83,0,5.19,Nasdaq,Wednesday,2018-05-16
69213,189293,Calumet Specialty Products Partners,CLMT,8.05,8.1,7.65,7.65,-0.45,-5.56,"564,689",9.95,3.80,2.74,35.82,0,-0.65,Nasdaq,Thursday,2018-05-17
69214,47908,Calumet Specialty Products Partners,CLMT,7.7,7.8,7.3,7.3,-0.35,-4.58,"531,675",9.95,3.8,2.74,37.53,0,-5.19,Nasdaq,Friday,2018-05-18
69215,117720,Calumet Specialty Products Partners,CLMT,7.4,7.65,7.25,7.45,0.15,2.05,"471,869",9.95,3.80,2.74,36.78,0,-3.25,Nasdaq,Monday,2018-05-21
69216,260796,Calumet Specialty Products Partners,CLMT,7.45,7.65,7.25,7.3,-0.15,-2.01,"594,549",9.95,3.8,2.74,37.53,0,-5.19,Nasdaq,Tuesday,2018-05-22
69217,332353,Calumet Specialty Products Partners,CLMT,7.3,7.35,7.2,7.22,-0.08,-1.03,"218,938",9.95,3.80,2.74,37.92,0,-6.17,Nasdaq,Wednesday,2018-05-23
69218,191110,Calumet Specialty Products Partners,CLMT,7.2,7.21,7.08,7.13,-0.10,-1.38,"197,270",9.95,3.80,2.74,38.46,0,-7.47,Nasdaq,Thursday,2018-05-24
69219,49724,Calumet Specialty Products Partners,CLMT,7.05,7.2,6.85,6.9,-0.23,-3.16,"433,150",9.95,3.80,2.74,39.71,0,-10.39,Nasdaq,Friday,2018-05-25
69220,262612,Calumet Specialty Products Partners,CLMT,6.85,7.3,6.85,7.25,0.35,5.07,"278,997",9.95,3.80,2.74,37.79,0,-5.84,Nasdaq,Tuesday,2018-05-29
69221,334162,Calumet Specialty Products Partners,CLMT,7.25,7.7,7.16,7.6,0.35,4.83,"368,056",9.95,3.80,2.74,36.05,0,-1.30,Nasdaq,Wednesday,2018-05-30
69222,192923,Calumet Specialty Products Partners,CLMT,7.6,7.9,7.59,7.9,0.30,3.95,"516,809",9.95,3.86,2.74,34.68,0,2.60,Nasdaq,Thursday,2018-05-31
69223,35130,Calumet Specialty Products Partners,CLMT,7.90,8.6,7.9,8.55,0.65,8.23,"933,154",9.95,3.90,2.74,32.05,0,11.04,Nasdaq,Friday,2018-06-01
69224,106793,Calumet Specialty Products Partners,CLMT,8.5,8.75,8.1,8.45,-0.10,-1.17,"418,712",9.95,3.95,2.74,32.43,0,9.74,Nasdaq,Monday,2018-06-04
69225,248073,Calumet Specialty Products Partners,CLMT,8.4,8.55,8.2,8.25,-0.20,-2.37,"199,682",9.95,3.95,2.74,33.21,0,7.14,Nasdaq,Tuesday,2018-06-05
69226,321407,Calumet Specialty Products Partners,CLMT,8.25,8.35,8.07,8.25,0,0,"248,472",9.95,3.95,2.74,33.21,0,7.14,Nasdaq,Wednesday,2018-06-06
69227,176545,Calumet Specialty Products Partners,CLMT,8.3,8.4,8.1,8.25,0,0,"123,665",9.95,3.95,2.74,33.21,0,7.14,Nasdaq,Thursday,2018-06-07
69228,36957,Calumet Specialty Products Partners,CLMT,8.2,8.34,8.15,8.25,0,0,"59,412",9.95,3.95,2.74,33.21,0,7.14,Nasdaq,Friday,2018-06-08
69229,108620,Calumet Specialty Products Partners,CLMT,8.2,8.2,8.05,8.1,-0.15,-1.82,"212,276",9.95,3.95,2.74,33.83,0,5.19,Nasdaq,Monday,2018-06-11
69230,249898,Calumet Specialty Products Partners,CLMT,8.1,8.1,7.95,8.0,-0.10,-1.23,"154,227",9.95,3.95,2.74,34.25,0,3.90,Nasdaq,Tuesday,2018-06-12
69231,323238,Calumet Specialty Products Partners,CLMT,7.95,7.95,7.85,7.95,-0.05,-0.62,"117,680",9.95,3.95,2.74,34.47,0,3.25,Nasdaq,Wednesday,2018-06-13
69232,178372,Calumet Specialty Products Partners,CLMT,8.0,8.1,7.8,8.1,0.15,1.89,"162,652",9.95,3.95,2.74,33.83,0,5.19,Nasdaq,Thursday,2018-06-14
69233,38780,Calumet Specialty Products Partners,CLMT,8.05,8.1,7.96,8.05,-0.05,-0.62,"220,909",9.95,3.95,2.74,34.04,0,4.55,Nasdaq,Friday,2018-06-15
69234,110440,Calumet Specialty Products Partners,CLMT,7.95,8.25,7.9,8.15,0.10,1.24,"136,759",9.95,3.95,2.74,33.62,0,5.84,Nasdaq,Monday,2018-06-18
69235,251715,Calumet Specialty Products Partners,CLMT,8.1,8.15,8.05,8.15,0,0,"134,618",9.95,3.95,2.74,33.62,0,5.84,Nasdaq,Tuesday,2018-06-19
69236,325060,Calumet Specialty Products Partners,CLMT,8.15,8.15,8.0,8.07,-0.08,-0.92,"111,906",9.95,3.95,2.74,33.93,0,4.87,Nasdaq,Wednesday,2018-06-20
69237,180194,Calumet Specialty Products Partners,CLMT,8.0,8.05,7.65,7.65,-0.42,-5.26,"302,425",9.95,3.95,2.74,35.82,0,-0.65,Nasdaq,Thursday,2018-06-21
69238,40606,Calumet Specialty Products Partners,CLMT,7.85,7.95,7.65,7.75,0.10,1.31,"111,080",9.95,4.0,2.74,35.35,0,0.65,Nasdaq,Friday,2018-06-22
69239,112263,Calumet Specialty Products Partners,CLMT,7.75,7.75,7.4,7.45,-0.30,-3.87,"163,100",9.95,4.0,2.74,36.78,0,-3.25,Nasdaq,Monday,2018-06-25
69240,253535,Calumet Specialty Products Partners,CLMT,7.45,7.6,7.4,7.45,0,0,"81,592",9.95,4.0,2.74,36.78,0,-3.25,Nasdaq,Tuesday,2018-06-26
69241,326878,Calumet Specialty Products Partners,CLMT,7.45,7.59,7.45,7.5,0.05,0.67,"65,809",9.95,4.00,2.74,36.53,0,-2.60,Nasdaq,Wednesday,2018-06-27
69242,182020,Calumet Specialty Products Partners,CLMT,7.5,7.55,7.4,7.45,-0.05,-0.67,"74,896",9.95,4.00,2.74,36.78,0,-3.25,Nasdaq,Thursday,2018-06-28
69243,42435,Calumet Specialty Products Partners,CLMT,7.45,7.6,7.45,7.45,0,0,"39,300",9.95,4.00,2.74,36.78,0,-3.25,Nasdaq,Friday,2018-06-29
69244,97625,Calumet Specialty Products Partners,CLMT,7.45,7.53,7.3,7.4,-0.05,-0.67,"54,457",9.95,4.0,2.74,37.03,0,-3.90,Nasdaq,Monday,2018-07-02
69245,238911,Calumet Specialty Products Partners,CLMT,7.4,7.6,7.4,7.5,0.10,1.35,"57,718",9.95,4.0,2.74,36.53,0,-2.60,Nasdaq,Tuesday,2018-07-03
69246,169210,Calumet Specialty Products Partners,CLMT,7.4,7.5,7.3,7.35,-0.15,-2.00,"127,527",9.95,4.0,2.74,37.28,0,-4.55,Nasdaq,Thursday,2018-07-05
69247,27808,Calumet Specialty Products Partners,CLMT,7.35,7.45,7.3,7.4,0.05,0.68,"268,144",9.95,4.0,2.74,37.03,0,-3.90,Nasdaq,Friday,2018-07-06
69248,99462,Calumet Specialty Products Partners,CLMT,7.4,7.5,7.25,7.5,0.10,1.35,"210,388",9.95,4.0,2.74,36.53,0,-2.60,Nasdaq,Monday,2018-07-09
69249,240732,Calumet Specialty Products Partners,CLMT,7.5,7.75,7.5,7.75,0.25,3.33,"358,545",9.95,4.1,2.74,35.35,0,0.65,Nasdaq,Tuesday,2018-07-10
69250,315920,Calumet Specialty Products Partners,CLMT,7.7,7.85,7.6,7.78,0.03,0.32,"338,402",9.95,4.1,2.74,35.24,0,0.97,Nasdaq,Wednesday,2018-07-11
69251,171037,Calumet Specialty Products Partners,CLMT,7.7,7.8,7.65,7.7,-0.08,-0.96,"218,487",9.95,4.1,2.74,35.58,0,0,Nasdaq,Thursday,2018-07-12
69252,29638,Calumet Specialty Products Partners,CLMT,7.7,7.8,7.65,7.75,0.05,0.65,"89,934",9.95,4.1,2.74,35.35,0,0.65,Nasdaq,Friday,2018-07-13
69253,101289,Calumet Specialty Products Partners,CLMT,7.75,7.95,7.7,7.85,0.10,1.29,"217,147",9.95,4.1,2.74,34.90,0,1.95,Nasdaq,Monday,2018-07-16
69254,242568,Calumet Specialty Products Partners,CLMT,7.8,7.85,7.5,7.65,-0.20,-2.55,"253,547",9.95,4.22,2.74,35.82,0,-0.65,Nasdaq,Tuesday,2018-07-17
69255,317746,Calumet Specialty Products Partners,CLMT,7.6,7.84,7.55,7.8,0.15,1.96,"118,108",9.95,4.45,2.74,35.13,0,1.30,Nasdaq,Wednesday,2018-07-18
69256,172865,Calumet Specialty Products Partners,CLMT,7.8,7.9,7.65,7.85,0.05,0.64,"150,549",9.95,4.65,2.74,34.90,0,1.95,Nasdaq,Thursday,2018-07-19
69257,31456,Calumet Specialty Products Partners,CLMT,7.8,7.84,7.63,7.75,-0.10,-1.27,"212,085",9.95,4.8,2.74,35.35,0,0.65,Nasdaq,Friday,2018-07-20
69258,103116,Calumet Specialty Products Partners,CLMT,7.65,7.75,7.55,7.6,-0.15,-1.94,"169,641",9.95,4.95,2.74,36.05,0,-1.30,Nasdaq,Monday,2018-07-23
69259,244389,Calumet Specialty Products Partners,CLMT,7.65,7.65,7.46,7.6,0,0,"168,618",9.95,4.95,2.74,36.05,0,-1.30,Nasdaq,Tuesday,2018-07-24
69260,319575,Calumet Specialty Products Partners,CLMT,7.6,7.7,7.5,7.65,0.05,0.66,"137,702",9.95,4.95,2.74,35.82,0,-0.65,Nasdaq,Wednesday,2018-07-25
69261,174706,Calumet Specialty Products Partners,CLMT,7.55,7.75,7.55,7.7,0.05,0.65,"229,134",9.95,4.95,2.74,35.58,0,0,Nasdaq,Thursday,2018-07-26
69262,33288,Calumet Specialty Products Partners,CLMT,7.7,7.8,7.65,7.65,-0.05,-0.65,"160,331",9.95,4.95,2.74,35.82,0,-0.65,Nasdaq,Friday,2018-07-27
69263,104952,Calumet Specialty Products Partners,CLMT,7.65,7.8,7.55,7.8,0.15,1.96,"142,290",9.95,4.95,2.74,35.13,0,1.30,Nasdaq,Monday,2018-07-30
69264,246234,Calumet Specialty Products Partners,CLMT,7.8,7.85,7.65,7.7,-0.10,-1.28,"149,677",9.95,4.95,2.74,35.58,0,0,Nasdaq,Tuesday,2018-07-31
69265,293893,Calumet Specialty Products Partners,CLMT,7.60,7.75,7.60,7.7,0,0,"90,738",9.95,4.95,2.74,35.58,0,0,Nasdaq,Wednesday,2018-08-01
69266,145332,Calumet Specialty Products Partners,CLMT,7.65,7.85,7.45,7.75,0.05,0.65,"668,573",9.95,5.00,2.74,35.35,0,0.65,Nasdaq,Thursday,2018-08-02
69267,3918,Calumet Specialty Products Partners,CLMT,7.8,7.8,7.5,7.55,-0.20,-2.58,"240,486",9.95,5.00,2.74,36.29,0,-1.95,Nasdaq,Friday,2018-08-03
69268,77376,Calumet Specialty Products Partners,CLMT,7.55,7.68,7.55,7.6,0.05,0.66,"101,074",9.95,5.0,2.74,36.05,0,-1.30,Nasdaq,Monday,2018-08-06
69269,220527,Calumet Specialty Products Partners,CLMT,7.7,7.75,7.6,7.6,0,0,"273,848",9.95,5.05,2.74,36.05,0,-1.30,Nasdaq,Tuesday,2018-08-07
69270,295733,Calumet Specialty Products Partners,CLMT,7.6,7.7,7.55,7.65,0.05,0.66,"158,023",9.95,5.05,2.74,35.82,0,-0.65,Nasdaq,Wednesday,2018-08-08
69271,147170,Calumet Specialty Products Partners,CLMT,7.4,7.4,6.3,6.9,-0.75,-9.80,"1,051,048",9.95,5.05,2.74,39.71,0,-10.39,Nasdaq,Thursday,2018-08-09
69272,5752,Calumet Specialty Products Partners,CLMT,7.35,7.35,6.85,6.88,-0.03,-0.36,"385,334",9.95,5.05,2.74,39.85,0,-10.71,Nasdaq,Friday,2018-08-10
69273,79213,Calumet Specialty Products Partners,CLMT,6.95,7.0,6.45,6.47,-0.40,-5.82,"449,710",9.95,5.65,2.74,42.32,0,-15.91,Nasdaq,Monday,2018-08-13
69274,222364,Calumet Specialty Products Partners,CLMT,6.3,6.8,6.25,6.67,0.20,3.09,"490,046",9.95,5.9,2.74,41.05,0,-13.31,Nasdaq,Tuesday,2018-08-14
69275,297568,Calumet Specialty Products Partners,CLMT,6.8,6.8,6.45,6.7,0.03,0.37,"129,771",9.95,6.05,2.74,40.90,0,-12.99,Nasdaq,Wednesday,2018-08-15
69276,149009,Calumet Specialty Products Partners,CLMT,6.80,6.8,6.65,6.8,0.10,1.49,"240,873",9.95,6.05,2.74,40.29,0,-11.69,Nasdaq,Thursday,2018-08-16
69277,7590,Calumet Specialty Products Partners,CLMT,6.75,6.8,6.7,6.78,-0.02,-0.37,"214,994",9.95,6.05,2.74,40.44,0,-12.01,Nasdaq,Friday,2018-08-17
69278,81063,Calumet Specialty Products Partners,CLMT,6.9,7.0,6.65,6.7,-0.08,-1.11,"351,688",9.95,6.1,2.74,40.90,0,-12.99,Nasdaq,Monday,2018-08-20
69279,224206,Calumet Specialty Products Partners,CLMT,6.7,6.89,6.65,6.75,0.05,0.75,"143,762",9.95,6.1,2.74,40.59,0,-12.34,Nasdaq,Tuesday,2018-08-21
69280,299404,Calumet Specialty Products Partners,CLMT,6.8,6.95,6.75,6.9,0.15,2.22,"141,376",9.95,6.1,2.74,39.71,0,-10.39,Nasdaq,Wednesday,2018-08-22
69281,150851,Calumet Specialty Products Partners,CLMT,6.9,7.05,6.7,7.0,0.10,1.45,"278,935",9.95,6.1,2.74,39.14,0,-9.09,Nasdaq,Thursday,2018-08-23
