,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
72292,184001,Conatus Pharmaceuticals,CNAT,5.75,5.91,5.64,5.87,0.17,2.98,"421,599",9.40,3.88,0,0,0,27.06,Nasdaq,Thursday,2018-03-29
72293,288605,Conatus Pharmaceuticals,CNAT,3.95,4.1,3.92,3.96,-0.01,-0.25,"695,004",9.40,3.81,0,0,0,-14.29,Nasdaq,Wednesday,2018-04-11
72294,141857,Conatus Pharmaceuticals,CNAT,3.96,4.05,3.86,3.91,-0.05,-1.26,"571,412",9.4,3.81,0,0,0,-15.37,Nasdaq,Thursday,2018-04-12
72295,217047,Conatus Pharmaceuticals,CNAT,3.71,3.77,3.62,3.75,0.04,1.08,"568,572",9.40,3.62,0,0,0,-18.83,Nasdaq,Tuesday,2018-04-17
72296,290409,Conatus Pharmaceuticals,CNAT,3.81,3.85,3.56,3.58,-0.17,-4.53,"766,239",9.4,3.56,0,0,0,-22.51,Nasdaq,Wednesday,2018-04-18
72297,143661,Conatus Pharmaceuticals,CNAT,3.59,3.59,3.46,3.57,-0.01,-0.28,"590,169",9.40,3.46,0,0,0,-22.73,Nasdaq,Thursday,2018-04-19
72298,437,Conatus Pharmaceuticals,CNAT,3.55,3.58,3.44,3.57,0,0,"565,032",9.40,3.44,0,0,0,-22.73,Nasdaq,Friday,2018-04-20
72299,218855,Conatus Pharmaceuticals,CNAT,3.46,3.49,3.22,3.3,-0.18,-5.17,"902,791",9.4,3.22,0,0,0,-28.57,Nasdaq,Tuesday,2018-04-24
72300,292220,Conatus Pharmaceuticals,CNAT,3.31,3.67,3.3,3.62,0.32,9.70,"869,986",9.4,3.22,0,0,0,-21.65,Nasdaq,Wednesday,2018-04-25
72301,2245,Conatus Pharmaceuticals,CNAT,3.44,3.57,3.41,3.44,0.02,0.58,"479,847",9.40,3.22,0,0,0,-25.54,Nasdaq,Friday,2018-04-27
72302,75702,Conatus Pharmaceuticals,CNAT,3.46,3.59,3.4,3.41,-0.03,-0.87,"399,187",9.2,3.22,0,0,0,-26.19,Nasdaq,Monday,2018-04-30
72303,255495,Conatus Pharmaceuticals,CNAT,3.4,3.58,3.35,3.58,0.17,4.99,"456,306",9.2,3.22,0,0,0,-22.51,Nasdaq,Tuesday,2018-05-01
72304,185816,Conatus Pharmaceuticals,CNAT,3.53,3.59,3.36,3.48,-0.20,-5.43,"650,548",9.20,3.22,0,0,0,-24.68,Nasdaq,Thursday,2018-05-03
72305,44413,Conatus Pharmaceuticals,CNAT,3.47,3.69,3.44,3.59,0.11,3.16,"450,592",8.25,3.22,0,0,0,-22.29,Nasdaq,Friday,2018-05-04
72306,114223,Conatus Pharmaceuticals,CNAT,3.63,3.79,3.52,3.73,0.14,3.90,"465,019",7.95,3.22,0,0,0,-19.26,Nasdaq,Monday,2018-05-07
