,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
75445,183991,CommScope Holding,COMM,39.0,40.24,38.87,39.97,1.32,3.42,"1,351,882",42.75,30.95,0,0,40.79,5.66,Nasdaq,Thursday,2018-03-29
75446,288596,CommScope Holding,COMM,39.36,39.83,38.91,39.64,0.27,0.69,"900,401",42.75,30.95,0,0,40.45,4.78,Nasdaq,Wednesday,2018-04-11
75447,141848,CommScope Holding,COMM,40.42,41.6,39.76,41.02,1.38,3.48,"1,711,592",42.75,30.95,0,0,41.86,8.43,Nasdaq,Thursday,2018-04-12
75448,217037,CommScope Holding,COMM,40.96,41.03,40.42,40.58,0.03,0.07,"1,587,056",42.75,30.95,0,0,41.41,7.27,Nasdaq,Tuesday,2018-04-17
75449,290399,CommScope Holding,COMM,40.66,41.49,40.46,41.04,0.46,1.13,"1,234,526",42.75,30.95,0,0,41.88,8.49,Nasdaq,Wednesday,2018-04-18
75450,143651,CommScope Holding,COMM,41.0,41.18,40.54,40.68,-0.36,-0.88,"943,111",42.75,30.95,0,0,41.51,7.53,Nasdaq,Thursday,2018-04-19
75451,428,CommScope Holding,COMM,40.69,41.1,40.54,40.86,0.18,0.44,"456,189",42.75,30.95,0,0,41.69,8.01,Nasdaq,Friday,2018-04-20
75452,218845,CommScope Holding,COMM,40.7,41.31,40.29,40.55,0.03,0.07,"495,722",42.75,30.95,0,0,41.38,7.19,Nasdaq,Tuesday,2018-04-24
75453,292210,CommScope Holding,COMM,40.44,40.77,40.2,40.62,0.07,0.17,"572,776",42.75,30.95,0,0,41.45,7.38,Nasdaq,Wednesday,2018-04-25
75454,2235,CommScope Holding,COMM,39.52,39.58,38.73,38.86,-0.85,-2.14,"1,738,617",42.75,30.95,0,0,39.65,2.72,Nasdaq,Friday,2018-04-27
75455,75692,CommScope Holding,COMM,38.14,38.45,37.41,38.22,-0.64,-1.65,"2,674,992",42.75,30.95,0,0,39.00,1.03,Nasdaq,Monday,2018-04-30
75456,255485,CommScope Holding,COMM,30.96,31.2,26.29,27.59,-10.63,-27.81,"14,331,174",42.6,26.29,0,0,28.15,-27.07,Nasdaq,Tuesday,2018-05-01
75457,185806,CommScope Holding,COMM,28.06,28.34,27.78,28.3,-0.10,-0.35,"3,702,581",41.60,26.29,0,0,28.88,-25.19,Nasdaq,Thursday,2018-05-03
75458,44403,CommScope Holding,COMM,28.11,28.34,27.79,28.01,-0.29,-1.02,"2,581,895",41.60,26.29,0,0,28.58,-25.96,Nasdaq,Friday,2018-05-04
75459,114214,CommScope Holding,COMM,28.02,29.08,28.02,28.95,0.94,3.36,"2,566,082",41.6,26.29,0,0,29.54,-23.47,Nasdaq,Monday,2018-05-07
75460,257299,CommScope Holding,COMM,29.57,30.05,29.27,29.48,0.53,1.83,"3,678,283",41.60,26.29,0,0,30.08,-22.07,Nasdaq,Tuesday,2018-05-08
75461,328838,CommScope Holding,COMM,29.62,29.84,29.45,29.58,0.10,0.34,"1,744,414",41.60,26.29,0,0,30.18,-21.81,Nasdaq,Wednesday,2018-05-09
75462,187614,CommScope Holding,COMM,29.56,29.87,29.26,29.5,-0.08,-0.27,"1,425,916",41.6,26.29,0,0,30.10,-22.02,Nasdaq,Thursday,2018-05-10
75463,46216,CommScope Holding,COMM,29.63,29.96,29.27,29.9,0.40,1.36,"1,620,448",41.6,26.29,0,0,30.51,-20.96,Nasdaq,Friday,2018-05-11
75464,116031,CommScope Holding,COMM,29.91,30.12,29.28,29.31,-0.59,-1.97,"926,429",41.6,26.29,0,0,29.91,-22.52,Nasdaq,Monday,2018-05-14
75465,259107,CommScope Holding,COMM,29.61,29.61,28.84,29.23,-0.08,-0.27,"1,370,373",41.6,26.29,0,0,29.83,-22.73,Nasdaq,Tuesday,2018-05-15
75466,330660,CommScope Holding,COMM,29.41,30.14,29.11,29.85,0.62,2.12,"1,881,359",41.6,26.29,0,0,30.46,-21.09,Nasdaq,Wednesday,2018-05-16
75467,189419,CommScope Holding,COMM,30.0,30.07,29.58,30.0,0.15,0.50,"1,685,433",41.60,26.29,0,0,30.61,-20.70,Nasdaq,Thursday,2018-05-17
75468,48035,CommScope Holding,COMM,29.9,30.18,29.75,29.76,-0.24,-0.80,"1,298,690",41.6,26.29,0,0,30.37,-21.33,Nasdaq,Friday,2018-05-18
75469,117846,CommScope Holding,COMM,29.88,30.23,29.59,29.63,-0.13,-0.44,"1,791,262",41.60,26.29,0,0,30.23,-21.68,Nasdaq,Monday,2018-05-21
75470,260921,CommScope Holding,COMM,29.68,29.85,29.39,29.54,-0.09,-0.30,"1,359,149",41.6,26.29,0,0,30.14,-21.91,Nasdaq,Tuesday,2018-05-22
75471,332479,CommScope Holding,COMM,29.33,29.4,28.86,29.09,-0.45,-1.52,"1,971,347",41.60,26.29,0,0,29.68,-23.10,Nasdaq,Wednesday,2018-05-23
75472,191236,CommScope Holding,COMM,28.99,29.49,28.93,28.95,-0.14,-0.48,"1,679,230",41.60,26.29,0,0,29.54,-23.47,Nasdaq,Thursday,2018-05-24
75473,49848,CommScope Holding,COMM,28.98,29.82,28.95,29.62,0.67,2.31,"2,451,527",41.60,26.29,0,0,30.22,-21.70,Nasdaq,Friday,2018-05-25
75474,262737,CommScope Holding,COMM,29.34,29.6,28.94,29.37,-0.25,-0.84,"1,048,273",41.60,26.29,0,0,29.97,-22.36,Nasdaq,Tuesday,2018-05-29
75475,334288,CommScope Holding,COMM,29.52,29.56,29.28,29.41,0.04,0.14,"1,286,460",41.60,26.29,0,0,30.01,-22.26,Nasdaq,Wednesday,2018-05-30
75476,193048,CommScope Holding,COMM,29.45,29.52,29.08,29.32,-0.09,-0.31,"3,065,048",41.6,26.29,0,0,29.92,-22.50,Nasdaq,Thursday,2018-05-31
75477,35256,CommScope Holding,COMM,29.46,29.84,29.26,29.79,0.47,1.60,"1,042,030",41.60,26.29,0,0,30.40,-21.25,Nasdaq,Friday,2018-06-01
75478,106919,CommScope Holding,COMM,29.99,30.3,29.0,30.25,0.46,1.54,"1,170,394",41.60,26.29,0,0,30.87,-20.04,Nasdaq,Monday,2018-06-04
75479,248197,CommScope Holding,COMM,30.09,30.34,29.99,30.06,-0.19,-0.63,"1,673,176",41.6,26.29,0,0,30.67,-20.54,Nasdaq,Tuesday,2018-06-05
75480,321533,CommScope Holding,COMM,30.05,30.36,29.78,30.06,0,0,"1,419,800",41.60,26.29,0,0,30.67,-20.54,Nasdaq,Wednesday,2018-06-06
75481,176672,CommScope Holding,COMM,30.18,30.49,29.89,29.91,-0.15,-0.50,"1,528,016",41.60,26.29,0,0,30.52,-20.94,Nasdaq,Thursday,2018-06-07
75482,37083,CommScope Holding,COMM,29.78,30.14,29.61,29.8,-0.11,-0.37,"847,267",41.60,26.29,0,0,30.41,-21.23,Nasdaq,Friday,2018-06-08
75483,108745,CommScope Holding,COMM,29.79,30.25,29.76,29.79,-0.01,-0.03,"789,214",41.6,26.29,0,0,30.40,-21.25,Nasdaq,Monday,2018-06-11
75484,250024,CommScope Holding,COMM,29.92,30.27,29.75,30.24,0.45,1.51,"1,351,145",41.6,26.29,0,0,30.86,-20.06,Nasdaq,Tuesday,2018-06-12
75485,323363,CommScope Holding,COMM,30.32,30.68,29.97,30.22,-0.02,-0.07,"1,343,425",41.6,26.29,0,0,30.84,-20.12,Nasdaq,Wednesday,2018-06-13
75486,178498,CommScope Holding,COMM,30.24,30.54,30.12,30.27,0.05,0.17,"1,003,291",41.6,26.29,0,0,30.89,-19.98,Nasdaq,Thursday,2018-06-14
75487,38904,CommScope Holding,COMM,30.28,30.5,30.11,30.43,0.16,0.53,"1,275,664",41.60,26.29,0,0,31.05,-19.56,Nasdaq,Friday,2018-06-15
75488,110565,CommScope Holding,COMM,30.21,30.33,29.86,30.16,-0.27,-0.89,"1,071,184",41.60,26.29,0,0,30.78,-20.27,Nasdaq,Monday,2018-06-18
75489,251840,CommScope Holding,COMM,29.85,30.07,29.7,29.76,-0.40,-1.33,"1,573,236",41.6,26.29,0,0,30.37,-21.33,Nasdaq,Tuesday,2018-06-19
75490,325184,CommScope Holding,COMM,29.96,30.36,29.53,29.69,-0.07,-0.24,"1,177,593",41.60,26.29,0,0,30.30,-21.52,Nasdaq,Wednesday,2018-06-20
75491,180318,CommScope Holding,COMM,29.7,29.72,29.29,29.38,-0.31,-1.04,"1,168,833",41.6,26.29,0,0,29.98,-22.34,Nasdaq,Thursday,2018-06-21
75492,40731,CommScope Holding,COMM,29.47,29.65,29.0,29.31,-0.07,-0.24,"2,033,218",41.6,26.29,0,0,29.91,-22.52,Nasdaq,Friday,2018-06-22
75493,112385,CommScope Holding,COMM,29.23,29.3,28.7,29.23,-0.08,-0.27,"1,382,567",41.6,26.29,0,0,29.83,-22.73,Nasdaq,Monday,2018-06-25
75494,253658,CommScope Holding,COMM,29.29,29.72,28.92,29.38,0.15,0.51,"1,050,071",41.6,26.29,0,0,29.98,-22.34,Nasdaq,Tuesday,2018-06-26
75495,327003,CommScope Holding,COMM,29.37,29.54,28.8,28.93,-0.45,-1.53,"922,594",41.60,26.29,0,0,29.52,-23.53,Nasdaq,Wednesday,2018-06-27
75496,182144,CommScope Holding,COMM,28.83,29.09,28.51,28.92,-0.01,-0.03,"673,217",41.60,26.29,0,0,29.51,-23.55,Nasdaq,Thursday,2018-06-28
75497,42559,CommScope Holding,COMM,28.94,29.52,28.72,29.2,0.28,0.99,"1,629,041",41.60,26.29,0,0,29.80,-22.80,Nasdaq,Friday,2018-06-29
75498,97750,CommScope Holding,COMM,29.13,29.53,28.94,29.32,0.12,0.39,"1,332,054",41.6,26.29,0,0,29.92,-22.50,Nasdaq,Monday,2018-07-02
75499,239035,CommScope Holding,COMM,29.47,29.54,29.04,29.22,-0.10,-0.34,"876,038",41.6,26.29,0,0,29.82,-22.76,Nasdaq,Tuesday,2018-07-03
75500,169334,CommScope Holding,COMM,29.27,29.56,29.1,29.43,0.21,0.72,"1,332,472",41.6,26.29,0,0,30.03,-22.20,Nasdaq,Thursday,2018-07-05
75501,27931,CommScope Holding,COMM,29.37,29.73,29.15,29.63,0.20,0.68,"853,157",41.6,26.29,0,0,30.23,-21.68,Nasdaq,Friday,2018-07-06
75502,99585,CommScope Holding,COMM,29.78,30.12,29.72,29.96,0.33,1.11,"995,125",41.6,26.29,0,0,30.57,-20.80,Nasdaq,Monday,2018-07-09
75503,240856,CommScope Holding,COMM,30.06,30.14,29.75,29.9,-0.06,-0.20,"659,255",41.6,26.29,0,0,30.51,-20.96,Nasdaq,Tuesday,2018-07-10
75504,316042,CommScope Holding,COMM,29.71,30.03,29.59,29.89,-0.01,-0.03,"678,015",41.6,26.29,0,0,30.50,-20.99,Nasdaq,Wednesday,2018-07-11
75505,171159,CommScope Holding,COMM,29.99,30.13,29.81,29.86,-0.03,-0.10,"991,880",41.6,26.29,0,0,30.47,-21.07,Nasdaq,Thursday,2018-07-12
