,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
85378,183975,Cognizant Technology Solutions,CTSH,80.1,81.61,79.77,80.5,0.83,1.04,"4,352,051",85.10,57.50,0.80,0.99,31.82,13.35,Nasdaq,Thursday,2018-03-29
85379,288580,Cognizant Technology Solutions,CTSH,79.65,80.26,79.46,79.93,-0.47,-0.58,"2,382,027",85.10,57.50,0.80,1.00,31.59,12.55,Nasdaq,Wednesday,2018-04-11
85380,141832,Cognizant Technology Solutions,CTSH,80.38,81.85,80.08,81.55,1.62,2.03,"3,506,570",85.1,57.5,0.80,0.98,32.23,14.83,Nasdaq,Thursday,2018-04-12
85381,217021,Cognizant Technology Solutions,CTSH,82.39,82.5,81.48,82.19,0.42,0.51,"3,439,615",85.10,57.50,0.80,0.97,32.49,15.73,Nasdaq,Tuesday,2018-04-17
85382,290383,Cognizant Technology Solutions,CTSH,82.45,83.14,81.63,82.7,0.51,0.62,"2,350,124",85.1,57.5,0.80,0.97,32.69,16.45,Nasdaq,Wednesday,2018-04-18
85383,143635,Cognizant Technology Solutions,CTSH,82.56,83.24,82.09,82.37,-0.33,-0.40,"1,830,537",85.10,57.50,0.80,0.97,32.56,15.98,Nasdaq,Thursday,2018-04-19
85384,411,Cognizant Technology Solutions,CTSH,82.19,82.56,81.39,81.77,-0.60,-0.73,"2,751,429",85.10,57.64,0.80,0.98,32.32,15.14,Nasdaq,Friday,2018-04-20
85385,218828,Cognizant Technology Solutions,CTSH,82.17,82.32,80.35,80.8,-0.77,-0.94,"2,809,404",85.1,58.76,0.80,0.99,31.94,13.77,Nasdaq,Tuesday,2018-04-24
85386,292193,Cognizant Technology Solutions,CTSH,80.59,81.15,79.91,80.91,0.11,0.14,"2,147,038",85.1,58.97,0.80,0.99,31.98,13.93,Nasdaq,Wednesday,2018-04-25
85387,2218,Cognizant Technology Solutions,CTSH,81.86,82.67,81.52,81.62,-0.11,-0.13,"2,211,645",85.10,59.44,0.80,0.98,32.26,14.93,Nasdaq,Friday,2018-04-27
85388,75675,Cognizant Technology Solutions,CTSH,82.01,82.5,81.72,81.82,0.20,0.25,"2,424,422",85.1,60.16,0.80,0.98,32.34,15.21,Nasdaq,Monday,2018-04-30
85389,255468,Cognizant Technology Solutions,CTSH,81.78,82.17,81.46,81.82,0,0,"2,055,704",85.1,60.2,0.80,0.98,32.34,15.21,Nasdaq,Tuesday,2018-05-01
85390,185789,Cognizant Technology Solutions,CTSH,80.95,81.57,80.08,81.36,-0.02,-0.02,"3,211,278",85.10,60.56,0.80,0.98,32.16,14.56,Nasdaq,Thursday,2018-05-03
85391,44386,Cognizant Technology Solutions,CTSH,81.04,82.61,80.72,82.17,0.81,1.00,"3,691,525",85.10,61.50,0.80,0.97,32.48,15.70,Nasdaq,Friday,2018-05-04
85392,114197,Cognizant Technology Solutions,CTSH,78.73,78.88,76.83,77.86,-4.31,-5.25,"9,250,302",85.1,63.0,0.80,1.03,30.77,9.63,Nasdaq,Monday,2018-05-07
85393,257282,Cognizant Technology Solutions,CTSH,77.61,77.9,75.05,75.55,-2.31,-2.97,"7,219,034",85.10,63.39,0.80,1.06,30.34,6.38,Nasdaq,Tuesday,2018-05-08
85394,328821,Cognizant Technology Solutions,CTSH,75.86,75.97,74.76,75.03,-0.52,-0.69,"6,709,708",85.10,63.60,0.80,1.07,30.13,5.65,Nasdaq,Wednesday,2018-05-09
85395,187598,Cognizant Technology Solutions,CTSH,75.39,76.38,75.2,75.95,0.92,1.23,"3,047,977",85.1,63.6,0.80,1.05,30.50,6.94,Nasdaq,Thursday,2018-05-10
