,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
87338,110589,ConvergeOne Holdings,CVON,8.84,9.21,8.82,8.95,0.11,1.24,"214,955",10.83,7.95,0,0,0,-10.32,Nasdaq,Monday,2018-06-18
87339,251864,ConvergeOne Holdings,CVON,8.95,9.4,8.87,9.32,0.37,4.13,"135,338",10.83,7.95,0,0,0,-6.61,Nasdaq,Tuesday,2018-06-19
87340,325208,ConvergeOne Holdings,CVON,9.3,9.62,9.0,9.17,-0.15,-1.61,"90,529",10.83,7.95,0,0,0,-8.12,Nasdaq,Wednesday,2018-06-20
87341,180342,ConvergeOne Holdings,CVON,9.16,9.49,8.98,9.35,0.18,1.96,"228,266",10.83,7.95,0,0,0,-6.31,Nasdaq,Thursday,2018-06-21
87342,40755,ConvergeOne Holdings,CVON,9.38,9.85,9.14,9.58,0.23,2.46,"2,556,477",10.83,7.95,0,0,0,-4.01,Nasdaq,Friday,2018-06-22
87343,112409,ConvergeOne Holdings,CVON,9.64,9.64,9.0,9.48,-0.10,-1.04,"200,383",10.83,7.95,0,0,0,-5.01,Nasdaq,Monday,2018-06-25
87344,253681,ConvergeOne Holdings,CVON,9.5,9.65,9.4,9.5,0.02,0.21,"195,888",10.83,7.95,0,0,0,-4.81,Nasdaq,Tuesday,2018-06-26
87345,327026,ConvergeOne Holdings,CVON,9.5,9.61,9.32,9.42,-0.08,-0.84,"147,033",10.83,7.95,0,0,0,-5.61,Nasdaq,Wednesday,2018-06-27
87346,182167,ConvergeOne Holdings,CVON,9.36,9.58,9.23,9.44,0.02,0.21,"114,859",10.83,7.95,0,0,0,-5.41,Nasdaq,Thursday,2018-06-28
87347,42583,ConvergeOne Holdings,CVON,9.43,9.53,9.17,9.39,-0.05,-0.53,"68,519",10.83,7.95,0,0,0,-5.91,Nasdaq,Friday,2018-06-29
87348,97774,ConvergeOne Holdings,CVON,9.32,9.5,9.09,9.49,0.10,1.06,"80,674",10.83,7.95,0,0,0,-4.91,Nasdaq,Monday,2018-07-02
87349,239059,ConvergeOne Holdings,CVON,9.54,9.68,9.39,9.5,0.01,0.11,"91,292",10.83,7.95,0,0,0,-4.81,Nasdaq,Tuesday,2018-07-03
87350,169357,ConvergeOne Holdings,CVON,9.56,9.7,9.46,9.59,0.09,0.95,"59,195",10.83,7.95,0,0,0,-3.91,Nasdaq,Thursday,2018-07-05
