,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
97455,184068,Deswell Industries,DSWL,3.05,3.12,2.91,3.12,0.06,1.96,"7,432",3.64,1.85,0.28,8.97,11.56,14.71,Nasdaq,Thursday,2018-03-29
97456,288671,Deswell Industries,DSWL,2.94,3.05,2.94,3.03,0.10,3.41,"6,596",3.64,1.85,0.28,9.24,11.22,11.40,Nasdaq,Wednesday,2018-04-11
97457,141924,Deswell Industries,DSWL,3.02,3.02,2.92,2.96,-0.07,-2.31,"5,736",3.64,1.85,0.28,9.46,10.96,8.82,Nasdaq,Thursday,2018-04-12
97458,217114,Deswell Industries,DSWL,2.96,3.12,2.96,3.11,0.15,5.07,"11,373",3.64,1.85,0.28,9.00,11.52,14.34,Nasdaq,Tuesday,2018-04-17
97459,290476,Deswell Industries,DSWL,3.07,3.07,3.02,3.02,-0.09,-2.89,"7,080",3.64,1.85,0.28,9.27,11.19,11.03,Nasdaq,Wednesday,2018-04-18
97460,143727,Deswell Industries,DSWL,3.02,3.07,3.02,3.05,0.03,0.99,634,3.64,1.85,0.28,9.18,11.30,12.13,Nasdaq,Thursday,2018-04-19
97461,504,Deswell Industries,DSWL,3.02,3.07,2.98,3.07,0.02,0.66,"5,053",3.64,1.85,0.28,9.12,11.37,12.87,Nasdaq,Friday,2018-04-20
97462,218922,Deswell Industries,DSWL,2.99,3.03,2.96,3.02,0,0,"31,979",3.64,1.85,0.28,9.27,11.19,11.03,Nasdaq,Tuesday,2018-04-24
97463,292287,Deswell Industries,DSWL,3.02,3.07,2.99,3.07,0.05,1.66,"9,329",3.64,1.85,0.28,9.12,11.37,12.87,Nasdaq,Wednesday,2018-04-25
97464,2312,Deswell Industries,DSWL,3.09,3.09,3.05,3.09,0.03,0.98,919,3.64,1.85,0.28,9.06,11.44,13.60,Nasdaq,Friday,2018-04-27
97465,75769,Deswell Industries,DSWL,3.1,3.1,3.04,3.05,-0.04,-1.29,"9,392",3.64,1.85,0.28,9.18,11.30,12.13,Nasdaq,Monday,2018-04-30
97466,255562,Deswell Industries,DSWL,3.0,3.03,3.0,3.03,-0.02,-0.66,530,3.64,1.85,0.28,9.24,11.22,11.40,Nasdaq,Tuesday,2018-05-01
97467,185883,Deswell Industries,DSWL,3.02,3.06,3.0,3.05,0.02,0.75,"3,052",3.64,1.85,0.28,9.18,11.30,12.13,Nasdaq,Thursday,2018-05-03
97468,44481,Deswell Industries,DSWL,3.08,3.09,3.05,3.06,0.01,0.33,"22,628",3.64,1.85,0.28,9.15,11.33,12.50,Nasdaq,Friday,2018-05-04
97469,114291,Deswell Industries,DSWL,3.05,3.07,3.03,3.05,-0.01,-0.26,"3,906",3.64,1.85,0.28,9.17,11.30,12.21,Nasdaq,Monday,2018-05-07
97470,257377,Deswell Industries,DSWL,3.05,3.06,3.05,3.06,0.01,0.27,296,3.64,1.87,0.28,9.15,11.33,12.51,Nasdaq,Tuesday,2018-05-08
97471,328916,Deswell Industries,DSWL,3.05,3.07,3.03,3.04,-0.02,-0.66,"5,213",3.64,1.87,0.28,9.21,11.26,11.76,Nasdaq,Wednesday,2018-05-09
97472,187692,Deswell Industries,DSWL,3.07,3.07,3.05,3.06,0.02,0.66,"3,039",3.64,1.87,0.28,9.15,11.33,12.50,Nasdaq,Thursday,2018-05-10
97473,46294,Deswell Industries,DSWL,3.06,3.06,3.0,3.01,-0.05,-1.47,"30,681",3.64,1.87,0.28,9.29,11.17,10.84,Nasdaq,Friday,2018-05-11
97474,116109,Deswell Industries,DSWL,3.05,3.07,3.04,3.07,0.06,1.83,"2,046",3.64,1.87,0.28,9.12,11.37,12.87,Nasdaq,Monday,2018-05-14
97475,259185,Deswell Industries,DSWL,3.01,3.04,3.01,3.04,-0.03,-0.98,"3,755",3.64,1.88,0.28,9.21,11.26,11.76,Nasdaq,Tuesday,2018-05-15
97476,330738,Deswell Industries,DSWL,3.05,3.07,3.02,3.02,-0.02,-0.49,"14,189",3.64,1.88,0.28,9.26,11.20,11.21,Nasdaq,Wednesday,2018-05-16
97477,189497,Deswell Industries,DSWL,3.06,3.06,2.99,3.03,0,0.15,"38,592",3.64,1.88,0.28,9.24,11.22,11.38,Nasdaq,Thursday,2018-05-17
97478,48113,Deswell Industries,DSWL,3.07,3.07,3.01,3.02,-0.01,-0.43,"14,325",3.64,1.88,0.28,9.28,11.17,10.90,Nasdaq,Friday,2018-05-18
97479,117924,Deswell Industries,DSWL,3.03,3.07,3.02,3.07,0.05,1.77,"10,283",3.64,1.88,0.28,9.12,11.37,12.87,Nasdaq,Monday,2018-05-21
97480,260999,Deswell Industries,DSWL,3.04,3.05,3.03,3.05,-0.02,-0.65,"5,006",3.64,1.91,0.28,9.18,11.30,12.13,Nasdaq,Tuesday,2018-05-22
97481,332555,Deswell Industries,DSWL,3.03,3.05,3.03,3.03,-0.02,-0.62,"4,179",3.64,1.91,0.28,9.24,11.23,11.43,Nasdaq,Wednesday,2018-05-23
97482,191314,Deswell Industries,DSWL,3.04,3.05,3.03,3.05,0.02,0.63,"10,153",3.64,1.92,0.28,9.18,11.30,12.13,Nasdaq,Thursday,2018-05-24
97483,49926,Deswell Industries,DSWL,3.07,3.07,3.03,3.07,0.02,0.66,"2,247",3.64,1.92,0.28,9.12,11.37,12.87,Nasdaq,Friday,2018-05-25
97484,262815,Deswell Industries,DSWL,3.05,3.1,3.05,3.06,-0.01,-0.33,"13,024",3.64,1.92,0.28,9.15,11.33,12.50,Nasdaq,Tuesday,2018-05-29
97485,334366,Deswell Industries,DSWL,3.06,3.1,3.06,3.1,0.04,1.31,"2,260",3.64,1.92,0.28,9.03,11.48,13.97,Nasdaq,Wednesday,2018-05-30
97486,193126,Deswell Industries,DSWL,3.05,3.1,3.05,3.07,-0.03,-0.97,"2,712",3.64,1.92,0.28,9.12,11.37,12.87,Nasdaq,Thursday,2018-05-31
97487,35335,Deswell Industries,DSWL,3.09,3.14,3.09,3.12,0.05,1.70,"4,164",3.64,1.92,0.28,8.97,11.56,14.79,Nasdaq,Friday,2018-06-01
