,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
100015,184106,Echo Global Logistics,ECHO,26.45,27.8,26.35,27.6,1.30,4.94,"377,345",32.95,13.00,0,0,60.00,-1.43,Nasdaq,Thursday,2018-03-29
100016,288708,Echo Global Logistics,ECHO,28.3,28.5,27.95,28.5,0.15,0.53,"226,405",32.95,13.00,0,0,61.96,1.79,Nasdaq,Wednesday,2018-04-11
100017,141960,Echo Global Logistics,ECHO,28.65,29.29,27.35,28.85,0.35,1.23,"201,804",32.95,13.0,0,0,62.72,3.04,Nasdaq,Thursday,2018-04-12
100018,217152,Echo Global Logistics,ECHO,30.25,30.5,29.95,30.2,0.10,0.33,"232,843",32.95,13.00,0,0,65.65,7.86,Nasdaq,Tuesday,2018-04-17
100019,290514,Echo Global Logistics,ECHO,30.35,30.98,30.35,30.6,0.40,1.32,"250,956",32.95,13.0,0,0,66.52,9.29,Nasdaq,Wednesday,2018-04-18
100020,143766,Echo Global Logistics,ECHO,30.65,30.7,29.75,29.95,-0.65,-2.12,"171,767",32.95,13.00,0,0,65.11,6.96,Nasdaq,Thursday,2018-04-19
100021,542,Echo Global Logistics,ECHO,29.9,30.15,29.43,29.9,-0.05,-0.17,"222,730",32.95,13.00,0,0,65.00,6.79,Nasdaq,Friday,2018-04-20
100022,218960,Echo Global Logistics,ECHO,29.4,29.45,27.6,27.7,-1.55,-5.30,"530,427",32.95,13.0,0,0,60.22,-1.07,Nasdaq,Tuesday,2018-04-24
100023,292324,Echo Global Logistics,ECHO,28.1,28.45,27.25,27.9,0.20,0.72,"806,052",32.95,13.0,0,0,60.65,-0.36,Nasdaq,Wednesday,2018-04-25
100024,2350,Echo Global Logistics,ECHO,27.7,28.3,26.25,27.4,-0.15,-0.54,"418,660",32.95,13.00,0,0,37.53,-2.14,Nasdaq,Friday,2018-04-27
