,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
100752,184132,Endocyte,ECYT,8.8,9.44,8.55,9.09,0.29,3.30,"2,183,521",11.54,1.17,0,0,0,112.38,Nasdaq,Thursday,2018-03-29
100753,288734,Endocyte,ECYT,8.72,9.55,8.55,9.15,0.31,3.51,"1,896,963",11.54,1.17,0,0,0,113.79,Nasdaq,Wednesday,2018-04-11
100754,141986,Endocyte,ECYT,9.17,9.61,9.17,9.55,0.40,4.37,"722,773",11.54,1.17,0,0,0,123.13,Nasdaq,Thursday,2018-04-12
100755,217178,Endocyte,ECYT,9.27,10.1,9.25,10.05,0.82,8.88,"1,363,780",11.54,1.17,0,0,0,134.81,Nasdaq,Tuesday,2018-04-17
100756,290540,Endocyte,ECYT,10.04,10.07,9.57,9.73,-0.32,-3.18,"1,049,471",11.54,1.17,0,0,0,127.34,Nasdaq,Wednesday,2018-04-18
100757,143792,Endocyte,ECYT,9.7,9.96,9.57,9.62,-0.11,-1.13,"594,330",11.54,1.17,0,0,0,124.77,Nasdaq,Thursday,2018-04-19
100758,567,Endocyte,ECYT,9.66,9.73,9.25,9.41,-0.21,-2.18,"645,490",11.54,1.17,0,0,0,119.86,Nasdaq,Friday,2018-04-20
100759,218986,Endocyte,ECYT,9.2,9.65,8.85,8.98,-0.18,-1.97,"589,938",11.54,1.17,0,0,0,109.81,Nasdaq,Tuesday,2018-04-24
100760,292350,Endocyte,ECYT,9.02,9.23,8.75,9.03,0.05,0.56,"556,428",11.54,1.17,0,0,0,110.98,Nasdaq,Wednesday,2018-04-25
100761,2377,Endocyte,ECYT,9.33,9.51,9.25,9.4,0.07,0.75,"489,467",11.54,1.17,0,0,0,119.63,Nasdaq,Friday,2018-04-27
100762,75835,Endocyte,ECYT,9.4,9.77,9.31,9.57,0.17,1.81,"598,387",11.54,1.17,0,0,0,123.60,Nasdaq,Monday,2018-04-30
100763,255628,Endocyte,ECYT,9.55,9.72,9.27,9.59,0.02,0.21,"419,249",11.54,1.17,0,0,0,124.07,Nasdaq,Tuesday,2018-05-01
100764,185947,Endocyte,ECYT,10.35,10.84,10.35,10.81,0.47,4.55,"788,527",11.54,1.17,0,0,0,152.57,Nasdaq,Thursday,2018-05-03
100765,44546,Endocyte,ECYT,10.83,10.99,10.61,10.89,0.08,0.74,"663,682",11.54,1.17,0,0,0,154.44,Nasdaq,Friday,2018-05-04
100766,114358,Endocyte,ECYT,10.86,12.19,10.86,11.49,0.60,5.51,"2,655,491",12.19,1.17,0,0,0,168.46,Nasdaq,Monday,2018-05-07
