,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
102627,184137,Energy XXI Gulf Coast,EGC,3.68,3.88,3.54,3.84,0.16,4.21,"470,915",30.30,3.41,0,0,0,-33.10,Nasdaq,Thursday,2018-03-29
102628,288739,Energy XXI Gulf Coast,EGC,4.06,4.91,3.98,4.75,0.68,16.71,"536,606",30.00,3.41,0,0,0,-17.25,Nasdaq,Wednesday,2018-04-11
102629,141991,Energy XXI Gulf Coast,EGC,4.76,4.83,4.5,4.8,0.05,1.05,"364,084",30.0,3.41,0,0,0,-16.38,Nasdaq,Thursday,2018-04-12
102630,217183,Energy XXI Gulf Coast,EGC,5.74,5.91,5.52,5.53,-0.24,-4.16,"430,988",29.00,3.41,0,0,0,-3.66,Nasdaq,Tuesday,2018-04-17
102631,290545,Energy XXI Gulf Coast,EGC,5.68,6.25,5.61,5.9,0.37,6.69,"853,750",29.0,3.41,0,0,0,2.79,Nasdaq,Wednesday,2018-04-18
102632,143797,Energy XXI Gulf Coast,EGC,6.01,6.27,5.75,5.86,-0.04,-0.68,"419,339",29.00,3.41,0,0,0,2.09,Nasdaq,Thursday,2018-04-19
102633,572,Energy XXI Gulf Coast,EGC,5.78,6.06,5.72,5.99,0.13,2.22,"345,140",29.00,3.41,0,0,0,4.36,Nasdaq,Friday,2018-04-20
102634,218991,Energy XXI Gulf Coast,EGC,5.81,6.0,5.51,5.62,-0.23,-3.93,"350,134",28.76,3.41,0,0,0,-2.09,Nasdaq,Tuesday,2018-04-24
102635,292355,Energy XXI Gulf Coast,EGC,5.64,5.8,5.4,5.71,0.09,1.60,"307,120",28.76,3.41,0,0,0,-0.52,Nasdaq,Wednesday,2018-04-25
102636,2382,Energy XXI Gulf Coast,EGC,5.65,5.71,5.5,5.6,-0.08,-1.41,"123,608",28.40,3.41,0,0,0,-2.44,Nasdaq,Friday,2018-04-27
102637,75840,Energy XXI Gulf Coast,EGC,5.6,5.92,5.5,5.78,0.18,3.21,"291,471",28.4,3.41,0,0,0,0.70,Nasdaq,Monday,2018-04-30
102638,255633,Energy XXI Gulf Coast,EGC,5.73,5.83,5.56,5.78,0,0,"269,235",28.4,3.41,0,0,0,0.70,Nasdaq,Tuesday,2018-05-01
102639,185952,Energy XXI Gulf Coast,EGC,6.33,6.6,6.21,6.52,0.22,3.49,"582,754",28.40,3.41,0,0,0,13.59,Nasdaq,Thursday,2018-05-03
102640,44551,Energy XXI Gulf Coast,EGC,6.47,6.65,6.25,6.57,0.05,0.77,"600,922",28.40,3.41,0,0,0,14.46,Nasdaq,Friday,2018-05-04
102641,114363,Energy XXI Gulf Coast,EGC,6.66,7.5,6.66,7.02,0.45,6.85,"782,908",28.4,3.41,0,0,0,22.30,Nasdaq,Monday,2018-05-07
102642,257447,Energy XXI Gulf Coast,EGC,7.12,7.25,6.62,7.19,0.17,2.42,"627,502",28.40,3.41,0,0,0,25.26,Nasdaq,Tuesday,2018-05-08
102643,328986,Energy XXI Gulf Coast,EGC,7.48,8.28,7.37,7.48,0.29,4.03,"1,540,962",28.40,3.41,0,0,0,30.31,Nasdaq,Wednesday,2018-05-09
102644,187763,Energy XXI Gulf Coast,EGC,8.0,8.62,6.26,6.88,-0.60,-8.02,"1,659,945",28.4,3.41,0,0,0,19.86,Nasdaq,Thursday,2018-05-10
102645,46364,Energy XXI Gulf Coast,EGC,6.9,7.24,6.54,6.73,-0.15,-2.18,"887,768",28.4,3.41,0,0,0,17.25,Nasdaq,Friday,2018-05-11
102646,116177,Energy XXI Gulf Coast,EGC,6.77,7.35,6.66,7.2,0.47,6.98,"634,539",28.4,3.41,0,0,0,25.44,Nasdaq,Monday,2018-05-14
102647,259255,Energy XXI Gulf Coast,EGC,7.26,8.07,7.26,7.84,0.64,8.89,"944,365",28.4,3.41,0,0,0,36.59,Nasdaq,Tuesday,2018-05-15
102648,330809,Energy XXI Gulf Coast,EGC,7.89,8.14,7.41,7.48,-0.36,-4.59,"846,749",28.4,3.41,0,0,0,30.31,Nasdaq,Wednesday,2018-05-16
102649,189567,Energy XXI Gulf Coast,EGC,7.63,8.09,7.56,7.76,0.28,3.74,"953,954",28.40,3.41,0,0,0,35.19,Nasdaq,Thursday,2018-05-17
102650,48181,Energy XXI Gulf Coast,EGC,7.8,7.8,7.42,7.54,-0.22,-2.84,"531,140",28.4,3.41,0,0,0,31.36,Nasdaq,Friday,2018-05-18
102651,117994,Energy XXI Gulf Coast,EGC,7.69,7.99,7.45,7.9,0.36,4.77,"396,694",28.40,3.41,0,0,0,37.63,Nasdaq,Monday,2018-05-21
102652,261069,Energy XXI Gulf Coast,EGC,7.9,8.53,7.8,8.01,0.11,1.39,"1,606,517",28.4,3.41,0,0,0,39.55,Nasdaq,Tuesday,2018-05-22
102653,332626,Energy XXI Gulf Coast,EGC,8.12,8.48,7.85,8.03,0.02,0.25,"503,447",28.40,3.41,0,0,0,39.90,Nasdaq,Wednesday,2018-05-23
102654,191384,Energy XXI Gulf Coast,EGC,7.86,7.89,7.44,7.59,-0.44,-5.48,"449,490",28.40,3.41,0,0,0,32.23,Nasdaq,Thursday,2018-05-24
102655,49995,Energy XXI Gulf Coast,EGC,7.49,7.49,6.92,7.09,-0.50,-6.59,"495,811",27.84,3.41,0,0,0,23.52,Nasdaq,Friday,2018-05-25
102656,262885,Energy XXI Gulf Coast,EGC,6.98,7.16,6.88,6.92,-0.17,-2.40,"630,079",27.16,3.41,0,0,0,20.56,Nasdaq,Tuesday,2018-05-29
102657,334436,Energy XXI Gulf Coast,EGC,6.96,7.45,6.96,7.31,0.39,5.64,"362,095",26.74,3.41,0,0,0,27.35,Nasdaq,Wednesday,2018-05-30
102658,193194,Energy XXI Gulf Coast,EGC,7.22,7.72,7.22,7.52,0.21,2.87,"476,108",26.74,3.41,0,0,0,31.01,Nasdaq,Thursday,2018-05-31
102659,35404,Energy XXI Gulf Coast,EGC,7.56,7.74,7.16,7.4,-0.12,-1.60,"418,571",26.29,3.41,0,0,0,28.92,Nasdaq,Friday,2018-06-01
102660,107068,Energy XXI Gulf Coast,EGC,7.42,7.49,6.95,6.98,-0.42,-5.68,"314,807",25.69,3.41,0,0,0,21.60,Nasdaq,Monday,2018-06-04
102661,248345,Energy XXI Gulf Coast,EGC,6.98,7.42,6.78,7.24,0.26,3.72,"394,428",24.36,3.41,0,0,0,26.13,Nasdaq,Tuesday,2018-06-05
102662,321684,Energy XXI Gulf Coast,EGC,7.23,7.39,7.06,7.37,0.13,1.80,"286,085",24.36,3.41,0,0,0,28.40,Nasdaq,Wednesday,2018-06-06
102663,176823,Energy XXI Gulf Coast,EGC,7.41,8.13,7.41,7.9,0.53,7.19,"519,124",24.36,3.41,0,0,0,37.63,Nasdaq,Thursday,2018-06-07
102664,37232,Energy XXI Gulf Coast,EGC,7.94,7.94,7.59,7.77,-0.13,-1.65,"171,964",24.36,3.41,0,0,0,35.37,Nasdaq,Friday,2018-06-08
102665,108894,Energy XXI Gulf Coast,EGC,7.74,8.08,7.62,7.94,0.17,2.19,"203,980",24.36,3.41,0,0,0,38.33,Nasdaq,Monday,2018-06-11
102666,250173,Energy XXI Gulf Coast,EGC,7.92,8.13,7.73,7.89,-0.05,-0.63,"183,443",24.36,3.41,0,0,0,37.46,Nasdaq,Tuesday,2018-06-12
