,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
103012,184752,NIC,EGOV,13.35,13.55,13.25,13.3,0.05,0.38,"628,992",22.40,12.65,0.32,2.41,17.49,-19.88,Nasdaq,Thursday,2018-03-29
103013,289347,NIC,EGOV,14.0,14.22,13.9,14.1,0.10,0.71,"300,127",22.40,12.65,0.32,2.27,18.54,-15.06,Nasdaq,Wednesday,2018-04-11
103014,142598,NIC,EGOV,14.15,14.25,14.0,14.15,0.05,0.35,"234,005",22.4,12.65,0.32,2.26,18.61,-14.76,Nasdaq,Thursday,2018-04-12
103015,217793,NIC,EGOV,14.35,14.5,14.35,14.45,0.10,0.70,"315,826",22.40,12.65,0.32,2.21,19.00,-12.95,Nasdaq,Tuesday,2018-04-17
103016,291157,NIC,EGOV,14.55,14.7,14.4,14.55,0.10,0.69,"400,189",22.4,12.65,0.32,2.20,19.13,-12.35,Nasdaq,Wednesday,2018-04-18
103017,144410,NIC,EGOV,14.55,14.55,14.3,14.4,-0.15,-1.03,"376,962",22.40,12.65,0.32,2.22,18.94,-13.25,Nasdaq,Thursday,2018-04-19
103018,1183,NIC,EGOV,14.3,14.63,14.2,14.3,-0.10,-0.69,"460,331",22.40,12.65,0.32,2.24,18.81,-13.86,Nasdaq,Friday,2018-04-20
103019,219603,NIC,EGOV,14.45,14.75,14.3,14.35,-0.10,-0.69,"672,098",22.4,12.65,0.32,2.23,18.87,-13.55,Nasdaq,Tuesday,2018-04-24
103020,292970,NIC,EGOV,14.35,14.55,14.25,14.45,0.10,0.70,"458,186",22.4,12.65,0.32,2.21,19.00,-12.95,Nasdaq,Wednesday,2018-04-25
103021,2994,NIC,EGOV,14.85,14.95,14.6,14.9,0.10,0.68,"478,866",22.40,12.65,0.32,2.15,19.59,-10.24,Nasdaq,Friday,2018-04-27
103022,76452,NIC,EGOV,14.9,14.95,14.6,14.85,-0.05,-0.34,"1,162,980",22.4,12.65,0.32,2.15,19.53,-10.54,Nasdaq,Monday,2018-04-30
103023,256245,NIC,EGOV,15.5,16.4,15.15,15.55,0.70,4.71,"1,943,059",22.4,12.65,0.32,2.06,19.92,-6.33,Nasdaq,Tuesday,2018-05-01
103024,186563,NIC,EGOV,15.45,15.65,15.25,15.45,0,0,"615,089",21.50,12.65,0.32,2.07,19.80,-6.93,Nasdaq,Thursday,2018-05-03
103025,45162,NIC,EGOV,15.45,15.65,15.2,15.45,0,0,"449,388",21.50,12.65,0.32,2.07,19.80,-6.93,Nasdaq,Friday,2018-05-04
103026,114977,NIC,EGOV,15.4,15.85,15.36,15.7,0.25,1.62,"624,939",21.43,12.65,0.32,2.04,20.12,-5.42,Nasdaq,Monday,2018-05-07
103027,258058,NIC,EGOV,15.85,16.0,15.55,15.75,0.05,0.32,"666,273",21.25,12.65,0.32,2.03,20.18,-5.12,Nasdaq,Tuesday,2018-05-08
103028,329600,NIC,EGOV,15.75,15.88,15.57,15.8,0.05,0.32,"671,706",21.25,12.65,0.32,2.03,20.24,-4.82,Nasdaq,Wednesday,2018-05-09
103029,188369,NIC,EGOV,15.9,15.9,15.45,15.5,-0.30,-1.90,"597,587",21.25,12.65,0.32,2.06,19.86,-6.63,Nasdaq,Thursday,2018-05-10
103030,46977,NIC,EGOV,15.55,15.55,15.25,15.5,0,0,"804,552",21.25,12.65,0.32,2.06,19.86,-6.63,Nasdaq,Friday,2018-05-11
103031,116791,NIC,EGOV,15.5,15.75,15.3,15.55,0.05,0.32,"628,717",21.25,12.65,0.32,2.06,19.92,-6.33,Nasdaq,Monday,2018-05-14
103032,259869,NIC,EGOV,15.55,15.7,15.2,15.6,0.05,0.32,"771,679",21.25,12.65,0.32,2.05,19.99,-6.02,Nasdaq,Tuesday,2018-05-15
103033,331425,NIC,EGOV,15.55,15.65,15.35,15.55,-0.05,-0.32,"457,149",21.1,12.65,0.32,2.06,19.92,-6.33,Nasdaq,Wednesday,2018-05-16
103034,190180,NIC,EGOV,15.6,15.8,15.5,15.65,0.10,0.64,"337,183",21.05,12.65,0.32,2.04,20.05,-5.72,Nasdaq,Thursday,2018-05-17
