,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
124356,184194,Financial Engines,FNGN,34.5,35.3,34.35,35.0,0.60,1.74,"343,503",45.00,24.45,0.32,0.91,47.95,15.51,Nasdaq,Thursday,2018-03-29
124357,288797,Financial Engines,FNGN,32.5,32.8,32.2,32.4,-0.20,-0.61,"166,551",45.00,24.45,0.32,0.99,44.38,6.93,Nasdaq,Wednesday,2018-04-11
124358,142049,Financial Engines,FNGN,32.5,33.0,32.45,32.9,0.50,1.54,"348,938",45.0,24.45,0.32,0.97,45.07,8.58,Nasdaq,Thursday,2018-04-12
124359,217240,Financial Engines,FNGN,33.55,34.1,33.35,34.0,0.75,2.26,"198,401",45.00,24.45,0.32,0.94,46.58,12.21,Nasdaq,Tuesday,2018-04-17
124360,290602,Financial Engines,FNGN,34.05,35.0,34.05,34.65,0.65,1.91,"302,488",45.0,24.45,0.32,0.92,47.47,14.36,Nasdaq,Wednesday,2018-04-18
124361,143855,Financial Engines,FNGN,34.5,35.3,34.3,34.9,0.25,0.72,"331,116",45.00,24.45,0.32,0.92,47.81,15.18,Nasdaq,Thursday,2018-04-19
124362,628,Financial Engines,FNGN,34.75,35.3,34.5,34.9,0,0,"464,862",45.00,24.45,0.32,0.92,47.81,15.18,Nasdaq,Friday,2018-04-20
124363,219048,Financial Engines,FNGN,35.0,35.45,34.85,35.1,0.25,0.72,"181,528",45.0,24.45,0.32,0.91,48.08,15.84,Nasdaq,Tuesday,2018-04-24
124364,292411,Financial Engines,FNGN,34.95,35.6,34.35,35.55,0.45,1.28,"337,698",45.0,24.45,0.32,0.90,48.70,17.33,Nasdaq,Wednesday,2018-04-25
124365,2439,Financial Engines,FNGN,35.5,35.55,33.73,33.95,-1.40,-3.96,"433,901",45.00,24.45,0.32,0.94,46.51,12.05,Nasdaq,Friday,2018-04-27
124366,75896,Financial Engines,FNGN,44.4,44.95,44.4,44.65,10.70,31.52,"5,884,864",45.0,24.45,0.32,0.72,61.16,47.36,Nasdaq,Monday,2018-04-30
124367,255690,Financial Engines,FNGN,44.65,44.75,44.42,44.5,-0.15,-0.34,"4,054,879",45.0,24.45,0.32,0.72,60.96,46.86,Nasdaq,Tuesday,2018-05-01
124368,186007,Financial Engines,FNGN,44.55,44.55,44.45,44.5,0,0,"2,051,570",45.00,24.45,0.32,0.72,60.96,46.86,Nasdaq,Thursday,2018-05-03
124369,44607,Financial Engines,FNGN,44.5,44.55,44.45,44.45,-0.05,-0.11,"838,456",45.00,24.45,0.32,0.72,60.89,46.70,Nasdaq,Friday,2018-05-04
124370,114420,Financial Engines,FNGN,44.5,44.65,44.45,44.6,0.15,0.34,"1,361,462",44.95,24.45,0.32,0.72,61.10,47.19,Nasdaq,Monday,2018-05-07
124371,257503,Financial Engines,FNGN,44.55,44.6,44.45,44.55,-0.05,-0.11,"816,203",44.95,24.45,0.32,0.72,61.03,47.03,Nasdaq,Tuesday,2018-05-08
124372,329043,Financial Engines,FNGN,44.55,44.7,44.5,44.5,-0.05,-0.11,"911,567",44.95,24.45,0.32,0.72,60.96,46.86,Nasdaq,Wednesday,2018-05-09
124373,187820,Financial Engines,FNGN,44.55,44.55,44.4,44.5,0,0,"1,198,771",44.95,24.45,0.32,0.72,54.94,46.86,Nasdaq,Thursday,2018-05-10
124374,46421,Financial Engines,FNGN,44.55,44.75,44.5,44.65,0.15,0.34,"778,919",44.95,24.45,0.32,0.72,55.12,47.36,Nasdaq,Friday,2018-05-11
124375,116234,Financial Engines,FNGN,44.6,44.7,44.55,44.58,-0.07,-0.17,"720,892",44.95,24.45,0.32,0.72,55.03,47.11,Nasdaq,Monday,2018-05-14
124376,259313,Financial Engines,FNGN,44.55,44.7,44.55,44.7,0.13,0.28,"548,314",44.95,24.45,0.32,0.72,55.19,47.52,Nasdaq,Tuesday,2018-05-15
124377,330866,Financial Engines,FNGN,44.7,44.7,44.63,44.65,-0.05,-0.11,"589,729",44.95,24.45,0.32,0.72,55.12,47.36,Nasdaq,Wednesday,2018-05-16
124378,189625,Financial Engines,FNGN,44.65,44.7,44.55,44.55,-0.10,-0.22,"864,969",44.95,24.45,0.32,0.72,55.00,47.03,Nasdaq,Thursday,2018-05-17
124379,48238,Financial Engines,FNGN,44.6,44.65,44.55,44.6,0.05,0.11,"404,054",44.95,24.45,0.32,0.72,55.06,47.19,Nasdaq,Friday,2018-05-18
124380,118052,Financial Engines,FNGN,44.6,44.65,44.55,44.65,0.05,0.11,"400,279",44.95,24.45,0.32,0.72,55.12,47.36,Nasdaq,Monday,2018-05-21
124381,261128,Financial Engines,FNGN,44.6,44.65,44.6,44.6,-0.05,-0.11,"327,847",44.95,24.45,0.32,0.72,55.06,47.19,Nasdaq,Tuesday,2018-05-22
124382,332684,Financial Engines,FNGN,44.6,44.7,44.6,44.63,0.02,0.06,"679,045",44.95,24.45,0.32,0.72,55.09,47.28,Nasdaq,Wednesday,2018-05-23
124383,191441,Financial Engines,FNGN,44.6,44.75,44.6,44.75,0.13,0.28,"1,064,891",44.95,24.45,0.32,0.72,55.25,47.69,Nasdaq,Thursday,2018-05-24
124384,50054,Financial Engines,FNGN,44.75,44.75,44.65,44.75,0,0,"626,132",44.95,24.45,0.32,0.72,55.25,47.69,Nasdaq,Friday,2018-05-25
124385,262943,Financial Engines,FNGN,44.75,44.75,44.65,44.7,-0.05,-0.11,"576,076",44.95,24.45,0.32,0.72,55.19,47.52,Nasdaq,Tuesday,2018-05-29
124386,334496,Financial Engines,FNGN,44.75,44.75,44.65,44.75,0.05,0.11,"1,060,501",44.95,24.45,0.32,0.72,55.25,47.69,Nasdaq,Wednesday,2018-05-30
124387,193254,Financial Engines,FNGN,44.7,44.75,44.65,44.65,-0.10,-0.22,"1,032,149",44.95,24.45,0.32,0.72,55.12,47.36,Nasdaq,Thursday,2018-05-31
124388,35464,Financial Engines,FNGN,44.65,44.75,44.65,44.75,0.10,0.22,"405,155",44.95,24.45,0.32,0.72,55.25,47.69,Nasdaq,Friday,2018-06-01
124389,107128,Financial Engines,FNGN,44.75,44.9,44.67,44.85,0.10,0.22,"1,128,051",44.95,24.45,0.32,0.71,55.37,48.02,Nasdaq,Monday,2018-06-04
124390,248405,Financial Engines,FNGN,44.85,44.95,44.75,44.9,0.05,0.11,"812,406",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Tuesday,2018-06-05
124391,321744,Financial Engines,FNGN,44.85,44.92,44.8,44.83,-0.07,-0.17,"1,034,851",44.95,24.45,0.32,0.71,55.34,47.94,Nasdaq,Wednesday,2018-06-06
124392,176884,Financial Engines,FNGN,44.85,44.85,44.77,44.85,0.02,0.06,"1,162,746",44.95,24.45,0.32,0.71,55.37,48.02,Nasdaq,Thursday,2018-06-07
124393,37292,Financial Engines,FNGN,44.8,44.85,44.8,44.8,-0.05,-0.11,"474,796",44.95,24.45,0.32,0.71,55.31,47.85,Nasdaq,Friday,2018-06-08
124394,108955,Financial Engines,FNGN,44.8,44.85,44.8,44.8,0,0,"233,413",44.95,24.45,0.32,0.71,55.31,47.85,Nasdaq,Monday,2018-06-11
124395,250232,Financial Engines,FNGN,44.85,44.85,44.8,44.85,0.05,0.11,"370,955",44.95,24.45,0.32,0.71,55.37,48.02,Nasdaq,Tuesday,2018-06-12
124396,323571,Financial Engines,FNGN,44.8,44.9,44.8,44.9,0.05,0.11,"614,481",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Wednesday,2018-06-13
124397,178707,Financial Engines,FNGN,44.9,44.9,44.85,44.9,0,0,"663,665",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Thursday,2018-06-14
124398,39112,Financial Engines,FNGN,44.85,44.95,44.83,44.95,0.05,0.11,"743,838",44.95,24.45,0.32,0.71,55.49,48.35,Nasdaq,Friday,2018-06-15
124399,110775,Financial Engines,FNGN,44.9,44.9,44.85,44.85,-0.10,-0.22,"322,818",44.95,24.45,0.32,0.71,55.37,48.02,Nasdaq,Monday,2018-06-18
124400,252050,Financial Engines,FNGN,44.85,44.95,44.85,44.9,0.05,0.11,"500,635",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Tuesday,2018-06-19
124401,325396,Financial Engines,FNGN,44.95,44.95,44.9,44.9,0,0,"283,097",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Wednesday,2018-06-20
124402,180530,Financial Engines,FNGN,44.9,44.9,44.8,44.85,0.03,0.07,"920,326",44.95,24.45,0.32,0.71,55.37,48.02,Nasdaq,Thursday,2018-06-21
124403,40944,Financial Engines,FNGN,44.9,44.9,44.85,44.9,0.05,0.11,"938,211",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Friday,2018-06-22
124404,112598,Financial Engines,FNGN,44.85,44.9,44.85,44.85,-0.05,-0.11,"358,508",44.95,24.45,0.32,0.71,55.37,48.02,Nasdaq,Monday,2018-06-25
124405,253871,Financial Engines,FNGN,44.85,44.9,44.85,44.9,0.05,0.11,"251,493",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Tuesday,2018-06-26
124406,327214,Financial Engines,FNGN,44.85,44.9,44.85,44.85,-0.05,-0.11,"219,727",44.95,24.45,0.32,0.71,55.37,48.02,Nasdaq,Wednesday,2018-06-27
124407,182359,Financial Engines,FNGN,44.85,44.9,44.85,44.9,0.05,0.11,"189,080",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Thursday,2018-06-28
124408,42775,Financial Engines,FNGN,44.85,44.9,44.85,44.9,0,0,"244,212",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Friday,2018-06-29
124409,97965,Financial Engines,FNGN,44.85,44.95,44.85,44.95,0.05,0.11,"277,997",44.95,24.45,0.32,0.71,55.49,48.35,Nasdaq,Monday,2018-07-02
124410,239250,Financial Engines,FNGN,44.9,44.95,44.9,44.9,-0.05,-0.11,"99,236",44.95,24.45,0.32,0.71,55.43,48.18,Nasdaq,Tuesday,2018-07-03
124411,169546,Financial Engines,FNGN,44.95,45.0,44.9,45.0,0.10,0.22,"180,423",45.0,24.45,0.32,0.71,55.56,48.51,Nasdaq,Thursday,2018-07-05
124412,28145,Financial Engines,FNGN,44.95,45.0,44.9,45.0,0,0,"159,310",45.0,24.45,0.32,0.71,55.56,48.51,Nasdaq,Friday,2018-07-06
