,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
126116,184243,Forrester Research,FORR,41.5,41.8,40.9,41.45,0.25,0.61,"56,901",47.75,36.95,0.80,1.93,49.94,-6.22,Nasdaq,Thursday,2018-03-29
126117,288843,Forrester Research,FORR,43.7,43.9,43.05,43.2,-0.70,-1.59,"31,162",47.75,36.95,0.80,1.85,52.05,-2.26,Nasdaq,Wednesday,2018-04-11
126118,142095,Forrester Research,FORR,43.35,43.35,42.9,43.25,0.05,0.12,"30,751",47.75,36.95,0.80,1.85,52.11,-2.15,Nasdaq,Thursday,2018-04-12
126119,217288,Forrester Research,FORR,44.05,44.75,44.05,44.55,0.60,1.37,"26,221",47.75,36.95,0.80,1.80,53.67,0.79,Nasdaq,Tuesday,2018-04-17
126120,290649,Forrester Research,FORR,44.7,45.45,44.7,45.4,0.85,1.91,"39,793",47.75,36.95,0.80,1.76,54.70,2.71,Nasdaq,Wednesday,2018-04-18
126121,143903,Forrester Research,FORR,45.2,45.35,43.98,45.05,-0.35,-0.77,"27,907",47.75,36.95,0.80,1.78,54.28,1.92,Nasdaq,Thursday,2018-04-19
126122,677,Forrester Research,FORR,45.0,45.2,43.98,44.75,-0.30,-0.67,"24,927",47.75,36.95,0.80,1.79,53.92,1.24,Nasdaq,Friday,2018-04-20
126123,219097,Forrester Research,FORR,44.05,45.2,43.75,45.1,0.40,0.89,"37,317",47.75,36.95,0.80,1.77,54.34,2.04,Nasdaq,Tuesday,2018-04-24
126124,292460,Forrester Research,FORR,45.3,45.85,45.05,45.5,0.40,0.89,"32,251",47.75,36.95,0.80,1.76,54.82,2.94,Nasdaq,Wednesday,2018-04-25
126125,2487,Forrester Research,FORR,44.6,45.1,40.95,40.95,-4.90,-10.69,"72,834",47.75,36.95,0.80,1.95,49.34,-7.35,Nasdaq,Friday,2018-04-27
126126,75944,Forrester Research,FORR,41.1,42.5,39.65,39.8,-1.15,-2.81,"46,045",47.75,36.95,0.80,2.01,69.82,-9.95,Nasdaq,Monday,2018-04-30
126127,255738,Forrester Research,FORR,39.85,40.9,39.45,40.85,1.05,2.64,"54,453",47.75,36.95,0.80,1.96,71.67,-7.58,Nasdaq,Tuesday,2018-05-01
126128,186055,Forrester Research,FORR,40.55,40.95,38.77,40.75,-0.10,-0.24,"33,503",47.75,36.95,0.80,1.96,71.49,-7.81,Nasdaq,Thursday,2018-05-03
126129,44656,Forrester Research,FORR,40.6,41.95,40.6,41.4,0.65,1.60,"78,551",47.75,36.95,0.80,1.93,72.63,-6.33,Nasdaq,Friday,2018-05-04
126130,114468,Forrester Research,FORR,41.3,42.35,41.25,41.9,0.50,1.21,"38,621",47.75,36.95,0.80,1.91,73.51,-5.20,Nasdaq,Monday,2018-05-07
126131,257550,Forrester Research,FORR,43.4,44.08,42.0,42.5,0.60,1.43,"44,083",47.75,36.95,0.80,1.88,74.56,-3.85,Nasdaq,Tuesday,2018-05-08
126132,329091,Forrester Research,FORR,42.5,42.75,41.58,42.45,-0.05,-0.12,"41,360",47.75,36.95,0.80,1.88,74.47,-3.96,Nasdaq,Wednesday,2018-05-09
126133,187867,Forrester Research,FORR,42.5,42.65,42.2,42.35,-0.10,-0.24,"38,364",47.75,36.95,0.80,1.89,74.30,-4.19,Nasdaq,Thursday,2018-05-10
126134,46469,Forrester Research,FORR,42.45,42.75,42.0,42.05,-0.30,-0.71,"37,811",47.75,36.95,0.80,1.90,73.77,-4.86,Nasdaq,Friday,2018-05-11
126135,116282,Forrester Research,FORR,42.1,42.3,41.1,41.3,-0.75,-1.78,"48,554",47.75,36.95,0.80,1.94,72.46,-6.56,Nasdaq,Monday,2018-05-14
126136,259361,Forrester Research,FORR,41.3,41.75,41.3,41.5,0.20,0.48,"54,127",47.75,36.95,0.80,1.93,72.81,-6.11,Nasdaq,Tuesday,2018-05-15
126137,330914,Forrester Research,FORR,41.6,42.1,41.6,41.75,0.25,0.60,"37,260",47.75,36.95,0.80,1.92,73.25,-5.54,Nasdaq,Wednesday,2018-05-16
126138,189672,Forrester Research,FORR,41.65,43.6,41.65,42.1,0.35,0.84,"24,591",47.75,36.95,0.80,1.90,73.86,-4.75,Nasdaq,Thursday,2018-05-17
126139,48285,Forrester Research,FORR,42.45,42.45,41.9,41.9,-0.20,-0.48,"48,025",47.75,36.95,0.80,1.91,73.51,-5.20,Nasdaq,Friday,2018-05-18
