,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
129919,184223,FirstService,FSV,72.98,73.51,72.62,73.18,0.57,0.79,"30,270",74.49,57.17,0.54,0.74,50.47,4.66,Nasdaq,Thursday,2018-03-29
129920,288825,FirstService,FSV,70.45,71.66,70.45,71.34,0.25,0.35,"10,715",74.49,57.17,0.54,0.76,49.20,2.03,Nasdaq,Wednesday,2018-04-11
129921,142077,FirstService,FSV,71.12,71.14,70.33,70.55,-0.79,-1.11,"13,186",74.49,57.17,0.54,0.77,48.66,0.90,Nasdaq,Thursday,2018-04-12
129922,217268,FirstService,FSV,71.09,71.3,70.75,70.93,0.04,0.06,"21,254",74.49,57.17,0.54,0.76,48.92,1.44,Nasdaq,Tuesday,2018-04-17
129923,290630,FirstService,FSV,70.92,71.3,70.65,70.85,-0.08,-0.11,"33,907",74.49,57.17,0.54,0.76,48.86,1.33,Nasdaq,Wednesday,2018-04-18
129924,143884,FirstService,FSV,70.92,71.34,69.78,70.1,-0.75,-1.06,"26,936",74.49,57.17,0.54,0.77,48.34,0.26,Nasdaq,Thursday,2018-04-19
129925,657,FirstService,FSV,70.1,70.3,69.77,70.21,0.11,0.16,"25,805",74.49,57.17,0.54,0.77,48.42,0.41,Nasdaq,Friday,2018-04-20
129926,219077,FirstService,FSV,70.3,71.5,70.1,71.4,1.37,1.96,"45,935",74.49,57.17,0.54,0.76,49.24,2.12,Nasdaq,Tuesday,2018-04-24
129927,292440,FirstService,FSV,70.73,72.89,70.73,71.83,0.43,0.60,"34,587",74.49,57.17,0.54,0.75,49.54,2.73,Nasdaq,Wednesday,2018-04-25
129928,2467,FirstService,FSV,70.55,71.46,69.93,70.0,-0.44,-0.62,"18,180",74.49,57.17,0.54,0.77,46.98,0.11,Nasdaq,Friday,2018-04-27
129929,75924,FirstService,FSV,70.41,71.2,69.79,70.0,0,0,"31,454",74.49,57.17,0.54,0.77,46.98,0.11,Nasdaq,Monday,2018-04-30
129930,255718,FirstService,FSV,69.9,70.31,69.31,70.05,0.05,0.07,"25,131",74.49,57.17,0.54,0.77,47.01,0.19,Nasdaq,Tuesday,2018-05-01
129931,186036,FirstService,FSV,70.32,70.56,69.91,70.3,0.31,0.44,"16,519",74.49,57.17,0.54,0.77,47.18,0.54,Nasdaq,Thursday,2018-05-03
129932,44636,FirstService,FSV,70.08,70.87,69.85,70.58,0.28,0.39,"15,080",74.49,57.17,0.54,0.77,47.37,0.94,Nasdaq,Friday,2018-05-04
129933,114449,FirstService,FSV,70.52,71.43,70.39,71.24,0.66,0.94,"28,913",74.49,57.17,0.54,0.76,47.81,1.89,Nasdaq,Monday,2018-05-07
129934,257531,FirstService,FSV,71.2,71.2,70.52,70.79,-0.45,-0.63,"38,085",74.49,57.17,0.54,0.76,47.51,1.24,Nasdaq,Tuesday,2018-05-08
129935,329071,FirstService,FSV,71.05,71.05,69.29,69.54,-1.25,-1.77,"18,872",74.49,57.17,0.54,0.78,46.67,-0.54,Nasdaq,Wednesday,2018-05-09
