,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
133323,184293,Global Indemnity,GBLI,33.75,34.88,33.37,34.52,0.66,1.95,"125,638",49.91,32.22,1.00,2.90,0,-17.85,Nasdaq,Thursday,2018-03-29
133324,288893,Global Indemnity,GBLI,39.6,39.6,38.79,39.44,-0.33,-0.83,"5,196",49.91,32.22,1.00,2.54,0,-6.14,Nasdaq,Wednesday,2018-04-11
133325,142144,Global Indemnity,GBLI,39.6,39.6,37.97,39.22,-0.22,-0.56,"8,399",49.91,32.22,1.00,2.55,0,-6.66,Nasdaq,Thursday,2018-04-12
133326,217338,Global Indemnity,GBLI,40.39,40.8,39.64,40.64,0.44,1.09,"42,235",49.91,32.22,1.00,2.46,0,-3.28,Nasdaq,Tuesday,2018-04-17
133327,290699,Global Indemnity,GBLI,40.66,41.0,34.79,40.64,0,0,"5,132",49.91,32.22,1.00,2.46,0,-3.28,Nasdaq,Wednesday,2018-04-18
133328,143953,Global Indemnity,GBLI,40.63,41.63,39.66,41.15,0.51,1.25,"15,814",49.91,32.22,1.00,2.43,0,-2.07,Nasdaq,Thursday,2018-04-19
133329,726,Global Indemnity,GBLI,40.92,41.15,39.52,40.82,-0.33,-0.80,"18,171",49.91,32.22,1.00,2.45,0,-2.86,Nasdaq,Friday,2018-04-20
133330,219147,Global Indemnity,GBLI,40.98,42.12,40.3,41.76,0.81,1.98,"20,446",49.91,32.22,1.00,2.39,0,-0.62,Nasdaq,Tuesday,2018-04-24
133331,292511,Global Indemnity,GBLI,41.75,41.75,40.52,40.97,-0.79,-1.89,"6,487",49.91,32.22,1.00,2.44,0,-2.50,Nasdaq,Wednesday,2018-04-25
133332,2537,Global Indemnity,GBLI,41.3,41.46,40.1,40.9,-0.40,-0.97,"8,093",49.91,32.22,1.00,2.44,0,-2.67,Nasdaq,Friday,2018-04-27
133333,75994,Global Indemnity,GBLI,41.03,41.28,39.86,40.89,-0.01,-0.02,"28,080",49.91,32.22,1.00,2.45,0,-2.69,Nasdaq,Monday,2018-04-30
133334,255788,Global Indemnity,GBLI,40.99,41.58,39.98,41.28,0.39,0.95,"14,033",49.91,32.22,1.00,2.42,0,-1.76,Nasdaq,Tuesday,2018-05-01
133335,186105,Global Indemnity,GBLI,40.92,40.92,39.55,40.37,-0.69,-1.68,"49,257",49.91,32.22,1.00,2.48,0,-3.93,Nasdaq,Thursday,2018-05-03
133336,44705,Global Indemnity,GBLI,40.12,41.01,39.85,40.3,-0.07,-0.17,"24,633",49.91,32.22,1.00,2.48,0,-4.09,Nasdaq,Friday,2018-05-04
