,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
141539,184312,Green Plains Partners Un,GPP,17.25,17.6,16.95,17.4,0.20,1.16,"98,688",21.00,16.50,1.88,10.80,9.59,-6.95,Nasdaq,Thursday,2018-03-29
141540,288912,Green Plains Partners Un,GPP,17.85,17.85,17.4,17.5,0.10,0.57,"48,105",21.00,16.50,1.88,10.74,9.65,-6.42,Nasdaq,Wednesday,2018-04-11
141541,142163,Green Plains Partners Un,GPP,17.4,17.65,17.25,17.4,-0.10,-0.57,"56,535",21.0,16.5,1.88,10.80,9.59,-6.95,Nasdaq,Thursday,2018-04-12
141542,217357,Green Plains Partners Un,GPP,18.0,18.0,17.65,17.9,-0.10,-0.56,"22,034",21.00,16.50,1.88,10.50,9.87,-4.28,Nasdaq,Tuesday,2018-04-17
141543,290718,Green Plains Partners Un,GPP,17.97,17.97,17.65,17.75,-0.15,-0.84,"50,997",21.0,16.5,1.88,10.59,9.79,-5.08,Nasdaq,Wednesday,2018-04-18
141544,143972,Green Plains Partners Un,GPP,17.8,17.89,17.5,17.55,-0.20,-1.13,"32,864",21.00,16.50,1.88,10.71,9.68,-6.15,Nasdaq,Thursday,2018-04-19
141545,745,Green Plains Partners Un,GPP,17.5,17.72,17.45,17.6,0.05,0.28,"63,500",21.00,16.50,1.88,10.68,9.70,-5.88,Nasdaq,Friday,2018-04-20
141546,219166,Green Plains Partners Un,GPP,17.5,17.8,17.45,17.55,0,0,"68,226",21.0,16.5,1.90,10.83,9.68,-6.15,Nasdaq,Tuesday,2018-04-24
141547,292530,Green Plains Partners Un,GPP,17.6,17.6,17.22,17.3,-0.25,-1.42,"201,219",21.0,16.5,1.90,10.98,9.54,-7.49,Nasdaq,Wednesday,2018-04-25
141548,2557,Green Plains Partners Un,GPP,17.0,17.31,17.0,17.1,0.10,0.59,"49,578",21.00,16.50,1.90,11.11,9.43,-8.56,Nasdaq,Friday,2018-04-27
141549,76014,Green Plains Partners Un,GPP,17.35,17.63,17.07,17.4,0.30,1.75,"104,181",21.0,16.5,1.90,10.92,9.59,-6.95,Nasdaq,Monday,2018-04-30
141550,255808,Green Plains Partners Un,GPP,17.5,17.5,17.05,17.1,-0.30,-1.72,"118,475",21.0,16.5,1.90,11.11,9.43,-8.56,Nasdaq,Tuesday,2018-05-01
141551,186125,Green Plains Partners Un,GPP,16.65,17.15,16.65,16.95,0.32,1.95,"63,755",21.00,16.50,1.90,11.21,9.35,-9.36,Nasdaq,Thursday,2018-05-03
141552,44725,Green Plains Partners Un,GPP,16.85,17.05,16.85,17.0,0.05,0.29,"27,233",21.00,16.50,1.90,11.18,9.37,-9.09,Nasdaq,Friday,2018-05-04
141553,114538,Green Plains Partners Un,GPP,17.1,17.1,16.8,16.85,-0.15,-0.88,"837,012",21.0,16.5,1.90,11.28,9.29,-9.89,Nasdaq,Monday,2018-05-07
141554,257620,Green Plains Partners Un,GPP,16.65,16.74,15.65,15.85,-1.00,-5.93,"246,237",21.00,15.65,1.90,11.99,8.98,-15.24,Nasdaq,Tuesday,2018-05-08
141555,329161,Green Plains Partners Un,GPP,16.0,16.45,15.69,16.05,0.20,1.26,"84,376",21.00,15.65,1.90,11.84,9.10,-14.17,Nasdaq,Wednesday,2018-05-09
141556,187936,Green Plains Partners Un,GPP,16.05,16.2,15.98,16.05,0,0,"71,044",21.0,15.65,1.90,11.84,9.10,-14.17,Nasdaq,Thursday,2018-05-10
141557,46539,Green Plains Partners Un,GPP,16.0,16.36,15.95,16.35,0.30,1.87,"75,782",21.0,15.65,1.90,11.62,9.27,-12.57,Nasdaq,Friday,2018-05-11
141558,116352,Green Plains Partners Un,GPP,16.3,16.9,16.3,16.9,0.55,3.36,"88,978",21.0,15.65,1.90,11.24,9.58,-9.63,Nasdaq,Monday,2018-05-14
141559,259431,Green Plains Partners Un,GPP,16.85,16.85,16.55,16.75,-0.15,-0.89,"29,483",21.0,15.65,1.90,11.34,9.49,-10.43,Nasdaq,Tuesday,2018-05-15
141560,330985,Green Plains Partners Un,GPP,16.85,16.85,16.6,16.75,0,0,"26,887",21.0,15.65,1.90,11.34,9.49,-10.43,Nasdaq,Wednesday,2018-05-16
141561,189743,Green Plains Partners Un,GPP,16.8,16.9,16.65,16.75,0,0,"49,633",21.00,15.65,1.90,11.34,9.49,-10.43,Nasdaq,Thursday,2018-05-17
141562,48356,Green Plains Partners Un,GPP,16.8,16.8,16.65,16.8,0.05,0.30,"33,987",21.0,15.65,1.90,11.31,9.52,-10.16,Nasdaq,Friday,2018-05-18
141563,118170,Green Plains Partners Un,GPP,16.85,17.05,16.8,16.95,0.15,0.89,"121,316",21.00,15.65,1.90,11.21,9.61,-9.36,Nasdaq,Monday,2018-05-21
141564,261245,Green Plains Partners Un,GPP,17.1,17.55,17.05,17.35,0.40,2.36,"125,868",21.0,15.65,1.90,10.95,9.83,-7.22,Nasdaq,Tuesday,2018-05-22
141565,332802,Green Plains Partners Un,GPP,17.45,17.65,17.32,17.6,0.25,1.44,"96,532",21.00,15.65,1.90,10.80,9.98,-5.88,Nasdaq,Wednesday,2018-05-23
141566,191560,Green Plains Partners Un,GPP,17.65,17.65,17.5,17.5,-0.10,-0.57,"44,370",21.00,15.65,1.90,10.86,9.92,-6.42,Nasdaq,Thursday,2018-05-24
141567,50173,Green Plains Partners Un,GPP,17.45,17.65,17.2,17.6,0.10,0.57,"61,898",21.00,15.65,1.90,10.80,9.98,-5.88,Nasdaq,Friday,2018-05-25
141568,263062,Green Plains Partners Un,GPP,17.75,17.75,17.3,17.45,-0.15,-0.85,"73,357",21.00,15.65,1.90,10.89,9.89,-6.68,Nasdaq,Tuesday,2018-05-29
141569,334615,Green Plains Partners Un,GPP,17.55,17.75,17.35,17.5,0.05,0.29,"50,392",21.00,15.65,1.90,10.86,9.92,-6.42,Nasdaq,Wednesday,2018-05-30
141570,193372,Green Plains Partners Un,GPP,17.55,17.64,17.35,17.4,-0.10,-0.57,"28,516",21.0,15.65,1.90,10.92,9.86,-6.95,Nasdaq,Thursday,2018-05-31
141571,35582,Green Plains Partners Un,GPP,17.45,17.6,17.35,17.5,0.10,0.57,"44,883",21.00,15.65,1.90,10.86,9.92,-6.42,Nasdaq,Friday,2018-06-01
141572,107246,Green Plains Partners Un,GPP,17.55,17.65,17.35,17.45,-0.05,-0.29,"41,672",21.00,15.65,1.90,10.89,9.89,-6.68,Nasdaq,Monday,2018-06-04
141573,248524,Green Plains Partners Un,GPP,17.5,17.8,17.45,17.6,0.15,0.86,"84,021",21.0,15.65,1.90,10.80,9.98,-5.88,Nasdaq,Tuesday,2018-06-05
141574,321862,Green Plains Partners Un,GPP,17.6,17.65,17.47,17.5,-0.10,-0.57,"59,645",21.00,15.65,1.90,10.86,9.92,-6.42,Nasdaq,Wednesday,2018-06-06
141575,177003,Green Plains Partners Un,GPP,17.65,17.65,17.55,17.6,0.10,0.57,"51,413",21.00,15.65,1.90,10.80,9.98,-5.88,Nasdaq,Thursday,2018-06-07
141576,37410,Green Plains Partners Un,GPP,17.65,17.65,17.46,17.6,0,0,"49,888",21.00,15.65,1.90,10.80,9.98,-5.88,Nasdaq,Friday,2018-06-08
141577,109073,Green Plains Partners Un,GPP,17.7,17.7,17.27,17.3,-0.30,-1.70,"65,250",21.0,15.65,1.90,10.98,9.81,-7.49,Nasdaq,Monday,2018-06-11
141578,250349,Green Plains Partners Un,GPP,17.3,17.45,17.28,17.35,0.05,0.29,"19,418",21.0,15.65,1.90,10.95,9.83,-7.22,Nasdaq,Tuesday,2018-06-12
141579,323689,Green Plains Partners Un,GPP,17.5,17.55,17.4,17.45,0.10,0.58,"25,887",21.0,15.65,1.90,10.89,9.89,-6.68,Nasdaq,Wednesday,2018-06-13
141580,178824,Green Plains Partners Un,GPP,17.55,17.55,17.36,17.4,-0.05,-0.29,"40,289",21.0,15.65,1.90,10.92,9.86,-6.95,Nasdaq,Thursday,2018-06-14
141581,39230,Green Plains Partners Un,GPP,17.45,17.6,17.41,17.55,0.15,0.86,"66,985",21.00,15.65,1.90,10.83,9.95,-6.15,Nasdaq,Friday,2018-06-15
141582,110891,Green Plains Partners Un,GPP,17.6,17.75,17.45,17.5,-0.05,-0.28,"28,354",21.00,15.65,1.90,10.86,9.92,-6.42,Nasdaq,Monday,2018-06-18
141583,252166,Green Plains Partners Un,GPP,17.45,17.6,17.4,17.4,-0.10,-0.57,"29,956",21.0,15.65,1.90,10.92,9.86,-6.95,Nasdaq,Tuesday,2018-06-19
141584,325511,Green Plains Partners Un,GPP,17.4,17.6,17.4,17.4,0,0,"24,410",21.00,15.65,1.90,10.92,9.86,-6.95,Nasdaq,Wednesday,2018-06-20
141585,180646,Green Plains Partners Un,GPP,17.4,17.43,17.25,17.25,-0.15,-0.86,"18,562",21.0,15.65,1.90,11.01,9.78,-7.75,Nasdaq,Thursday,2018-06-21
141586,41060,Green Plains Partners Un,GPP,17.35,17.4,17.27,17.4,0.15,0.87,"11,730",21.0,15.65,1.90,10.92,9.86,-6.95,Nasdaq,Friday,2018-06-22
141587,112715,Green Plains Partners Un,GPP,17.45,17.45,17.25,17.3,-0.10,-0.57,"26,956",21.0,15.65,1.90,10.98,9.81,-7.49,Nasdaq,Monday,2018-06-25
141588,253988,Green Plains Partners Un,GPP,17.25,17.45,17.25,17.25,-0.05,-0.29,"29,793",21.0,15.65,1.90,11.01,9.78,-7.75,Nasdaq,Tuesday,2018-06-26
141589,327330,Green Plains Partners Un,GPP,17.4,17.4,17.25,17.35,0.10,0.58,"28,346",21.00,15.65,1.90,10.95,9.83,-7.22,Nasdaq,Wednesday,2018-06-27
141590,182478,Green Plains Partners Un,GPP,17.4,17.4,17.15,17.25,-0.10,-0.58,"20,706",21.00,15.65,1.90,11.01,9.78,-7.75,Nasdaq,Thursday,2018-06-28
141591,42894,Green Plains Partners Un,GPP,17.3,17.35,17.15,17.15,-0.10,-0.58,"12,669",21.00,15.65,1.90,11.08,9.72,-8.29,Nasdaq,Friday,2018-06-29
