,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
145330,184294,Global Water Resources,GWRS,8.9,9.04,8.79,8.97,0.12,1.36,"11,634",10.00,8.40,0.28,3.16,40.30,-3.96,Nasdaq,Thursday,2018-03-29
145331,288894,Global Water Resources,GWRS,8.92,9.15,8.92,8.97,0,0,"5,658",10.00,8.40,0.28,3.16,40.30,-3.96,Nasdaq,Wednesday,2018-04-11
145332,142145,Global Water Resources,GWRS,9.08,9.08,8.92,8.95,-0.02,-0.22,"3,986",10.0,8.4,0.28,3.17,40.21,-4.18,Nasdaq,Thursday,2018-04-12
145333,217339,Global Water Resources,GWRS,8.91,9.05,8.8,8.95,0.01,0.11,"18,380",10.00,8.40,0.28,3.17,40.21,-4.18,Nasdaq,Tuesday,2018-04-17
145334,290700,Global Water Resources,GWRS,8.9,9.02,8.87,8.96,0.01,0.11,"11,284",10.0,8.4,0.28,3.16,40.25,-4.07,Nasdaq,Wednesday,2018-04-18
145335,143954,Global Water Resources,GWRS,9.0,9.0,8.79,8.93,-0.03,-0.33,"27,704",10.00,8.40,0.28,3.17,40.12,-4.39,Nasdaq,Thursday,2018-04-19
145336,727,Global Water Resources,GWRS,8.86,9.15,8.86,9.11,0.18,2.02,"10,430",10.00,8.40,0.28,3.11,40.93,-2.46,Nasdaq,Friday,2018-04-20
145337,219148,Global Water Resources,GWRS,9.2,9.21,9.1,9.2,0.04,0.44,"31,210",10.0,8.4,0.28,3.08,41.33,-1.50,Nasdaq,Tuesday,2018-04-24
145338,292512,Global Water Resources,GWRS,9.26,9.26,9.1,9.18,-0.02,-0.22,"11,172",10.0,8.4,0.28,3.09,41.24,-1.71,Nasdaq,Wednesday,2018-04-25
145339,2538,Global Water Resources,GWRS,9.24,9.34,9.21,9.23,-0.05,-0.54,"2,828",10.00,8.40,0.28,3.07,41.46,-1.18,Nasdaq,Friday,2018-04-27
145340,75995,Global Water Resources,GWRS,9.29,9.29,9.12,9.22,-0.01,-0.11,"4,716",10.0,8.4,0.28,3.07,41.42,-1.28,Nasdaq,Monday,2018-04-30
145341,255789,Global Water Resources,GWRS,9.17,9.22,9.11,9.15,-0.07,-0.76,"5,227",10.0,8.4,0.28,3.10,41.11,-2.03,Nasdaq,Tuesday,2018-05-01
145342,186106,Global Water Resources,GWRS,9.25,9.25,9.1,9.14,-0.10,-1.08,"5,762",10.00,8.40,0.28,3.10,41.06,-2.14,Nasdaq,Thursday,2018-05-03
145343,44706,Global Water Resources,GWRS,9.19,9.3,8.99,9.0,-0.14,-1.53,"21,074",10.00,8.40,0.28,3.15,40.43,-3.64,Nasdaq,Friday,2018-05-04
145344,114519,Global Water Resources,GWRS,9.07,9.07,8.84,8.93,-0.07,-0.78,"10,752",10.0,8.4,0.28,3.17,40.12,-4.39,Nasdaq,Monday,2018-05-07
145345,257601,Global Water Resources,GWRS,8.9,8.99,8.63,8.91,-0.02,-0.22,"6,404",10.00,8.40,0.28,3.18,40.03,-4.60,Nasdaq,Tuesday,2018-05-08
145346,329142,Global Water Resources,GWRS,8.83,8.97,8.83,8.97,0.06,0.67,"4,236",10.00,8.40,0.28,3.16,40.30,-3.96,Nasdaq,Wednesday,2018-05-09
145347,187917,Global Water Resources,GWRS,9.0,9.24,8.68,9.22,0.25,2.79,"8,954",10.0,8.4,0.28,3.07,41.42,-1.28,Nasdaq,Thursday,2018-05-10
145348,46520,Global Water Resources,GWRS,8.9,9.12,8.9,8.99,-0.23,-2.49,"8,327",10.0,8.4,0.28,3.15,37.46,-3.75,Nasdaq,Friday,2018-05-11
145349,116333,Global Water Resources,GWRS,8.96,9.08,8.86,8.98,-0.01,-0.11,"7,323",10.0,8.4,0.28,3.16,37.42,-3.85,Nasdaq,Monday,2018-05-14
145350,259412,Global Water Resources,GWRS,8.87,9.25,8.84,9.02,0.06,0.71,"25,046",10.0,8.4,0.28,3.14,37.58,-3.43,Nasdaq,Tuesday,2018-05-15
145351,330966,Global Water Resources,GWRS,9.08,9.18,8.96,9.16,0.14,1.55,"9,540",10.0,8.4,0.28,3.09,38.17,-1.93,Nasdaq,Wednesday,2018-05-16
145352,189724,Global Water Resources,GWRS,8.89,9.23,8.89,9.17,0.01,0.11,"4,959",10.00,8.40,0.28,3.09,38.21,-1.82,Nasdaq,Thursday,2018-05-17
145353,48337,Global Water Resources,GWRS,9.23,9.24,9.11,9.17,0,0,"9,758",10.0,8.4,0.28,3.09,38.21,-1.82,Nasdaq,Friday,2018-05-18
145354,118151,Global Water Resources,GWRS,9.16,9.25,9.15,9.25,0.08,0.87,"4,997",10.00,8.40,0.28,3.06,38.54,-0.96,Nasdaq,Monday,2018-05-21
145355,261226,Global Water Resources,GWRS,9.15,9.18,9.11,9.12,-0.13,-1.41,"8,091",10.0,8.4,0.28,3.11,38.00,-2.36,Nasdaq,Tuesday,2018-05-22
145356,332783,Global Water Resources,GWRS,9.15,9.2,9.06,9.17,0.05,0.55,"9,302",10.00,8.40,0.28,3.09,38.21,-1.82,Nasdaq,Wednesday,2018-05-23
145357,191541,Global Water Resources,GWRS,9.12,9.23,9.07,9.2,0.03,0.33,"9,917",10.00,8.40,0.28,3.08,38.33,-1.50,Nasdaq,Thursday,2018-05-24
145358,50154,Global Water Resources,GWRS,9.23,9.23,9.15,9.23,0.03,0.33,"2,256",10.00,8.40,0.28,3.07,38.46,-1.18,Nasdaq,Friday,2018-05-25
145359,263043,Global Water Resources,GWRS,9.24,9.24,9.12,9.15,-0.08,-0.87,"18,480",10.00,8.40,0.28,3.10,38.13,-2.03,Nasdaq,Tuesday,2018-05-29
145360,334596,Global Water Resources,GWRS,9.23,9.23,9.1,9.16,0.01,0.11,"17,237",10.00,8.40,0.28,3.09,38.17,-1.93,Nasdaq,Wednesday,2018-05-30
145361,193353,Global Water Resources,GWRS,9.1,9.22,9.09,9.14,-0.02,-0.22,"12,242",10.0,8.4,0.28,3.10,38.08,-2.14,Nasdaq,Thursday,2018-05-31
145362,35563,Global Water Resources,GWRS,9.18,9.2,9.05,9.1,-0.04,-0.44,"14,501",10.00,8.40,0.28,3.12,37.92,-2.57,Nasdaq,Friday,2018-06-01
145363,107227,Global Water Resources,GWRS,9.13,9.24,9.04,9.2,0.10,1.10,"10,844",10.00,8.40,0.28,3.08,38.33,-1.50,Nasdaq,Monday,2018-06-04
145364,248505,Global Water Resources,GWRS,9.18,9.18,8.75,9.0,-0.20,-2.17,"54,878",10.0,8.4,0.28,3.15,37.50,-3.64,Nasdaq,Tuesday,2018-06-05
