,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
149778,184355,Helen of Troy,HELE,88.2,88.2,86.0,87.0,2.95,3.51,"251,791",102.88,81.10,0,0,119.18,-9.70,Nasdaq,Thursday,2018-03-29
149779,288954,Helen of Troy,HELE,85.9,86.5,85.4,85.5,-0.70,-0.81,"135,149",102.88,81.10,0,0,117.12,-11.26,Nasdaq,Wednesday,2018-04-11
149780,142205,Helen of Troy,HELE,86.25,86.95,85.1,86.5,1.00,1.17,"120,907",102.88,81.1,0,0,118.49,-10.22,Nasdaq,Thursday,2018-04-12
149781,217399,Helen of Troy,HELE,86.85,87.45,86.7,87.05,0.70,0.81,"124,861",102.88,81.10,0,0,119.25,-9.65,Nasdaq,Tuesday,2018-04-17
149782,290761,Helen of Troy,HELE,87.1,87.55,84.4,86.9,-0.15,-0.17,"108,310",102.88,81.1,0,0,119.04,-9.81,Nasdaq,Wednesday,2018-04-18
149783,144015,Helen of Troy,HELE,86.7,86.7,85.05,85.3,-1.60,-1.84,"78,571",102.88,81.10,0,0,116.85,-11.47,Nasdaq,Thursday,2018-04-19
149784,788,Helen of Troy,HELE,84.85,85.35,83.95,83.95,-1.35,-1.58,"160,025",102.88,81.10,0,0,115.00,-12.87,Nasdaq,Friday,2018-04-20
149785,219209,Helen of Troy,HELE,85.0,86.1,84.65,84.95,0.35,0.41,"184,038",102.88,81.1,0,0,116.37,-11.83,Nasdaq,Tuesday,2018-04-24
149786,292572,Helen of Troy,HELE,84.9,86.2,84.6,84.9,-0.05,-0.06,"147,769",102.88,81.1,0,0,116.30,-11.88,Nasdaq,Wednesday,2018-04-25
149787,2600,Helen of Troy,HELE,88.6,91.65,87.6,89.65,1.60,1.82,"358,382",102.88,81.10,0,0,54.33,-6.95,Nasdaq,Friday,2018-04-27
149788,76057,Helen of Troy,HELE,89.9,90.13,89.05,89.15,-0.50,-0.56,"203,192",102.88,81.1,0,0,54.03,-7.47,Nasdaq,Monday,2018-04-30
149789,255851,Helen of Troy,HELE,89.0,90.35,86.35,90.0,0.85,0.95,"301,608",102.88,81.1,0,0,54.55,-6.59,Nasdaq,Tuesday,2018-05-01
149790,186167,Helen of Troy,HELE,90.85,92.0,88.35,88.8,-2.15,-2.36,"330,803",102.88,81.10,0,0,53.82,-7.84,Nasdaq,Thursday,2018-05-03
149791,44767,Helen of Troy,HELE,88.6,90.85,86.85,89.85,1.05,1.18,"214,329",102.88,81.10,0,0,54.45,-6.75,Nasdaq,Friday,2018-05-04
149792,114580,Helen of Troy,HELE,89.3,91.2,87.45,90.55,0.70,0.78,"243,554",102.88,81.1,0,0,54.88,-6.02,Nasdaq,Monday,2018-05-07
149793,257662,Helen of Troy,HELE,91.15,92.0,90.9,91.45,0.90,0.99,"228,905",102.88,81.10,0,0,55.42,-5.09,Nasdaq,Tuesday,2018-05-08
149794,329204,Helen of Troy,HELE,91.55,92.15,88.37,91.1,-0.35,-0.38,"198,430",102.88,81.10,0,0,55.21,-5.45,Nasdaq,Wednesday,2018-05-09
149795,187977,Helen of Troy,HELE,91.1,92.38,90.35,91.15,0.05,0.05,"242,955",102.88,81.1,0,0,55.24,-5.40,Nasdaq,Thursday,2018-05-10
149796,46582,Helen of Troy,HELE,91.15,92.35,88.4,91.7,0.55,0.60,"178,412",102.88,81.1,0,0,55.58,-4.83,Nasdaq,Friday,2018-05-11
149797,116395,Helen of Troy,HELE,91.7,93.1,90.85,91.6,-0.10,-0.11,"223,083",102.88,81.1,0,0,55.52,-4.93,Nasdaq,Monday,2018-05-14
149798,259473,Helen of Troy,HELE,90.8,91.9,89.75,90.8,-0.80,-0.87,"170,583",102.88,81.1,0,0,55.03,-5.76,Nasdaq,Tuesday,2018-05-15
149799,331028,Helen of Troy,HELE,91.1,92.15,90.95,91.5,0.70,0.77,"92,226",102.88,81.1,0,0,55.45,-5.03,Nasdaq,Wednesday,2018-05-16
149800,189786,Helen of Troy,HELE,91.55,92.45,91.4,92.15,0.65,0.71,"125,618",102.88,81.10,0,0,55.85,-4.36,Nasdaq,Thursday,2018-05-17
149801,48399,Helen of Troy,HELE,92.35,92.55,91.4,91.55,-0.60,-0.65,"154,688",102.88,81.1,0,0,55.48,-4.98,Nasdaq,Friday,2018-05-18
149802,118213,Helen of Troy,HELE,91.8,92.2,91.4,91.8,0.25,0.27,"107,720",102.88,81.10,0,0,55.64,-4.72,Nasdaq,Monday,2018-05-21
149803,261287,Helen of Troy,HELE,91.9,92.7,91.0,91.1,-0.70,-0.76,"95,475",102.88,81.1,0,0,55.21,-5.45,Nasdaq,Tuesday,2018-05-22
149804,332845,Helen of Troy,HELE,91.05,92.1,90.8,91.3,0.20,0.22,"125,350",102.88,81.10,0,0,55.33,-5.24,Nasdaq,Wednesday,2018-05-23
149805,191604,Helen of Troy,HELE,90.95,91.95,90.05,91.1,-0.20,-0.22,"115,956",102.88,81.10,0,0,55.21,-5.45,Nasdaq,Thursday,2018-05-24
149806,50217,Helen of Troy,HELE,90.7,91.65,90.45,90.75,-0.35,-0.38,"119,962",102.88,81.10,0,0,55.00,-5.81,Nasdaq,Friday,2018-05-25
