,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
151021,184365,Himax Technologies ADR,HIMX,6.12,6.21,5.96,6.16,0.04,0.65,"3,843,079",13.95,5.96,0.24,3.90,37.84,-40.88,Nasdaq,Thursday,2018-03-29
151022,288964,Himax Technologies ADR,HIMX,6.93,7.48,6.89,7.2,0.39,5.73,"5,084,034",13.95,5.96,0.24,3.33,44.23,-30.90,Nasdaq,Wednesday,2018-04-11
151023,142215,Himax Technologies ADR,HIMX,7.24,7.47,6.91,7.33,0.13,1.81,"4,933,611",13.95,5.96,0.24,3.27,45.02,-29.65,Nasdaq,Thursday,2018-04-12
151024,217409,Himax Technologies ADR,HIMX,7.3,7.61,7.28,7.45,0.21,2.90,"2,917,482",13.95,5.96,0.24,3.22,45.76,-28.50,Nasdaq,Tuesday,2018-04-17
151025,290771,Himax Technologies ADR,HIMX,7.47,7.47,7.16,7.18,-0.27,-3.62,"1,654,040",13.95,5.96,0.24,3.34,44.10,-31.09,Nasdaq,Wednesday,2018-04-18
151026,144025,Himax Technologies ADR,HIMX,7.1,7.33,7.01,7.27,0.09,1.25,"2,118,002",13.95,5.96,0.24,3.30,44.66,-30.23,Nasdaq,Thursday,2018-04-19
151027,798,Himax Technologies ADR,HIMX,7.25,7.46,7.23,7.3,0.03,0.41,"2,098,043",13.95,5.96,0.24,3.29,44.84,-29.94,Nasdaq,Friday,2018-04-20
151028,219219,Himax Technologies ADR,HIMX,7.25,7.41,7.0,7.04,-0.21,-2.90,"1,816,111",13.95,5.96,0.24,3.41,43.24,-32.44,Nasdaq,Tuesday,2018-04-24
151029,292582,Himax Technologies ADR,HIMX,6.93,7.05,6.5,6.77,-0.27,-3.84,"2,712,965",13.95,5.96,0.24,3.55,41.58,-35.03,Nasdaq,Wednesday,2018-04-25
151030,2610,Himax Technologies ADR,HIMX,7.0,7.1,6.76,6.79,-0.08,-1.16,"1,677,769",13.95,5.96,0.24,3.53,41.71,-34.84,Nasdaq,Friday,2018-04-27
151031,76067,Himax Technologies ADR,HIMX,6.8,6.92,6.74,6.82,0.03,0.44,"1,202,291",13.95,5.96,0.24,3.52,41.89,-34.55,Nasdaq,Monday,2018-04-30
151032,255861,Himax Technologies ADR,HIMX,6.82,7.05,6.8,7.0,0.18,2.64,"1,286,494",13.95,5.96,0.24,3.43,43.00,-32.82,Nasdaq,Tuesday,2018-05-01
151033,186177,Himax Technologies ADR,HIMX,7.1,7.18,6.83,7.01,-0.16,-2.23,"1,678,088",13.95,5.96,0.24,3.42,43.06,-32.73,Nasdaq,Thursday,2018-05-03
