,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
157614,184343,Hawkins,HWKN,34.05,35.35,33.8,35.15,1.20,3.53,"137,214",53.50,31.95,0.88,2.50,11.52,-0.14,Nasdaq,Thursday,2018-03-29
157615,288943,Hawkins,HWKN,33.2,33.5,33.1,33.25,0,0,"61,131",53.50,31.80,0.88,2.65,10.90,-5.54,Nasdaq,Wednesday,2018-04-11
157616,142193,Hawkins,HWKN,33.4,34.55,33.06,34.0,0.75,2.26,"50,213",53.5,31.8,0.88,2.59,11.15,-3.41,Nasdaq,Thursday,2018-04-12
157617,217388,Hawkins,HWKN,34.2,34.55,34.0,34.25,0.30,0.88,"28,079",53.50,31.80,0.88,2.57,11.23,-2.70,Nasdaq,Tuesday,2018-04-17
157618,290749,Hawkins,HWKN,34.35,35.05,34.35,34.55,0.30,0.88,"24,217",53.5,31.8,0.88,2.55,11.33,-1.85,Nasdaq,Wednesday,2018-04-18
157619,144003,Hawkins,HWKN,34.6,35.1,34.3,34.3,-0.25,-0.72,"16,378",53.50,31.80,0.88,2.57,11.25,-2.56,Nasdaq,Thursday,2018-04-19
157620,776,Hawkins,HWKN,34.25,34.25,33.3,33.65,-0.65,-1.90,"40,218",53.50,31.80,0.88,2.62,11.03,-4.40,Nasdaq,Friday,2018-04-20
157621,219197,Hawkins,HWKN,33.35,33.45,32.2,32.6,-0.55,-1.66,"16,273",53.5,31.8,0.88,2.70,10.69,-7.39,Nasdaq,Tuesday,2018-04-24
157622,292561,Hawkins,HWKN,32.55,32.95,32.1,32.8,0.20,0.61,"12,122",53.5,31.8,0.88,2.68,10.75,-6.82,Nasdaq,Wednesday,2018-04-25
157623,2588,Hawkins,HWKN,33.35,34.0,32.85,33.05,-0.25,-0.75,"46,603",52.25,31.80,0.88,2.66,10.84,-6.11,Nasdaq,Friday,2018-04-27
