,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
159182,184447,Interactive Brokers Group,IBKR,65.85,67.55,65.13,67.24,1.52,2.31,"590,460",74.11,33.01,0.40,0.59,62.37,13.56,Nasdaq,Thursday,2018-03-29
159183,289045,Interactive Brokers Group,IBKR,70.56,71.93,70.04,71.09,0.02,0.03,"728,424",74.11,33.01,0.40,0.56,65.95,20.06,Nasdaq,Wednesday,2018-04-11
159184,142297,Interactive Brokers Group,IBKR,72.21,72.85,71.89,72.34,1.25,1.76,"560,362",74.11,33.01,0.40,0.55,67.11,22.18,Nasdaq,Thursday,2018-04-12
159185,217490,Interactive Brokers Group,IBKR,73.33,74.75,72.5,74.4,2.04,2.82,"1,340,667",74.75,33.01,0.40,0.54,69.02,25.65,Nasdaq,Tuesday,2018-04-17
159186,290853,Interactive Brokers Group,IBKR,74.98,75.27,70.85,71.92,-2.48,-3.33,"1,610,633",75.27,33.01,0.40,0.56,52.84,21.47,Nasdaq,Wednesday,2018-04-18
159187,144106,Interactive Brokers Group,IBKR,71.99,73.39,71.93,72.66,0.74,1.03,"668,413",75.27,33.71,0.40,0.55,53.39,22.72,Nasdaq,Thursday,2018-04-19
159188,880,Interactive Brokers Group,IBKR,72.66,74.09,72.3,73.8,1.14,1.57,"823,398",75.27,33.71,0.40,0.54,54.22,24.64,Nasdaq,Friday,2018-04-20
159189,219300,Interactive Brokers Group,IBKR,74.11,74.8,71.83,72.77,-1.19,-1.61,"548,470",75.27,34.26,0.40,0.55,53.47,22.90,Nasdaq,Tuesday,2018-04-24
159190,292664,Interactive Brokers Group,IBKR,72.61,73.06,71.66,72.01,-0.76,-1.04,"521,974",75.27,34.26,0.40,0.56,52.91,21.62,Nasdaq,Wednesday,2018-04-25
159191,2690,Interactive Brokers Group,IBKR,73.24,74.62,72.7,73.9,0.20,0.27,"562,035",75.27,34.26,0.40,0.54,54.30,24.81,Nasdaq,Friday,2018-04-27
159192,76149,Interactive Brokers Group,IBKR,74.21,75.53,74.02,74.2,0.30,0.41,"676,303",75.53,34.26,0.40,0.54,54.52,25.32,Nasdaq,Monday,2018-04-30
159193,255943,Interactive Brokers Group,IBKR,73.78,74.18,72.72,74.05,-0.15,-0.20,"516,413",75.53,34.26,0.40,0.54,54.41,25.06,Nasdaq,Tuesday,2018-05-01
159194,186257,Interactive Brokers Group,IBKR,73.19,73.65,71.81,73.34,-0.23,-0.31,"435,306",75.53,34.26,0.40,0.55,53.89,23.86,Nasdaq,Thursday,2018-05-03
159195,44858,Interactive Brokers Group,IBKR,73.3,75.48,72.67,74.95,1.61,2.20,"545,234",75.53,34.26,0.40,0.53,55.07,26.58,Nasdaq,Friday,2018-05-04
159196,114671,Interactive Brokers Group,IBKR,75.09,77.37,75.01,76.78,1.83,2.44,"694,777",77.37,34.26,0.40,0.52,56.41,29.67,Nasdaq,Monday,2018-05-07
159197,257753,Interactive Brokers Group,IBKR,77.42,78.0,76.7,77.81,1.03,1.34,"464,937",78.00,34.26,0.40,0.51,57.17,31.41,Nasdaq,Tuesday,2018-05-08
159198,329295,Interactive Brokers Group,IBKR,78.27,80.32,77.92,79.24,1.43,1.84,"721,337",80.32,34.26,0.40,0.50,58.22,33.83,Nasdaq,Wednesday,2018-05-09
159199,188067,Interactive Brokers Group,IBKR,79.1,80.31,78.95,79.58,0.34,0.43,"513,802",80.32,34.26,0.40,0.50,58.47,34.40,Nasdaq,Thursday,2018-05-10
159200,46673,Interactive Brokers Group,IBKR,79.67,80.2,79.28,79.7,0.12,0.15,"493,066",80.32,34.26,0.40,0.50,58.56,34.61,Nasdaq,Friday,2018-05-11
159201,116486,Interactive Brokers Group,IBKR,79.53,79.92,77.89,78.5,-1.20,-1.51,"669,966",80.32,34.26,0.40,0.51,57.68,32.58,Nasdaq,Monday,2018-05-14
159202,259564,Interactive Brokers Group,IBKR,78.06,79.01,77.66,78.57,0.07,0.09,"518,442",80.32,34.26,0.40,0.51,57.73,32.70,Nasdaq,Tuesday,2018-05-15
